Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0142,87,103,190,902,21.06%,59,120,179
"Judge, County Criminal Court No. 15",0143,1962,580,2542,6386,39.81%,1844,628,2472
"Judge, County Criminal Court No. 15",0144,216,158,374,1093,34.22%,10,355,365
"Judge, County Criminal Court No. 15",0145,264,213,477,1538,31.01%,9,454,463
"Judge, County Criminal Court No. 15",0146,426,519,945,2008,47.06%,429,458,887
"Judge, County Criminal Court No. 15",0147,689,329,1018,3008,33.84%,134,857,991
"Judge, County Criminal Court No. 15",0148,500,780,1280,2540,50.39%,520,641,1161
"Judge, County Criminal Court No. 15",0149,1621,737,2358,7993,29.50%,1239,1052,2291
"Judge, County Criminal Court No. 15",0150,236,169,405,1256,32.25%,13,383,396
"Judge, County Criminal Court No. 15",0151,137,79,216,826,26.15%,11,198,209
"Judge, County Criminal Court No. 15",0152,213,299,512,2788,18.36%,133,356,489
"Judge, County Criminal Court No. 15",0153,125,206,331,1808,18.31%,99,222,321
"Judge, County Criminal Court No. 15",0154,249,183,432,2190,19.73%,102,308,410
"Judge, County Criminal Court No. 15",0155,1022,619,1641,4109,39.94%,1148,428,1576
"Judge, County Criminal Court No. 15",0156,799,326,1125,3071,36.63%,40,1052,1092
"Judge, County Criminal Court No. 15",0157,448,214,662,2236,29.61%,23,618,641
"Judge, County Criminal Court No. 15",0158,600,315,915,3035,30.15%,24,863,887
"Judge, County Criminal Court No. 15",0159,116,127,243,998,24.35%,41,193,234
"Judge, County Criminal Court No. 15",0160,122,73,195,696,28.02%,7,185,192
"Judge, County Criminal Court No. 15",0161,163,141,304,991,30.68%,4,290,294
"Judge, County Criminal Court No. 15",0162,101,83,184,1265,14.55%,72,99,171
"Judge, County Criminal Court No. 15",0163,230,320,550,3037,18.11%,229,294,523
"Judge, County Criminal Court No. 15",0164,182,205,387,1420,27.25%,11,370,381
"Judge, County Criminal Court No. 15",0165,535,483,1018,2334,43.62%,687,279,966
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0166,158,233,391,1028,38.04%,118,248,366
"Judge, County Criminal Court No. 15",0167,3,0,3,24,12.50%,0,3,3
"Judge, County Criminal Court No. 15",0168,92,58,150,503,29.82%,2,143,145
"Judge, County Criminal Court No. 15",0169,518,251,767,2513,30.52%,17,728,745
"Judge, County Criminal Court No. 15",0170,271,141,412,1869,22.04%,214,175,389
"Judge, County Criminal Court No. 15",0171,202,198,400,1604,24.94%,10,380,390
"Judge, County Criminal Court No. 15",0172,88,80,166,621,26.73%,63,91,154
"Judge, County Criminal Court No. 15",0173,817,739,1556,3599,43.23%,1262,241,1503
"Judge, County Criminal Court No. 15",0174,829,733,1562,3296,47.39%,1095,378,1473
"Judge, County Criminal Court No. 15",0175,557,749,1306,2618,49.89%,676,509,1185
"Judge, County Criminal Court No. 15",0176,344,451,795,1602,49.63%,429,287,716
"Judge, County Criminal Court No. 15",0177,278,326,604,1496,40.37%,343,217,560
"Judge, County Criminal Court No. 15",0178,504,365,869,1765,49.24%,607,188,795
"Judge, County Criminal Court No. 15",0179,256,188,444,1575,28.19%,238,181,419
"Judge, County Criminal Court No. 15",0180,470,343,813,2834,28.69%,23,753,776
"Judge, County Criminal Court No. 15",0181,175,262,437,2061,21.20%,135,281,416
"Judge, County Criminal Court No. 15",0182,590,974,1564,3405,45.93%,981,437,1418
"Judge, County Criminal Court No. 15",0183,519,794,1313,2491,52.71%,889,323,1212
"Judge, County Criminal Court No. 15",0184,106,135,241,994,24.25%,79,138,217
"Judge, County Criminal Court No. 15",0185,283,292,575,1933,29.75%,203,348,551
"Judge, County Criminal Court No. 15",0186,97,106,203,798,25.44%,31,167,198
"Judge, County Criminal Court No. 15",0187,21,25,46,311,14.79%,12,33,45
"Judge, County Criminal Court No. 15",0188,153,146,299,1637,18.27%,140,149,289
"Judge, County Criminal Court No. 15",0189,239,360,599,1465,40.89%,318,232,550
"Judge, County Criminal Court No. 15",0190,120,177,297,1723,17.24%,123,160,283
"Judge, County Criminal Court No. 15",0191,79,126,205,1366,15.01%,79,118,197
"Judge, County Criminal Court No. 15",0192,380,225,605,1959,30.88%,25,561,586
"Judge, County Criminal Court No. 15",0193,173,187,360,1074,33.52%,10,337,347
"Judge, County Criminal Court No. 15",0194,350,431,781,1912,40.85%,250,483,733
"Judge, County Criminal Court No. 15",0195,269,278,547,1694,32.29%,20,511,531
"Judge, County Criminal Court No. 15",0196,52,32,84,316,26.58%,5,77,82
"Judge, County Criminal Court No. 15",0197,543,309,852,2914,29.24%,14,818,832
"Judge, County Criminal Court No. 15",0198,53,74,127,642,19.78%,3,122,125
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0199,812,661,1473,3216,45.80%,1156,250,1406
"Judge, County Criminal Court No. 15",0200,962,536,1498,3382,44.29%,698,679,1377
"Judge, County Criminal Court No. 15",0201,98,87,185,724,25.55%,6,174,180
"Judge, County Criminal Court No. 15",0202,217,189,406,1464,27.73%,19,378,397
"Judge, County Criminal Court No. 15",0203,107,68,175,960,18.23%,39,126,165
"Judge, County Criminal Court No. 15",0204,816,784,1600,3487,45.88%,896,579,1475
