Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0954,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0955,3,2,5,19,26.32%,4,1,5
"Judge, County Criminal Court No. 15",0956,2,4,6,11,54.55%,2,4,6
"Judge, County Criminal Court No. 15",0957,97,95,192,562,34.16%,23,168,191
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0958,81,129,210,1081,19.43%,53,151,204
"Judge, County Criminal Court No. 15",0959,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0960,196,157,353,976,36.17%,75,267,342
"Judge, County Criminal Court No. 15",0961,15,0,16,56,28.57%,0,16,16
"Judge, County Criminal Court No. 15",0962,10,17,27,88,30.68%,5,22,27
"Judge, County Criminal Court No. 15",0963,54,41,105,426,24.65%,57,42,99
"Judge, County Criminal Court No. 15",0964,568,437,1005,2372,42.37%,619,351,970
"Judge, County Criminal Court No. 15",0965,31,21,52,343,15.16%,27,24,51
"Judge, County Criminal Court No. 15",0966,129,83,212,1148,18.47%,74,134,208
"Judge, County Criminal Court No. 15",0967,15,48,63,165,38.18%,18,44,62
"Judge, County Criminal Court No. 15",0968,119,30,149,692,21.53%,31,114,145
"Judge, County Criminal Court No. 15",0969,156,73,229,604,37.91%,0,225,225
"Judge, County Criminal Court No. 15",0970,83,36,119,731,16.28%,16,98,114
"Judge, County Criminal Court No. 15",0971,11,8,19,147,12.93%,1,16,17
"Judge, County Criminal Court No. 15",0972,e,8,14,31,45.16%,13,0,13
"Judge, County Criminal Court No. 15",0973,24,19,43,111,38.74%,20,19,39
"Judge, County Criminal Court No. 15",0974,57,36,93,299,31.10%,59,33,92
"Judge, County Criminal Court No. 15",0975,55,30,85,193,44.04%,39,40,79
"Judge, County Criminal Court No. 15",0976,58,62,130,683,19.03%,88,39,127
"Judge, County Criminal Court No. 15",0977,50,43,93,572,16.26%,40,52,92
"Judge, County Criminal Court No. 15",0978,77,79,156,546,28.57%,29,124,153
"Judge, County Criminal Court No. 15",0979,2,6,8,27,29.63%,4,3,7
"Judge, County Criminal Court No. 15",0980,280,321,601,1389,43.27%,454,118,572
"Judge, County Criminal Court No. 15",0981,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0982,312,312,624,1567,39.82%,510,88,598
"Judge, County Criminal Court No. 15",0983,11,21,32,161,19.88%,20,10,30
"Judge, County Criminal Court No. 15",0984,18,9,27,192,14.06%,4,22,26
"Judge, County Criminal Court No. 15",0985,117,63,180,351,51.28%,97,71,168
"Judge, County Criminal Court No. 15",0986,43,30,73,463,15.77%,12,60,72
"Judge, County Criminal Court No. 15",0987,231,90,321,1155,27.79%,31,284,315
"Judge, County Criminal Court No. 15",0988,24,12,36,123,29.27%,33,3,36
"Judge, County Criminal Court No. 15",0989,e,6,12,43,27.91%,8,4,12
"Judge, County Criminal Court No. 15",0990,16,1,17,140,12.14%,9,7,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",0991,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 15",0992,157,107,264,1048,25.19%,149,104,253
"Judge, County Criminal Court No. 15",0993,169,101,270,568,47.54%,224,38,262
"Judge, County Criminal Court No. 15",0994,e,5,11,25,44.00%,2,9,11
"Judge, County Criminal Court No. 15",0995,295,156,451,1393,32.38%,29,410,439
"Judge, County Criminal Court No. 15",0996,135,140,275,694,39.63%,160,94,254
"Judge, County Criminal Court No. 15",0997,101,163,264,1656,15.94%,60,200,260
"Judge, County Criminal Court No. 15",0998,5,1,6,57,10.53%,3,3,6
"Judge, County Criminal Court No. 15",0999,17,10,27,68,39.71%,23,3,26
"Judge, County Criminal Court No. 15",1000,42,6,48,405,11.85%,13,34,47
"Judge, County Criminal Court No. 15",1001,228,136,364,1565,23.26%,94,252,346
"Judge, County Criminal Court No. 15",1002,170,139,309,1744,17.72%,56,236,292
"Judge, County Criminal Court No. 15",1003,1,0,1,0,0.00%,1,0,1
"Judge, County Criminal Court No. 15",1004,111,139,250,654,38.23%,124,101,225
"Judge, County Criminal Court No. 15",1005,0,8,8,0,0.00%,3,4,7
"Judge, County Criminal Court No. 15",1006,1,0,1,5,20.00%,1,0,1
"Judge, County Criminal Court No. 15",1007,208,188,396,1547,25.60%,88,291,379
"Judge, County Criminal Court No. 15",1008,32,12,44,151,29.14%,34,8,42
"Judge, County Criminal Court No. 15",1009,0,0,0,9,0.00%,0,0,0
"Judge, County Criminal Court No. 15",1010,59,35,94,459,20.48%,16,75,91
"Judge, County Criminal Court No. 15",1011,8,1,9,26,34.62%,5,3,8
"Judge, County Criminal Court No. 15",1012,134,201,335,1365,24.54%,103,225,328
"Judge, County Criminal Court No. 15",1013,0,6,6,58,10.34%,3,3,6
"Judge, County Criminal Court No. 15",1014,4,6,10,31,32.26%,1,9,10
"Judge, County Criminal Court No. 15",1015,5,4,9,25,36.00%,2,6,8
"Judge, County Criminal Court No. 15",1016,252,212,464,1691,27.44%,228,220,448
"Judge, County Criminal Court No. 15",1017,61,44,105,330,31.82%,32,71,103
"Judge, County Criminal Court No. 15",1018,93,64,157,494,31.78%,71,82,153
"Judge, County Criminal Court No. 15",1019,130,107,237,1456,16.28%,13,220,233
"Judge, County Criminal Court No. 15",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 15",1021,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 15",1022,97,79,176,441,39.91%,131,33,164
"Judge, County Criminal Court No. 15",1023,430,315,745,2026,36.77%,536,178,714
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",1024,55,61,116,249,46.59%,64,42,106
"Judge, County Criminal Court No. 15",1025,0,1,1,14,7.14%,1,0,1
"Judge, County Criminal Court No. 15",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",1027,1,0,1,8,12.50%,0,1,1
"Judge, County Criminal Court No. 15",1028,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",1029,537,719,1256,2927,42.91%,995,203,1198
"Judge, County Criminal Court No. 15",1030,231,151,382,785,48.66%,337,40,377
"Judge, County Criminal Court No. 15",1031,59,71,130,792,16.41%,35,87,122
"Judge, County Criminal Court No. 15",1032,31,25,56,244,22.95%,35,17,52
"Judge, County Criminal Court No. 15",1033,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",1034,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",1035,2,4,6,138,4.35%,1,4,5
"Judge, County Criminal Court No. 15",1036,65,24,89,449,19.82%,73,14,87
"Judge, County Criminal Court No. 15",1037,19,11,30,76,39.47%,17,10,27
"Judge, County Criminal Court No. 15",1038,62,6,68,327,20.80%,10,54,64
"Judge, County Criminal Court No. 15",1039,2,0,2,25,8.00%,0,2,2
"Judge, County Criminal Court No. 15",1040,91,66,157,771,20.36%,72,78,150
"Judge, County Criminal Court No. 15",1041,0,2,2,0,0.00%,1,1,2
"Judge, County Criminal Court No. 15",1042,105,67,172,521,33.01%,53,112,165
"Judge, County Criminal Court No. 15",1043,6,6,12,33,36.36%,4,8,12
"Judge, County Criminal Court No. 15",1044,16,6,22,55,40.00%,7,14,21
"Judge, County Criminal Court No. 15",1045,197,173,370,1788,20.69%,55,303,358
"Judge, County Criminal Court No. 15",1046,11,5,16,62,25.81%,1,15,16
"Judge, County Criminal Court No. 15",1047,255,186,441,1568,28.13%,163,265,428
"Judge, County Criminal Court No. 15",1048,1,0,1,17,5.88%,1,0,1
"Judge, County Criminal Court No. 15",1049,14,45,59,290,20.34%,20,37,57
"Judge, County Criminal Court No. 15",1050,60,63,123,537,22.91%,32,85,117
"Judge, County Criminal Court No. 15",1051,0,31,31,0,0.00%,18,11,29
"Judge, County Criminal Court No. 15",1052,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",1053,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",1054,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 15",1055,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",1056,4,2,6,8,75.00%,0,6,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jean Spradling Hughes,DEM Raul Rodriguez,Totals
"Judge, County Criminal Court No. 15",1057,7,9,16,118,13.56%,2,13,15
"Judge, County Criminal Court No. 15",1058,241,285,526,1243,42.32%,102,411,513
"Judge, County Criminal Court No. 15",1059,3,3,6,28,21.43%,1,5,6
"Judge, County Criminal Court No. 15",1060,5,2,7,42,16.67%,5,2,7
"Judge, County Criminal Court No. 15",1061,332,184,516,1716,30.07%,276,218,494
"Judge, County Criminal Court No. 15",1062,17,6,23,201,11.44%,4,16,20
"Judge, County Criminal Court No. 15",1063,66,59,125,857,14.59%,18,102,120
"Judge, County Criminal Court No. 15",1064,25,11,36,119,30.25%,30,6,36
"Judge, County Criminal Court No. 15",1065,1,0,1,28,3.57%,0,1,1
"Judge, County Criminal Court No. 15",1066,72,0,72,229,31.44%,3,65,68
"Judge, County Criminal Court No. 15",1067,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 15",1068,22,8,30,121,24.79%,12,17,29
"Judge, County Criminal Court No. 15",1069,434,256,690,2580,26.74%,318,326,644
"Judge, County Criminal Court No. 15",Totals:,378846,308736,687582,2044361,360974,293690,654664
