Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hale,DEM John Whitmire,LIB Gilberto VelasqueL Jr.,Totals
"State Senator, District 15",0967,15,48,63,165,38.18%,19,43,0,62
"State Senator, District 15",0968,119,30,149,692,21.53%,28,118,2,148
"State Senator, District 15",0972,6,8,14,31,45.16%,14,0,0,14
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hale,DEM John Whitmire,LIB Gilberto VelasqueL Jr.,Totals
"State Senator, District 15",0973,24,19,43,111,38.74%,17,23,0,40
"State Senator, District 15",0974,57,36,93,299,31.10%,55,35,3,93
"State Senator, District 15",0975,55,30,85,193,44.04%,35,48,0,83
"State Senator, District 15",0976,68,62,130,683,19.03%,83,42,4,129
"State Senator, District 15",0977,50,43,93,572,16.26%,39,52,2,93
"State Senator, District 15",0978,77,79,156,546,28.57%,27,121,5,153
"State Senator, District 15",0987,231,90,321,1155,27.79%,27,285,5,317
"State Senator, District 15",0989,5,6,12,43,27.91%,7,4,1,12
"State Senator, District 15",1003,1,0,1,0,0.00%,1,0,0,1
"State Senator, District 15",1004,111,139,250,654,38.23%,110,124,12,246
"State Senator, District 15",1007,208,188,396,1547,25.60%,82,289,14,385
"State Senator, District 15",1011,8,1,9,26,34.62%,3,5,0,8
"State Senator, District 15",1012,134,201,335,1365,24.54%,96,227,6,329
"State Senator, District 15",1013,0,6,6,58,10.34%,3,3,0,6
"State Senator, District 15",1014,4,6,10,31,32.26%,1,9,0,10
"State Senator, District 15",1015,5,4,9,25,36.00%,2,5,1,8
"State Senator, District 15",1024,55,61,116,249,46.59%,58,52,3,113
"State Senator, District 15",1027,1,0,1,8,12.50%,0,1,0,1
"State Senator, District 15",1033,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 15",1035,2,4,6,138,4.35%,2,4,0,6
"State Senator, District 15",1038,62,6,68,327,20.80%,9,57,0,66
"State Senator, District 15",1042,105,67,172,521,33.01%,50,115,5,170
"State Senator, District 15",1043,6,6,12,33,36.36%,4,8,0,12
"State Senator, District 15",1044,16,6,22,55,40.00%,7,15,0,22
"State Senator, District 15",1045,197,173,370,1788,20.69%,50,301,5,356
"State Senator, District 15",1047,255,186,441,1568,28.13%,153,274,11,438
"State Senator, District 15",1051,0,31,31,0,0.00%,16,14,1,31
"State Senator, District 15",1063,66,59,125,857,14.59%,17,102,2,121
"State Senator, District 15",1064,25,11,36,119,30.25%,27,9,0,36
"State Senator, District 15",1066,72,0,72,229,31.44%,2,67,2,71
"State Senator, District 15",Totals:,69160,59100,128260,391902,,48249,74192,2947,125388
