Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0422,731,402,1133,3345,33.87%,84,136,220
County Judge,0423,108,120,228,1376,16.57%,94,31,125
County Judge,0424,240,111,351,967,36.30%,244,45,289
County Judge,0425,107,123,230,883,26.05%,96,42,138
County Judge,0426,260,183,443,1218,36.37%,293,40,333
County Judge,0427,179,134,313,1092,28.66%,159,33,192
County Judge,0428,619,421,1040,4538,22.92%,392,132,524
County Judge,0429,445,314,759,3197,23.74%,260,120,380
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0430,161,133,294,1657,17.74%,120,61,181
County Judge,0431,327,84,411,3417,12.03%,173,75,248
County Judge,0432,123,157,280,1455,19.24%,131,65,196
County Judge,0433,50,63,113,581,19.45%,32,26,58
County Judge,0434,370,289,659,1503,43.85%,479,67,546
County Judge,0435,855,636,1491,3252,45.85%,1071,159,1230
County Judge,0436,629,531,1160,2933,39.55%,825,129,954
County Judge,0437,521,512,1033,2033,50.81%,800,78,878
County Judge,0438,517,389,1006,1861,54.06%,833,69,902
County Judge,0439,710,884,1594,3554,44.85%,1266,127,1393
County Judge,0440,664,858,1522,2930,51.95%,1290,71,1361
County Judge,0441,345,420,765,1669,45.84%,637,47,684
County Judge,0442,612,574,1186,2575,46.06%,1016,75,1091
County Judge,0443,226,138,364,646,56.35%,288,31,319
County Judge,0444,587,583,1270,3262,38.93%,909,127,1036
County Judge,0445,499,348,847,2026,41.81%,642,68,710
County Judge,0446,31,22,53,291,18.21%,31,6,37
