Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0252,504,312,816,2377,34.33%,18,778,796
"Judge, County Probate Court No. 1",0253,379,222,601,2177,27.61%,15,569,584
"Judge, County Probate Court No. 1",0254,93,112,205,1550,13.23%,66,128,194
"Judge, County Probate Court No. 1",0255,525,648,1173,2482,47.26%,557,524,1081
"Judge, County Probate Court No. 1",0256,575,449,1024,3254,31.47%,496,464,960
"Judge, County Probate Court No. 1",0257,204,245,449,2523,17.80%,136,292,428
"Judge, County Probate Court No. 1",0258,839,800,1539,3322,49.34%,1214,314,1528
"Judge, County Probate Court No. 1",0259,555,382,1038,2361,43.96%,27,980,1007
"Judge, County Probate Court No. 1",0260,152,145,307,1260,24.37%,175,111,286
"Judge, County Probate Court No. 1",0261,124,120,244,1417,17.22%,102,132,234
"Judge, County Probate Court No. 1",0262,758,600,1358,4397,30.88%,856,415,1271
"Judge, County Probate Court No. 1",0263,858,712,1570,3693,42.51%,1202,305,1507
"Judge, County Probate Court No. 1",0264,480,457,937,2963,31.62%,585,292,877
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0265,988,759,1747,3584,48.74%,1341,280,1621
"Judge, County Probate Court No. 1",0266,259,257,516,2104,24.52%,264,222,486
"Judge, County Probate Court No. 1",0267,146,166,312,1327,23.51%,161,127,288
"Judge, County Probate Court No. 1",0268,435,717,1152,2493,46.21%,674,350,1024
"Judge, County Probate Court No. 1",0269,702,453,1155,2030,56.90%,930,160,1090
"Judge, County Probate Court No. 1",0270,817,672,1489,3605,41.30%,826,571,1397
"Judge, County Probate Court No. 1",0271,656,382,1038,2518,41.22%,30,992,1022
"Judge, County Probate Court No. 1",0272,264,292,555,2162,25.72%,225,305,530
"Judge, County Probate Court No. 1",0273,548,689,1237,2470,50.08%,1011,165,1176
"Judge, County Probate Court No. 1",0274,588,346,934,2153,43.38%,639,225,864
"Judge, County Probate Court No. 1",0275,207,236,443,1850,23.95%,108,320,428
"Judge, County Probate Court No. 1",0276,572,231,803,2536,31.66%,9,776,785
"Judge, County Probate Court No. 1",0277,170,186,356,1492,23.86%,165,172,337
"Judge, County Probate Court No. 1",0278,421,320,741,2454,30.20%,427,281,708
"Judge, County Probate Court No. 1",0279,250,223,473,1941,24.37%,280,172,452
"Judge, County Probate Court No. 1",0280,130,188,318,1524,20.87%,138,160,298
"Judge, County Probate Court No. 1",0281,655,742,1397,2633,53.06%,698,555,1253
"Judge, County Probate Court No. 1",0282,314,455,769,2042,37.66%,506,215,721
"Judge, County Probate Court No. 1",0283,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0284,574,335,910,3172,28.69%,430,437,867
"Judge, County Probate Court No. 1",0285,448,378,826,2540,32.52%,79,718,797
"Judge, County Probate Court No. 1",0286,1255,821,2076,6170,33.65%,203,1796,1999
"Judge, County Probate Court No. 1",0287,370,477,847,1621,52.25%,410,381,791
"Judge, County Probate Court No. 1",0288,532,313,845,2210,38.24%,19,810,829
"Judge, County Probate Court No. 1",0289,186,212,398,1564,25.45%,207,167,374
"Judge, County Probate Court No. 1",0290,245,298,543,1642,33.07%,415,110,525
"Judge, County Probate Court No. 1",0291,325,235,560,1225,45.71%,288,233,521
"Judge, County Probate Court No. 1",0292,207,147,354,1356,26.11%,44,298,342
"Judge, County Probate Court No. 1",0293,356,447,803,1759,45.65%,378,368,746
"Judge, County Probate Court No. 1",0294,488,221,709,2097,33.81%,8,686,694
"Judge, County Probate Court No. 1",0295,148,103,251,885,28.36%,7,238,245
"Judge, County Probate Court No. 1",0296,327,340,667,1713,38.94%,388,223,611
"Judge, County Probate Court No. 1",0297,280,249,529,2012,26.29%,236,256,492
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0298,415,358,773,2121,36.45%,454,263,717
"Judge, County Probate Court No. 1",0299,178,117,295,1353,21.80%,117,152,269
"Judge, County Probate Court No. 1",0300,1,1389,1015,2405,5406,44.49%,1914,389,2303
"Judge, County Probate Court No. 1",0301,210,255,465,2352,19.77%,195,244,439
"Judge, County Probate Court No. 1",0302,353,343,696,2720,25.59%,412,258,670
"Judge, County Probate Court No. 1",0303,922,784,1706,3245,52.57%,1376,237,1613
"Judge, County Probate Court No. 1",0304,606,505,1111,2298,48.35%,628,389,1017
"Judge, County Probate Court No. 1",0305,524,432,956,4191,22.81%,408,518,926
"Judge, County Probate Court No. 1",0306,549,342,991,1879,52.74%,727,203,930
"Judge, County Probate Court No. 1",0307,733,670,1403,3099,45.27%,956,351,1307
"Judge, County Probate Court No. 1",0308,199,130,329,1296,25.39%,118,198,316
"Judge, County Probate Court No. 1",0309,708,593,1301,2524,51.55%,1034,184,1218
"Judge, County Probate Court No. 1",0310,386,279,665,1435,46.34%,459,161,620
"Judge, County Probate Court No. 1",0311,486,421,907,2986,30.38%,502,339,841
"Judge, County Probate Court No. 1",0312,742,457,1199,3636,32.98%,794,350,1144
"Judge, County Probate Court No. 1",0313,9,0,9,62,14.52%,7,1,8
"Judge, County Probate Court No. 1",0314,1121,913,2034,5647,36.02%,1291,672,1963
"Judge, County Probate Court No. 1",0315,478,388,866,1608,53.86%,516,285,801
"Judge, County Probate Court No. 1",0316,412,341,753,1537,48.99%,427,270,697
"Judge, County Probate Court No. 1",0317,248,209,457,1588,28.78%,151,281,432
"Judge, County Probate Court No. 1",0318,834,568,1402,3660,38.31%,79,1275,1354
"Judge, County Probate Court No. 1",0319,512,230,742,2158,34.38%,46,672,718
"Judge, County Probate Court No. 1",0320,234,168,402,1537,26.15%,206,175,381
"Judge, County Probate Court No. 1",0321,262,191,453,2346,19.31%,175,252,427
"Judge, County Probate Court No. 1",0322,181,129,310,1226,25.29%,105,193,298
"Judge, County Probate Court No. 1",0323,278,211,489,1722,28.40%,242,217,459
"Judge, County Probate Court No. 1",0324,532,646,1178,2336,50.43%,727,352,1079
"Judge, County Probate Court No. 1",0325,289,193,482,2112,22.82%,110,349,459
"Judge, County Probate Court No. 1",0326,87,74,161,698,23.07%,83,70,153
