Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0991,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 1",0992,157,107,264,1048,25.19%,147,105,252
"Judge, County Probate Court No. 1",0993,169,101,270,568,47.54%,223,38,261
"Judge, County Probate Court No. 1",0994,e,5,11,25,44.00%,2,9,11
"Judge, County Probate Court No. 1",0995,295,156,451,1393,32.38%,29,411,440
"Judge, County Probate Court No. 1",0996,135,140,275,694,39.63%,159,95,254
"Judge, County Probate Court No. 1",0997,101,163,264,1656,15.94%,57,203,260
"Judge, County Probate Court No. 1",0998,5,1,6,57,10.53%,3,3,6
"Judge, County Probate Court No. 1",0999,17,10,27,68,39.71%,23,3,26
"Judge, County Probate Court No. 1",1000,42,6,48,405,11.85%,12,35,47
"Judge, County Probate Court No. 1",1001,228,136,364,1565,23.26%,93,253,346
"Judge, County Probate Court No. 1",1002,170,139,309,1744,17.72%,57,236,293
"Judge, County Probate Court No. 1",1003,1,0,1,0,0.00%,1,0,1
"Judge, County Probate Court No. 1",1004,111,139,250,654,38.23%,123,101,224
"Judge, County Probate Court No. 1",1005,0,8,8,0,0.00%,3,3,6
"Judge, County Probate Court No. 1",1006,1,0,1,5,20.00%,1,0,1
"Judge, County Probate Court No. 1",1007,208,188,396,1547,25.60%,98,281,379
"Judge, County Probate Court No. 1",1008,32,12,44,151,29.14%,33,9,42
"Judge, County Probate Court No. 1",1009,0,0,0,9,0.00%,0,0,0
"Judge, County Probate Court No. 1",1010,59,35,94,459,20.48%,17,75,92
"Judge, County Probate Court No. 1",1011,8,1,9,26,34.62%,5,3,8
"Judge, County Probate Court No. 1",1012,134,201,335,1365,24.54%,105,223,328
"Judge, County Probate Court No. 1",1013,0,6,6,58,10.34%,2,3,5
"Judge, County Probate Court No. 1",1014,4,6,10,31,32.26%,1,9,10
"Judge, County Probate Court No. 1",1015,5,4,9,25,36.00%,3,5,8
"Judge, County Probate Court No. 1",1016,252,212,464,1691,27.44%,231,216,447
"Judge, County Probate Court No. 1",1017,61,44,105,330,31.82%,32,71,103
"Judge, County Probate Court No. 1",1018,93,64,157,494,31.78%,73,80,153
"Judge, County Probate Court No. 1",1019,130,107,237,1456,16.28%,12,221,233
"Judge, County Probate Court No. 1",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 1",1021,0,0,0,2,0.00%,0,0,0
"Judge, County Probate Court No. 1",1022,97,79,176,441,39.91%,131,33,164
"Judge, County Probate Court No. 1",1023,430,315,745,2026,36.77%,527,187,714
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",1024,55,61,116,249,46.59%,64,43,107
"Judge, County Probate Court No. 1",1025,0,1,1,14,7.14%,1,0,1
"Judge, County Probate Court No. 1",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",1027,1,0,1,8,12.50%,1,0,1
"Judge, County Probate Court No. 1",1028,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",1029,537,719,1256,2927,42.91%,988,212,1200
"Judge, County Probate Court No. 1",1030,231,151,382,785,48.66%,335,41,376
"Judge, County Probate Court No. 1",1031,59,71,130,792,16.41%,35,87,122
"Judge, County Probate Court No. 1",1032,31,25,56,244,22.95%,33,19,52
"Judge, County Probate Court No. 1",1033,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",1034,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",1035,2,4,6,138,4.35%,1,4,5
"Judge, County Probate Court No. 1",1036,65,24,89,449,19.82%,74,13,87
"Judge, County Probate Court No. 1",1037,19,11,30,76,39.47%,17,9,26
"Judge, County Probate Court No. 1",1038,62,6,68,327,20.80%,10,54,64
"Judge, County Probate Court No. 1",1039,2,0,2,25,8.00%,0,2,2
"Judge, County Probate Court No. 1",1040,91,66,157,771,20.36%,72,78,150
"Judge, County Probate Court No. 1",1041,0,2,2,0,0.00%,1,1,2
"Judge, County Probate Court No. 1",1042,105,67,172,521,33.01%,52,112,164
"Judge, County Probate Court No. 1",1043,5,6,12,33,36.36%,4,8,12
"Judge, County Probate Court No. 1",1044,16,6,22,55,40.00%,8,13,21
"Judge, County Probate Court No. 1",1045,197,173,370,1788,20.69%,53,304,357
"Judge, County Probate Court No. 1",1046,11,5,16,62,25.81%,1,15,16
"Judge, County Probate Court No. 1",1047,255,186,441,1568,28.13%,159,269,428
"Judge, County Probate Court No. 1",1048,1,0,1,17,5.88%,1,0,1
"Judge, County Probate Court No. 1",1049,14,45,59,290,20.34%,21,35,56
"Judge, County Probate Court No. 1",1050,60,63,123,537,22.91%,32,86,118
"Judge, County Probate Court No. 1",1051,0,31,31,0,0.00%,19,10,29
"Judge, County Probate Court No. 1",1052,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",1053,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",1054,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 1",1055,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",1056,4,2,6,8,75.00%,0,6,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",1057,7,9,16,118,13.56%,2,13,15
"Judge, County Probate Court No. 1",1058,241,285,526,1243,42.32%,105,408,513
"Judge, County Probate Court No. 1",1059,3,3,6,28,21.43%,1,5,6
"Judge, County Probate Court No. 1",1060,5,2,7,42,16.67%,5,2,7
"Judge, County Probate Court No. 1",1061,332,184,516,1716,30.07%,279,217,496
"Judge, County Probate Court No. 1",1062,17,6,23,201,11.44%,3,17,20
"Judge, County Probate Court No. 1",1063,66,59,125,857,14.59%,19,102,121
"Judge, County Probate Court No. 1",1064,25,11,36,119,30.25%,28,8,36
"Judge, County Probate Court No. 1",1065,1,0,1,28,3.57%,0,1,1
"Judge, County Probate Court No. 1",1066,72,0,72,229,31.44%,3,65,68
"Judge, County Probate Court No. 1",1067,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",1068,22,8,30,121,24.79%,13,16,29
"Judge, County Probate Court No. 1",1069,434,256,690,2580,26.74%,313,331,644
"Judge, County Probate Court No. 1",Totals:,378846,308736,687582,2044361,,361128,293341,654469
