Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0180,470,343,813,2834,28.69%,24,753,777
"District Judge, 180th Judicial District",0181,175,262,437,2061,21.20%,139,275,414
"District Judge, 180th Judicial District",0182,590,974,1564,3405,45.93%,996,443,1439
"District Judge, 180th Judicial District",0183,519,794,1313,2491,52.71%,895,333,1228
"District Judge, 180th Judicial District",0184,106,135,241,994,24.25%,87,134,221
"District Judge, 180th Judicial District",0185,283,292,575,1933,29.75%,213,338,551
"District Judge, 180th Judicial District",0186,97,106,203,798,25.44%,37,162,199
"District Judge, 180th Judicial District",0187,21,25,46,311,14.79%,15,31,46
"District Judge, 180th Judicial District",0188,153,146,299,1637,18.27%,142,144,286
"District Judge, 180th Judicial District",0189,239,360,599,1465,40.89%,321,234,555
"District Judge, 180th Judicial District",0190,120,177,297,1723,17.24%,127,157,284
"District Judge, 180th Judicial District",0191,79,126,205,1366,15.01%,92,106,198
"District Judge, 180th Judicial District",0192,380,225,605,1959,30.88%,30,562,592
"District Judge, 180th Judicial District",0193,173,187,360,1074,33.52%,10,335,345
"District Judge, 180th Judicial District",0194,350,431,781,1912,40.85%,262,485,747
"District Judge, 180th Judicial District",0195,269,278,547,1694,32.29%,23,510,533
"District Judge, 180th Judicial District",0196,52,32,84,316,26.58%,7,75,82
"District Judge, 180th Judicial District",0197,543,309,852,2914,29.24%,16,819,835
"District Judge, 180th Judicial District",0198,53,74,127,642,19.78%,3,122,125
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0199,812,661,1473,3216,45.80%,1166,246,1412
"District Judge, 180th Judicial District",0200,962,536,1498,3382,44.29%,700,699,1399
"District Judge, 180th Judicial District",0201,98,87,185,724,25.55%,3,178,181
"District Judge, 180th Judicial District",0202,217,189,406,1464,27.73%,19,380,399
"District Judge, 180th Judicial District",0203,107,68,175,960,18.23%,45,121,166
"District Judge, 180th Judicial District",0204,816,784,1600,3487,45.88%,917,572,1489
"District Judge, 180th Judicial District",0205,464,171,635,1664,38.16%,18,606,624
"District Judge, 180th Judicial District",0206,362,462,824,2779,29.65%,250,527,777
"District Judge, 180th Judicial District",0207,265,261,526,1188,44.28%,183,312,495
"District Judge, 180th Judicial District",0208,322,262,584,2195,26.61%,186,371,557
"District Judge, 180th Judicial District",0209,0,2,2,0,0.00%,2,0,2
"District Judge, 180th Judicial District",0210,502,467,969,2533,38.26%,116,821,937
"District Judge, 180th Judicial District",0211,307,386,693,2914,23.78%,277,386,663
