Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Devlin,DEM Tracy D. Good,Totals
"Family District Judge, 313th Judicial District",0181,175,262,437,2061,21.20%,139,277,416
"Family District Judge, 313th Judicial District",0182,590,974,1564,3405,45.93%,926,497,1423
"Family District Judge, 313th Judicial District",0183,519,794,1313,2491,52.71%,838,377,1215
"Family District Judge, 313th Judicial District",0184,106,135,241,994,24.25%,85,134,219
"Family District Judge, 313th Judicial District",0185,283,292,575,1933,29.75%,205,341,546
"Family District Judge, 313th Judicial District",0186,97,106,203,798,25.44%,36,160,196
"Family District Judge, 313th Judicial District",0187,21,25,46,311,14.79%,15,28,43
"Family District Judge, 313th Judicial District",0188,153,146,299,1637,18.27%,139,147,286
"Family District Judge, 313th Judicial District",0189,239,360,599,1465,40.89%,311,244,555
"Family District Judge, 313th Judicial District",0190,120,177,297,1723,17.24%,128,157,285
"Family District Judge, 313th Judicial District",0191,79,126,205,1366,15.01%,88,110,198
"Family District Judge, 313th Judicial District",0192,380,225,605,1959,30.88%,27,561,588
"Family District Judge, 313th Judicial District",0193,173,187,360,1074,33.52%,8,340,348
"Family District Judge, 313th Judicial District",0194,350,431,781,1912,40.85%,243,496,739
"Family District Judge, 313th Judicial District",0195,269,278,547,1694,32.29%,19,513,532
"Family District Judge, 313th Judicial District",0196,52,32,84,316,26.58%,5,75,80
"Family District Judge, 313th Judicial District",0197,543,309,852,2914,29.24%,15,822,837
"Family District Judge, 313th Judicial District",0198,53,74,127,642,19.78%,2,123,125
"Family District Judge, 313th Judicial District",0199,812,661,1473,3216,45.80%,1143,267,1410
"Family District Judge, 313th Judicial District",0200,962,536,1498,3382,44.29%,664,718,1382
"Family District Judge, 313th Judicial District",0201,98,87,185,724,25.55%,3,178,181
"Family District Judge, 313th Judicial District",0202,217,189,406,1464,27.73%,12,386,398
"Family District Judge, 313th Judicial District",0203,107,68,175,960,18.23%,36,128,164
"Family District Judge, 313th Judicial District",0204,816,784,1600,3487,45.88%,881,597,1478
"Family District Judge, 313th Judicial District",0205,464,171,635,1664,38.16%,10,617,627
"Family District Judge, 313th Judicial District",0206,362,462,824,2779,29.65%,240,532,772
"Family District Judge, 313th Judicial District",0207,265,261,526,1188,44.28%,172,323,495
"Family District Judge, 313th Judicial District",0208,322,262,584,2195,26.61%,170,385,555
"Family District Judge, 313th Judicial District",0209,0,2,2,0,0.00%,2,0,2
"Family District Judge, 313th Judicial District",0210,502,467,969,2533,38.26%,101,841,942
"Family District Judge, 313th Judicial District",0211,307,386,693,2914,23.78%,262,394,656
"Family District Judge, 313th Judicial District",0212,96,155,251,1300,19.31%,56,186,242
"Family District Judge, 313th Judicial District",0213,826,913,1739,3350,51.91%,1351,260,1611
"Family District Judge, 313th Judicial District",0214,404,491,895,1854,48.27%,562,274,836
"Family District Judge, 313th Judicial District",0215,421,711,1132,2258,50.13%,667,376,1043
"Family District Judge, 313th Judicial District",0216,362,223,585,1945,30.08%,36,535,571
"Family District Judge, 313th Judicial District",0217,844,631,1475,2678,55.08%,924,424,1348
"Family District Judge, 313th Judicial District",0218,391,402,793,2292,34.60%,242,486,728
"Family District Judge, 313th Judicial District",0219,496,436,932,2767,33.68%,47,845,892
"Family District Judge, 313th Judicial District",0220,325,187,512,2310,22.16%,367,128,495
"Family District Judge, 313th Judicial District",0221,332,369,701,2529,27.72%,296,370,666
"Family District Judge, 313th Judicial District",0222,623,674,1297,2501,51.86%,612,574,1186
"Family District Judge, 313th Judicial District",0223,563,377,940,3582,26.24%,256,627,883
"Family District Judge, 313th Judicial District",0224,530,456,986,2238,44.06%,466,444,910
"Family District Judge, 313th Judicial District",0225,376,405,781,3305,23.63%,388,359,747
"Family District Judge, 313th Judicial District",0226,227,307,534,2436,21.92%,128,380,508
"Family District Judge, 313th Judicial District",0227,558,423,981,1785,54.96%,712,169,881
"Family District Judge, 313th Judicial District",0228,362,195,557,1050,53.05%,23,515,538
"Family District Judge, 313th Judicial District",0229,31,96,127,815,15.58%,59,58,117
"Family District Judge, 313th Judicial District",0230,185,116,301,1089,27.64%,6,287,293
"Family District Judge, 313th Judicial District",0231,233,264,497,2232,22.27%,122,348,470
"Family District Judge, 313th Judicial District",0232,351,474,835,1760,47.44%,466,310,776
"Family District Judge, 313th Judicial District",0233,890,801,1691,4445,38.04%,807,744,1551
"Family District Judge, 313th Judicial District",0234,1192,913,2105,3993,52.72%,1577,372,1949
"Family District Judge, 313th Judicial District",0235,240,158,398,1356,29.35%,12,375,387
"Family District Judge, 313th Judicial District",0236,354,235,589,2079,28.33%,13,559,572
"Family District Judge, 313th Judicial District",0237,416,253,669,2161,30.96%,10,644,654
"Family District Judge, 313th Judicial District",0238,339,245,584,1925,30.34%,15,554,569
"Family District Judge, 313th Judicial District",0239,383,236,619,1964,31.52%,20,587,607
"Family District Judge, 313th Judicial District",0240,585,243,828,2649,31.26%,24,788,812
"Family District Judge, 313th Judicial District",0241,222,229,451,2372,19.01%,185,241,426
"Family District Judge, 313th Judicial District",0242,173,162,335,1596,20.99%,194,126,320
"Family District Judge, 313th Judicial District",0243,138,43,181,457,39.61%,2,177,179
"Family District Judge, 313th Judicial District",0244,480,425,905,311,7,29.03%,495,368,863
"Family District Judge, 313th Judicial District",0245,945,799,1745,5828,29.94%,1219,487,1706
"Family District Judge, 313th Judicial District",0246,584,513,1197,3315,36.11%,853,301,1154
"Family District Judge, 313th Judicial District",0247,173,254,427,1582,26.99%,15,406,421
"Family District Judge, 313th Judicial District",0248,161,167,328,2100,15.62%,91,222,313
"Family District Judge, 313th Judicial District",0249,461,348,809,2719,29.75%,565,217,782
"Family District Judge, 313th Judicial District",0250,109,164,273,964,28.32%,7,262,269
"Family District Judge, 313th Judicial District",0251,278,436,714,2089,34.18%,27,673,700
"Family District Judge, 313th Judicial District",0252,504,312,816,2377,34.33%,13,785,798
"Family District Judge, 313th Judicial District",0253,379,222,601,2177,27.61%,9,579,588
"Family District Judge, 313th Judicial District",0254,93,112,205,1550,13.23%,65,130,195
"Family District Judge, 313th Judicial District",0255,525,648,1173,2482,47.26%,544,538,1082
"Family District Judge, 313th Judicial District",0256,575,449,1024,3254,31.47%,489,476,965
"Family District Judge, 313th Judicial District",0257,204,245,449,2523,17.80%,134,291,425
"Family District Judge, 313th Judicial District",0258,839,800,1539,3322,49.34%,1195,330,1525
"Family District Judge, 313th Judicial District",0259,555,382,1038,2361,43.96%,23,984,1007
"Family District Judge, 313th Judicial District",0260,152,145,307,1260,24.37%,178,109,287
"Family District Judge, 313th Judicial District",0261,124,120,244,1417,17.22%,105,130,235
"Family District Judge, 313th Judicial District",0262,758,600,1358,4397,30.88%,840,436,1276
"Family District Judge, 313th Judicial District",0263,858,712,1570,3693,42.51%,1199,314,1513
"Family District Judge, 313th Judicial District",0264,480,457,937,2963,31.62%,571,307,878
"Family District Judge, 313th Judicial District",0265,988,759,1747,3584,48.74%,1320,307,1627
"Family District Judge, 313th Judicial District",0266,259,257,516,2104,24.52%,257,228,485
"Family District Judge, 313th Judicial District",0267,146,166,312,1327,23.51%,163,130,293
"Family District Judge, 313th Judicial District",0268,435,717,1152,2493,46.21%,647,379,1026
"Family District Judge, 313th Judicial District",0269,702,453,1155,2030,56.90%,900,182,1082
"Family District Judge, 313th Judicial District",0270,817,672,1489,3605,41.30%,818,583,1401
"Family District Judge, 313th Judicial District",0271,656,382,1038,2518,41.22%,22,1000,1022
"Family District Judge, 313th Judicial District",0272,264,292,555,2162,25.72%,215,316,531
"Family District Judge, 313th Judicial District",0273,548,689,1237,2470,50.08%,1000,173,1173
"Family District Judge, 313th Judicial District",0274,588,346,934,2153,43.38%,624,240,864
"Family District Judge, 313th Judicial District",0275,207,236,443,1850,23.95%,105,320,425
"Family District Judge, 313th Judicial District",0276,572,231,803,2536,31.66%,7,779,786
"Family District Judge, 313th Judicial District",0277,170,186,356,1492,23.86%,164,174,338
"Family District Judge, 313th Judicial District",0278,421,320,741,2454,30.20%,414,296,710
"Family District Judge, 313th Judicial District",0279,250,223,473,1941,24.37%,280,170,450
