Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,1013,0,6,6,58,10.34%,2,3,1,0,6
Lieutenant Governor,1014,4,6,10,31,32.26%,1,9,0,0,10
Lieutenant Governor,1015,5,4,9,25,36.00%,3,6,0,0,9
Lieutenant Governor,1016,252,212,464,1691,27.44%,225,218,12,4,459
Lieutenant Governor,1017,61,44,105,330,31.82%,28,74,2,0,104
Lieutenant Governor,1018,93,64,157,494,31.78%,69,85,1,0,155
Lieutenant Governor,1019,130,107,237,1456,16.28%,12,218,2,3,235
Lieutenant Governor,1020,0,0,0,1,0.00%,0,0,0,0,0
Lieutenant Governor,1021,0,0,0,2,0.00%,0,0,0,0,0
Lieutenant Governor,1022,97,79,176,441,39.91%,135,35,3,0,173
Lieutenant Governor,1023,430,315,745,2026,36.77%,517,200,19,4,740
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,1024,55,61,116,249,46.59%,59,51,3,2,115
Lieutenant Governor,1025,0,1,1,14,7.14%,1,0,0,0,1
Lieutenant Governor,1026,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,1027,1,0,1,8,12.50%,1,0,0,0,1
Lieutenant Governor,1028,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,1029,538,719,1257,2927,42.94%,961,257,21,6,1245
Lieutenant Governor,1030,231,151,382,785,48.66%,324,46,10,1,381
Lieutenant Governor,1031,59,71,130,792,16.41%,31,87,3,1,122
Lieutenant Governor,1032,31,25,56,244,22.95%,38,17,0,0,55
Lieutenant Governor,1033,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,1034,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,1035,2,4,6,138,4.35%,2,4,0,0,6
Lieutenant Governor,1036,55,24,89,449,19.82%,69,19,0,0,88
Lieutenant Governor,1037,19,11,30,76,39.47%,17,11,1,0,29
Lieutenant Governor,1038,52,6,68,327,20.80%,9,59,0,0,68
Lieutenant Governor,1039,2,0,2,25,8.00%,0,2,0,0,2
Lieutenant Governor,1040,91,66,157,771,20.36%,69,80,7,1,157
Lieutenant Governor,1041,0,2,2,0,0.00%,0,2,0,0,2
Lieutenant Governor,1042,105,67,172,521,33.01%,56,107,4,3,170
Lieutenant Governor,1043,6,e,12,33,36.36%,4,8,0,0,12
Lieutenant Governor,1044,15,6,22,55,40.00%,6,15,1,0,22
Lieutenant Governor,1045,197,173,370,1788,20.69%,53,304,4,2,363
Lieutenant Governor,1046,11,5,16,62,25.81%,1,15,0,0,16
Lieutenant Governor,1047,255,186,441,1568,28.13%,165,261,11,2,439
Lieutenant Governor,1048,1,0,1,17,5.88%,1,0,0,0,1
Lieutenant Governor,1049,14,45,59,290,20.34%,15,38,1,1,55
Lieutenant Governor,1050,60,63,123,537,22.91%,35,83,0,0,118
Lieutenant Governor,1051,0,31,31,0,0.00%,16,14,0,0,30
Lieutenant Governor,1052,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,1053,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,1054,0,0,0,1,0.00%,0,0,0,0,0
Lieutenant Governor,1055,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,1056,4,2,6,8,75.00%,0,6,0,0,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,1057,7,9,16,118,13.56%,3,11,0,0,14
Lieutenant Governor,1058,241,285,526,1243,42.32%,99,414,4,4,521
Lieutenant Governor,1059,3,3,6,28,21.43%,1,5,0,0,6
Lieutenant Governor,1060,5,2,7,42,16.67%,5,2,0,0,7
Lieutenant Governor,1061,332,184,516,1716,30.07%,266,230,12,1,509
Lieutenant Governor,1062,17,6,23,201,11.44%,5,16,1,1,23
Lieutenant Governor,1063,66,59,125,857,14.59%,18,103,1,0,122
Lieutenant Governor,1064,25,11,36,119,30.25%,26,10,0,0,36
Lieutenant Governor,1065,1,0,1,28,3.57%,0,1,0,0,1
Lieutenant Governor,1066,72,0,72,229,31.44%,4,66,1,0,71
Lieutenant Governor,1067,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,1068,22,8,30,121,24.79%,12,17,0,0,29
Lieutenant Governor,1069,434,256,690,2580,26.74%,299,348,11,11,669
Lieutenant Governor,Totals:,379077,308736,687813,2044361,340808,317241,14791,4356,677196
