Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Williams,Totals
"Justice of the Peace, Precinct 5, Place 2",0938,30,14,44,231,19.05%,17,17
"Justice of the Peace, Precinct 5, Place 2",0939,0,0,0,2,0.00%,0,0
"Justice of the Peace, Precinct 5, Place 2",0941,9,10,19,25,76.00%,18,18
"Justice of the Peace, Precinct 5, Place 2",0942,53,27,80,156,51.28%,71,71
"Justice of the Peace, Precinct 5, Place 2",0943,164,80,244,547,44.61%,168,168
"Justice of the Peace, Precinct 5, Place 2",0944,20,4,24,45,53.33%,18,18
"Justice of the Peace, Precinct 5, Place 2",0951,33,30,63,277,22.74%,22,22
"Justice of the Peace, Precinct 5, Place 2",0952,15,15,31,71,43.66%,20,20
"Justice of the Peace, Precinct 5, Place 2",0955,3,2,5,19,26.32%,4,4
"Justice of the Peace, Precinct 5, Place 2",0971,11,8,19,147,12.93%,5,5
"Justice of the Peace, Precinct 5, Place 2",0972,6,8,14,31,45.16%,13,13
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Williams,Totals
"Justice of the Peace, Precinct 5, Place 2",0981,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 5, Place 2",0984,18,9,27,192,14.06%,6,6
"Justice of the Peace, Precinct 5, Place 2",0985,117,63,180,351,51.28%,108,108
"Justice of the Peace, Precinct 5, Place 2",0986,43,30,73,463,15.77%,17,17
"Justice of the Peace, Precinct 5, Place 2",0990,16,1,17,140,12.14%,10,10
"Justice of the Peace, Precinct 5, Place 2",0991,0,0,0,1,0.00%,0,0
"Justice of the Peace, Precinct 5, Place 2",0992,157,107,264,1048,25.19%,155,155
"Justice of the Peace, Precinct 5, Place 2",0993,169,101,270,568,47.54%,225,225
"Justice of the Peace, Precinct 5, Place 2",1000,42,6,48,405,11.85%,17,17
"Justice of the Peace, Precinct 5, Place 2",1001,228,136,364,1565,23.26%,123,123
"Justice of the Peace, Precinct 5, Place 2",1002,170,139,309,1744,17.72%,83,83
"Justice of the Peace, Precinct 5, Place 2",1005,0,8,8,0,0.00%,5,5
"Justice of the Peace, Precinct 5, Place 2",1006,1,0,1,5,20.00%,1,1
"Justice of the Peace, Precinct 5, Place 2",1016,252,212,464,1691,27.44%,268,268
"Justice of the Peace, Precinct 5, Place 2",1023,430,315,745,2026,36.77%,565,565
"Justice of the Peace, Precinct 5, Place 2",1031,59,71,130,792,16.41%,43,43
"Justice of the Peace, Precinct 5, Place 2",1054,0,0,0,1,0.00%,0,0
"Justice of the Peace, Precinct 5, Place 2",1061,332,184,516,1716,30.07%,313,313
"Justice of the Peace, Precinct 5, Place 2",1062,17,6,23,201,11.44%,7,7
"Justice of the Peace, Precinct 5, Place 2",1064,25,11,36,119,30.25%,31,31
"Justice of the Peace, Precinct 5, Place 2",1069,434,256,690,2580,26.74%,357,357
"Justice of the Peace, Precinct 5, Place 2",Totals:,102175,78865,181040,525441,,117078,117078
