Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Diane Bull,Totals
"Judge, County Criminal Court No.11",0198,53,74,127,642,19.78%,13,13
"Judge, County Criminal Court No.11",0199,812,661,1473,3216,45.80%,1181,1181
"Judge, County Criminal Court No.11",0200,962,536,1498,3382,44.29%,769,769
"Judge, County Criminal Court No.11",0201,98,87,185,724,25.55%,12,12
"Judge, County Criminal Court No.11",0202,217,189,406,1464,27.73%,30,30
"Judge, County Criminal Court No.11",0203,107,68,175,960,18.23%,57,57
"Judge, County Criminal Court No.11",0204,816,784,1600,3487,45.88%,964,964
"Judge, County Criminal Court No.11",0205,464,171,635,1664,38.16%,41,41
"Judge, County Criminal Court No.11",0206,362,462,824,2779,29.65%,317,317
"Judge, County Criminal Court No.11",0207,265,261,526,1188,44.28%,217,217
"Judge, County Criminal Court No.11",0208,322,262,584,2195,26.61%,209,209
"Judge, County Criminal Court No.11",0209,0,2,2,0,0.00%,2,2
"Judge, County Criminal Court No.11",0210,502,467,969,2533,38.26%,182,182
"Judge, County Criminal Court No.11",0211,307,386,693,2914,23.78%,327,327
"Judge, County Criminal Court No.11",0212,96,155,251,1300,19.31%,79,79
"Judge, County Criminal Court No.11",0213,826,913,1739,3350,51.91%,1402,1402
"Judge, County Criminal Court No.11",0214,404,491,895,1854,48.27%,594,594
"Judge, County Criminal Court No.11",0215,421,711,1132,2258,50.13%,720,720
"Judge, County Criminal Court No.11",0216,362,223,585,1945,30.08%,72,72
"Judge, County Criminal Court No.11",0217,844,631,1475,2678,55.08%,985,985
"Judge, County Criminal Court No.11",0218,391,402,793,2292,34.60%,344,344
"Judge, County Criminal Court No.11",0219,496,436,932,2767,33.68%,100,100
"Judge, County Criminal Court No.11",0220,325,187,512,2310,22.16%,383,383
"Judge, County Criminal Court No.11",0221,332,369,701,2529,27.72%,377,377
"Judge, County Criminal Court No.11",0222,623,674,1297,2501,51.86%,663,663
"Judge, County Criminal Court No.11",0223,563,377,940,3582,26.24%,367,367
"Judge, County Criminal Court No.11",0224,530,456,986,2238,44.06%,501,501
"Judge, County Criminal Court No.11",0225,376,405,781,3305,23.63%,452,452
"Judge, County Criminal Court No.11",0226,227,307,534,2436,21.92%,181,181
"Judge, County Criminal Court No.11",0227,558,423,981,1785,54.96%,729,729
"Judge, County Criminal Court No.11",0228,362,195,557,1050,53.05%,52,52
"Judge, County Criminal Court No.11",0229,31,96,127,815,15.58%,66,66
"Judge, County Criminal Court No.11",0230,185,116,301,1089,27.64%,18,18
"Judge, County Criminal Court No.11",0231,233,264,497,2232,22.27%,180,180
"Judge, County Criminal Court No.11",0232,361,474,835,1760,47.44%,501,501
"Judge, County Criminal Court No.11",0233,890,801,1691,4445,38.04%,919,919
"Judge, County Criminal Court No.11",0234,1192,913,2105,3993,52.72%,1627,1627
"Judge, County Criminal Court No.11",0235,240,158,398,1356,29.35%,27,27
"Judge, County Criminal Court No.11",0236,354,235,589,2079,28.33%,42,42
"Judge, County Criminal Court No.11",0237,416,253,669,2161,30.96%,34,34
"Judge, County Criminal Court No.11",0238,339,245,584,1925,30.34%,40,40
"Judge, County Criminal Court No.11",0239,383,236,619,1964,31.52%,42,42
"Judge, County Criminal Court No.11",0240,585,243,828,2649,31.26%,62,62
"Judge, County Criminal Court No.11",0241,222,229,451,2372,19.01%,217,217
"Judge, County Criminal Court No.11",0242,173,162,335,1596,20.99%,212,212
"Judge, County Criminal Court No.11",0243,138,43,181,457,39.61%,14,14
"Judge, County Criminal Court No.11",0244,480,425,905,311,7,29.03%,564,564
"Judge, County Criminal Court No.11",0245,945,799,1745,5828,29.94%,1297,1297
"Judge, County Criminal Court No.11",0246,584,513,1197,3315,36.11%,895,895
"Judge, County Criminal Court No.11",0247,173,254,427,1582,26.99%,45,45
"Judge, County Criminal Court No.11",0248,161,167,328,2100,15.62%,113,113
"Judge, County Criminal Court No.11",0249,461,348,809,2719,29.75%,599,599
"Judge, County Criminal Court No.11",0250,109,164,273,964,28.32%,22,22
"Judge, County Criminal Court No.11",0251,278,436,714,2089,34.18%,53,53
"Judge, County Criminal Court No.11",0252,504,312,816,2377,34.33%,46,46
"Judge, County Criminal Court No.11",0253,379,222,601,2177,27.61%,33,33
"Judge, County Criminal Court No.11",0254,93,112,205,1550,13.23%,80,80
"Judge, County Criminal Court No.11",0255,525,648,1173,2482,47.26%,604,604
"Judge, County Criminal Court No.11",0256,575,449,1024,3254,31.47%,539,539
"Judge, County Criminal Court No.11",0257,204,245,449,2523,17.80%,172,172
"Judge, County Criminal Court No.11",0258,839,800,1539,3322,49.34%,1221,1221
"Judge, County Criminal Court No.11",0259,555,382,1038,2361,43.96%,69,69
"Judge, County Criminal Court No.11",0260,162,145,307,1260,24.37%,198,198
"Judge, County Criminal Court No.11",0261,124,120,244,1417,17.22%,121,121
"Judge, County Criminal Court No.11",0262,758,600,1358,4397,30.88%,907,907
"Judge, County Criminal Court No.11",0263,858,712,1570,3693,42.51%,1240,1240
"Judge, County Criminal Court No.11",0264,480,457,937,2963,31.62%,622,622
"Judge, County Criminal Court No.11",0265,988,759,1747,3584,48.74%,1338,1338
"Judge, County Criminal Court No.11",0266,259,257,516,2104,24.52%,296,296
"Judge, County Criminal Court No.11",0267,146,166,312,1327,23.51%,184,184
"Judge, County Criminal Court No.11",0268,435,717,1152,2493,46.21%,709,709
"Judge, County Criminal Court No.11",0269,702,453,1155,2030,56.90%,924,924
"Judge, County Criminal Court No.11",0270,817,672,1489,3605,41.30%,922,922
"Judge, County Criminal Court No.11",0271,656,382,1038,2518,41.22%,69,69
"Judge, County Criminal Court No.11",0272,264,292,556,2162,25.72%,268,268
"Judge, County Criminal Court No.11",0273,548,689,1237,2470,50.08%,1019,1019
"Judge, County Criminal Court No.11",0274,588,346,934,2153,43.38%,655,655
"Judge, County Criminal Court No.11",0275,207,236,443,1850,23.95%,137,137
"Judge, County Criminal Court No.11",0276,572,231,803,2536,31.66%,40,40
"Judge, County Criminal Court No.11",0277,170,186,356,1492,23.86%,194,194
"Judge, County Criminal Court No.11",0278,421,320,741,2454,30.20%,458,458
"Judge, County Criminal Court No.11",0279,250,223,473,1941,24.37%,312,312
"Judge, County Criminal Court No.11",0280,130,188,318,1524,20.87%,153,153
"Judge, County Criminal Court No.11",0281,655,742,1397,2633,53.06%,740,740
"Judge, County Criminal Court No.11",0282,314,455,769,2042,37.66%,519,519
"Judge, County Criminal Court No.11",0283,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0284,574,336,910,3172,28.69%,481,481
"Judge, County Criminal Court No.11",0285,448,378,826,2540,32.52%,126,126
"Judge, County Criminal Court No.11",0286,1255,821,2076,6170,33.65%,345,345
"Judge, County Criminal Court No.11",0287,370,477,847,1621,52.25%,456,456
"Judge, County Criminal Court No.11",0288,532,313,845,2210,38.24%,53,53
"Judge, County Criminal Court No.11",0289,186,212,398,1564,25.45%,231,231
"Judge, County Criminal Court No.11",0290,245,298,543,1642,33.07%,420,420
"Judge, County Criminal Court No.11",0291,325,235,560,1225,45.71%,303,303
"Judge, County Criminal Court No.11",0292,207,147,354,1356,26.11%,63,63
"Judge, County Criminal Court No.11",0293,356,447,803,1759,45.65%,415,415
"Judge, County Criminal Court No.11",0294,488,221,709,2097,33.81%,32,32
"Judge, County Criminal Court No.11",0295,148,103,251,885,28.36%,17,17
"Judge, County Criminal Court No.11",0296,327,340,667,1713,38.94%,417,417
"Judge, County Criminal Court No.11",0297,280,249,529,2012,26.29%,273,273
"Judge, County Criminal Court No.11",0298,415,358,773,2121,36.45%,486,486
"Judge, County Criminal Court No.11",0299,178,117,295,1353,21.80%,140,140
"Judge, County Criminal Court No.11",0300,1389,1016,2405,5406,44.49%,2005,2005
"Judge, County Criminal Court No.11",0301,210,255,465,2352,19.77%,217,217
"Judge, County Criminal Court No.11",0302,353,343,696,2720,25.59%,466,466
"Judge, County Criminal Court No.11",0303,922,784,1706,3245,52.57%,1380,1380
"Judge, County Criminal Court No.11",0304,606,505,1111,2298,48.35%,675,675
"Judge, County Criminal Court No.11",0305,524,432,956,4191,22.81%,471,471
"Judge, County Criminal Court No.11",0306,549,342,991,1879,52.74%,741,741
"Judge, County Criminal Court No.11",0307,733,670,1403,3099,45.27%,1007,1007
"Judge, County Criminal Court No.11",0308,199,130,329,1296,25.39%,140,140
"Judge, County Criminal Court No.11",0309,708,593,1301,2524,51.55%,1051,1051
"Judge, County Criminal Court No.11",0310,386,279,665,1435,46.34%,472,472
"Judge, County Criminal Court No.11",0311,486,421,907,2986,30.38%,535,535
"Judge, County Criminal Court No.11",0312,742,457,1199,3636,32.98%,834,834
"Judge, County Criminal Court No.11",0313,9,0,9,62,14.52%,7,7
"Judge, County Criminal Court No.11",0314,1121,913,2034,5647,36.02%,1377,1377
"Judge, County Criminal Court No.11",0315,478,388,866,1608,53.86%,541,541
"Judge, County Criminal Court No.11",0316,412,341,753,1537,48.99%,443,443
"Judge, County Criminal Court No.11",0317,248,209,457,1588,28.78%,182,182
"Judge, County Criminal Court No.11",0318,834,568,1402,3660,38.31%,170,170
"Judge, County Criminal Court No.11",0319,512,230,742,2158,34.38%,85,85
"Judge, County Criminal Court No.11",0320,234,168,402,1537,26.15%,229,229
"Judge, County Criminal Court No.11",0321,262,191,453,2346,19.31%,205,205
"Judge, County Criminal Court No.11",0322,181,129,310,1226,25.29%,125,125
"Judge, County Criminal Court No.11",0323,278,211,489,1722,28.40%,255,255
"Judge, County Criminal Court No.11",0324,532,646,1178,2336,50.43%,761,761
"Judge, County Criminal Court No.11",0325,289,193,482,2112,22.82%,134,134
"Judge, County Criminal Court No.11",0326,87,74,161,698,23.07%,93,93
"Judge, County Criminal Court No.11",0327,380,129,509,1729,29.44%,35,35
"Judge, County Criminal Court No.11",0328,151,140,291,1434,20.29%,157,157
"Judge, County Criminal Court No.11",0329,189,184,373,1397,26.70%,172,172
"Judge, County Criminal Court No.11",0330,334,253,587,1936,30.32%,362,362
"Judge, County Criminal Court No.11",0331,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0332,18,7,25,138,18.12%,14,14
"Judge, County Criminal Court No.11",0333,524,714,1238,3021,40.98%,915,915
"Judge, County Criminal Court No.11",0334,83,42,125,742,16.85%,27,27
"Judge, County Criminal Court No.11",0335,121,98,219,1300,16.85%,96,96
"Judge, County Criminal Court No.11",0336,866,624,1490,4051,36.78%,290,290
"Judge, County Criminal Court No.11",0337,124,103,227,1029,22.06%,57,57
