Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0641,649,596,1245,3650,34.11%,844,353,1197
"Judge, County Criminal Court No. 5",0642,471,394,865,1764,49.04%,713,114,827
"Judge, County Criminal Court No. 5",0643,934,653,1587,5945,26.69%,643,895,1538
"Judge, County Criminal Court No. 5",0644,1019,823,1842,5523,33.35%,1239,526,1765
"Judge, County Criminal Court No. 5",0645,654,594,1248,4185,29.82%,691,504,1195
"Judge, County Criminal Court No. 5",0646,364,287,651,2220,29.32%,216,397,613
"Judge, County Criminal Court No. 5",0647,904,470,1374,6084,22.58%,401,859,1260
"Judge, County Criminal Court No. 5",0648,838,579,1417,3367,42.08%,1026,340,1366
"Judge, County Criminal Court No. 5",0649,687,434,1121,4576,24.50%,373,667,1040
"Judge, County Criminal Court No. 5",0650,906,766,1672,3888,43.00%,1241,357,1598
"Judge, County Criminal Court No. 5",0651,963,766,1729,5128,33.72%,1128,523,1651
"Judge, County Criminal Court No. 5",0652,467,515,982,2815,34.88%,173,772,945
"Judge, County Criminal Court No. 5",0653,0,4,4,0,0.00%,0,4,4
"Judge, County Criminal Court No. 5",0654,950,1005,1955,6208,31.49%,1105,769,1874
"Judge, County Criminal Court No. 5",0655,1115,1079,2195,6855,32.02%,1382,724,2106
"Judge, County Criminal Court No. 5",0656,579,393,972,2674,36.35%,41,909,950
"Judge, County Criminal Court No. 5",0657,246,172,418,1292,32.35%,171,229,400
"Judge, County Criminal Court No. 5",0658,540,426,966,2807,34.41%,639,304,943
"Judge, County Criminal Court No. 5",0659,1149,788,1937,4856,39.89%,1404,472,1876
"Judge, County Criminal Court No. 5",0660,950,825,1775,5372,33.04%,174,1556,1730
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0661,675,765,1440,4567,31.53%,859,523,1382
"Judge, County Criminal Court No. 5",0662,1148,890,2038,4874,41.81%,1646,325,1971
"Judge, County Criminal Court No. 5",0663,717,797,1514,3346,45.25%,783,617,1400
"Judge, County Criminal Court No. 5",0664,352,250,602,2869,20.98%,132,440,572
"Judge, County Criminal Court No. 5",0665,482,348,830,2154,38.53%,703,98,801
"Judge, County Criminal Court No. 5",0666,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0667,488,502,990,2149,46.07%,785,163,948
"Judge, County Criminal Court No. 5",0668,399,509,908,2775,32.72%,601,280,881
"Judge, County Criminal Court No. 5",0669,850,738,1,588,3425,46.36%,1165,351,1516
"Judge, County Criminal Court No. 5",0670,955,471,1427,2983,47.84%,1155,215,1370
"Judge, County Criminal Court No. 5",0671,403,565,968,3037,31.87%,600,321,921
"Judge, County Criminal Court No. 5",0672,959,862,1821,5706,31.91%,1253,514,1767
"Judge, County Criminal Court No. 5",0673,729,516,1245,2995,41.57%,999,188,1187
"Judge, County Criminal Court No. 5",0674,1071,618,1689,4091,41.29%,1279,345,1624
"Judge, County Criminal Court No. 5",0675,0,1,1,0,0.00%,1,0,1
"Judge, County Criminal Court No. 5",0676,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0677,127,127,254,1266,20.06%,96,142,238
"Judge, County Criminal Court No. 5",0678,166,108,274,735,37.28%,186,68,254
"Judge, County Criminal Court No. 5",0679,635,520,1155,3381,34.16%,892,213,1105
"Judge, County Criminal Court No. 5",0680,21,14,35,162,21.60%,15,20,35
"Judge, County Criminal Court No. 5",0681,1,0,1,5,20.00%,1,0,1
"Judge, County Criminal Court No. 5",0682,711,654,1365,4216,32.38%,1018,298,1316
"Judge, County Criminal Court No. 5",0683,29,20,49,276,17.75%,9,35,44
"Judge, County Criminal Court No. 5",0684,27,22,49,223,21.97%,26,20,46
"Judge, County Criminal Court No. 5",0685,110,29,139,307,45.28%,65,64,129
"Judge, County Criminal Court No. 5",0686,17,12,29,208,13.94%,12,16,28
"Judge, County Criminal Court No. 5",0687,549,537,1085,2609,41.63%,750,264,1014
"Judge, County Criminal Court No. 5",0688,999,617,1616,3504,46.12%,1304,242,1546
"Judge, County Criminal Court No. 5",0689,211,387,598,2346,25.49%,311,254,565
"Judge, County Criminal Court No. 5",0690,926,1104,2030,5102,39.79%,1665,295,1960
"Judge, County Criminal Court No. 5",0691,2,5,7,25,28.00%,3,4,7
"Judge, County Criminal Court No. 5",0692,444,548,992,2847,34.84%,756,193,949
"Judge, County Criminal Court No. 5",0693,167,91,258,666,38.74%,73,170,243
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0694,260,120,380,845,44.97%,263,91,354
"Judge, County Criminal Court No. 5",0695,232,193,425,1724,24.65%,271,136,407
"Judge, County Criminal Court No. 5",0696,261,207,468,1982,23.61%,303,142,445
"Judge, County Criminal Court No. 5",0697,605,613,1218,4413,27.60%,314,859,1173
"Judge, County Criminal Court No. 5",0698,448,489,937,3189,29.38%,103,809,912
"Judge, County Criminal Court No. 5",0699,568,414,982,2343,41.91%,669,244,913
"Judge, County Criminal Court No. 5",0700,255,251,506,1371,36.91%,424,60,484
"Judge, County Criminal Court No. 5",0701,56,43,99,588,16.84%,62,32,94
"Judge, County Criminal Court No. 5",0702,54,70,134,539,24.86%,18,114,132
"Judge, County Criminal Court No. 5",0703,372,490,862,1882,45.80%,642,177,819
"Judge, County Criminal Court No. 5",0704,569,599,1168,3064,38.12%,956,161,1117
"Judge, County Criminal Court No. 5",0705,114,113,227,1523,14.90%,35,182,217
"Judge, County Criminal Court No. 5",0706,115,71,186,610,30.49%,92,81,173
"Judge, County Criminal Court No. 5",0707,153,86,239,707,33.80%,158,65,223
"Judge, County Criminal Court No. 5",0708,54,52,106,563,18.83%,48,48,96
"Judge, County Criminal Court No. 5",0709,1375,947,2322,6848,33.91%,1419,843,2262
"Judge, County Criminal Court No. 5",0710,371,462,833,2082,40.01%,468,300,768
"Judge, County Criminal Court No. 5",0711,702,506,1208,3484,34.67%,764,374,1138
"Judge, County Criminal Court No. 5",0712,491,463,954,3670,25.99%,411,524,935
"Judge, County Criminal Court No. 5",0713,228,262,490,1907,25.69%,247,220,467
"Judge, County Criminal Court No. 5",0714,35,19,55,296,18.58%,35,18,53
"Judge, County Criminal Court No. 5",0715,176,187,363,1408,25.78%,212,133,345
"Judge, County Criminal Court No. 5",0716,449,407,856,2680,31.94%,612,220,832
"Judge, County Criminal Court No. 5",0717,373,250,623,2002,31.12%,74,535,609
"Judge, County Criminal Court No. 5",0718,1017,806,1823,4229,43.11%,1308,405,1713
"Judge, County Criminal Court No. 5",0719,247,137,384,1589,24.17%,233,133,366
"Judge, County Criminal Court No. 5",0720,994,780,1774,4282,41.43%,1354,353,1707
"Judge, County Criminal Court No. 5",0721,754,532,1286,2870,44.81%,862,352,1214
"Judge, County Criminal Court No. 5",0722,871,494,1365,4479,30.48%,101,1224,1325
"Judge, County Criminal Court No. 5",0723,401,202,603,1858,32.45%,135,445,580
"Judge, County Criminal Court No. 5",0724,151,128,279,766,36.42%,216,49,265
"Judge, County Criminal Court No. 5",0725,423,237,660,2237,29.50%,316,323,639
"Judge, County Criminal Court No. 5",0726,592,402,994,2087,47.63%,874,94,968
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0727,338,290,628,2488,25.24%,210,380,590
"Judge, County Criminal Court No. 5",0728,209,151,360,880,40.91%,224,115,339
"Judge, County Criminal Court No. 5",0729,136,59,195,464,42.03%,123,66,189
"Judge, County Criminal Court No. 5",0730,428,359,787,1747,45.05%,531,209,740
"Judge, County Criminal Court No. 5",0731,58,27,85,352,24.15%,27,56,83
"Judge, County Criminal Court No. 5",0732,441,324,765,1924,39.76%,490,232,722
"Judge, County Criminal Court No. 5",0733,13,7,20,215,9.30%,8,10,18
"Judge, County Criminal Court No. 5",0734,1558,962,2520,7005,35.97%,1756,684,2440
"Judge, County Criminal Court No. 5",0735,8,0,6,18,33.33%,6,0,6
"Judge, County Criminal Court No. 5",0736,3,1,4,22,18.18%,0,3,3
"Judge, County Criminal Court No. 5",0737,11,7,18,51,35.29%,13,5,18
"Judge, County Criminal Court No. 5",0738,139,100,239,1361,17.56%,47,185,232
"Judge, County Criminal Court No. 5",0739,353,301,654,2955,22.13%,343,283,626
"Judge, County Criminal Court No. 5",0740,98,98,194,939,20.66%,129,54,183
"Judge, County Criminal Court No. 5",0741,0,1,1,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0742,0,11,11,0,0.00%,6,5,11
"Judge, County Criminal Court No. 5",0743,15,18,33,210,15.71%,19,12,31
"Judge, County Criminal Court No. 5",0744,456,392,848,2027,41.84%,571,223,794
"Judge, County Criminal Court No. 5",0745,683,372,1055,2494,42.30%,664,337,1001
"Judge, County Criminal Court No. 5",0746,114,77,191,691,27.64%,93,94,187
"Judge, County Criminal Court No. 5",0747,550,467,1017,3743,27.17%,512,476,988
"Judge, County Criminal Court No. 5",0748,170,140,310,1403,22.10%,162,135,297
"Judge, County Criminal Court No. 5",0749,30,17,47,377,12.47%,9,37,46
"Judge, County Criminal Court No. 5",0750,111,96,207,767,26.99%,128,75,203
"Judge, County Criminal Court No. 5",0751,925,964,1889,5084,37.16%,1271,537,1808
"Judge, County Criminal Court No. 5",0752,286,200,486,1483,32.77%,375,87,462
"Judge, County Criminal Court No. 5",0753,55,73,128,259,49.42%,81,40,121
"Judge, County Criminal Court No. 5",0754,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0755,442,584,1026,4294,23.89%,463,519,982
"Judge, County Criminal Court No. 5",0756,251,177,428,1600,26.75%,173,238,411
"Judge, County Criminal Court No. 5",0757,520,508,1028,4035,25.48%,185,811,996
"Judge, County Criminal Court No. 5",0758,1114,692,1806,4096,44.09%,1476,266,1742
"Judge, County Criminal Court No. 5",0759,465,413,878,2730,32.16%,567,274,841
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0760,1432,639,2071,4367,47.42%,1742,238,1980
"Judge, County Criminal Court No. 5",0761,548,253,801,1550,51.68%,570,172,742
"Judge, County Criminal Court No. 5",0762,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0763,108,146,254,1212,20.96%,103,139,242
"Judge, County Criminal Court No. 5",0764,1133,774,1907,5217,36.55%,1220,621,1841
"Judge, County Criminal Court No. 5",0765,647,426,1073,4055,26.46%,457,563,1020
"Judge, County Criminal Court No. 5",0766,40,25,65,392,16.58%,19,38,57
"Judge, County Criminal Court No. 5",0767,10,2,12,86,13.95%,6,6,12
"Judge, County Criminal Court No. 5",0768,1359,1015,2374,5857,40.53%,1963,345,2308
"Judge, County Criminal Court No. 5",0769,54,16,70,183,38.25%,3,66,69
"Judge, County Criminal Court No. 5",0770,31,25,56,323,17.34%,29,23,52
"Judge, County Criminal Court No. 5",0771,324,254,578,2426,23.83%,346,210,556
"Judge, County Criminal Court No. 5",0772,1792,851,2643,5709,46.30%,2051,464,2515
"Judge, County Criminal Court No. 5",0773,473,312,785,2918,26.90%,219,499,718
"Judge, County Criminal Court No. 5",0774,30,41,71,378,18.78%,15,54,69
"Judge, County Criminal Court No. 5",0775,18,3,21,92,22.83%,0,21,21
"Judge, County Criminal Court No. 5",0776,551,496,1047,3053,34.29%,624,378,1002
"Judge, County Criminal Court No. 5",0777,46,40,86,652,13.19%,31,52,83
"Judge, County Criminal Court No. 5",0778,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0779,64,51,115,940,12.23%,43,67,110
"Judge, County Criminal Court No. 5",0780,63,59,122,595,20.50%,73,45,118
"Judge, County Criminal Court No. 5",0781,666,273,939,3603,26.06%,439,402,841
"Judge, County Criminal Court No. 5",0782,368,370,738,2236,33.01%,468,238,706
"Judge, County Criminal Court No. 5",0783,49,13,62,294,21.09%,45,15,60
"Judge, County Criminal Court No. 5",0784,208,128,336,1079,31.14%,9,312,321
"Judge, County Criminal Court No. 5",0785,28,25,53,296,17.91%,29,24,53
"Judge, County Criminal Court No. 5",0786,100,98,198,1251,15.83%,78,114,192
"Judge, County Criminal Court No. 5",0787,46,52,98,488,20.08%,34,61,95
"Judge, County Criminal Court No. 5",0788,74,32,106,454,23.35%,50,52,102
"Judge, County Criminal Court No. 5",0789,0,3,3,3,100.00%,1,2,3
"Judge, County Criminal Court No. 5",0790,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0791,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0792,269,239,508,1865,27.24%,123,360,483
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0793,448,247,695,2484,27.98%,423,245,668
"Judge, County Criminal Court No. 5",0794,124,144,268,2710,9.89%,35,224,259
"Judge, County Criminal Court No. 5",0795,90,125,215,1217,17.67%,81,122,203
"Judge, County Criminal Court No. 5",0796,83,51,134,476,28.15%,76,53,129
"Judge, County Criminal Court No. 5",0797,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0798,99,111,210,500,42.00%,88,111,199
"Judge, County Criminal Court No. 5",0799,28,15,43,161,26.71%,8,35,43
"Judge, County Criminal Court No. 5",0800,588,642,1230,2932,41.95%,854,313,1167
"Judge, County Criminal Court No. 5",0801,32,14,46,258,17.83%,16,27,43
"Judge, County Criminal Court No. 5",0802,51,27,78,312,25.00%,16,60,76
"Judge, County Criminal Court No. 5",0803,725,511,1236,2893,42.72%,920,271,1191
"Judge, County Criminal Court No. 5",0804,932,591,1523,4768,31.94%,981,495,1476
"Judge, County Criminal Court No. 5",0805,765,533,1298,2866,45.29%,1065,189,1254
"Judge, County Criminal Court No. 5",0806,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0807,211,204,415,2028,20.46%,95,301,396
"Judge, County Criminal Court No. 5",0808,12,17,29,131,22.14%,9,18,27
"Judge, County Criminal Court No. 5",0809,7,6,13,92,14.13%,5,6,11
"Judge, County Criminal Court No. 5",0810,9,16,25,211,11.85%,7,17,24
"Judge, County Criminal Court No. 5",0811,29,50,79,270,29.26%,26,51,77
"Judge, County Criminal Court No. 5",0812,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0813,938,761,1699,5807,29.26%,860,788,1648
"Judge, County Criminal Court No. 5",0814,673,533,1206,5102,23.64%,313,855,1168
"Judge, County Criminal Court No. 5",0815,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0816,10,0,10,73,13.70%,3,7,10
"Judge, County Criminal Court No. 5",0817,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0818,86,39,125,616,20.29%,27,93,120
"Judge, County Criminal Court No. 5",0819,64,30,94,240,39.17%,52,30,82
"Judge, County Criminal Court No. 5",0820,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0821,124,120,244,1242,19.65%,31,203,234
"Judge, County Criminal Court No. 5",0822,332,167,499,1535,32.51%,14,470,484
"Judge, County Criminal Court No. 5",0823,821,564,1385,5087,27.23%,819,524,1343
"Judge, County Criminal Court No. 5",0824,428,282,710,2700,26.30%,165,526,691
"Judge, County Criminal Court No. 5",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0826,73,50,123,358,34.36%,68,45,113
"Judge, County Criminal Court No. 5",0827,60,98,158,979,16.14%,75,78,153
"Judge, County Criminal Court No. 5",0828,541,388,929,1916,48.49%,754,129,883
"Judge, County Criminal Court No. 5",0829,54,22,76,264,28.79%,19,57,76
"Judge, County Criminal Court No. 5",0830,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0831,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0832,34,28,62,352,17.61%,18,41,59
"Judge, County Criminal Court No. 5",0833,0,1,1,20,5.00%,0,1,1
"Judge, County Criminal Court No. 5",0834,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0835,38,19,57,290,19.66%,13,39,52
"Judge, County Criminal Court No. 5",0836,3,0,3,19,15.79%,1,2,3
"Judge, County Criminal Court No. 5",0837,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0838,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0839,136,118,254,1128,22.52%,53,190,243
"Judge, County Criminal Court No. 5",0840,381,174,555,1705,32.55%,196,346,542
"Judge, County Criminal Court No. 5",0841,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0842,421,434,855,3259,26.24%,407,413,820
"Judge, County Criminal Court No. 5",0843,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 5",0844,1,0,1,11,9.09%,0,1,1
"Judge, County Criminal Court No. 5",0845,54,9,63,134,47.01%,40,19,59
"Judge, County Criminal Court No. 5",0846,23,24,47,229,20.52%,2,42,44
"Judge, County Criminal Court No. 5",0847,305,211,516,2015,25.61%,147,351,498
"Judge, County Criminal Court No. 5",0848,489,266,755,1856,40.68%,227,494,721
"Judge, County Criminal Court No. 5",0849,201,291,492,2124,23.16%,195,277,472
"Judge, County Criminal Court No. 5",0850,46,41,87,210,41.43%,32,53,85
"Judge, County Criminal Court No. 5",0851,1029,657,1686,4709,35.80%,1155,464,1619
"Judge, County Criminal Court No. 5",0852,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0853,575,620,1296,2882,44.97%,1008,231,1239
"Judge, County Criminal Court No. 5",0854,15,26,41,172,23.84%,8,31,39
"Judge, County Criminal Court No. 5",0855,5,9,14,16,87.50%,5,8,13
"Judge, County Criminal Court No. 5",0856,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 5",0857,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0858,63,34,97,343,28.28%,3,91,94
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0859,157,106,263,890,29.55%,70,186,256
"Judge, County Criminal Court No. 5",0860,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0861,315,199,514,1842,27.90%,83,414,497
"Judge, County Criminal Court No. 5",0862,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0863,101,54,155,584,26.54%,8,146,154
"Judge, County Criminal Court No. 5",0864,193,299,492,2569,19.15%,147,324,471
"Judge, County Criminal Court No. 5",0865,2,3,5,21,23.81%,0,5,5
"Judge, County Criminal Court No. 5",0866,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0867,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0868,236,271,507,2326,21.80%,163,324,487
"Judge, County Criminal Court No. 5",0869,53,39,92,470,19.57%,26,65,91
"Judge, County Criminal Court No. 5",0870,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0871,1,0,1,3,33.33%,0,1,1
"Judge, County Criminal Court No. 5",0872,5,3,8,59,13.56%,4,4,8
"Judge, County Criminal Court No. 5",0873,98,75,173,737,23.47%,43,127,170
"Judge, County Criminal Court No. 5",0874,763,707,1470,3223,45.61%,1112,296,1408
"Judge, County Criminal Court No. 5",0875,904,527,1431,5147,27.80%,716,669,1385
"Judge, County Criminal Court No. 5",0876,698,641,1339,3265,41.01%,1042,253,1295
"Judge, County Criminal Court No. 5",0877,476,382,858,3032,28.30%,359,478,837
"Judge, County Criminal Court No. 5",0878,427,354,781,1666,46.88%,657,102,759
"Judge, County Criminal Court No. 5",0879,407,294,701,2667,26.28%,370,297,667
"Judge, County Criminal Court No. 5",0880,543,447,990,2352,42.09%,803,151,954
"Judge, County Criminal Court No. 5",0881,593,540,1133,4479,25.30%,394,709,1103
"Judge, County Criminal Court No. 5",0882,426,291,717,2422,29.60%,439,254,693
"Judge, County Criminal Court No. 5",0883,643,702,1345,5408,24.87%,245,1066,1311
"Judge, County Criminal Court No. 5",0884,57,25,82,377,21.75%,10,70,80
"Judge, County Criminal Court No. 5",0885,562,368,930,2619,35.51%,561,346,907
"Judge, County Criminal Court No. 5",0886,128,108,236,675,34.96%,141,80,221
"Judge, County Criminal Court No. 5",0887,50,67,117,418,27.99%,54,53,107
"Judge, County Criminal Court No. 5",0888,0,3,3,0,0.00%,2,1,3
"Judge, County Criminal Court No. 5",0889,14,0,14,57,24.56%,5,8,13
"Judge, County Criminal Court No. 5",0890,164,103,267,1095,24.38%,86,159,245
"Judge, County Criminal Court No. 5",0891,317,243,560,1331,42.07%,228,290,518
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0892,115,86,201,808,24.88%,78,112,190
"Judge, County Criminal Court No. 5",0893,0,2,2,6,33.33%,0,2,2
"Judge, County Criminal Court No. 5",0894,0,3,3,0,0.00%,2,1,3
"Judge, County Criminal Court No. 5",0895,155,286,442,793,55.74%,188,197,385
"Judge, County Criminal Court No. 5",0896,370,297,667,1459,45.72%,262,349,611
"Judge, County Criminal Court No. 5",0897,252,297,549,1701,32.28%,323,208,531
"Judge, County Criminal Court No. 5",0898,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0899,2,0,2,8,25.00%,0,2,2
"Judge, County Criminal Court No. 5",0900,0,2,2,10,20.00%,1,1,2
"Judge, County Criminal Court No. 5",0901,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0902,394,486,880,2139,41.14%,501,316,817
"Judge, County Criminal Court No. 5",0903,3,7,10,50,20.00%,1,7,8
"Judge, County Criminal Court No. 5",0904,1,0,1,7,14.29%,1,0,1
"Judge, County Criminal Court No. 5",0905,123,100,223,904,24.67%,95,116,211
"Judge, County Criminal Court No. 5",0906,8,6,14,25,56.00%,8,4,12
"Judge, County Criminal Court No. 5",0907,12,19,31,181,17.13%,6,25,31
"Judge, County Criminal Court No. 5",0908,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 5",0909,2,1,3,18,16.67%,0,3,3
"Judge, County Criminal Court No. 5",0910,25,24,49,217,22.58%,21,24,45
"Judge, County Criminal Court No. 5",0911,118,60,178,551,32.30%,120,50,170
"Judge, County Criminal Court No. 5",0912,31,e,201,517,1273,40.61%,348,141,489
"Judge, County Criminal Court No. 5",0913,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0914,169,179,348,701,49.64%,283,51,334
"Judge, County Criminal Court No. 5",0915,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0916,417,240,657,1491,44.06%,530,104,634
"Judge, County Criminal Court No. 5",0917,177,62,239,483,49.48%,159,62,221
"Judge, County Criminal Court No. 5",0918,304,168,472,883,53.45%,370,78,448
"Judge, County Criminal Court No. 5",0919,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0920,22,12,34,71,47.89%,23,10,33
"Judge, County Criminal Court No. 5",0921,32,15,47,119,39.50%,33,13,46
"Judge, County Criminal Court No. 5",0922,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0923,470,137,607,1511,40.17%,456,133,589
"Judge, County Criminal Court No. 5",0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0925,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0926,171,128,299,796,37.56%,224,63,287
"Judge, County Criminal Court No. 5",0927,44,30,74,270,27.41%,32,35,67
"Judge, County Criminal Court No. 5",0928,3,0,3,8,37.50%,0,3,3
"Judge, County Criminal Court No. 5",0929,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0930,109,54,163,584,27.91%,5,154,159
"Judge, County Criminal Court No. 5",0931,30,40,70,130,53.85%,34,25,59
"Judge, County Criminal Court No. 5",0932,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0933,115,85,200,627,31.90%,61,131,192
"Judge, County Criminal Court No. 5",0934,2,0,2,63,3.17%,1,1,2
"Judge, County Criminal Court No. 5",0935,3,2,5,54,9.26%,1,2,3
"Judge, County Criminal Court No. 5",0936,8,2,10,81,12.35%,3,6,9
"Judge, County Criminal Court No. 5",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0938,30,14,44,231,19.05%,17,26,43
"Judge, County Criminal Court No. 5",0939,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0940,0,0,0,10,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0941,9,10,19,25,76.00%,19,0,19
"Judge, County Criminal Court No. 5",0942,53,27,80,156,51.28%,68,8,76
"Judge, County Criminal Court No. 5",0943,164,80,244,547,44.61%,167,60,227
"Judge, County Criminal Court No. 5",0944,20,4,24,45,53.33%,19,0,19
"Judge, County Criminal Court No. 5",0945,1,2,3,17,17.65%,1,2,3
"Judge, County Criminal Court No. 5",0946,0,1,1,13,7.69%,0,1,1
"Judge, County Criminal Court No. 5",0947,177,246,423,799,52.94%,226,172,398
"Judge, County Criminal Court No. 5",0948,0,14,14,1,1400.00%,9,2,11
"Judge, County Criminal Court No. 5",0949,34,27,61,193,31.61%,32,28,60
"Judge, County Criminal Court No. 5",0950,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0951,33,30,63,277,22.74%,17,45,62
"Judge, County Criminal Court No. 5",0952,15,15,31,71,43.66%,18,11,29
"Judge, County Criminal Court No. 5",0953,18,9,27,275,9.82%,4,22,26
"Judge, County Criminal Court No. 5",0954,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0955,3,2,5,19,26.32%,4,1,5
"Judge, County Criminal Court No. 5",0956,2,4,6,11,54.55%,2,4,6
"Judge, County Criminal Court No. 5",0957,97,95,192,562,34.16%,23,168,191
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0958,81,129,210,1081,19.43%,55,148,203
"Judge, County Criminal Court No. 5",0959,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 5",0960,196,157,353,976,36.17%,73,268,341
"Judge, County Criminal Court No. 5",0961,15,0,16,56,28.57%,1,15,16
"Judge, County Criminal Court No. 5",0962,10,17,27,88,30.68%,3,24,27
"Judge, County Criminal Court No. 5",0963,54,41,105,426,24.65%,59,40,99
"Judge, County Criminal Court No. 5",0964,568,437,1005,2372,42.37%,628,342,970
"Judge, County Criminal Court No. 5",0965,31,21,52,343,15.16%,28,23,51
"Judge, County Criminal Court No. 5",0966,129,83,212,1148,18.47%,79,128,207
"Judge, County Criminal Court No. 5",0967,15,48,63,165,38.18%,19,43,62
