Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0823,821,564,1385,5087,27.23%,803,521,31,1355
"Judge, Court of Criminal Appeals, Place 3",0824,428,282,710,2700,26.30%,153,520,20,693
"Judge, Court of Criminal Appeals, Place 3",0825,0,0,0,0,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0826,73,50,123,358,34.36%,65,49,3,117
"Judge, Court of Criminal Appeals, Place 3",0827,60,98,158,979,16.14%,72,78,3,153
"Judge, Court of Criminal Appeals, Place 3",0828,541,388,929,1916,48.49%,738,135,28,901
"Judge, Court of Criminal Appeals, Place 3",0829,54,22,76,264,28.79%,18,57,0,75
"Judge, Court of Criminal Appeals, Place 3",0830,0,0,0,2,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0831,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0832,34,28,62,352,17.61%,15,41,4,60
"Judge, Court of Criminal Appeals, Place 3",0833,0,1,1,20,5.00%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 3",0834,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0835,38,19,57,290,19.66%,13,37,1,51
"Judge, Court of Criminal Appeals, Place 3",0836,3,0,3,19,15.79%,1,2,0,3
"Judge, Court of Criminal Appeals, Place 3",0837,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0838,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0839,136,118,254,1128,22.52%,46,181,20,247
"Judge, Court of Criminal Appeals, Place 3",0840,381,174,555,1705,32.55%,192,344,8,544
"Judge, Court of Criminal Appeals, Place 3",0841,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0842,421,434,855,3259,26.24%,393,412,22,827
"Judge, Court of Criminal Appeals, Place 3",0843,0,1,1,0,0.00%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 3",0844,1,0,1,11,9.09%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 3",0845,54,9,63,134,47.01%,39,20,1,60
"Judge, Court of Criminal Appeals, Place 3",0846,23,24,47,229,20.52%,2,44,1,47
"Judge, Court of Criminal Appeals, Place 3",0847,306,211,517,2015,25.66%,142,348,13,503
"Judge, Court of Criminal Appeals, Place 3",0848,489,266,755,1856,40.68%,229,488,13,730
"Judge, Court of Criminal Appeals, Place 3",0849,201,291,492,2124,23.16%,189,267,20,476
"Judge, Court of Criminal Appeals, Place 3",0850,46,41,87,210,41.43%,32,52,2,86
"Judge, Court of Criminal Appeals, Place 3",0851,1029,657,1686,4709,35.80%,1111,472,42,1625
"Judge, Court of Criminal Appeals, Place 3",0852,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0853,575,620,1296,2882,44.97%,989,232,27,1248
"Judge, Court of Criminal Appeals, Place 3",0854,15,26,41,172,23.84%,7,31,2,40
"Judge, Court of Criminal Appeals, Place 3",0855,5,9,14,16,87.50%,4,9,1,14
"Judge, Court of Criminal Appeals, Place 3",0856,0,1,1,0,0.00%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 3",0857,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0858,63,34,97,343,28.28%,3,90,0,93
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0859,157,106,263,890,29.55%,66,187,4,257
"Judge, Court of Criminal Appeals, Place 3",0860,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0861,315,199,514,1842,27.90%,89,411,5,505
"Judge, Court of Criminal Appeals, Place 3",0862,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0863,101,54,155,584,26.54%,8,145,0,153
"Judge, Court of Criminal Appeals, Place 3",0864,193,299,492,2569,19.15%,139,321,14,474
"Judge, Court of Criminal Appeals, Place 3",0865,2,3,5,21,23.81,%,0,5,0,5
"Judge, Court of Criminal Appeals, Place 3",0866,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0867,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0868,236,271,507,2326,21.80%,158,316,9,483
"Judge, Court of Criminal Appeals, Place 3",0869,53,39,92,470,19.57%,23,64,3,90
"Judge, Court of Criminal Appeals, Place 3",0870,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0871,1,0,1,3,33.33%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 3",0872,5,3,8,59,13.56%,4,3,1,8
"Judge, Court of Criminal Appeals, Place 3",0873,98,75,173,737,23.4,7%,42,123,3,168
"Judge, Court of Criminal Appeals, Place 3",0874,764,707,1471,3223,45.64%,1102,292,34,1428
"Judge, Court of Criminal Appeals, Place 3",0875,905,527,1432,5147,27.82%,686,662,45,1393
"Judge, Court of Criminal Appeals, Place 3",0876,698,641,1339,3265,41.01%,1024,260,25,1309
"Judge, Court of Criminal Appeals, Place 3",0877,476,382,858,3032,28.30%,350,470,22,842
"Judge, Court of Criminal Appeals, Place 3",0878,428,354,782,1666,46.94%,643,100,19,762
"Judge, Court of Criminal Appeals, Place 3",0879,407,294,701,2667,26.28%,351,300,25,676
"Judge, Court of Criminal Appeals, Place 3",0880,543,447,990,2352,42.09%,796,149,16,961
"Judge, Court of Criminal Appeals, Place 3",0881,596,540,1136,4479,25.36%,388,703,22,1113
"Judge, Court of Criminal Appeals, Place 3",0882,426,291,717,2422,29.60%,420,252,23,695
"Judge, Court of Criminal Appeals, Place 3",0883,643,702,1345,5408,24.87%,240,1057,23,1320
"Judge, Court of Criminal Appeals, Place 3",0884,57,25,82,377,21.75%,8,69,1,78
"Judge, Court of Criminal Appeals, Place 3",0885,562,368,930,2619,35.51%,541,354,22,917
"Judge, Court of Criminal Appeals, Place 3",0886,128,108,236,675,34.96%,134,79,11,224
"Judge, Court of Criminal Appeals, Place 3",0887,51,67,118,418,28.23%,53,52,7,112
"Judge, Court of Criminal Appeals, Place 3",0888,0,3,3,0,0.00%,2,1,0,3
"Judge, Court of Criminal Appeals, Place 3",0889,14,0,14,57,24.56%,4,8,1,13
"Judge, Court of Criminal Appeals, Place 3",0890,164,103,267,1095,24.38%,87,149,16,252
"Judge, Court of Criminal Appeals, Place 3",0891,319,243,562,1331,42.22%,214,299,13,526
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0892,115,86,201,808,24.88%,63,111,19,193
"Judge, Court of Criminal Appeals, Place 3",0893,0,2,2,6,33.33%,0,2,0,2
"Judge, Court of Criminal Appeals, Place 3",0894,0,3,3,0,0.00%,2,1,0,3
"Judge, Court of Criminal Appeals, Place 3",0895,156,286,442,793,55.74%,180,212,15,407
"Judge, Court of Criminal Appeals, Place 3",0896,370,297,667,1459,45.72%,249,357,22,628
"Judge, Court of Criminal Appeals, Place 3",0897,253,297,550,1701,32.33%,310,209,20,539
"Judge, Court of Criminal Appeals, Place 3",0898,0,0,0,3,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0899,2,0,2,8,25.00%,0,2,0,2
"Judge, Court of Criminal Appeals, Place 3",0900,0,2,2,10,20.00%,1,1,0,2
"Judge, Court of Criminal Appeals, Place 3",0901,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0902,396,486,882,2139,41.23%,472,335,29,836
"Judge, Court of Criminal Appeals, Place 3",0903,3,7,10,50,20.00%,3,5,1,9
"Judge, Court of Criminal Appeals, Place 3",0904,1,0,1,7,14.29%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 3",0905,123,100,223,904,24.67%,102,109,4,215
"Judge, Court of Criminal Appeals, Place 3",0906,8,6,14,25,56.00%,7,5,1,13
"Judge, Court of Criminal Appeals, Place 3",0907,12,19,31,181,17.13%,6,25,0,31
"Judge, Court of Criminal Appeals, Place 3",0908,0,1,1,0,0.00%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 3",0909,2,1,3,18,16.67%,0,3,0,3
"Judge, Court of Criminal Appeals, Place 3",0910,25,24,49,217,22.58%,19,23,3,45
"Judge, Court of Criminal Appeals, Place 3",0911,118,60,178,551,32.30%,119,49,4,172
"Judge, Court of Criminal Appeals, Place 3",0912,316,201,517,1273,40.61%,335,142,19,496
"Judge, Court of Criminal Appeals, Place 3",0913,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0914,169,179,348,701,49.64%,276,52,12,340
"Judge, Court of Criminal Appeals, Place 3",0915,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0916,417,240,657,1491,44.06%,512,111,15,638
"Judge, Court of Criminal Appeals, Place 3",0917,177,62,239,483,49.48%,154,62,12,228
"Judge, Court of Criminal Appeals, Place 3",0918,304,168,472,883,53.45%,363,77,12,452
"Judge, Court of Criminal Appeals, Place 3",0919,0,0,0,3,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0920,22,12,34,71,47.89%,23,9,1,33
"Judge, Court of Criminal Appeals, Place 3",0921,32,15,47,119,39.50%,32,13,2,47
"Judge, Court of Criminal Appeals, Place 3",0922,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0923,470,137,607,1511,40.17%,452,131,9,592
"Judge, Court of Criminal Appeals, Place 3",0924,0,0,0,0,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0925,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0926,171,128,299,796,37.56%,223,61,8,292
"Judge, Court of Criminal Appeals, Place 3",0927,44,30,74,270,27.41%,29,35,6,70
"Judge, Court of Criminal Appeals, Place 3",0928,3,0,3,8,37.50%,0,3,0,3
"Judge, Court of Criminal Appeals, Place 3",0929,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0930,109,54,163,584,27.91%,7,155,0,162
"Judge, Court of Criminal Appeals, Place 3",0931,30,40,70,130,53.85%,36,26,2,64
"Judge, Court of Criminal Appeals, Place 3",0932,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0933,115,85,200,627,31.90%,55,133,5,193
"Judge, Court of Criminal Appeals, Place 3",0934,2,0,2,63,3.17%,1,1,0,2
"Judge, Court of Criminal Appeals, Place 3",0935,3,2,5,54,9.26%,2,1,0,3
"Judge, Court of Criminal Appeals, Place 3",0936,8,2,10,81,12.35%,3,6,0,9
"Judge, Court of Criminal Appeals, Place 3",0937,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0938,30,14,44,231,19.05%,9,31,3,43
"Judge, Court of Criminal Appeals, Place 3",0939,0,0,0,2,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0940,0,0,0,10,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0941,9,10,19,25,76.00%,19,0,0,19
"Judge, Court of Criminal Appeals, Place 3",0942,53,27,80,156,51.28%,62,12,3,77
"Judge, Court of Criminal Appeals, Place 3",0943,166,80,246,547,44.97%,169,58,4,231
"Judge, Court of Criminal Appeals, Place 3",0944,20,4,24,45,53.33%,19,0,0,19
"Judge, Court of Criminal Appeals, Place 3",0945,1,2,3,17,17.65%,1,2,0,3
"Judge, Court of Criminal Appeals, Place 3",0946,0,1,1,13,7.69%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 3",0947,177,246,423,799,52.94%,223,167,17,407
"Judge, Court of Criminal Appeals, Place 3",0948,0,14,14,1,1400.00%,10,2,0,12
"Judge, Court of Criminal Appeals, Place 3",0949,34,27,61,193,31.61%,27,29,5,61
"Judge, Court of Criminal Appeals, Place 3",0950,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0951,33,30,63,277,22.74%,17,44,1,62
"Judge, Court of Criminal Appeals, Place 3",0952,18,15,33,71,46.48%,15,14,2,31
"Judge, Court of Criminal Appeals, Place 3",0953,18,9,27,275,9.82%,5,21,1,27
"Judge, Court of Criminal Appeals, Place 3",0954,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0955,3,2,5,19,26.32%,4,1,0,5
"Judge, Court of Criminal Appeals, Place 3",0956,2,4,6,11,54.55%,1,4,0,5
"Judge, Court of Criminal Appeals, Place 3",0957,97,95,192,562,34.16%,20,170,2,192
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0958,81,129,210,1081,19.43%,53,148,4,205
"Judge, Court of Criminal Appeals, Place 3",0959,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0960,196,157,353,976,36.17%,68,266,10,344
"Judge, Court of Criminal Appeals, Place 3",0961,15,0,16,56,28.57%,0,16,0,16
"Judge, Court of Criminal Appeals, Place 3",0962,10,17,27,88,30.68%,3,23,1,27
"Judge, Court of Criminal Appeals, Place 3",0963,54,41,105,426,24.65%,56,43,1,100
"Judge, Court of Criminal Appeals, Place 3",0964,568,437,1005,2372,42.37%,619,344,21,984
"Judge, Court of Criminal Appeals, Place 3",0965,31,21,52,343,15.16%,27,24,1,52
"Judge, Court of Criminal Appeals, Place 3",0966,129,83,212,1148,18.47%,72,128,7,207
"Judge, Court of Criminal Appeals, Place 3",0967,15,48,63,165,38.18%,19,43,0,62
"Judge, Court of Criminal Appeals, Place 3",0968,119,30,149,692,21.53%,32,113,2,147
"Judge, Court of Criminal Appeals, Place 3",0969,156,73,229,604,37.91%,1,224,1,226
"Judge, Court of Criminal Appeals, Place 3",0970,83,36,119,731,16.28%,18,98,1,117
"Judge, Court of Criminal Appeals, Place 3",0971,11,8,19,147,12.93%,1,15,1,17
"Judge, Court of Criminal Appeals, Place 3",0972,e,8,14,31,45.16%,14,0,0,14
"Judge, Court of Criminal Appeals, Place 3",0973,24,19,43,111,38.74%,21,18,0,39
"Judge, Court of Criminal Appeals, Place 3",0974,57,36,93,299,31.10%,56,31,5,92
"Judge, Court of Criminal Appeals, Place 3",0975,55,30,85,193,44.04%,41,37,2,80
"Judge, Court of Criminal Appeals, Place 3",0976,58,62,130,683,19.03%,80,44,5,129
"Judge, Court of Criminal Appeals, Place 3",0977,50,43,93,572,16.26%,40,50,3,93
"Judge, Court of Criminal Appeals, Place 3",0978,77,79,156,546,28.57%,31,121,2,154
"Judge, Court of Criminal Appeals, Place 3",0979,2,6,8,27,29.63%,4,3,0,7
"Judge, Court of Criminal Appeals, Place 3",0980,280,321,601,1389,43.27%,450,119,10,579
"Judge, Court of Criminal Appeals, Place 3",0981,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0982,312,312,624,1567,39.82%,513,85,10,608
"Judge, Court of Criminal Appeals, Place 3",0983,12,21,33,161,20.50%,21,11,1,33
"Judge, Court of Criminal Appeals, Place 3",0984,18,9,27,192,14.06%,4,22,0,26
"Judge, Court of Criminal Appeals, Place 3",0985,117,63,180,351,51.28%,85,77,6,168
"Judge, Court of Criminal Appeals, Place 3",0986,43,30,73,463,15.77%,11,60,1,72
"Judge, Court of Criminal Appeals, Place 3",0987,231,90,321,1155,27.79%,26,281,8,315
"Judge, Court of Criminal Appeals, Place 3",0988,24,12,36,123,29.27%,34,2,0,36
"Judge, Court of Criminal Appeals, Place 3",0989,e,6,12,43,27.91%,8,3,1,12
"Judge, Court of Criminal Appeals, Place 3",0990,16,1,17,140,12.14%,7,9,0,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0991,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0992,157,107,264,1048,25.19%,141,103,8,252
"Judge, Court of Criminal Appeals, Place 3",0993,159,101,270,568,47.54%,219,39,7,265
"Judge, Court of Criminal Appeals, Place 3",0994,e,5,11,25,44.00%,2,9,0,11
"Judge, Court of Criminal Appeals, Place 3",0995,296,156,452,1393,32.45%,26,415,6,447
"Judge, Court of Criminal Appeals, Place 3",0996,136,140,276,694,39.77%,153,92,15,260
"Judge, Court of Criminal Appeals, Place 3",0997,101,163,264,1656,15.94%,54,197,7,258
"Judge, Court of Criminal Appeals, Place 3",0998,5,1,6,57,10.53%,3,3,0,6
"Judge, Court of Criminal Appeals, Place 3",0999,17,10,27,68,39.71%,23,3,1,27
"Judge, Court of Criminal Appeals, Place 3",1000,42,6,48,405,11.85%,11,36,0,47
"Judge, Court of Criminal Appeals, Place 3",1001,228,136,364,1565,23.26%,98,244,5,347
"Judge, Court of Criminal Appeals, Place 3",1002,170,139,309,1744,17.72%,49,232,12,293
"Judge, Court of Criminal Appeals, Place 3",1003,1,0,1,0,0.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 3",1004,111,139,250,654,38.23%,118,100,15,233
"Judge, Court of Criminal Appeals, Place 3",1005,0,8,8,0,0.00%,3,3,2,8
"Judge, Court of Criminal Appeals, Place 3",1006,1,0,1,5,20.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 3",1007,208,188,396,1547,25.60%,90,280,11,381
"Judge, Court of Criminal Appeals, Place 3",1008,32,12,44,151,29.14%,33,9,1,43
"Judge, Court of Criminal Appeals, Place 3",1009,0,0,0,9,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",1010,59,35,94,459,20.48%,16,76,0,92
"Judge, Court of Criminal Appeals, Place 3",1011,8,1,9,26,34.62%,4,3,0,7
"Judge, Court of Criminal Appeals, Place 3",1012,134,201,335,1365,24.54%,104,220,5,329
"Judge, Court of Criminal Appeals, Place 3",1013,0,6,6,58,10.34%,3,3,0,6
"Judge, Court of Criminal Appeals, Place 3",1014,4,6,10,31,32.26%,1,9,0,10
"Judge, Court of Criminal Appeals, Place 3",1015,5,4,9,25,36.00%,2,6,0,8
"Judge, Court of Criminal Appeals, Place 3",1016,252,212,464,1691,27.44%,220,215,17,452
"Judge, Court of Criminal Appeals, Place 3",1017,61,44,105,330,31.82%,31,70,2,103
"Judge, Court of Criminal Appeals, Place 3",1018,93,64,157,494,31.78%,73,81,1,155
"Judge, Court of Criminal Appeals, Place 3",1019,130,107,237,1456,16.28%,10,222,3,235
"Judge, Court of Criminal Appeals, Place 3",1020,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",1021,0,0,0,2,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",1022,97,79,176,441,39.91%,130,32,5,167
"Judge, Court of Criminal Appeals, Place 3",1023,430,315,745,2026,36.77%,525,181,16,722
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",1024,55,61,116,249,46.59%,60,43,6,109
"Judge, Court of Criminal Appeals, Place 3",1025,0,1,1,14,7.14%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 3",1026,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",1027,1,0,1,8,12.50%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 3",1028,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",1029,538,719,1257,2927,42.94%,991,206,27,1224
"Judge, Court of Criminal Appeals, Place 3",1030,231,151,382,785,48.66%,333,39,5,377
"Judge, Court of Criminal Appeals, Place 3",1031,59,71,130,792,16.41%,33,85,3,121
"Judge, Court of Criminal Appeals, Place 3",1032,31,25,56,244,22.95%,36,16,1,53
"Judge, Court of Criminal Appeals, Place 3",1033,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",1034,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",1035,2,4,6,138,4.35%,1,4,1,6
"Judge, Court of Criminal Appeals, Place 3",1036,55,24,89,449,19.82%,71,16,1,88
"Judge, Court of Criminal Appeals, Place 3",1037,19,11,30,76,39.47%,17,9,1,27
"Judge, Court of Criminal Appeals, Place 3",1038,52,6,68,327,20.80%,9,58,0,67
"Judge, Court of Criminal Appeals, Place 3",1039,2,0,2,25,8.00%,0,2,0,2
"Judge, Court of Criminal Appeals, Place 3",1040,91,66,157,771,20.36%,68,81,4,153
"Judge, Court of Criminal Appeals, Place 3",1041,0,2,2,0,0.00%,1,1,0,2
"Judge, Court of Criminal Appeals, Place 3",1042,105,67,172,521,33.01%,51,110,6,167
"Judge, Court of Criminal Appeals, Place 3",1043,6,e,12,33,36.36%,4,8,0,12
"Judge, Court of Criminal Appeals, Place 3",1044,15,6,22,55,40.00%,7,15,0,22
"Judge, Court of Criminal Appeals, Place 3",1045,197,173,370,1788,20.69%,48,304,7,359
"Judge, Court of Criminal Appeals, Place 3",1046,11,5,16,62,25.81%,1,15,0,16
"Judge, Court of Criminal Appeals, Place 3",1047,255,186,441,1568,28.13%,161,261,12,434
"Judge, Court of Criminal Appeals, Place 3",1048,1,0,1,17,5.88%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 3",1049,14,45,59,290,20.34%,19,35,3,57
"Judge, Court of Criminal Appeals, Place 3",1050,60,63,123,537,22.91%,35,83,0,118
"Judge, Court of Criminal Appeals, Place 3",1051,0,31,31,0,0.00%,17,10,3,30
"Judge, Court of Criminal Appeals, Place 3",1052,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",1053,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",1054,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",1055,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",1056,4,2,6,8,75.00%,0,6,0,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",1057,7,9,16,118,13.56%,3,13,0,16
"Judge, Court of Criminal Appeals, Place 3",1058,241,285,526,1243,42.32%,98,403,12,513
"Judge, Court of Criminal Appeals, Place 3",1059,3,3,6,28,21.43%,1,5,0,6
"Judge, Court of Criminal Appeals, Place 3",1060,5,2,7,42,16.67%,5,2,0,7
"Judge, Court of Criminal Appeals, Place 3",1061,332,184,516,1716,30.07%,269,219,14,502
"Judge, Court of Criminal Appeals, Place 3",1062,17,6,23,201,11.44%,4,17,0,21
"Judge, Court of Criminal Appeals, Place 3",1063,66,59,125,857,14.59%,18,102,3,123
"Judge, Court of Criminal Appeals, Place 3",1064,25,11,36,119,30.25%,28,8,0,36
"Judge, Court of Criminal Appeals, Place 3",1065,1,0,1,28,3.57%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 3",1066,72,0,72,229,31.44%,3,66,0,69
"Judge, Court of Criminal Appeals, Place 3",1067,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",1068,22,8,30,121,24.79%,12,16,1,29
"Judge, Court of Criminal Appeals, Place 3",1069,434,256,690,2580,26.74%,311,332,18,661
"Judge, Court of Criminal Appeals, Place 3",Totals:,379077,308736,687813,2044361,353849,291492,18358,663699
