Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0184,106,135,241,994,24.25%,82,133,6,221
"Judge, Court of Criminal Appeals, Place 3",0185,283,292,575,1933,29.75%,207,336,8,551
"Judge, Court of Criminal Appeals, Place 3",0186,97,106,203,798,25.44%,32,162,2,196
"Judge, Court of Criminal Appeals, Place 3",0187,21,25,46,311,14.79%,16,28,1,45
"Judge, Court of Criminal Appeals, Place 3",0188,153,146,299,1637,18.27%,132,145,12,289
"Judge, Court of Criminal Appeals, Place 3",0189,239,360,599,1465,40.89%,297,228,34,559
"Judge, Court of Criminal Appeals, Place 3",0190,120,177,297,1723,17.24%,122,150,12,284
"Judge, Court of Criminal Appeals, Place 3",0191,79,126,205,1366,15.01%,85,108,6,199
"Judge, Court of Criminal Appeals, Place 3",0192,381,225,808,1959,30.93%,24,561,7,592
"Judge, Court of Criminal Appeals, Place 3",0193,173,187,360,1074,33.52%,10,334,4,348
"Judge, Court of Criminal Appeals, Place 3",0194,351,431,782,1912,40.90%,229,488,38,755
"Judge, Court of Criminal Appeals, Place 3",0195,269,278,547,1694,32.29%,19,509,6,534
"Judge, Court of Criminal Appeals, Place 3",0196,52,32,84,316,26.58%,5,76,2,83
"Judge, Court of Criminal Appeals, Place 3",0197,543,309,852,2914,29.24%,13,821,6,840
"Judge, Court of Criminal Appeals, Place 3",0198,53,74,127,642,19.78%,1,123,2,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0199,812,661,1473,3216,45.80%,1127,243,55,1425
"Judge, Court of Criminal Appeals, Place 3",0200,962,536,1498,3382,44.29%,673,697,35,1405
"Judge, Court of Criminal Appeals, Place 3",0201,98,87,185,724,25.55%,2,176,3,181
"Judge, Court of Criminal Appeals, Place 3",0202,217,189,406,1464,27.73%,10,387,2,399
"Judge, Court of Criminal Appeals, Place 3",0203,107,68,175,960,18.23%,39,119,5,163
"Judge, Court of Criminal Appeals, Place 3",0204,817,784,1601,3487,45.91%,862,564,75,1501
"Judge, Court of Criminal Appeals, Place 3",0205,465,171,636,1664,38.22%,11,611,6,628
"Judge, Court of Criminal Appeals, Place 3",0206,354,462,826,2779,29.72%,233,516,44,793
"Judge, Court of Criminal Appeals, Place 3",0207,265,261,526,1188,44.28%,166,316,16,498
"Judge, Court of Criminal Appeals, Place 3",0208,322,262,584,2195,26.61%,174,372,16,562
"Judge, Court of Criminal Appeals, Place 3",0209,0,2,2,0,0.00%,2,0,0,2
"Judge, Court of Criminal Appeals, Place 3",0210,502,467,969,2533,38.26%,102,817,26,945
"Judge, Court of Criminal Appeals, Place 3",0211,307,386,693,2914,23.78%,253,390,21,664
"Judge, Court of Criminal Appeals, Place 3",0212,96,155,251,1300,19.31%,50,186,6,242
"Judge, Court of Criminal Appeals, Place 3",0213,826,913,1739,3350,51.91%,1383,231,38,1652
"Judge, Court of Criminal Appeals, Place 3",0214,404,491,895,1854,48.27%,563,261,27,851
"Judge, Court of Criminal Appeals, Place 3",0215,423,711,1134,2258,50.22%,663,358,53,1074
"Judge, Court of Criminal Appeals, Place 3",0216,362,223,585,1945,30.08%,35,533,3,571
"Judge, Court of Criminal Appeals, Place 3",0217,844,631,1475,2678,55.08%,974,370,42,1386
"Judge, Court of Criminal Appeals, Place 3",0218,392,402,794,2292,34.64%,238,469,34,741
"Judge, Court of Criminal Appeals, Place 3",0219,497,436,933,2767,33.72%,46,848,13,907
