Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0210,502,467,969,2533,38.26%,177,177
"Judge, County Criminal Court No. 9",0211,307,386,693,2914,23.78%,327,327
"Judge, County Criminal Court No. 9",0212,96,155,251,1300,19.31%,75,75
"Judge, County Criminal Court No. 9",0213,826,913,1739,3350,51.91%,1395,1395
"Judge, County Criminal Court No. 9",0214,404,491,895,1854,48.27%,597,597
"Judge, County Criminal Court No. 9",0215,421,711,1132,2258,50.13%,723,723
"Judge, County Criminal Court No. 9",0216,362,223,585,1945,30.08%,68,68
"Judge, County Criminal Court No. 9",0217,844,631,1475,2678,55.08%,983,983
"Judge, County Criminal Court No. 9",0218,391,402,793,2292,34.60%,340,340
"Judge, County Criminal Court No. 9",0219,496,436,932,2767,33.68%,93,93
"Judge, County Criminal Court No. 9",0220,325,187,512,2310,22.16%,383,383
"Judge, County Criminal Court No. 9",0221,332,369,701,2529,27.72%,380,380
"Judge, County Criminal Court No. 9",0222,623,674,1297,2501,51.86%,654,654
"Judge, County Criminal Court No. 9",0223,563,377,940,3582,26.24%,373,373
"Judge, County Criminal Court No. 9",0224,530,456,986,2238,44.06%,504,504
"Judge, County Criminal Court No. 9",0225,376,405,781,3305,23.63%,448,448
"Judge, County Criminal Court No. 9",0226,227,307,534,2436,21.92%,181,181
"Judge, County Criminal Court No. 9",0227,558,423,981,1785,54.96%,727,727
"Judge, County Criminal Court No. 9",0228,362,195,557,1050,53.05%,47,47
"Judge, County Criminal Court No. 9",0229,31,96,127,815,15.58%,68,68
"Judge, County Criminal Court No. 9",0230,185,116,301,1089,27.64%,19,19
"Judge, County Criminal Court No. 9",0231,233,264,497,2232,22.27%,176,176
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0232,361,474,835,1760,47.44%,499,499
"Judge, County Criminal Court No. 9",0233,890,801,1691,4445,38.04%,910,910
"Judge, County Criminal Court No. 9",0234,1192,913,2105,3993,52.72%,1619,1619
"Judge, County Criminal Court No. 9",0235,240,158,398,1356,29.35%,25,25
"Judge, County Criminal Court No. 9",0236,354,235,589,2079,28.33%,41,41
"Judge, County Criminal Court No. 9",0237,416,253,669,2161,30.96%,35,35
"Judge, County Criminal Court No. 9",0238,339,245,584,1925,30.34%,39,39
"Judge, County Criminal Court No. 9",0239,383,236,619,1964,31.52%,42,42
"Judge, County Criminal Court No. 9",0240,585,243,828,2649,31.26%,64,64
"Judge, County Criminal Court No. 9",0241,222,229,451,2372,19.01%,215,215
"Judge, County Criminal Court No. 9",0242,173,162,335,1596,20.99%,213,213
"Judge, County Criminal Court No. 9",0243,138,43,181,457,39.61%,15,15
"Judge, County Criminal Court No. 9",0244,480,425,905,3117,29.03%,561,561
"Judge, County Criminal Court No. 9",0245,945,799,1745,5828,29.94%,1291,1291
"Judge, County Criminal Court No. 9",0246,584,513,1197,3315,36.11%,894,894
"Judge, County Criminal Court No. 9",0247,173,254,427,1582,26.99%,44,44
"Judge, County Criminal Court No. 9",0248,161,167,328,2100,15.62%,119,119
"Judge, County Criminal Court No. 9",0249,461,348,809,2719,29.75%,602,602
"Judge, County Criminal Court No. 9",0250,109,164,273,964,28.32%,22,22
"Judge, County Criminal Court No. 9",0251,278,436,714,2089,34.18%,51,51
"Judge, County Criminal Court No. 9",0252,504,312,816,2377,34.33%,44,44
"Judge, County Criminal Court No. 9",0253,379,222,601,2177,27.61%,36,36
"Judge, County Criminal Court No. 9",0254,93,112,205,1550,13.23%,81,81
"Judge, County Criminal Court No. 9",0255,525,648,1173,2482,47.26%,601,601
