Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",1030,231,151,382,785,48.66%,337,337
"Judge, County Criminal Court No. 9",1031,59,71,130,792,16.41%,44,44
"Judge, County Criminal Court No. 9",1032,31,25,56,244,22.95%,39,39
"Judge, County Criminal Court No. 9",1033,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",1034,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",1035,2,4,6,138,4.35%,2,2
"Judge, County Criminal Court No. 9",1036,65,24,89,449,19.82%,77,77
"Judge, County Criminal Court No. 9",1037,19,11,30,76,39.47%,18,18
"Judge, County Criminal Court No. 9",1038,62,6,68,327,20.80%,12,12
"Judge, County Criminal Court No. 9",1039,2,0,2,25,8.00%,0,0
"Judge, County Criminal Court No. 9",1040,91,66,157,771,20.36%,85,85
"Judge, County Criminal Court No. 9",1041,0,2,2,0,0.00%,1,1
"Judge, County Criminal Court No. 9",1042,105,67,172,521,33.01%,62,62
"Judge, County Criminal Court No. 9",1043,5,6,12,33,36.36%,4,4
"Judge, County Criminal Court No. 9",1044,16,6,22,55,40.00%,11,11
"Judge, County Criminal Court No. 9",1045,197,173,370,1788,20.69%,69,69
"Judge, County Criminal Court No. 9",1046,11,5,16,62,25.81%,1,1
"Judge, County Criminal Court No. 9",1047,255,186,441,1568,28.13%,201,201
"Judge, County Criminal Court No. 9",1048,1,0,1,17,5.88%,1,1
"Judge, County Criminal Court No. 9",1049,14,45,59,290,20.34%,25,25
"Judge, County Criminal Court No. 9",1050,60,63,123,537,22.91%,45,45
"Judge, County Criminal Court No. 9",1051,0,31,31,0,0.00%,23,23
"Judge, County Criminal Court No. 9",1052,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",1053,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",1054,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No. 9",1055,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",1056,4,2,6,8,75.00%,2,2
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",1057,7,9,16,118,13.56%,3,3
"Judge, County Criminal Court No. 9",1058,241,285,526,1243,42.32%,140,140
"Judge, County Criminal Court No. 9",1059,3,3,6,28,21.43%,2,2
"Judge, County Criminal Court No. 9",1060,5,2,7,42,16.67%,5,5
"Judge, County Criminal Court No. 9",1061,332,184,516,1716,30.07%,310,310
"Judge, County Criminal Court No. 9",1062,17,6,23,201,11.44%,7,7
"Judge, County Criminal Court No. 9",1063,66,59,125,857,14.59%,27,27
"Judge, County Criminal Court No. 9",1064,25,11,36,119,30.25%,28,28
"Judge, County Criminal Court No. 9",1065,1,0,1,28,3.57%,0,0
"Judge, County Criminal Court No. 9",1066,72,0,72,229,31.44%,6,6
"Judge, County Criminal Court No. 9",1067,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",1068,22,8,30,121,24.79%,16,16
"Judge, County Criminal Court No. 9",1069,434,256,690,2580,26.74%,358,358
"Judge, County Criminal Court No. 9",Totals:,378846,308736,687582,2044361,,392466,392466
