Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0168,92,58,150,503,29.82%,2,146,1,0,0,149
Governor,0169,516,251,767,2513,30.52%,16,741,1,2,0,750
Governor,0170,271,141,412,1869,22.04%,216,176,8,1,1,402
Governor,0171,202,198,400,1604,24.94%,8,384,1,1,0,394
Governor,0172,86,80,166,621,26.73%,64,96,1,1,0,152
Governor,0173,819,739,1558,3599,43.29%,1238,291,20,3,0,1552
Governor,0174,830,733,1563,3296,47.42%,1041,479,24,4,0,1548
Governor,0175,550,749,1309,2618,50.00%,608,677,12,5,0,1302
Governor,0176,344,451,795,1602,49.63%,384,401,3,2,0,790
Governor,0177,278,326,604,1496,40.37%,325,270,6,2,0,603
Governor,0178,504,365,869,1765,49.24%,564,289,13,1,0,867
Governor,0179,256,188,444,1575,28.19%,232,186,7,9,0,434
Governor,0180,470,343,813,2834,28.69%,21,768,5,6,0,800
Governor,0181,175,262,437,2061,21.20%,144,270,7,7,0,428
Governor,0182,590,974,1564,3405,45.93%,890,633,14,4,0,1541
Governor,0183,520,794,1314,2491,52.75%,808,481,10,4,0,1303
Governor,0184,106,135,241,994,24.25%,88,137,4,1,0,230
Governor,0185,283,292,575,1933,29.75%,201,352,3,3,0,559
Governor,0186,97,106,203,798,25.44%,31,167,1,2,0,201
Governor,0187,21,25,46,311,14.79%,15,29,0,2,0,46
Governor,0188,153,146,299,1637,18.27%,146,140,4,3,0,293
Governor,0189,239,360,599,1465,40.89%,307,272,14,3,0,596
Governor,0190,120,177,297,1723,17.24%,124,160,3,2,0,289
Governor,0191,79,126,205,1366,15.01%,96,100,4,2,0,202
Governor,0192,381,225,606,1959,30.93%,28,567,1,1,0,597
Governor,0193,173,187,360,1074,33.52%,13,341,0,1,0,355
Governor,0194,351,431,782,1912,40.90%,204,553,14,5,0,776
Governor,0195,269,278,547,1694,32.29%,19,515,6,2,0,542
Governor,0196,52,32,84,316,26.58%,6,77,1,0,0,84
Governor,0197,543,309,852,2914,29.24%,20,815,5,1,0,841
Governor,0198,53,74,127,642,19.78%,1,123,0,1,0,125
