Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Harmon,DEM Harold J. Landreneau,Totals
"Judge, County Criminal Court No. 2",0306,649,342,991,1879,52.74%,725,204,929
"Judge, County Criminal Court No. 2",0307,733,670,1403,3099,45.27%,972,342,1314
"Judge, County Criminal Court No. 2",0308,199,130,329,1296,25.39%,118,200,318
"Judge, County Criminal Court No. 2",0309,708,593,1301,2524,51.55%,1050,170,1220
"Judge, County Criminal Court No. 2",0310,386,279,665,1435,46.34%,459,159,618
"Judge, County Criminal Court No. 2",0311,486,421,907,2986,30.38%,503,339,842
"Judge, County Criminal Court No. 2",0312,742,457,1199,3636,32.98%,796,349,1145
"Judge, County Criminal Court No. 2",0313,9,0,9,62,14.52%,7,1,8
"Judge, County Criminal Court No. 2",0314,1121,913,2034,5647,36.02%,1292,674,1966
"Judge, County Criminal Court No. 2",0315,478,388,866,1608,53.86%,519,286,805
"Judge, County Criminal Court No. 2",0316,412,341,753,1537,48.99%,431,263,694
"Judge, County Criminal Court No. 2",0317,248,209,457,1588,28.78%,150,282,432
"Judge, County Criminal Court No. 2",0318,834,568,1402,3660,38.31%,75,1282,1357
"Judge, County Criminal Court No. 2",0319,512,230,742,2158,34.38%,47,669,716
"Judge, County Criminal Court No. 2",0320,234,168,402,1537,26.15%,203,182,385
"Judge, County Criminal Court No. 2",0321,262,191,453,2346,19.31%,170,258,428
"Judge, County Criminal Court No. 2",0322,181,129,310,1226,25.29%,107,192,299
"Judge, County Criminal Court No. 2",0323,278,211,489,1722,28.40%,236,221,457
"Judge, County Criminal Court No. 2",0324,532,646,1178,2336,50.43%,735,350,1085
"Judge, County Criminal Court No. 2",0325,289,193,482,2112,22.82%,110,349,459
"Judge, County Criminal Court No. 2",0326,87,74,161,698,23.07%,81,71,152
"Judge, County Criminal Court No. 2",0327,380,129,509,1729,29.44%,10,484,494
"Judge, County Criminal Court No. 2",0328,151,140,291,1434,20.29%,129,148,277
"Judge, County Criminal Court No. 2",0329,189,184,373,1397,26.70%,149,204,353
"Judge, County Criminal Court No. 2",0330,334,253,587,1936,30.32%,339,218,557
"Judge, County Criminal Court No. 2",0331,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0332,18,7,25,138,18.12%,13,9,22
"Judge, County Criminal Court No. 2",0333,524,714,1238,3021,40.98%,878,291,1169
"Judge, County Criminal Court No. 2",0334,83,42,125,742,16.85%,21,100,121
"Judge, County Criminal Court No. 2",0335,121,98,219,1300,16.85%,85,119,204
"Judge, County Criminal Court No. 2",0336,866,624,1490,4051,36.78%,135,1316,1451
"Judge, County Criminal Court No. 2",0337,124,103,227,1029,22.06%,47,168,215
