Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Sitton,DEM Steve Brown,LIB Mark A. Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0718,1017,806,1823,4229,43.11%,1288,417,53,11,1769
Railroad Commissioner,0719,247,137,384,1589,24.17%,230,131,8,7,376
Railroad Commissioner,0720,995,780,1775,4282,41.45%,1305,369,45,15,1734
Railroad Commissioner,0721,754,532,1286,2870,44.81%,844,356,36,15,1251
Railroad Commissioner,0722,873,494,1367,4479,30.52%,91,1205,17,27,1340
Railroad Commissioner,0723,401,202,603,1858,32.45%,131,448,4,6,589
Railroad Commissioner,0724,151,128,279,766,36.42%,217,49,1,3,270
Railroad Commissioner,0725,423,237,660,2237,29.50%,301,325,8,10,644
Railroad Commissioner,0726,592,402,994,2087,47.63%,865,91,19,7,982
Railroad Commissioner,0727,338,290,628,2488,25.24%,201,379,15,11,606
Railroad Commissioner,0728,209,151,360,880,40.91%,225,110,11,5,351
Railroad Commissioner,0729,136,59,195,464,42.03%,117,68,3,5,193
Railroad Commissioner,0730,428,359,787,1747,45.05%,511,214,17,13,755
Railroad Commissioner,0731,58,27,85,352,24.15%,25,58,0,1,84
Railroad Commissioner,0732,441,324,765,1924,39.76%,469,240,28,10,747
Railroad Commissioner,0733,13,7,20,215,9.30%,7,11,1,0,19
Railroad Commissioner,0734,1558,962,2520,7005,35.97%,1712,688,59,22,2481
Railroad Commissioner,0735,6,0,8,18,33.33%,5,0,1,0,6
Railroad Commissioner,0736,3,1,4,22,18.18%,0,3,0,1,4
Railroad Commissioner,0737,11,7,18,51,35.29%,12,6,0,0,18
Railroad Commissioner,0738,139,100,239,1361,17.56%,44,179,3,5,231
Railroad Commissioner,0739,353,301,654,2955,22.13%,331,274,16,16,637
Railroad Commissioner,0740,96,98,194,939,20.66%,123,58,3,5,189
Railroad Commissioner,0741,0,1,1,0,0.00%,0,1,0,0,1
Railroad Commissioner,0742,0,11,11,0,0.00%,6,5,0,0,11
Railroad Commissioner,0743,15,18,33,210,15.71%,15,12,0,3,30
Railroad Commissioner,0744,456,392,848,2027,41.84%,540,242,29,11,822
Railroad Commissioner,0745,683,372,1055,2494,42.30%,648,340,27,12,1027
Railroad Commissioner,0746,114,77,191,691,27.64%,92,91,2,6,191
Railroad Commissioner,0747,551,467,1018,3743,27.20%,469,463,35,30,997
Railroad Commissioner,0748,172,140,312,1403,22.24%,158,127,16,4,305
Railroad Commissioner,0749,30,17,47,377,12.47%,8,36,0,0,44
Railroad Commissioner,0750,111,96,207,767,26.99%,126,68,4,6,204
Railroad Commissioner,0751,925,964,1889,5084,37.16%,1232,536,52,28,1848
Railroad Commissioner,0752,286,200,486,1483,32.77%,355,99,13,6,473
