Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0219,496,436,932,2767,33.68%,45,844,889
"Judge, County Probate Court No. 3",0220,325,187,512,2310,22.16%,368,126,494
"Judge, County Probate Court No. 3",0221,332,369,701,2529,27.72%,304,360,664
"Judge, County Probate Court No. 3",0222,623,674,1297,2501,51.86%,540,645,1185
"Judge, County Probate Court No. 3",0223,563,377,940,3582,26.24%,252,629,881
"Judge, County Probate Court No. 3",0224,530,456,986,2238,44.06%,426,483,909
"Judge, County Probate Court No. 3",0225,376,405,781,3305,23.63%,388,360,748
"Judge, County Probate Court No. 3",0226,227,307,534,2436,21.92%,136,368,504
"Judge, County Probate Court No. 3",0227,558,423,981,1785,54.96%,663,228,891
"Judge, County Probate Court No. 3",0228,362,195,557,1050,53.05%,24,513,537
"Judge, County Probate Court No. 3",0229,31,96,127,815,15.58%,57,63,120
"Judge, County Probate Court No. 3",0230,185,116,301,1089,27.64%,9,281,290
"Judge, County Probate Court No. 3",0231,233,264,497,2232,22.27%,126,340,466
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0232,361,474,835,1760,47.44%,432,340,772
"Judge, County Probate Court No. 3",0233,890,801,1691,4445,38.04%,768,781,1549
"Judge, County Probate Court No. 3",0234,1192,913,2105,3993,52.72%,1526,415,1941
"Judge, County Probate Court No. 3",0235,240,158,398,1356,29.35%,12,373,385
"Judge, County Probate Court No. 3",0236,354,235,589,2079,28.33%,12,559,571
"Judge, County Probate Court No. 3",0237,416,253,669,2161,30.96%,10,641,651
"Judge, County Probate Court No. 3",0238,339,245,584,1925,30.34%,13,558,571
"Judge, County Probate Court No. 3",0239,383,236,619,1964,31.52%,21,585,606
"Judge, County Probate Court No. 3",0240,585,243,828,2649,31.26%,18,792,810
"Judge, County Probate Court No. 3",0241,222,229,451,2372,19.01%,189,241,430
"Judge, County Probate Court No. 3",0242,173,162,335,1596,20.99%,199,122,321
"Judge, County Probate Court No. 3",0243,138,43,181,457,39.61%,2,178,180
"Judge, County Probate Court No. 3",0244,480,425,905,3117,29.03%,501,356,857
"Judge, County Probate Court No. 3",0245,945,799,1745,5828,29.94%,1230,473,1703
"Judge, County Probate Court No. 3",0246,584,513,1197,3315,36.11%,850,304,1154
"Judge, County Probate Court No. 3",0247,173,254,427,1582,26.99%,12,409,421
"Judge, County Probate Court No. 3",0248,161,167,328,2100,15.62%,95,218,313
"Judge, County Probate Court No. 3",0249,461,348,809,2719,29.75%,565,216,781
"Judge, County Probate Court No. 3",0250,109,164,273,964,28.32%,8,260,268
"Judge, County Probate Court No. 3",0251,278,436,714,2089,34.18%,26,673,699
"Judge, County Probate Court No. 3",0252,504,312,816,2377,34.33%,14,782,796
"Judge, County Probate Court No. 3",0253,379,222,601,2177,27.61%,10,575,585
"Judge, County Probate Court No. 3",0254,93,112,205,1550,13.23%,66,128,194
"Judge, County Probate Court No. 3",0255,525,648,1173,2482,47.26%,519,564,1083
"Judge, County Probate Court No. 3",0256,575,449,1024,3254,31.47%,485,473,958
"Judge, County Probate Court No. 3",0257,204,245,449,2523,17.80%,140,289,429
"Judge, County Probate Court No. 3",0258,839,800,1539,3322,49.34%,1153,365,1518
"Judge, County Probate Court No. 3",0259,555,382,1038,2361,43.96%,26,979,1005
"Judge, County Probate Court No. 3",0260,162,145,307,1260,24.37%,172,111,283
"Judge, County Probate Court No. 3",0261,124,120,244,1417,17.22%,103,131,234
"Judge, County Probate Court No. 3",0262,758,600,1358,4397,30.88%,835,436,1271
"Judge, County Probate Court No. 3",0263,858,712,1570,3693,42.51%,1193,310,1503
"Judge, County Probate Court No. 3",0264,480,457,937,2963,31.62%,569,308,877
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0265,988,759,1747,3584,48.74%,1261,357,1618
"Judge, County Probate Court No. 3",0266,259,257,516,2104,24.52%,257,226,483
"Judge, County Probate Court No. 3",0267,146,166,312,1327,23.51%,165,123,288
