Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0988,24,12,36,123,29.27%,34,2,36
"Judge, County Probate Court No. 3",0989,e,6,12,43,27.91%,8,4,12
"Judge, County Probate Court No. 3",0990,16,1,17,140,12.14%,8,8,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0991,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 3",0992,157,107,264,1048,25.19%,149,102,251
"Judge, County Probate Court No. 3",0993,169,101,270,568,47.54%,219,41,260
"Judge, County Probate Court No. 3",0994,5,5,11,25,44.00%,2,9,11
"Judge, County Probate Court No. 3",0995,295,156,451,1393,32.38%,29,411,440
"Judge, County Probate Court No. 3",0996,135,140,275,694,39.63%,158,97,255
"Judge, County Probate Court No. 3",0997,101,163,264,1656,15.94%,58,201,259
"Judge, County Probate Court No. 3",0998,5,1,6,57,10.53%,3,3,6
"Judge, County Probate Court No. 3",0999,17,10,27,68,39.71%,23,3,26
"Judge, County Probate Court No. 3",1000,42,6,48,405,11.85%,12,35,47
"Judge, County Probate Court No. 3",1001,228,136,364,1565,23.26%,93,252,345
"Judge, County Probate Court No. 3",1002,170,139,309,1744,17.72%,57,235,292
"Judge, County Probate Court No. 3",1003,1,0,1,0,0.00%,1,0,1
"Judge, County Probate Court No. 3",1004,111,139,250,654,38.23%,119,103,222
"Judge, County Probate Court No. 3",1005,0,8,8,0,0.00%,3,3,6
"Judge, County Probate Court No. 3",1006,1,0,1,5,20.00%,1,0,1
"Judge, County Probate Court No. 3",1007,208,188,396,1547,25.60%,92,288,380
"Judge, County Probate Court No. 3",1008,32,12,44,151,29.14%,34,9,43
"Judge, County Probate Court No. 3",1009,0,0,0,9,0.00%,0,0,0
"Judge, County Probate Court No. 3",1010,59,35,94,459,20.48%,16,76,92
"Judge, County Probate Court No. 3",1011,8,1,9,26,34.62%,4,4,8
"Judge, County Probate Court No. 3",1012,134,201,335,1365,24.54%,102,226,328
"Judge, County Probate Court No. 3",1013,0,6,6,58,10.34%,4,2,6
"Judge, County Probate Court No. 3",1014,4,6,10,31,32.26%,1,9,10
"Judge, County Probate Court No. 3",1015,5,4,9,25,36.00%,2,6,8
"Judge, County Probate Court No. 3",1016,252,212,464,1691,27.44%,229,220,449
"Judge, County Probate Court No. 3",1017,61,44,105,330,31.82%,33,70,103
"Judge, County Probate Court No. 3",1018,93,64,157,494,31.78%,71,81,152
"Judge, County Probate Court No. 3",1019,130,107,237,1456,16.28%,11,222,233
"Judge, County Probate Court No. 3",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 3",1021,0,0,0,2,0.00%,0,0,0
"Judge, County Probate Court No. 3",1022,97,79,176,441,39.91%,132,33,165
"Judge, County Probate Court No. 3",1023,430,315,745,2026,36.77%,525,189,714
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",1024,55,61,116,249,46.59%,61,46,107
"Judge, County Probate Court No. 3",1025,0,1,1,14,7.14%,1,0,1
"Judge, County Probate Court No. 3",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",1027,1,0,1,8,12.50%,1,0,1
"Judge, County Probate Court No. 3",1028,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",1029,537,719,1256,2927,42.91%,974,224,1198
"Judge, County Probate Court No. 3",1030,231,151,382,785,48.66%,327,47,374
"Judge, County Probate Court No. 3",1031,59,71,130,792,16.41%,34,88,122
"Judge, County Probate Court No. 3",1032,31,25,56,244,22.95%,34,18,52
"Judge, County Probate Court No. 3",1033,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",1034,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",1035,2,4,6,138,4.35%,1,4,5
"Judge, County Probate Court No. 3",1036,55,24,89,449,19.82%,73,14,87
"Judge, County Probate Court No. 3",1037,19,11,30,76,39.47%,17,9,26
"Judge, County Probate Court No. 3",1038,52,6,68,327,20.80%,10,54,64
"Judge, County Probate Court No. 3",1039,2,0,2,25,8.00%,0,2,2
"Judge, County Probate Court No. 3",1040,91,66,157,771,20.36%,73,77,150
"Judge, County Probate Court No. 3",1041,0,2,2,0,0.00%,0,2,2
"Judge, County Probate Court No. 3",1042,105,67,172,521,33.01%,53,110,163
"Judge, County Probate Court No. 3",1043,6,e,12,33,36.36%,4,8,12
"Judge, County Probate Court No. 3",1044,15,6,22,55,40.00%,8,13,21
"Judge, County Probate Court No. 3",1045,197,173,370,1788,20.69%,51,306,357
"Judge, County Probate Court No. 3",1046,11,5,16,62,25.81%,1,15,16
"Judge, County Probate Court No. 3",1047,255,186,441,1568,28.13%,160,268,428
"Judge, County Probate Court No. 3",1048,1,0,1,17,5.88%,1,0,1
"Judge, County Probate Court No. 3",1049,14,45,59,290,20.34%,21,36,57
"Judge, County Probate Court No. 3",1050,60,63,123,537,22.91%,32,86,118
"Judge, County Probate Court No. 3",1051,0,31,31,0,0.00%,16,11,27
"Judge, County Probate Court No. 3",1052,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",1053,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",1054,0,0,0,1,0.00%,0,0,0
"Judge, County Probate Court No. 3",1055,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",1056,4,2,6,8,75.00%,1,5,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",1057,7,9,16,118,13.56%,2,13,15
"Judge, County Probate Court No. 3",1058,241,285,526,1243,42.32%,108,406,514
"Judge, County Probate Court No. 3",1059,3,3,6,28,21.43%,2,4,6
"Judge, County Probate Court No. 3",1060,5,2,7,42,16.67%,5,2,7
"Judge, County Probate Court No. 3",1061,332,184,516,1716,30.07%,274,221,495
"Judge, County Probate Court No. 3",1062,17,6,23,201,11.44%,4,16,20
"Judge, County Probate Court No. 3",1063,66,59,125,857,14.59%,19,102,121
"Judge, County Probate Court No. 3",1064,25,11,36,119,30.25%,29,7,36
"Judge, County Probate Court No. 3",1065,1,0,1,28,3.57%,0,1,1
"Judge, County Probate Court No. 3",1066,72,0,72,229,31.44%,3,65,68
"Judge, County Probate Court No. 3",1067,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",1068,22,8,30,121,24.79%,13,16,29
"Judge, County Probate Court No. 3",1069,434,256,690,2580,26.74%,310,337,647
"Judge, County Probate Court No. 3",Totals:,378846,308736,687582,2044361,353521,300777,654298
