Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0965,31,21,52,343,15.16%,28,24,52
"Family District Judge, 311th Judicial District",0966,129,83,212,1148,18.47%,80,127,207
"Family District Judge, 311th Judicial District",0967,15,48,63,165,38.18%,19,43,62
"Family District Judge, 311th Judicial District",0968,119,30,149,692,21.53%,30,118,148
"Family District Judge, 311th Judicial District",0969,156,73,229,604,37.91%,1,225,226
"Family District Judge, 311th Judicial District",0970,83,36,119,731,16.28%,19,98,117
"Family District Judge, 311th Judicial District",0971,11,8,19,147,12.93%,1,16,17
"Family District Judge, 311th Judicial District",0972,e,8,14,31,45.16%,13,0,13
"Family District Judge, 311th Judicial District",0973,24,19,43,111,38.74%,19,20,39
"Family District Judge, 311th Judicial District",0974,57,36,93,299,31.10%,59,31,90
"Family District Judge, 311th Judicial District",0975,55,30,85,193,44.04%,39,40,79
"Family District Judge, 311th Judicial District",0976,58,62,130,683,19.03%,85,43,128
"Family District Judge, 311th Judicial District",0977,50,43,93,572,16.26%,42,50,92
"Family District Judge, 311th Judicial District",0978,77,79,156,546,28.57%,29,124,153
"Family District Judge, 311th Judicial District",0979,2,6,8,27,29.63%,4,3,7
"Family District Judge, 311th Judicial District",0980,280,321,601,1389,43.27%,451,120,571
"Family District Judge, 311th Judicial District",0981,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0982,312,312,624,1567,39.82%,510,90,600
"Family District Judge, 311th Judicial District",0983,11,21,32,161,19.88%,21,11,32
"Family District Judge, 311th Judicial District",0984,18,9,27,192,14.06%,4,22,26
"Family District Judge, 311th Judicial District",0985,117,63,180,351,51.28%,92,78,170
"Family District Judge, 311th Judicial District",0986,43,30,73,463,15.77%,11,61,72
"Family District Judge, 311th Judicial District",0987,231,90,321,1155,27.79%,32,280,312
"Family District Judge, 311th Judicial District",0988,24,12,36,123,29.27%,33,3,36
"Family District Judge, 311th Judicial District",0989,e,6,12,43,27.91%,8,4,12
"Family District Judge, 311th Judicial District",0990,16,1,17,140,12.14%,8,8,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0991,0,0,0,1,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0992,157,107,264,1048,25.19%,145,104,249
"Family District Judge, 311th Judicial District",0993,169,101,270,568,47.54%,221,41,262
"Family District Judge, 311th Judicial District",0994,5,5,11,25,44.00%,2,9,11
"Family District Judge, 311th Judicial District",0995,295,156,451,1393,32.38%,28,413,441
"Family District Judge, 311th Judicial District",0996,135,140,275,694,39.63%,154,102,256
"Family District Judge, 311th Judicial District",0997,101,163,264,1656,15.94%,61,202,263
"Family District Judge, 311th Judicial District",0998,5,1,6,57,10.53%,3,3,6
"Family District Judge, 311th Judicial District",0999,17,10,27,68,39.71%,23,3,26
"Family District Judge, 311th Judicial District",1000,42,6,48,405,11.85%,12,35,47
"Family District Judge, 311th Judicial District",1001,228,136,364,1565,23.26%,96,250,346
"Family District Judge, 311th Judicial District",1002,170,139,309,1744,17.72%,52,240,292
"Family District Judge, 311th Judicial District",1003,1,0,1,0,0.00%,0,1,1
"Family District Judge, 311th Judicial District",1004,111,139,250,654,38.23%,122,110,232
"Family District Judge, 311th Judicial District",1005,0,8,8,0,0.00%,4,3,7
"Family District Judge, 311th Judicial District",1006,1,0,1,5,20.00%,1,0,1
"Family District Judge, 311th Judicial District",1007,208,188,396,1547,25.60%,98,282,380
"Family District Judge, 311th Judicial District",1008,32,12,44,151,29.14%,34,9,43
"Family District Judge, 311th Judicial District",1009,0,0,0,9,0.00%,0,0,0
"Family District Judge, 311th Judicial District",1010,59,35,94,459,20.48%,17,75,92
"Family District Judge, 311th Judicial District",1011,8,1,9,26,34.62%,4,4,8
"Family District Judge, 311th Judicial District",1012,134,201,335,1365,24.54%,102,224,326
"Family District Judge, 311th Judicial District",1013,0,6,6,58,10.34%,4,2,6
"Family District Judge, 311th Judicial District",1014,4,6,10,31,32.26%,1,9,10
"Family District Judge, 311th Judicial District",1015,5,4,9,25,36.00%,3,5,8
"Family District Judge, 311th Judicial District",1016,252,212,464,1691,27.44%,228,221,449
"Family District Judge, 311th Judicial District",1017,61,44,105,330,31.82%,32,72,104
"Family District Judge, 311th Judicial District",1018,93,64,157,494,31.78%,72,81,153
"Family District Judge, 311th Judicial District",1019,130,107,237,1456,16.28%,12,222,234
"Family District Judge, 311th Judicial District",1020,0,0,0,1,0.00%,0,0,0
"Family District Judge, 311th Judicial District",1021,0,0,0,2,0.00%,0,0,0
"Family District Judge, 311th Judicial District",1022,97,79,176,441,39.91%,132,33,165
"Family District Judge, 311th Judicial District",1023,430,315,745,2026,36.77%,526,190,716
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",1024,55,61,116,249,46.59%,61,46,107
"Family District Judge, 311th Judicial District",1025,0,1,1,14,7.14%,1,0,1
"Family District Judge, 311th Judicial District",1026,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",1027,1,0,1,8,12.50%,1,0,1
"Family District Judge, 311th Judicial District",1028,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",1029,537,719,1256,2927,42.91%,985,224,1209
"Family District Judge, 311th Judicial District",1030,231,151,382,785,48.66%,329,46,375
"Family District Judge, 311th Judicial District",1031,59,71,130,792,16.41%,36,86,122
"Family District Judge, 311th Judicial District",1032,31,25,56,244,22.95%,35,19,54
"Family District Judge, 311th Judicial District",1033,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",1034,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",1035,2,4,6,138,4.35%,1,5,6
"Family District Judge, 311th Judicial District",1036,65,24,89,449,19.82%,74,14,88
"Family District Judge, 311th Judicial District",1037,19,11,30,76,39.47%,16,10,26
"Family District Judge, 311th Judicial District",1038,62,6,68,327,20.80%,9,57,66
"Family District Judge, 311th Judicial District",1039,2,0,2,25,8.00%,0,2,2
"Family District Judge, 311th Judicial District",1040,91,66,157,771,20.36%,73,78,151
"Family District Judge, 311th Judicial District",1041,0,2,2,0,0.00%,1,1,2
"Family District Judge, 311th Judicial District",1042,105,67,172,521,33.01%,56,112,168
"Family District Judge, 311th Judicial District",1043,5,6,12,33,36.36%,4,8,12
"Family District Judge, 311th Judicial District",1044,16,6,22,55,40.00%,7,14,21
"Family District Judge, 311th Judicial District",1045,197,173,370,1788,20.69%,52,306,358
"Family District Judge, 311th Judicial District",1046,11,5,16,62,25.81%,1,15,16
"Family District Judge, 311th Judicial District",1047,255,186,441,1568,28.13%,160,269,429
"Family District Judge, 311th Judicial District",1048,1,0,1,17,5.88%,1,0,1
"Family District Judge, 311th Judicial District",1049,14,45,59,290,20.34%,21,36,57
"Family District Judge, 311th Judicial District",1050,60,63,123,537,22.91%,35,84,119
"Family District Judge, 311th Judicial District",1051,0,31,31,0,0.00%,18,12,30
"Family District Judge, 311th Judicial District",1052,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",1053,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",1054,0,0,0,1,0.00%,0,0,0
"Family District Judge, 311th Judicial District",1055,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",1056,4,2,6,8,75.00%,1,4,5
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",1057,7,9,16,118,13.56%,2,13,15
"Family District Judge, 311th Judicial District",1058,241,285,526,1243,42.32%,107,408,515
"Family District Judge, 311th Judicial District",1059,3,3,6,28,21.43%,0,5,5
"Family District Judge, 311th Judicial District",1060,5,2,7,42,16.67%,5,2,7
"Family District Judge, 311th Judicial District",1061,332,184,516,1716,30.07%,279,214,493
"Family District Judge, 311th Judicial District",1062,17,6,23,201,11.44%,5,15,20
"Family District Judge, 311th Judicial District",1063,66,59,125,857,14.59%,20,101,121
"Family District Judge, 311th Judicial District",1064,25,11,36,119,30.25%,28,8,36
"Family District Judge, 311th Judicial District",1065,1,0,1,28,3.57%,0,1,1
"Family District Judge, 311th Judicial District",1066,72,0,72,229,31.44%,3,65,68
"Family District Judge, 311th Judicial District",1067,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",1068,22,8,30,121,24.79%,13,16,29
"Family District Judge, 311th Judicial District",1069,434,256,690,2580,26.74%,315,332,647
"Family District Judge, 311th Judicial District",Totals:,378846,308736,687582,2044361,,351895,305335,657230
