Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0176,344,451,795,1602,49.63%,380,343,723
"Family District Judge, 311th Judicial District",0177,278,326,604,1496,40.37%,320,244,564
"Family District Judge, 311th Judicial District",0178,504,365,869,1765,49.24%,545,256,801
"Family District Judge, 311th Judicial District",0179,256,188,444,1575,28.19%,241,179,420
"Family District Judge, 311th Judicial District",0180,470,343,813,2834,28.69%,24,754,778
"Family District Judge, 311th Judicial District",0181,175,262,437,2061,21.20%,140,276,416
"Family District Judge, 311th Judicial District",0182,590,974,1564,3405,45.93%,892,541,1433
"Family District Judge, 311th Judicial District",0183,519,794,1313,2491,52.71%,765,444,1209
"Family District Judge, 311th Judicial District",0184,106,135,241,994,24.25%,89,133,222
"Family District Judge, 311th Judicial District",0185,283,292,575,1933,29.75%,207,341,548
"Family District Judge, 311th Judicial District",0186,97,106,203,798,25.44%,35,162,197
"Family District Judge, 311th Judicial District",0187,21,25,46,311,14.79%,16,28,44
"Family District Judge, 311th Judicial District",0188,153,146,299,1637,18.27%,143,143,286
"Family District Judge, 311th Judicial District",0189,239,360,599,1465,40.89%,309,246,555
"Family District Judge, 311th Judicial District",0190,120,177,297,1723,17.24%,130,154,284
"Family District Judge, 311th Judicial District",0191,79,126,205,1366,15.01%,88,109,197
"Family District Judge, 311th Judicial District",0192,380,225,605,1959,30.88%,31,555,586
"Family District Judge, 311th Judicial District",0193,173,187,360,1074,33.52%,11,336,347
"Family District Judge, 311th Judicial District",0194,350,431,781,1912,40.85%,223,519,742
"Family District Judge, 311th Judicial District",0195,269,278,547,1694,32.29%,20,511,531
"Family District Judge, 311th Judicial District",0196,52,32,84,316,26.58%,6,75,81
"Family District Judge, 311th Judicial District",0197,543,309,852,2914,29.24%,22,818,840
"Family District Judge, 311th Judicial District",0198,53,74,127,642,19.78%,4,122,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
