Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wood,DEM Josefina Rendon,Totals
"Judge, County Probate Court No. 2",0306,549,342,991,1879,52.74%,726,202,928
"Judge, County Probate Court No. 2",0307,733,670,1403,3099,45.27%,969,342,1311
"Judge, County Probate Court No. 2",0308,199,130,329,1296,25.39%,106,209,315
"Judge, County Probate Court No. 2",0309,708,593,1301,2524,51.55%,1048,176,1224
"Judge, County Probate Court No. 2",0310,386,279,665,1435,46.34%,456,164,620
"Judge, County Probate Court No. 2",0311,486,421,907,2986,30.38%,502,342,844
"Judge, County Probate Court No. 2",0312,742,457,1199,3636,32.98%,790,354,1144
"Judge, County Probate Court No. 2",0313,9,0,9,62,14.52%,7,1,8
"Judge, County Probate Court No. 2",0314,1121,913,2034,5647,36.02%,1288,679,1967
"Judge, County Probate Court No. 2",0315,478,388,866,1608,53.86%,515,288,803
"Judge, County Probate Court No. 2",0316,412,341,753,1537,48.99%,431,267,698
"Judge, County Probate Court No. 2",0317,248,209,457,1588,28.78%,150,283,433
"Judge, County Probate Court No. 2",0318,834,568,1402,3660,38.31%,71,1285,1356
"Judge, County Probate Court No. 2",0319,512,230,742,2158,34.38%,46,670,716
"Judge, County Probate Court No. 2",0320,234,168,402,1537,26.15%,206,180,386
"Judge, County Probate Court No. 2",0321,262,191,453,2346,19.31%,170,259,429
"Judge, County Probate Court No. 2",0322,181,129,310,1226,25.29%,104,195,299
"Judge, County Probate Court No. 2",0323,278,211,489,1722,28.40%,237,223,460
"Judge, County Probate Court No. 2",0324,532,646,1178,2336,50.43%,725,358,1083
"Judge, County Probate Court No. 2",0325,289,193,482,2112,22.82%,111,347,458
"Judge, County Probate Court No. 2",0326,87,74,161,698,23.07%,77,75,152
"Judge, County Probate Court No. 2",0327,380,129,509,1729,29.44%,11,478,489
"Judge, County Probate Court No. 2",0328,151,140,291,1434,20.29%,126,154,280
"Judge, County Probate Court No. 2",0329,189,184,373,1397,26.70%,144,212,356
"Judge, County Probate Court No. 2",0330,334,253,587,1936,30.32%,338,221,559
"Judge, County Probate Court No. 2",0331,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0332,18,7,25,138,18.12%,12,9,21
"Judge, County Probate Court No. 2",0333,524,714,1238,3021,40.98%,868,302,1170
"Judge, County Probate Court No. 2",0334,83,42,125,742,16.85%,22,98,120
"Judge, County Probate Court No. 2",0335,121,98,219,1300,16.85%,86,118,204
"Judge, County Probate Court No. 2",0336,866,624,1490,4051,36.78%,133,1324,1457
"Judge, County Probate Court No. 2",0337,124,103,227,1029,22.06%,41,175,216
"Judge, County Probate Court No. 2",0338,730,391,1121,4934,22.72%,388,661,1049
"Judge, County Probate Court No. 2",0339,202,222,424,1757,24.13%,88,309,397
"Judge, County Probate Court No. 2",0340,1038,594,1632,3765,43.35%,1230,324,1554
"Judge, County Probate Court No. 2",0341,91,167,258,1290,20.00%,79,172,251
"Judge, County Probate Court No. 2",0342,675,605,1280,6526,19.61%,206,1039,1245
"Judge, County Probate Court No. 2",0343,189,271,460,1964,23.42%,127,308,435
"Judge, County Probate Court No. 2",0344,154,172,326,1160,28.10%,15,295,310
"Judge, County Probate Court No. 2",0345,156,165,321,1804,17.79%,97,207,304
