Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0253,379,222,601,2177,27.61%,8,574,2,6,590
Attorney General,0254,93,112,205,1550,13.23%,62,133,5,2,202
Attorney General,0255,526,648,1174,2482,47.30%,501,622,26,4,1153
Attorney General,0256,575,449,1024,3254,31.47%,468,489,28,11,996
Attorney General,0257,204,245,449,2523,17.80%,135,292,7,1,435
Attorney General,0258,840,800,1640,3322,49.37%,1148,430,23,9,1610
Attorney General,0259,656,382,1038,2361,43.96%,24,987,5,5,1021
Attorney General,0260,162,145,307,1260,24.37%,184,112,4,2,302
Attorney General,0261,124,120,244,1417,17.22%,98,132,3,1,234
Attorney General,0262,758,600,1358,4397,30.88%,815,477,37,10,1339
Attorney General,0263,858,712,1570,3693,42.51%,1186,339,29,2,1556
Attorney General,0264,482,457,939,2963,31.69%,582,322,17,7,928
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0265,988,759,1747,3584,48.74%,1262,418,28,5,1713
Attorney General,0266,259,257,516,2104,24.52%,247,238,9,6,500
Attorney General,0267,146,166,312,1327,23.51%,168,121,6,4,299
Attorney General,0268,435,717,1152,2493,46.21%,637,454,20,9,1120
Attorney General,0269,702,453,1155,2030,56.90%,855,267,17,2,1141
Attorney General,0270,819,672,1491,3605,41.36%,796,620,36,12,1464
Attorney General,0271,656,382,1038,2518,41.22%,24,990,6,8,1028
Attorney General,0272,264,292,555,2162,25.72%,205,309,25,5,544
Attorney General,0273,548,689,1237,2470,50.08%,946,244,22,3,1215
Attorney General,0274,588,346,934,2153,43.38%,608,283,23,5,919
Attorney General,0275,207,236,443,1850,23.95%,96,327,6,7,436
Attorney General,0276,572,231,803,2536,31.66%,7,770,5,9,791
Attorney General,0277,170,186,356,1492,23.86%,167,178,3,3,351
Attorney General,0278,421,320,741,2454,30.20%,410,306,10,4,730
