Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0298,415,358,773,2121,36.45%,477,250,727
"District Judge, 295th Judicial District",0299,178,117,295,1353,21.80%,127,145,272
"District Judge, 295th Judicial District",0300,1389,1016,2405,5406,44.49%,1951,355,2306
"District Judge, 295th Judicial District",0301,210,255,465,2352,19.77%,198,241,439
"District Judge, 295th Judicial District",0302,353,343,696,2720,25.59%,415,251,666
"District Judge, 295th Judicial District",0303,922,784,1706,3245,52.57%,1418,213,1631
"District Judge, 295th Judicial District",0304,606,505,1111,2298,48.35%,661,371,1032
"District Judge, 295th Judicial District",0305,524,432,956,4191,22.81%,411,519,930
"District Judge, 295th Judicial District",0306,649,342,991,1879,52.74%,750,190,940
"District Judge, 295th Judicial District",0307,733,670,1403,3099,45.27%,989,328,1317
"District Judge, 295th Judicial District",0308,199,130,329,1296,25.39%,117,195,312
"District Judge, 295th Judicial District",0309,708,593,1301,2524,51.55%,1067,161,1228
"District Judge, 295th Judicial District",0310,386,279,665,1435,46.34%,470,148,618
"District Judge, 295th Judicial District",0311,486,421,907,2986,30.38%,514,328,842
"District Judge, 295th Judicial District",0312,742,457,1199,3636,32.98%,799,347,1146
"District Judge, 295th Judicial District",0313,9,0,9,62,14.52%,7,2,9
"District Judge, 295th Judicial District",0314,1121,913,2034,5647,36.02%,1300,662,1962
"District Judge, 295th Judicial District",0315,478,388,866,1608,53.86%,535,268,803
"District Judge, 295th Judicial District",0316,412,341,753,1537,48.99%,447,247,694
"District Judge, 295th Judicial District",0317,248,209,457,1588,28.78%,152,282,434
"District Judge, 295th Judicial District",0318,834,568,1402,3660,38.31%,75,1291,1366
"District Judge, 295th Judicial District",0319,512,230,742,2158,34.38%,52,669,721
"District Judge, 295th Judicial District",0320,234,168,402,1537,26.15%,209,178,387
"District Judge, 295th Judicial District",0321,262,191,453,2346,19.31%,177,250,427
"District Judge, 295th Judicial District",0322,181,129,310,1226,25.29%,105,194,299
"District Judge, 295th Judicial District",0323,278,211,489,1722,28.40%,245,213,458
"District Judge, 295th Judicial District",0324,532,646,1178,2336,50.43%,763,321,1084
"District Judge, 295th Judicial District",0325,289,193,482,2112,22.82%,114,349,463
"District Judge, 295th Judicial District",0326,87,74,161,698,23.07%,87,66,153
"District Judge, 295th Judicial District",0327,380,129,509,1729,29.44%,12,484,496
"District Judge, 295th Judicial District",0328,151,140,291,1434,20.29%,132,146,278
"District Judge, 295th Judicial District",0329,189,184,373,1397,26.70%,157,198,355
"District Judge, 295th Judicial District",0330,334,253,587,1936,30.32%,344,211,555
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0331,0,0,0,0,0.00%,0,0,0
