Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0231,233,264,497,2232,22.27%,123,337,10,11,481
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0232,361,474,835,1760,47.44%,414,369,17,11,811
Comptroller of Public Accounts,0233,892,801,1693,4445,38.09%,751,828,50,20,1649
Comptroller of Public Accounts,0234,1192,913,2105,3993,52.72%,1533,470,24,7,2034
Comptroller of Public Accounts,0235,240,158,398,1356,29.35%,10,374,3,5,392
Comptroller of Public Accounts,0236,354,235,589,2079,28.33%,10,559,4,7,580
Comptroller of Public Accounts,0237,417,253,670,2161,31.00%,12,645,2,1,660
Comptroller of Public Accounts,0238,340,245,585,1925,30.39%,16,551,4,2,573
Comptroller of Public Accounts,0239,383,236,619,1964,31.52%,20,576,7,3,606
Comptroller of Public Accounts,0240,585,243,828,2649,31.26%,14,790,5,3,812
Comptroller of Public Accounts,0241,222,229,451,2372,19.01%,184,243,5,6,438
Comptroller of Public Accounts,0242,173,162,335,1596,20.99%,195,116,9,6,326
Comptroller of Public Accounts,0243,138,43,181,457,39.61%,0,180,0,1,181
Comptroller of Public Accounts,0244,480,425,905,3117,29.03%,487,365,21,8,881
Comptroller of Public Accounts,0245,946,799,1745,5828,29.94%,1195,469,46,14,1724
Comptroller of Public Accounts,0246,584,513,1197,3315,36.11%,837,307,27,8,1179
Comptroller of Public Accounts,0247,173,254,427,1582,26.99%,16,398,5,2,421
Comptroller of Public Accounts,0248,161,167,328,2100,15.62%,88,217,14,1,320
Comptroller of Public Accounts,0249,461,348,809,2719,29.75%,545,218,22,6,791
Comptroller of Public Accounts,0250,109,164,273,964,28.32%,5,259,3,2,269
Comptroller of Public Accounts,0251,278,436,714,2089,34.18%,22,673,3,5,703
Comptroller of Public Accounts,0252,504,312,816,2377,34.33%,13,785,4,3,805
Comptroller of Public Accounts,0253,379,222,601,2177,27.61%,9,577,2,3,591
Comptroller of Public Accounts,0254,93,112,205,1550,13.23%,66,132,3,1,202
Comptroller of Public Accounts,0255,526,648,1174,2482,47.30%,491,609,28,8,1136
Comptroller of Public Accounts,0256,575,449,1024,3254,31.47%,452,496,28,11,987
Comptroller of Public Accounts,0257,204,245,449,2523,17.80%,127,296,8,2,433
Comptroller of Public Accounts,0258,840,800,1540,3322,49.37%,1147,410,31,9,1597
Comptroller of Public Accounts,0259,555,382,1038,2361,43.96%,23,977,7,6,1013
Comptroller of Public Accounts,0260,162,145,307,1260,24.37%,177,110,9,3,299
Comptroller of Public Accounts,0261,124,120,244,1417,17.22%,99,129,7,1,236
Comptroller of Public Accounts,0262,758,600,1358,4397,30.88%,804,461,33,16,1314
Comptroller of Public Accounts,0263,858,712,1570,3693,42.51%,1174,328,30,8,1540
Comptroller of Public Accounts,0264,482,457,939,2963,31.69%,561,316,32,10,919
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0265,988,759,1747,3584,48.74%,1237,405,31,5,1678
Comptroller of Public Accounts,0266,259,257,516,2104,24.52%,247,229,15,8,499
Comptroller of Public Accounts,0267,146,166,312,1327,23.51%,163,122,9,9,303
