Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0949,34,27,61,193,31.61%,28,26,3,4,61
Comptroller of Public Accounts,0950,0,0,0,1,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0951,33,30,63,277,22.74%,17,43,1,1,62
Comptroller of Public Accounts,0952,18,15,33,71,46.48%,16,12,2,2,32
Comptroller of Public Accounts,0953,18,9,27,275,9.82%,5,20,2,0,27
Comptroller of Public Accounts,0954,0,0,0,1,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0955,3,2,5,19,26.32%,4,1,0,0,5
Comptroller of Public Accounts,0956,2,4,6,11,54.55%,2,3,0,0,5
Comptroller of Public Accounts,0957,97,95,192,562,34.16%,18,169,4,1,192
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0958,81,129,210,1081,19.43%,55,146,4,0,205
Comptroller of Public Accounts,0959,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0960,196,157,353,976,36.17%,65,271,9,2,347
Comptroller of Public Accounts,0961,15,0,16,56,28.57%,0,16,0,0,16
Comptroller of Public Accounts,0962,10,17,27,88,30.68%,3,22,1,1,27
Comptroller of Public Accounts,0963,54,41,105,426,24.65%,58,40,1,3,102
Comptroller of Public Accounts,0964,568,437,1005,2372,42.37%,609,362,12,5,988
Comptroller of Public Accounts,0965,31,21,52,343,15.16%,26,22,0,4,52
Comptroller of Public Accounts,0966,129,83,212,1148,18.47%,73,125,4,5,207
Comptroller of Public Accounts,0967,15,48,63,165,38.18%,17,45,1,0,63
Comptroller of Public Accounts,0968,119,30,149,692,21.53%,30,116,2,0,148
Comptroller of Public Accounts,0969,156,73,229,604,37.91%,2,220,2,2,226
Comptroller of Public Accounts,0970,83,36,119,731,16.28%,17,98,0,2,117
Comptroller of Public Accounts,0971,11,8,19,147,12.93%,1,15,1,0,17
Comptroller of Public Accounts,0972,e,8,14,31,45.16%,14,0,0,0,14
Comptroller of Public Accounts,0973,24,19,43,111,38.74%,17,22,1,1,41
Comptroller of Public Accounts,0974,57,36,93,299,31.10%,56,33,1,1,91
Comptroller of Public Accounts,0975,55,30,85,193,44.04%,40,41,2,0,83
Comptroller of Public Accounts,0976,58,62,130,683,19.03%,81,46,2,0,129
Comptroller of Public Accounts,0977,50,43,93,572,16.26%,42,50,1,0,93
Comptroller of Public Accounts,0978,77,79,156,546,28.57%,29,122,2,2,155
Comptroller of Public Accounts,0979,2,6,8,27,29.63%,5,3,0,0,8
Comptroller of Public Accounts,0980,280,321,601,1389,43.27%,443,130,9,2,584
Comptroller of Public Accounts,0981,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0982,312,312,624,1567,39.82%,504,93,12,4,613
Comptroller of Public Accounts,0983,12,21,33,161,20.50%,19,12,1,0,32
Comptroller of Public Accounts,0984,18,9,27,192,14.06%,4,22,0,0,26
Comptroller of Public Accounts,0985,117,63,180,351,51.28%,91,81,3,2,177
Comptroller of Public Accounts,0986,43,30,73,463,15.77%,10,60,2,0,72
Comptroller of Public Accounts,0987,231,90,321,1155,27.79%,27,286,4,1,318
Comptroller of Public Accounts,0988,24,12,36,123,29.27%,32,4,0,0,36
Comptroller of Public Accounts,0989,e,6,12,43,27.91%,8,2,1,1,12
Comptroller of Public Accounts,0990,16,1,17,140,12.14%,7,9,0,0,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0991,0,0,0,1,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0992,157,107,264,1048,25.19%,145,101,8,2,256
Comptroller of Public Accounts,0993,159,101,270,568,47.54%,222,39,6,1,268
Comptroller of Public Accounts,0994,e,5,11,25,44.00%,2,9,0,0,11
Comptroller of Public Accounts,0995,296,156,452,1393,32.45%,25,412,6,0,443
Comptroller of Public Accounts,0996,136,140,276,694,39.77%,150,105,10,3,268
Comptroller of Public Accounts,0997,101,163,264,1656,15.94%,61,199,3,1,264
Comptroller of Public Accounts,0998,5,1,6,57,10.53%,3,3,0,0,6
Comptroller of Public Accounts,0999,17,10,27,68,39.71%,21,5,1,0,27
Comptroller of Public Accounts,1000,42,6,48,405,11.85%,11,34,0,1,46
Comptroller of Public Accounts,1001,228,136,364,1565,23.26%,93,247,6,3,349
Comptroller of Public Accounts,1002,170,139,309,1744,17.72%,50,233,8,6,297
Comptroller of Public Accounts,1003,1,0,1,0,0.00%,1,0,0,0,1
Comptroller of Public Accounts,1004,111,139,250,654,38.23%,111,113,16,3,243
Comptroller of Public Accounts,1005,0,8,8,0,0.00%,4,3,0,0,7
Comptroller of Public Accounts,1006,1,0,1,5,20.00%,1,0,0,0,1
Comptroller of Public Accounts,1007,208,188,396,1547,25.60%,87,286,6,4,383
Comptroller of Public Accounts,1008,32,12,44,151,29.14%,34,9,0,0,43
Comptroller of Public Accounts,1009,0,0,0,9,0.00%,0,0,0,0,0
Comptroller of Public Accounts,1010,59,35,94,459,20.48%,15,76,1,1,93
Comptroller of Public Accounts,1011,8,1,9,26,34.62%,4,5,0,0,9
Comptroller of Public Accounts,1012,134,201,335,1365,24.54%,103,218,2,1,324
Comptroller of Public Accounts,1013,0,6,6,58,10.34%,2,4,0,0,6
Comptroller of Public Accounts,1014,4,6,10,31,32.26%,1,9,0,0,10
Comptroller of Public Accounts,1015,5,4,9,25,36.00%,3,6,0,0,9
Comptroller of Public Accounts,1016,252,212,464,1691,27.44%,224,215,13,2,454
Comptroller of Public Accounts,1017,61,44,105,330,31.82%,30,69,4,1,104
Comptroller of Public Accounts,1018,93,64,157,494,31.78%,70,82,1,1,154
Comptroller of Public Accounts,1019,130,107,237,1456,16.28%,9,222,2,2,235
Comptroller of Public Accounts,1020,0,0,0,1,0.00%,0,0,0,0,0
Comptroller of Public Accounts,1021,0,0,0,2,0.00%,0,0,0,0,0
Comptroller of Public Accounts,1022,97,79,176,441,39.91%,132,32,4,1,169
Comptroller of Public Accounts,1023,430,315,745,2026,36.77%,522,192,11,5,730
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,1024,55,61,116,249,46.59%,60,48,3,2,113
Comptroller of Public Accounts,1025,0,1,1,14,7.14%,1,0,0,0,1
Comptroller of Public Accounts,1026,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,1027,1,0,1,8,12.50%,1,0,0,0,1
Comptroller of Public Accounts,1028,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,1029,538,719,1257,2927,42.94%,976,230,17,7,1230
Comptroller of Public Accounts,1030,231,151,382,785,48.66%,324,44,6,4,378
Comptroller of Public Accounts,1031,59,71,130,792,16.41%,36,87,0,1,124
Comptroller of Public Accounts,1032,31,25,56,244,22.95%,35,18,0,0,53
Comptroller of Public Accounts,1033,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,1034,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,1035,2,4,6,138,4.35%,1,5,0,0,6
Comptroller of Public Accounts,1036,65,24,89,449,19.82%,72,15,1,0,88
Comptroller of Public Accounts,1037,19,11,30,76,39.47%,17,12,0,0,29
Comptroller of Public Accounts,1038,52,6,68,327,20.80%,9,55,1,0,65
Comptroller of Public Accounts,1039,2,0,2,25,8.00%,0,2,0,0,2
Comptroller of Public Accounts,1040,91,66,157,771,20.36%,66,77,9,2,154
Comptroller of Public Accounts,1041,0,2,2,0,0.00%,0,2,0,0,2
Comptroller of Public Accounts,1042,105,67,172,521,33.01%,53,112,3,2,170
Comptroller of Public Accounts,1043,5,e,12,33,36.36%,4,8,0,0,12
Comptroller of Public Accounts,1044,15,6,22,55,40.00%,7,14,0,0,21
Comptroller of Public Accounts,1045,197,173,370,1788,20.69%,46,305,5,1,357
Comptroller of Public Accounts,1046,11,5,16,62,25.81%,1,14,0,1,16
Comptroller of Public Accounts,1047,255,186,441,1568,28.13%,155,265,11,2,433
Comptroller of Public Accounts,1048,1,0,1,17,5.88%,1,0,0,0,1
Comptroller of Public Accounts,1049,14,45,59,290,20.34%,19,36,1,1,57
Comptroller of Public Accounts,1050,60,63,123,537,22.91%,35,82,0,1,118
Comptroller of Public Accounts,1051,0,31,31,0,0.00%,15,12,2,2,31
Comptroller of Public Accounts,1052,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,1053,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,1054,0,0,0,1,0.00%,0,0,0,0,0
Comptroller of Public Accounts,1055,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,1056,4,2,6,8,75.00%,1,5,0,0,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,1057,7,9,16,118,13.56%,3,12,0,0,15
Comptroller of Public Accounts,1058,241,285,526,1243,42.32%,96,415,6,1,518
Comptroller of Public Accounts,1059,3,3,6,28,21.43%,1,5,0,0,6
Comptroller of Public Accounts,1060,5,2,7,42,16.67%,5,2,0,0,7
Comptroller of Public Accounts,1061,332,184,516,1716,30.07%,266,220,17,3,506
Comptroller of Public Accounts,1062,17,6,23,201,11.44%,3,18,1,0,22
Comptroller of Public Accounts,1063,66,59,125,857,14.59%,16,103,2,1,122
Comptroller of Public Accounts,1064,25,11,36,119,30.25%,27,8,0,1,36
Comptroller of Public Accounts,1065,1,0,1,28,3.57%,0,1,0,0,1
Comptroller of Public Accounts,1066,72,0,72,229,31.44%,3,65,2,1,71
Comptroller of Public Accounts,1067,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,1068,22,8,30,121,24.79%,11,16,1,0,28
Comptroller of Public Accounts,1069,434,256,690,2580,26.74%,300,342,15,10,667
Comptroller of Public Accounts,Totals:,379077,308736,687813,2044361,,344535,307588,13787,5625,671535
