Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0813,938,761,1699,5807,29.26%,888,190,138,1216
"Judge, Court of Criminal Appeals, Place 4",0814,673,533,1206,5102,23.64%,356,188,132,676
"Judge, Court of Criminal Appeals, Place 4",0815,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0816,10,0,10,73,13.70%,3,1,2,6
"Judge, Court of Criminal Appeals, Place 4",0817,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0818,86,39,125,616,20.29%,32,12,25,69
"Judge, Court of Criminal Appeals, Place 4",0819,64,30,94,240,39.17%,54,5,12,71
"Judge, Court of Criminal Appeals, Place 4",0820,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0821,124,120,244,1242,19.65%,39,24,26,89
"Judge, Court of Criminal Appeals, Place 4",0822,332,167,499,1535,32.51%,27,46,30,103
"Judge, Court of Criminal Appeals, Place 4",0823,821,564,1385,5087,27.23%,844,136,116,1096
"Judge, Court of Criminal Appeals, Place 4",0824,428,282,710,2700,26.30%,178,87,66,331
"Judge, Court of Criminal Appeals, Place 4",0825,0,0,0,0,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0826,73,50,123,358,34.36%,66,12,13,91
"Judge, Court of Criminal Appeals, Place 4",0827,60,98,158,979,16.14%,80,12,13,105
"Judge, Court of Criminal Appeals, Place 4",0828,541,388,929,1916,48.49%,764,47,44,855
"Judge, Court of Criminal Appeals, Place 4",0829,54,22,76,264,28.79%,23,8,9,40
"Judge, Court of Criminal Appeals, Place 4",0830,0,0,0,2,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0831,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0832,34,28,62,352,17.61%,20,7,4,31
"Judge, Court of Criminal Appeals, Place 4",0833,0,1,1,20,5.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0834,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0835,38,19,57,290,19.66%,12,9,11,32
"Judge, Court of Criminal Appeals, Place 4",0836,3,0,3,19,15.79%,2,0,1,3
"Judge, Court of Criminal Appeals, Place 4",0837,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0838,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0839,136,118,254,1128,22.52%,58,50,32,140
"Judge, Court of Criminal Appeals, Place 4",0840,381,174,555,1705,32.55%,220,45,48,313
"Judge, Court of Criminal Appeals, Place 4",0841,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0842,421,434,855,3259,26.24%,429,114,80,623
"Judge, Court of Criminal Appeals, Place 4",0843,0,1,1,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0844,1,0,1,11,9.09%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0845,54,9,63,134,47.01%,41,1,2,44
"Judge, Court of Criminal Appeals, Place 4",0846,23,24,47,229,20.52%,5,8,5,18
"Judge, Court of Criminal Appeals, Place 4",0847,306,211,517,2015,25.66%,158,89,46,293
"Judge, Court of Criminal Appeals, Place 4",0848,489,266,755,1856,40.68%,254,96,96,446
"Judge, Court of Criminal Appeals, Place 4",0849,201,291,492,2124,23.16%,207,40,64,311
"Judge, Court of Criminal Appeals, Place 4",0850,45,41,87,210,41.43%,36,4,10,50
"Judge, Court of Criminal Appeals, Place 4",0851,1029,657,1686,4709,35.80%,1164,136,101,1401
"Judge, Court of Criminal Appeals, Place 4",0852,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0853,575,620,1296,2882,44.97%,1018,58,69,1145
"Judge, Court of Criminal Appeals, Place 4",0854,15,26,41,172,23.84%,11,2,2,15
"Judge, Court of Criminal Appeals, Place 4",0855,5,9,14,16,87.50%,4,1,3,8
"Judge, Court of Criminal Appeals, Place 4",0856,0,1,1,0,0.00%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 4",0857,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0858,63,34,97,343,28.28%,4,8,3,15
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0859,157,106,263,890,29.55%,69,39,18,126
"Judge, Court of Criminal Appeals, Place 4",0860,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0861,315,199,514,1842,27.90%,104,61,45,210
"Judge, Court of Criminal Appeals, Place 4",0862,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0863,101,54,155,584,26.54%,10,13,3,26
"Judge, Court of Criminal Appeals, Place 4",0864,193,299,492,2569,19.15%,157,39,49,245
"Judge, Court of Criminal Appeals, Place 4",0865,2,3,5,21,23.81%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0866,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0867,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0868,236,271,507,2326,21.80%,180,41,47,268
"Judge, Court of Criminal Appeals, Place 4",0869,53,39,92,470,19.57%,23,12,11,46
"Judge, Court of Criminal Appeals, Place 4",0870,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0871,1,0,1,3,33.33%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0872,5,3,8,59,13.56%,4,1,0,5
"Judge, Court of Criminal Appeals, Place 4",0873,98,75,173,737,23.47%,52,31,17,100
"Judge, Court of Criminal Appeals, Place 4",0874,764,707,1471,3223,45.64%,1141,93,71,1305
"Judge, Court of Criminal Appeals, Place 4",0875,905,527,1432,5147,27.82%,736,179,134,1049
"Judge, Court of Criminal Appeals, Place 4",0876,698,641,1339,3265,41.01%,1055,82,62,1199
"Judge, Court of Criminal Appeals, Place 4",0877,476,382,858,3032,28.30%,382,125,99,606
"Judge, Court of Criminal Appeals, Place 4",0878,428,354,782,1666,46.94%,652,42,30,724
"Judge, Court of Criminal Appeals, Place 4",0879,407,294,701,2667,26.28%,374,78,68,520
"Judge, Court of Criminal Appeals, Place 4",0880,543,447,990,2352,42.09%,824,36,33,893
"Judge, Court of Criminal Appeals, Place 4",0881,596,540,1136,4479,25.36%,433,146,134,713
"Judge, Court of Criminal Appeals, Place 4",0882,426,291,717,2422,29.60%,444,76,46,566
"Judge, Court of Criminal Appeals, Place 4",0883,643,702,1345,5408,24.87%,310,202,153,665
"Judge, Court of Criminal Appeals, Place 4",0884,57,25,82,377,21.75%,9,8,8,25
"Judge, Court of Criminal Appeals, Place 4",0885,562,368,930,2619,35.51%,565,86,57,708
"Judge, Court of Criminal Appeals, Place 4",0886,128,108,236,675,34.96%,143,29,23,195
"Judge, Court of Criminal Appeals, Place 4",0887,51,67,118,418,28.23%,60,19,17,96
"Judge, Court of Criminal Appeals, Place 4",0888,0,3,3,0,0.00%,2,0,1,3
"Judge, Court of Criminal Appeals, Place 4",0889,14,0,14,57,24.56%,5,2,3,10
"Judge, Court of Criminal Appeals, Place 4",0890,164,103,267,1095,24.38%,93,38,56,187
"Judge, Court of Criminal Appeals, Place 4",0891,319,243,562,1331,42.22%,232,53,90,375
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0892,115,86,201,808,24.88%,70,49,29,148
"Judge, Court of Criminal Appeals, Place 4",0893,0,2,2,6,33.33%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0894,0,3,3,0,0.00%,3,0,0,3
"Judge, Court of Criminal Appeals, Place 4",0895,156,286,442,793,55.74%,193,55,86,334
"Judge, Court of Criminal Appeals, Place 4",0896,370,297,667,1459,45.72%,266,83,134,483
"Judge, Court of Criminal Appeals, Place 4",0897,253,297,550,1701,32.33%,333,56,46,435
"Judge, Court of Criminal Appeals, Place 4",0898,0,0,0,3,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0899,2,0,2,8,25.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0900,0,2,2,10,20.00%,2,0,0,2
"Judge, Court of Criminal Appeals, Place 4",0901,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0902,396,486,882,2139,41.23%,514,102,112,728
"Judge, Court of Criminal Appeals, Place 4",0903,3,7,10,50,20.00%,3,0,4,7
"Judge, Court of Criminal Appeals, Place 4",0904,1,0,1,7,14.29%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",0905,123,100,223,904,24.67%,118,14,19,151
"Judge, Court of Criminal Appeals, Place 4",0906,8,6,14,25,56.00%,8,2,2,12
"Judge, Court of Criminal Appeals, Place 4",0907,12,19,31,181,17.13%,6,2,6,14
"Judge, Court of Criminal Appeals, Place 4",0908,0,1,1,0,0.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",0909,2,1,3,18,16.67%,1,0,1,2
"Judge, Court of Criminal Appeals, Place 4",0910,25,24,49,217,22.58%,20,5,6,31
"Judge, Court of Criminal Appeals, Place 4",0911,118,60,178,551,32.30%,122,14,12,148
"Judge, Court of Criminal Appeals, Place 4",0912,316,201,517,1273,40.61%,350,31,38,419
"Judge, Court of Criminal Appeals, Place 4",0913,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0914,169,179,348,701,49.64%,284,24,13,321
"Judge, Court of Criminal Appeals, Place 4",0915,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0916,417,240,657,1491,44.06%,528,39,30,597
"Judge, Court of Criminal Appeals, Place 4",0917,177,62,239,483,49.48%,159,22,20,201
"Judge, Court of Criminal Appeals, Place 4",0918,304,168,472,883,53.45%,373,14,29,416
"Judge, Court of Criminal Appeals, Place 4",0919,0,0,0,3,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0920,22,12,34,71,47.89%,23,6,1,30
"Judge, Court of Criminal Appeals, Place 4",0921,32,15,47,119,39.50%,34,5,2,41
"Judge, Court of Criminal Appeals, Place 4",0922,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0923,470,137,607,1511,40.17%,470,32,22,524
"Judge, Court of Criminal Appeals, Place 4",0924,0,0,0,0,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0925,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0926,171,128,299,796,37.56%,233,22,14,269
"Judge, Court of Criminal Appeals, Place 4",0927,44,30,74,270,27.41%,32,5,13,50
"Judge, Court of Criminal Appeals, Place 4",0928,3,0,3,8,37.50%,0,2,0,2
"Judge, Court of Criminal Appeals, Place 4",0929,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0930,109,54,163,584,27.91%,8,24,13,45
"Judge, Court of Criminal Appeals, Place 4",0931,30,40,70,130,53.85%,40,8,8,56
"Judge, Court of Criminal Appeals, Place 4",0932,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0933,115,85,200,627,31.90%,60,32,35,127
"Judge, Court of Criminal Appeals, Place 4",0934,2,0,2,63,3.17%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",0935,3,2,5,54,9.26%,1,1,2,4
"Judge, Court of Criminal Appeals, Place 4",0936,8,2,10,81,12.35%,5,0,1,6
"Judge, Court of Criminal Appeals, Place 4",0937,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0938,30,14,44,231,19.05%,11,5,3,19
"Judge, Court of Criminal Appeals, Place 4",0939,0,0,0,2,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0940,0,0,0,10,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0941,9,10,19,25,76.00%,18,1,0,19
"Judge, Court of Criminal Appeals, Place 4",0942,53,27,80,156,51.28%,65,5,4,74
"Judge, Court of Criminal Appeals, Place 4",0943,166,80,246,547,44.97%,178,11,14,203
"Judge, Court of Criminal Appeals, Place 4",0944,20,4,24,45,53.33%,20,0,0,20
"Judge, Court of Criminal Appeals, Place 4",0945,1,2,3,17,17.65%,1,0,1,2
"Judge, Court of Criminal Appeals, Place 4",0946,0,1,1,13,7.69%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0947,177,246,423,799,52.94%,237,46,57,340
"Judge, Court of Criminal Appeals, Place 4",0948,0,14,14,1,1400.00%,9,1,0,10
"Judge, Court of Criminal Appeals, Place 4",0949,34,27,61,193,31.61%,32,4,12,48
"Judge, Court of Criminal Appeals, Place 4",0950,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0951,33,30,63,277,22.74%,18,7,10,35
"Judge, Court of Criminal Appeals, Place 4",0952,18,15,33,71,46.48%,17,3,7,27
"Judge, Court of Criminal Appeals, Place 4",0953,18,9,27,275,9.82%,5,5,3,13
"Judge, Court of Criminal Appeals, Place 4",0954,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0955,3,2,5,19,26.32%,4,1,0,5
"Judge, Court of Criminal Appeals, Place 4",0956,2,4,6,11,54.55%,2,1,2,5
"Judge, Court of Criminal Appeals, Place 4",0957,97,95,192,562,34.16%,34,37,17,88
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0958,81,129,210,1081,19.43%,60,27,14,101
"Judge, Court of Criminal Appeals, Place 4",0959,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0960,195,157,353,976,36.17%,88,66,41,195
"Judge, Court of Criminal Appeals, Place 4",0961,15,0,16,56,28.57%,1,1,1,3
"Judge, Court of Criminal Appeals, Place 4",0962,10,17,27,88,30.68%,4,5,11,20
"Judge, Court of Criminal Appeals, Place 4",0963,64,41,105,426,24.65%,59,9,10,78
"Judge, Court of Criminal Appeals, Place 4",0964,568,437,1005,2372,42.37%,642,87,78,807
"Judge, Court of Criminal Appeals, Place 4",0965,31,21,52,343,15.16%,30,5,3,38
"Judge, Court of Criminal Appeals, Place 4",0966,129,83,212,1148,18.47%,78,28,33,139
"Judge, Court of Criminal Appeals, Place 4",0967,15,48,63,165,38.18%,21,14,3,38
"Judge, Court of Criminal Appeals, Place 4",0968,119,30,149,692,21.53%,41,26,14,81
"Judge, Court of Criminal Appeals, Place 4",0969,156,73,229,604,37.91%,5,28,18,51
"Judge, Court of Criminal Appeals, Place 4",0970,83,36,119,731,16.28%,20,11,11,42
"Judge, Court of Criminal Appeals, Place 4",0971,11,8,19,147,12.93%,3,3,2,8
"Judge, Court of Criminal Appeals, Place 4",0972,5,8,14,31,45.16%,14,0,0,14
"Judge, Court of Criminal Appeals, Place 4",0973,24,19,43,111,38.74%,21,2,10,33
"Judge, Court of Criminal Appeals, Place 4",0974,57,36,93,299,31.10%,64,6,15,85
"Judge, Court of Criminal Appeals, Place 4",0975,55,30,85,193,44.04%,40,10,15,65
"Judge, Court of Criminal Appeals, Place 4",0976,58,62,130,683,19.03%,90,13,4,107
"Judge, Court of Criminal Appeals, Place 4",0977,50,43,93,572,16.26%,39,16,8,63
"Judge, Court of Criminal Appeals, Place 4",0978,77,79,156,546,28.57%,35,20,12,67
"Judge, Court of Criminal Appeals, Place 4",0979,2,6,8,27,29.63%,4,0,2,6
"Judge, Court of Criminal Appeals, Place 4",0980,280,321,601,1389,43.27%,463,25,28,516
"Judge, Court of Criminal Appeals, Place 4",0981,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0982,312,312,624,1567,39.82%,517,31,19,567
"Judge, Court of Criminal Appeals, Place 4",0983,12,21,33,161,20.50%,21,7,1,29
"Judge, Court of Criminal Appeals, Place 4",0984,18,9,27,192,14.06%,6,1,4,11
"Judge, Court of Criminal Appeals, Place 4",0985,117,63,180,351,51.28%,98,17,26,141
"Judge, Court of Criminal Appeals, Place 4",0986,43,30,73,463,15.77%,11,11,5,27
"Judge, Court of Criminal Appeals, Place 4",0987,231,90,321,1155,27.79%,34,36,25,95
"Judge, Court of Criminal Appeals, Place 4",0988,24,12,36,123,29.27%,34,0,1,35
"Judge, Court of Criminal Appeals, Place 4",0989,5,6,12,43,27.91%,8,1,2,11
"Judge, Court of Criminal Appeals, Place 4",0990,16,1,17,140,12.14%,10,0,0,10
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0991,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0992,157,107,264,1048,25.19%,147,27,20,194
"Judge, Court of Criminal Appeals, Place 4",0993,159,101,270,568,47.54%,222,12,9,243
"Judge, Court of Criminal Appeals, Place 4",0994,5,5,11,25,44.00%,2,2,2,6
"Judge, Court of Criminal Appeals, Place 4",0995,295,156,452,1393,32.45%,41,53,39,133
"Judge, Court of Criminal Appeals, Place 4",0996,135,140,275,594,39.77%,160,25,18,203
"Judge, Court of Criminal Appeals, Place 4",0997,101,163,264,1656,15.94%,68,50,30,148
"Judge, Court of Criminal Appeals, Place 4",0998,5,1,5,57,10.53%,3,0,0,3
"Judge, Court of Criminal Appeals, Place 4",0999,17,10,27,68,39.71%,24,0,0,24
"Judge, Court of Criminal Appeals, Place 4",1000,42,6,45,405,11.85%,14,6,6,26
"Judge, Court of Criminal Appeals, Place 4",1001,225,136,364,1565,23.26%,99,54,39,192
"Judge, Court of Criminal Appeals, Place 4",1002,170,139,309,1744,17.72%,61,41,45,147
"Judge, Court of Criminal Appeals, Place 4",1003,1,0,1,0,0.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",1004,111,139,250,654,38.23%,127,21,37,185
"Judge, Court of Criminal Appeals, Place 4",1005,0,8,5,0,0.00%,4,4,0,5
"Judge, Court of Criminal Appeals, Place 4",1006,1,0,1,5,20.00%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",1007,205,188,396,1547,25.60%,104,49,44,197
"Judge, Court of Criminal Appeals, Place 4",1008,32,12,44,151,29.14%,38,2,0,40
"Judge, Court of Criminal Appeals, Place 4",1009,0,0,0,9,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1010,59,35,94,459,20.48%,18,19,16,53
"Judge, Court of Criminal Appeals, Place 4",1011,5,1,9,26,34.62%,4,3,0,7
"Judge, Court of Criminal Appeals, Place 4",1012,134,201,335,1365,24.54%,115,29,23,167
"Judge, Court of Criminal Appeals, Place 4",1013,0,6,5,58,10.34%,2,0,2,4
"Judge, Court of Criminal Appeals, Place 4",1014,4,6,10,31,32.26%,1,0,1,2
"Judge, Court of Criminal Appeals, Place 4",1015,5,4,9,25,36.00%,3,2,0,5
"Judge, Court of Criminal Appeals, Place 4",1016,252,212,464,1691,27.44%,243,58,56,357
"Judge, Court of Criminal Appeals, Place 4",1017,51,44,105,330,31.82%,35,16,13,64
"Judge, Court of Criminal Appeals, Place 4",1018,93,64,157,494,31.78%,80,14,15,109
"Judge, Court of Criminal Appeals, Place 4",1019,130,107,237,1456,16.28%,18,33,23,74
"Judge, Court of Criminal Appeals, Place 4",1020,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1021,0,0,0,2,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1022,97,79,176,441,39.91%,137,14,5,156
"Judge, Court of Criminal Appeals, Place 4",1023,430,315,745,2026,36.77%,541,52,56,649
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",1024,55,61,116,249,46.59%,68,11,17,96
"Judge, Court of Criminal Appeals, Place 4",1025,0,1,1,14,7.14%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",1026,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1027,1,0,1,8,12.50%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",1028,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1029,538,719,1257,2927,42.94%,1014,59,69,1142
"Judge, Court of Criminal Appeals, Place 4",1030,231,151,382,785,48.66%,339,13,10,362
"Judge, Court of Criminal Appeals, Place 4",1031,59,71,130,792,16.41%,34,18,13,65
"Judge, Court of Criminal Appeals, Place 4",1032,31,25,56,244,22.95%,37,8,2,47
"Judge, Court of Criminal Appeals, Place 4",1033,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1034,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1035,2,4,6,138,4.35%,2,2,0,4
"Judge, Court of Criminal Appeals, Place 4",1036,55,24,89,449,19.82%,75,3,4,82
"Judge, Court of Criminal Appeals, Place 4",1037,19,11,30,76,39.47%,16,4,3,23
"Judge, Court of Criminal Appeals, Place 4",1038,52,6,68,327,20.80%,10,7,3,20
"Judge, Court of Criminal Appeals, Place 4",1039,2,0,2,25,8.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1040,91,66,157,771,20.36%,76,26,25,127
"Judge, Court of Criminal Appeals, Place 4",1041,0,2,2,0,0.00%,0,0,2,2
"Judge, Court of Criminal Appeals, Place 4",1042,105,67,172,521,33.01%,55,20,24,99
"Judge, Court of Criminal Appeals, Place 4",1043,6,e,12,33,36.36%,4,0,0,4
"Judge, Court of Criminal Appeals, Place 4",1044,15,6,22,55,40.00%,7,3,1,11
"Judge, Court of Criminal Appeals, Place 4",1045,197,173,370,1788,20.69%,64,55,31,150
"Judge, Court of Criminal Appeals, Place 4",1046,11,5,16,62,25.81%,1,2,0,3
"Judge, Court of Criminal Appeals, Place 4",1047,255,186,441,1568,28.13%,177,70,37,284
"Judge, Court of Criminal Appeals, Place 4",1048,1,0,1,17,5.88%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",1049,14,45,59,290,20.34%,22,3,4,29
"Judge, Court of Criminal Appeals, Place 4",1050,60,63,123,537,22.91%,38,13,13,64
"Judge, Court of Criminal Appeals, Place 4",1051,0,31,31,0,0.00%,19,2,6,27
"Judge, Court of Criminal Appeals, Place 4",1052,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1053,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1054,0,0,0,1,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1055,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1056,4,2,6,8,75.00%,2,0,2,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",1057,7,9,16,118,13.56%,2,2,2,6
"Judge, Court of Criminal Appeals, Place 4",1058,241,285,526,1243,42.32%,118,63,51,232
"Judge, Court of Criminal Appeals, Place 4",1059,3,3,6,28,21.43%,1,0,1,2
"Judge, Court of Criminal Appeals, Place 4",1060,5,2,7,42,16.67%,5,0,0,5
"Judge, Court of Criminal Appeals, Place 4",1061,332,184,516,1716,30.07%,285,55,42,382
"Judge, Court of Criminal Appeals, Place 4",1062,17,6,23,201,11.44%,5,5,3,13
"Judge, Court of Criminal Appeals, Place 4",1063,66,59,125,857,14.59%,22,21,11,54
"Judge, Court of Criminal Appeals, Place 4",1064,25,11,36,119,30.25%,31,3,1,35
"Judge, Court of Criminal Appeals, Place 4",1065,1,0,1,28,3.57%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1066,72,0,72,229,31.44%,6,5,3,14
"Judge, Court of Criminal Appeals, Place 4",1067,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",1068,22,8,30,121,24.79%,12,3,0,15
"Judge, Court of Criminal Appeals, Place 4",1069,434,256,690,2580,26.74%,327,95,75,497
"Judge, Court of Criminal Appeals, Place 4",Totals:,379077,308736,687813,2044361,,374995,60886,59890,495771
