Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0190,120,177,297,1723,17.24%,130,26,31,187
"Judge, Court of Criminal Appeals, Place 4",0191,79,126,205,1366,15.01%,101,15,21,137
"Judge, Court of Criminal Appeals, Place 4",0192,381,225,606,1959,30.93%,52,65,39,156
"Judge, Court of Criminal Appeals, Place 4",0193,173,187,360,1074,33.52%,20,55,50,125
"Judge, Court of Criminal Appeals, Place 4",0194,351,431,782,1912,40.90%,258,119,182,559
"Judge, Court of Criminal Appeals, Place 4",0195,269,278,547,1694,32.29%,35,63,44,142
"Judge, Court of Criminal Appeals, Place 4",0196,52,32,84,316,26.58%,6,20,6,32
"Judge, Court of Criminal Appeals, Place 4",0197,543,309,852,2914,29.24%,37,107,49,193
"Judge, Court of Criminal Appeals, Place 4",0198,53,74,127,642,19.78%,6,12,14,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0199,812,661,1473,3216,45.80%,1160,90,65,1315
"Judge, Court of Criminal Appeals, Place 4",0200,962,536,1498,3382,44.29%,733,171,236,1140
"Judge, Court of Criminal Appeals, Place 4",0201,98,87,185,724,25.55%,5,21,12,38
"Judge, Court of Criminal Appeals, Place 4",0202,217,189,406,1464,27.73%,21,48,38,107
"Judge, Court of Criminal Appeals, Place 4",0203,107,68,175,960,18.23%,43,15,27,85
"Judge, Court of Criminal Appeals, Place 4",0204,817,784,1601,3487,45.91%,931,164,199,1294
"Judge, Court of Criminal Appeals, Place 4",0205,465,171,636,1664,38.22%,23,74,36,133
"Judge, Court of Criminal Appeals, Place 4",0206,364,462,826,2779,29.72%,262,108,196,566
"Judge, Court of Criminal Appeals, Place 4",0207,265,261,526,1188,44.28%,189,52,117,358
"Judge, Court of Criminal Appeals, Place 4",0208,322,262,584,2195,26.61%,193,51,52,296
"Judge, Court of Criminal Appeals, Place 4",0209,0,2,2,0,0.00%,2,0,0,2
"Judge, Court of Criminal Appeals, Place 4",0210,502,467,969,2533,38.26%,129,153,178,460
"Judge, Court of Criminal Appeals, Place 4",0211,307,386,693,2914,23.78%,284,76,95,455
"Judge, Court of Criminal Appeals, Place 4",0212,96,155,251,1300,19.31%,61,20,27,108
"Judge, Court of Criminal Appeals, Place 4",0213,826,913,1739,3350,51.91%,1413,73,63,1549
"Judge, Court of Criminal Appeals, Place 4",0214,404,491,895,1854,48.27%,582,77,92,751
"Judge, Court of Criminal Appeals, Place 4",0215,423,711,1134,2258,50.22%,709,97,119,925
"Judge, Court of Criminal Appeals, Place 4",0216,362,223,585,1945,30.08%,47,58,70,175
"Judge, Court of Criminal Appeals, Place 4",0217,844,631,1475,2678,55.08%,1010,99,106,1215
"Judge, Court of Criminal Appeals, Place 4",0218,392,402,794,2292,34.64%,283,83,156,522
"Judge, Court of Criminal Appeals, Place 4",0219,497,436,933,2767,33.72%,77,103,92,272
"Judge, Court of Criminal Appeals, Place 4",0220,325,187,512,2310,22.16%,376,25,25,426
"Judge, Court of Criminal Appeals, Place 4",0221,332,369,701,2529,27.72%,336,61,90,487
"Judge, Court of Criminal Appeals, Place 4",0222,623,674,1297,2501,51.86%,661,115,192,968
"Judge, Court of Criminal Appeals, Place 4",0223,563,377,940,3582,26.24%,300,166,191,657
"Judge, Court of Criminal Appeals, Place 4",0224,531,456,987,2238,44.10%,485,78,169,732
"Judge, Court of Criminal Appeals, Place 4",0225,376,405,781,3305,23.63%,420,85,71,576
"Judge, Court of Criminal Appeals, Place 4",0226,227,307,534,2436,21.92%,140,59,67,266
"Judge, Court of Criminal Appeals, Place 4",0227,558,423,981,1785,54.96%,762,45,45,852
"Judge, Court of Criminal Appeals, Place 4",0228,362,195,557,1050,53.05%,39,88,84,211
"Judge, Court of Criminal Appeals, Place 4",0229,31,96,127,815,15.58%,62,6,15,83
"Judge, Court of Criminal Appeals, Place 4",0230,185,116,301,1089,27.64%,11,21,24,56
"Judge, Court of Criminal Appeals, Place 4",0231,233,264,497,2232,22.27%,151,44,84,279
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0232,361,474,835,1760,47.44%,490,61,102,653
"Judge, Court of Criminal Appeals, Place 4",0233,892,801,1693,4445,38.09%,871,191,242,1304
"Judge, Court of Criminal Appeals, Place 4",0234,1192,913,2105,3993,52.72%,1667,70,68,1805
"Judge, Court of Criminal Appeals, Place 4",0235,240,158,398,1356,29.35%,24,44,29,97
"Judge, Court of Criminal Appeals, Place 4",0236,354,235,589,2079,28.33%,29,67,43,139
"Judge, Court of Criminal Appeals, Place 4",0237,417,253,670,2161,31.00%,26,66,33,125
"Judge, Court of Criminal Appeals, Place 4",0238,340,245,585,1925,30.39%,26,69,42,137
"Judge, Court of Criminal Appeals, Place 4",0239,383,236,619,1964,31.52%,28,51,44,123
"Judge, Court of Criminal Appeals, Place 4",0240,585,243,828,2649,31.26%,35,97,54,186
"Judge, Court of Criminal Appeals, Place 4",0241,222,229,451,2372,19.01%,197,31,44,272
"Judge, Court of Criminal Appeals, Place 4",0242,173,162,335,1596,20.99%,196,15,35,246
"Judge, Court of Criminal Appeals, Place 4",0243,138,43,181,457,39.61%,7,18,12,37
"Judge, Court of Criminal Appeals, Place 4",0244,480,425,905,3117,29.03%,534,101,87,722
"Judge, Court of Criminal Appeals, Place 4",0245,946,799,1745,5828,29.94%,1226,158,103,1487
"Judge, Court of Criminal Appeals, Place 4",0246,584,513,1197,3315,36.11%,879,74,59,1012
"Judge, Court of Criminal Appeals, Place 4",0247,173,254,427,1582,26.99%,26,52,40,118
"Judge, Court of Criminal Appeals, Place 4",0248,161,167,328,2100,15.62%,102,28,34,164
"Judge, Court of Criminal Appeals, Place 4",0249,461,348,809,2719,29.75%,574,54,45,673
"Judge, Court of Criminal Appeals, Place 4",0250,109,164,273,964,28.32%,16,34,16,66
"Judge, Court of Criminal Appeals, Place 4",0251,278,436,714,2089,34.18%,37,61,46,144
"Judge, Court of Criminal Appeals, Place 4",0252,504,312,816,2377,34.33%,33,80,47,160
"Judge, Court of Criminal Appeals, Place 4",0253,379,222,601,2177,27.61%,23,58,38,119
"Judge, Court of Criminal Appeals, Place 4",0254,93,112,205,1550,13.23%,66,9,25,100
"Judge, Court of Criminal Appeals, Place 4",0255,526,648,1174,2482,47.30%,584,127,171,882
"Judge, Court of Criminal Appeals, Place 4",0256,575,449,1024,3254,31.47%,501,92,136,729
"Judge, Court of Criminal Appeals, Place 4",0257,204,245,449,2523,17.80%,148,47,45,240
"Judge, Court of Criminal Appeals, Place 4",0258,840,800,1640,3322,49.37%,1225,93,103,1421
"Judge, Court of Criminal Appeals, Place 4",0259,555,382,1038,2361,43.96%,58,110,70,238
"Judge, Court of Criminal Appeals, Place 4",0260,162,145,307,1260,24.37%,188,25,24,237
"Judge, Court of Criminal Appeals, Place 4",0261,124,120,244,1417,17.22%,112,21,19,152
"Judge, Court of Criminal Appeals, Place 4",0262,758,600,1358,4397,30.88%,874,119,145,1138
"Judge, Court of Criminal Appeals, Place 4",0263,858,712,1570,3693,42.51%,1226,97,74,1397
