Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0288,532,313,845,2210,38.24%,35,64,52,151
"Justice, Supreme Court, Place 8",0289,186,212,398,1564,25.45%,220,35,25,280
"Justice, Supreme Court, Place 8",0290,245,298,543,1642,33.07%,406,37,35,478
"Justice, Supreme Court, Place 8",0291,325,235,560,1225,45.71%,306,43,61,410
"Justice, Supreme Court, Place 8",0292,207,147,354,1356,26.11%,52,40,34,126
"Justice, Supreme Court, Place 8",0293,357,447,804,1759,45.71%,387,89,111,587
"Justice, Supreme Court, Place 8",0294,488,221,709,2097,33.81%,26,57,49,132
"Justice, Supreme Court, Place 8",0295,148,103,251,885,28.36%,15,12,17,44
"Justice, Supreme Court, Place 8",0296,327,340,667,1713,38.94%,409,63,56,528
"Justice, Supreme Court, Place 8",0297,280,249,529,2012,26.29%,259,53,52,364
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0298,415,358,773,2121,36.45%,478,66,64,608
"Justice, Supreme Court, Place 8",0299,179,117,296,1353,21.88%,133,32,21,186
"Justice, Supreme Court, Place 8",0300,1389,1016,2405,5406,44.49%,1949,130,97,2176
