Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0916,417,240,657,1491,44.06%,531,44,19,594
"Justice, Supreme Court, Place 8",0917,177,62,239,483,49.48%,162,20,15,197
"Justice, Supreme Court, Place 8",0918,304,168,472,883,53.45%,375,17,24,416
"Justice, Supreme Court, Place 8",0919,0,0,0,3,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0920,22,12,34,71,47.89%,25,1,2,28
"Justice, Supreme Court, Place 8",0921,32,15,47,119,39.50%,34,4,2,40
"Justice, Supreme Court, Place 8",0922,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0923,470,137,607,1511,40.17%,475,29,19,523
"Justice, Supreme Court, Place 8",0924,0,0,0,0,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0925,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0926,171,128,299,796,37.56%,238,14,17,269
"Justice, Supreme Court, Place 8",0927,44,30,74,270,27.41%,31,8,9,48
"Justice, Supreme Court, Place 8",0928,3,0,3,8,37.50%,0,2,0,2
"Justice, Supreme Court, Place 8",0929,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0930,109,54,163,584,27.91%,9,16,15,40
"Justice, Supreme Court, Place 8",0931,30,40,70,130,53.85%,38,7,7,52
"Justice, Supreme Court, Place 8",0932,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0933,115,85,200,627,31.90%,66,26,32,124
"Justice, Supreme Court, Place 8",0934,2,0,2,63,3.17%,1,0,0,1
"Justice, Supreme Court, Place 8",0935,3,2,5,54,9.26%,1,0,2,3
"Justice, Supreme Court, Place 8",0936,8,2,10,81,12.35%,6,0,0,6
"Justice, Supreme Court, Place 8",0937,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0938,30,14,44,231,19.05%,13,2,3,18
"Justice, Supreme Court, Place 8",0939,0,0,0,2,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0940,0,0,0,10,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0941,9,10,19,25,76.00%,19,0,0,19
"Justice, Supreme Court, Place 8",0942,53,27,80,156,51.28%,67,5,4,76
"Justice, Supreme Court, Place 8",0943,166,80,246,547,44.97%,172,13,15,200
"Justice, Supreme Court, Place 8",0944,20,4,24,45,53.33%,19,0,0,19
"Justice, Supreme Court, Place 8",0945,1,2,3,17,17.65%,1,0,0,1
"Justice, Supreme Court, Place 8",0946,0,1,1,13,7.69%,0,0,0,0
"Justice, Supreme Court, Place 8",0947,177,246,423,799,52.94%,234,44,55,333
"Justice, Supreme Court, Place 8",0948,0,14,14,1,1400.00%,9,1,0,10
"Justice, Supreme Court, Place 8",0949,34,27,61,193,31.61%,35,2,10,47
"Justice, Supreme Court, Place 8",0950,0,0,0,1,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0951,33,30,63,277,22.74%,18,8,8,34
"Justice, Supreme Court, Place 8",0952,18,15,33,71,46.48%,17,3,8,28
"Justice, Supreme Court, Place 8",0953,18,9,27,275,9.82%,5,7,2,14
"Justice, Supreme Court, Place 8",0954,0,0,0,1,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0955,3,2,5,19,26.32%,4,1,0,5
"Justice, Supreme Court, Place 8",0956,2,4,6,11,54.55%,3,0,2,5
"Justice, Supreme Court, Place 8",0957,97,95,192,562,34.16%,33,28,17,78
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0958,81,129,210,1081,19.43%,58,27,14,99
"Justice, Supreme Court, Place 8",0959,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0960,196,157,353,976,36.17%,90,61,43,194
"Justice, Supreme Court, Place 8",0961,15,0,16,56,28.57%,1,1,1,3
"Justice, Supreme Court, Place 8",0962,10,17,27,88,30.68%,4,4,12,20
"Justice, Supreme Court, Place 8",0963,64,41,105,426,24.65%,58,9,10,77
"Justice, Supreme Court, Place 8",0964,568,437,1005,2372,42.37%,653,82,70,805
"Justice, Supreme Court, Place 8",0965,31,21,52,343,15.16%,32,3,3,38
"Justice, Supreme Court, Place 8",0966,129,83,212,1148,18.47%,83,25,25,133
"Justice, Supreme Court, Place 8",0967,15,48,63,165,38.18%,23,8,5,36
"Justice, Supreme Court, Place 8",0968,119,30,149,692,21.53%,44,17,17,78
"Justice, Supreme Court, Place 8",0969,156,73,229,604,37.91%,6,21,22,49
"Justice, Supreme Court, Place 8",0970,83,36,119,731,16.28%,21,8,13,42
"Justice, Supreme Court, Place 8",0971,11,8,19,147,12.93%,3,1,2,6
"Justice, Supreme Court, Place 8",0972,e,8,14,31,45.16%,14,0,0,14
"Justice, Supreme Court, Place 8",0973,24,19,43,111,38.74%,21,2,11,34
"Justice, Supreme Court, Place 8",0974,57,36,93,299,31.10%,64,7,14,85
"Justice, Supreme Court, Place 8",0975,55,30,85,193,44.04%,41,9,15,65
"Justice, Supreme Court, Place 8",0976,58,62,130,683,19.03%,91,6,10,107
"Justice, Supreme Court, Place 8",0977,50,43,93,572,16.26%,44,12,6,62
"Justice, Supreme Court, Place 8",0978,77,79,156,546,28.57%,35,11,20,66
"Justice, Supreme Court, Place 8",0979,2,6,8,27,29.63%,4,0,2,6
"Justice, Supreme Court, Place 8",0980,280,321,601,1389,43.27%,470,23,22,515
"Justice, Supreme Court, Place 8",0981,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0982,312,312,624,1567,39.82%,516,30,17,563
"Justice, Supreme Court, Place 8",0983,12,21,33,161,20.50%,21,7,1,29
"Justice, Supreme Court, Place 8",0984,18,9,27,192,14.06%,6,0,4,10
"Justice, Supreme Court, Place 8",0985,117,63,180,351,51.28%,101,15,21,137
"Justice, Supreme Court, Place 8",0986,43,30,73,463,15.77%,14,9,5,28
"Justice, Supreme Court, Place 8",0987,231,90,321,1155,27.79%,47,19,26,92
"Justice, Supreme Court, Place 8",0988,24,12,36,123,29.27%,33,1,0,34
"Justice, Supreme Court, Place 8",0989,e,6,12,43,27.91%,8,1,2,11
"Justice, Supreme Court, Place 8",0990,16,1,17,140,12.14%,10,0,0,10
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0991,0,0,0,1,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0992,157,107,264,1048,25.19%,147,33,16,196
"Justice, Supreme Court, Place 8",0993,169,101,270,568,47.54%,219,16,9,244
"Justice, Supreme Court, Place 8",0994,e,5,11,25,44.00%,2,0,3,5
"Justice, Supreme Court, Place 8",0995,296,156,452,1393,32.45%,47,54,36,137
"Justice, Supreme Court, Place 8",0996,136,140,276,694,39.77%,168,20,12,200
"Justice, Supreme Court, Place 8",0997,101,163,264,1656,15.94%,69,40,28,137
"Justice, Supreme Court, Place 8",0998,5,1,6,57,10.53%,3,0,0,3
"Justice, Supreme Court, Place 8",0999,17,10,27,68,39.71%,23,0,1,24
"Justice, Supreme Court, Place 8",1000,42,6,48,405,11.85%,14,5,6,25
"Justice, Supreme Court, Place 8",1001,228,136,364,1565,23.26%,112,48,28,188
"Justice, Supreme Court, Place 8",1002,170,139,309,1744,17.72%,61,42,36,139
"Justice, Supreme Court, Place 8",1003,1,0,1,0,0.00%,1,0,0,1
"Justice, Supreme Court, Place 8",1004,111,139,250,654,38.23%,125,29,32,186
"Justice, Supreme Court, Place 8",1005,0,8,s,0,0.00%,3,3,1,7
"Justice, Supreme Court, Place 8",1006,1,0,1,5,20.00%,1,0,0,1
"Justice, Supreme Court, Place 8",1007,208,188,396,1547,25.60%,113,45,35,193
"Justice, Supreme Court, Place 8",1008,32,12,44,151,29.14%,38,2,0,40
"Justice, Supreme Court, Place 8",1009,0,0,0,9,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1010,59,35,94,459,20.48%,17,19,14,50
"Justice, Supreme Court, Place 8",1011,8,1,9,26,34.62%,5,2,0,7
"Justice, Supreme Court, Place 8",1012,134,201,335,1365,24.54%,118,27,17,162
"Justice, Supreme Court, Place 8",1013,0,6,6,58,10.34%,4,0,0,4
"Justice, Supreme Court, Place 8",1014,4,6,10,31,32.26%,1,1,0,2
"Justice, Supreme Court, Place 8",1015,5,4,9,25,36.00%,2,2,1,5
"Justice, Supreme Court, Place 8",1016,252,212,464,1691,27.44%,246,54,51,351
"Justice, Supreme Court, Place 8",1017,61,44,105,330,31.82%,34,16,11,61
"Justice, Supreme Court, Place 8",1018,93,64,157,494,31.78%,81,14,12,107
"Justice, Supreme Court, Place 8",1019,130,107,237,1456,16.28%,17,27,26,70
"Justice, Supreme Court, Place 8",1020,0,0,0,1,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1021,0,0,0,2,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1022,97,79,176,441,39.91%,136,14,6,156
"Justice, Supreme Court, Place 8",1023,430,315,745,2026,36.77%,546,48,47,641
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",1024,55,61,116,249,46.59%,68,11,14,93
"Justice, Supreme Court, Place 8",1025,0,1,1,14,7.14%,1,0,0,1
"Justice, Supreme Court, Place 8",1026,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1027,1,0,1,8,12.50%,1,0,0,1
"Justice, Supreme Court, Place 8",1028,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1029,538,719,1257,2927,42.94%,1022,62,59,1143
"Justice, Supreme Court, Place 8",1030,231,151,382,785,48.66%,336,17,10,363
"Justice, Supreme Court, Place 8",1031,59,71,130,792,16.41%,39,17,7,63
"Justice, Supreme Court, Place 8",1032,31,25,56,244,22.95%,38,5,2,45
"Justice, Supreme Court, Place 8",1033,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1034,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1035,2,4,6,138,4.35%,2,1,1,4
"Justice, Supreme Court, Place 8",1036,55,24,89,449,19.82%,76,4,2,82
"Justice, Supreme Court, Place 8",1037,19,11,30,76,39.47%,17,5,1,23
"Justice, Supreme Court, Place 8",1038,52,6,68,327,20.80%,10,4,4,18
"Justice, Supreme Court, Place 8",1039,2,0,2,25,8.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1040,91,66,157,771,20.36%,75,30,19,124
"Justice, Supreme Court, Place 8",1041,0,2,2,0,0.00%,0,1,1,2
"Justice, Supreme Court, Place 8",1042,105,67,172,521,33.01%,59,20,20,99
"Justice, Supreme Court, Place 8",1043,6,e,12,33,36.36%,4,0,0,4
"Justice, Supreme Court, Place 8",1044,15,6,22,55,40.00%,8,1,2,11
"Justice, Supreme Court, Place 8",1045,197,173,370,1788,20.69%,69,46,29,144
"Justice, Supreme Court, Place 8",1046,11,5,16,62,25.81%,1,2,0,3
"Justice, Supreme Court, Place 8",1047,255,186,441,1568,28.13%,181,62,36,279
"Justice, Supreme Court, Place 8",1048,1,0,1,17,5.88%,1,0,0,1
"Justice, Supreme Court, Place 8",1049,14,45,59,290,20.34%,22,6,2,30
"Justice, Supreme Court, Place 8",1050,60,63,123,537,22.91%,41,13,11,65
"Justice, Supreme Court, Place 8",1051,0,31,31,0,0.00%,16,3,8,27
"Justice, Supreme Court, Place 8",1052,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1053,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1054,0,0,0,1,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1055,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1056,4,2,6,8,75.00%,2,0,2,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",1057,7,9,16,118,13.56%,3,2,0,5
"Justice, Supreme Court, Place 8",1058,241,285,526,1243,42.32%,122,65,34,221
"Justice, Supreme Court, Place 8",1059,3,3,6,28,21.43%,1,0,1,2
"Justice, Supreme Court, Place 8",1060,5,2,7,42,16.67%,5,0,0,5
"Justice, Supreme Court, Place 8",1061,332,184,516,1716,30.07%,288,58,33,379
"Justice, Supreme Court, Place 8",1062,17,6,23,201,11.44%,5,6,2,13
"Justice, Supreme Court, Place 8",1063,55,59,125,857,14.59%,23,14,14,51
"Justice, Supreme Court, Place 8",1064,25,11,36,119,30.25%,30,3,2,35
"Justice, Supreme Court, Place 8",1065,1,0,1,28,3.57%,0,0,0,0
"Justice, Supreme Court, Place 8",1066,72,0,72,229,31.44%,6,3,5,14
"Justice, Supreme Court, Place 8",1067,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",1068,22,8,30,121,24.79%,12,4,0,16
"Justice, Supreme Court, Place 8",1069,434,256,690,2580,26.74%,337,76,78,491
"Justice, Supreme Court, Place 8",Totals;,379077,308736,687813,2044361,379984,57131,53542,490657
