Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0921,32,15,47,119,39.50%,32,14,1,47
"Judge, County Criminal Court No. 13",0922,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0923,470,137,607,1511,40.17%,451,134,4,589
"Judge, County Criminal Court No. 13",0924,0,0,0,0,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0925,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0926,171,128,299,796,37.56%,224,63,1,288
"Judge, County Criminal Court No. 13",0927,44,30,74,270,27.41%,30,35,1,66
"Judge, County Criminal Court No. 13",0928,3,0,3,8,37.50%,0,3,0,3
"Judge, County Criminal Court No. 13",0929,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0930,109,54,163,584,27.91%,5,153,1,159
"Judge, County Criminal Court No. 13",0931,30,40,70,130,53.85%,35,24,0,59
"Judge, County Criminal Court No. 13",0932,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0933,115,85,200,627,31.90%,57,127,7,191
"Judge, County Criminal Court No. 13",0934,2,0,2,63,3.17%,1,1,0,2
"Judge, County Criminal Court No. 13",0935,3,2,5,54,9.26%,1,1,2,4
"Judge, County Criminal Court No. 13",0936,8,2,10,81,12.35%,3,6,0,9
"Judge, County Criminal Court No. 13",0937,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0938,30,14,44,231,19.05%,16,27,0,43
"Judge, County Criminal Court No. 13",0939,0,0,0,2,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0940,0,0,0,10,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0941,9,10,19,25,76.00%,19,0,0,19
"Judge, County Criminal Court No. 13",0942,53,27,80,156,51.28%,66,8,2,76
"Judge, County Criminal Court No. 13",0943,164,80,244,547,44.61%,168,56,2,226
"Judge, County Criminal Court No. 13",0944,20,4,24,45,53.33%,20,0,0,20
"Judge, County Criminal Court No. 13",0945,1,2,3,17,17.65%,1,2,0,3
"Judge, County Criminal Court No. 13",0946,0,1,1,13,7.69%,0,1,0,1
"Judge, County Criminal Court No. 13",0947,177,246,423,799,52.94%,223,169,9,401
"Judge, County Criminal Court No. 13",0948,0,14,14,1,1400.00%,9,3,0,12
"Judge, County Criminal Court No. 13",0949,34,27,61,193,31.61%,31,27,3,61
"Judge, County Criminal Court No. 13",0950,0,0,0,1,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0951,33,30,63,277,22.74%,15,46,1,62
"Judge, County Criminal Court No. 13",0952,16,15,31,71,43.66%,15,10,3,28
"Judge, County Criminal Court No. 13",0953,18,9,27,275,9.82%,4,21,1,26
"Judge, County Criminal Court No. 13",0954,0,0,0,1,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0955,3,2,5,19,26.32%,4,1,0,5
"Judge, County Criminal Court No. 13",0956,2,4,6,11,54.55%,2,4,0,6
"Judge, County Criminal Court No. 13",0957,97,95,192,562,34.16%,24,162,5,191
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0958,81,129,210,1081,19.43%,53,149,2,204
"Judge, County Criminal Court No. 13",0959,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0960,196,157,353,976,36.1,7%,70,266,4,340
"Judge, County Criminal Court No. 13",0961,15,0,16,56,28.57%,0,16,0,16
"Judge, County Criminal Court No. 13",0962,10,17,27,88,30.68%,3,23,1,27
"Judge, County Criminal Court No. 13",0963,54,41,105,426,24.65%,54,40,5,99
"Judge, County Criminal Court No. 13",0964,568,437,1005,2372,42.37%,623,337,11,971
"Judge, County Criminal Court No. 13",0965,31,21,52,343,15.16%,26,23,3,52
"Judge, County Criminal Court No. 13",0966,129,83,212,1148,18.47%,75,127,5,207
"Judge, County Criminal Court No. 13",0967,15,48,63,165,38.18%,19,43,0,62
"Judge, County Criminal Court No. 13",0968,119,30,149,692,21.53%,32,115,1,148
"Judge, County Criminal Court No. 13",0969,156,73,229,604,37.91%,0,224,2,226
"Judge, County Criminal Court No. 13",0970,83,36,119,731,16.28%,17,93,3,113
"Judge, County Criminal Court No. 13",0971,11,8,19,147,12.93%,1,16,0,17
"Judge, County Criminal Court No. 13",0972,e,8,14,31,45.16%,13,0,0,13
"Judge, County Criminal Court No. 13",0973,24,19,43,111,38.74%,21,16,2,39
"Judge, County Criminal Court No. 13",0974,57,36,93,299,31.10%,57,32,2,91
"Judge, County Criminal Court No. 13",0975,55,30,85,193,44.04%,40,39,0,79
"Judge, County Criminal Court No. 13",0976,58,62,130,683,19.03%,86,39,4,129
"Judge, County Criminal Court No. 13",0977,50,43,93,572,16.26%,39,51,2,92
"Judge, County Criminal Court No. 13",0978,77,79,156,546,28.57%,28,120,6,154
"Judge, County Criminal Court No. 13",0979,2,6,8,27,29.63%,4,2,1,7
"Judge, County Criminal Court No. 13",0980,280,321,601,1389,43.27%,450,118,5,573
"Judge, County Criminal Court No. 13",0981,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0982,312,312,624,1567,39.82%,509,81,10,600
"Judge, County Criminal Court No. 13",0983,11,21,32,161,19.88%,20,12,0,32
"Judge, County Criminal Court No. 13",0984,18,9,27,192,14.06%,4,22,0,26
"Judge, County Criminal Court No. 13",0985,117,63,180,351,51.28%,94,74,2,170
"Judge, County Criminal Court No. 13",0986,43,30,73,463,15.77%,12,59,1,72
"Judge, County Criminal Court No. 13",0987,231,90,321,1155,27.79%,29,279,6,314
"Judge, County Criminal Court No. 13",0988,24,12,36,123,29.27%,33,3,0,36
"Judge, County Criminal Court No. 13",0989,e,6,12,43,27.91%,8,4,0,12
"Judge, County Criminal Court No. 13",0990,16,1,17,140,12.14%,7,9,0,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0991,0,0,0,1,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0992,157,107,264,1048,25.19%,149,96,5,250
"Judge, County Criminal Court No. 13",0993,159,101,270,568,47.54%,220,35,5,260
"Judge, County Criminal Court No. 13",0994,e,5,11,25,44.00%,2,9,0,11
"Judge, County Criminal Court No. 13",0995,295,156,451,1393,32.38%,30,408,2,440
"Judge, County Criminal Court No. 13",0996,135,140,275,694,39.63%,154,93,9,256
"Judge, County Criminal Court No. 13",0997,101,163,264,1656,15.94%,58,199,4,261
"Judge, County Criminal Court No. 13",0998,5,1,6,57,10.53%,3,3,0,6
"Judge, County Criminal Court No. 13",0999,17,10,27,68,39.71%,23,3,0,26
"Judge, County Criminal Court No. 13",1000,42,6,48,405,11.85%,11,33,2,46
"Judge, County Criminal Court No. 13",1001,228,136,364,1565,23.26%,96,240,11,347
"Judge, County Criminal Court No. 13",1002,170,139,309,1744,17.72%,54,231,8,293
"Judge, County Criminal Court No. 13",1003,1,0,1,0,0.00%,1,0,0,1
"Judge, County Criminal Court No. 13",1004,111,139,250,654,38.23%,120,94,9,223
"Judge, County Criminal Court No. 13",1005,0,8,8,0,0.00%,3,3,1,7
"Judge, County Criminal Court No. 13",1006,1,0,1,5,20.00%,1,0,0,1
"Judge, County Criminal Court No. 13",1007,208,188,396,1547,25.60%,99,272,11,382
"Judge, County Criminal Court No. 13",1008,32,12,44,151,29.14%,33,9,0,42
"Judge, County Criminal Court No. 13",1009,0,0,0,9,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",1010,59,35,94,459,20.48%,18,74,0,92
"Judge, County Criminal Court No. 13",1011,8,1,9,26,34.62%,5,3,0,8
"Judge, County Criminal Court No. 13",1012,134,201,335,1365,24.54%,98,221,7,326
"Judge, County Criminal Court No. 13",1013,0,6,6,58,10.34%,3,2,0,5
"Judge, County Criminal Court No. 13",1014,4,6,10,31,32.26%,1,9,0,10
"Judge, County Criminal Court No. 13",1015,5,4,9,25,36.00%,3,5,0,8
"Judge, County Criminal Court No. 13",1016,252,212,464,1691,27.44%,234,203,12,449
"Judge, County Criminal Court No. 13",1017,61,44,105,330,31.82%,31,70,2,103
"Judge, County Criminal Court No. 13",1018,93,64,157,494,31.78%,70,80,2,152
"Judge, County Criminal Court No. 13",1019,130,107,237,1456,16.28%,10,218,4,232
"Judge, County Criminal Court No. 13",1020,0,0,0,1,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",1021,0,0,0,2,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",1022,97,79,176,441,39.91%,130,31,4,165
"Judge, County Criminal Court No. 13",1023,430,315,745,2026,36.77%,528,174,11,713
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",1024,55,61,116,249,46.59%,63,40,4,107
"Judge, County Criminal Court No. 13",1025,0,1,1,14,7.14%,1,0,0,1
"Judge, County Criminal Court No. 13",1026,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",1027,1,0,1,8,12.50%,0,1,0,1
"Judge, County Criminal Court No. 13",1028,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",1029,537,719,1256,2927,42.91%,982,205,10,1197
"Judge, County Criminal Court No. 13",1030,231,151,382,785,48.66%,337,37,1,375
"Judge, County Criminal Court No. 13",1031,59,71,130,792,16.41%,33,85,3,121
"Judge, County Criminal Court No. 13",1032,31,25,56,244,22.95%,35,17,0,52
"Judge, County Criminal Court No. 13",1033,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",1034,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",1035,2,4,6,138,4.35%,1,4,0,5
"Judge, County Criminal Court No. 13",1036,65,24,89,449,19.82%,73,14,0,87
"Judge, County Criminal Court No. 13",1037,19,11,30,76,39.47%,17,9,1,27
"Judge, County Criminal Court No. 13",1038,62,6,68,327,20.80%,9,54,1,64
"Judge, County Criminal Court No. 13",1039,2,0,2,25,8.00%,0,2,0,2
"Judge, County Criminal Court No. 13",1040,91,66,157,771,20.36%,70,77,4,151
"Judge, County Criminal Court No. 13",1041,0,2,2,0,0.00%,0,2,0,2
"Judge, County Criminal Court No. 13",1042,105,67,172,521,33.01%,53,108,5,166
"Judge, County Criminal Court No. 13",1043,5,6,12,33,36.36%,4,8,0,12
"Judge, County Criminal Court No. 13",1044,16,6,22,55,40.00%,7,14,0,21
"Judge, County Criminal Court No. 13",1045,197,173,370,1788,20.69%,50,299,9,358
"Judge, County Criminal Court No. 13",1046,11,5,16,62,25.81%,1,15,0,16
"Judge, County Criminal Court No. 13",1047,255,186,441,1568,28.13%,160,263,8,431
"Judge, County Criminal Court No. 13",1048,1,0,1,17,5.88%,1,0,0,1
"Judge, County Criminal Court No. 13",1049,14,45,59,290,20.34%,22,35,0,57
"Judge, County Criminal Court No. 13",1050,60,63,123,537,22.91%,32,85,0,117
"Judge, County Criminal Court No. 13",1051,0,31,31,0,0.00%,16,10,2,28
"Judge, County Criminal Court No. 13",1052,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",1053,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",1054,0,0,0,1,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",1055,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",1056,4,2,6,8,75.00%,0,6,0,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",1057,7,9,16,118,13.56%,2,12,0,14
"Judge, County Criminal Court No. 13",1058,241,285,526,1243,42.32%,101,406,4,511
"Judge, County Criminal Court No. 13",1059,3,3,6,28,21.43%,1,5,0,6
"Judge, County Criminal Court No. 13",1060,5,2,7,42,16.67%,5,2,0,7
"Judge, County Criminal Court No. 13",1061,332,184,516,1716,30.07%,270,213,12,495
"Judge, County Criminal Court No. 13",1062,17,6,23,201,11.44%,4,16,1,21
"Judge, County Criminal Court No. 13",1063,66,59,125,857,14.59%,19,100,1,120
"Judge, County Criminal Court No. 13",1064,25,11,36,119,30.25%,29,6,1,36
"Judge, County Criminal Court No. 13",1065,1,0,1,28,3.57%,0,1,0,1
"Judge, County Criminal Court No. 13",1066,72,0,72,229,31.44%,3,64,0,67
"Judge, County Criminal Court No. 13",1067,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",1068,22,8,30,121,24.79%,12,17,0,29
"Judge, County Criminal Court No. 13",1069,434,256,690,2580,26.74%,299,340,9,648
"Judge, County Criminal Court No. 13",Totals:,378846,308736,687582,2044361,,355848,286718,12757,655323
