Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0277,170,186,356,1492,23.86%,164,166,8,338
"Judge, County Criminal Court No. 13",0278,421,320,741,2454,30.20%,419,277,13,709
"Judge, County Criminal Court No. 13",0279,250,223,473,1941,24.37%,276,163,13,452
"Judge, County Criminal Court No. 13",0280,130,188,318,1524,20.87%,132,161,9,302
"Judge, County Criminal Court No. 13",0281,655,742,1397,2633,53.06%,681,536,34,1251
"Judge, County Criminal Court No. 13",0282,314,455,769,2042,37.66%,482,228,11,721
"Judge, County Criminal Court No. 13",0283,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0284,574,336,910,3172,28.69%,419,424,22,865
"Judge, County Criminal Court No. 13",0285,448,378,826,2540,32.52%,71,716,9,796
"Judge, County Criminal Court No. 13",0286,1255,821,2076,6170,33.65%,180,1790,25,1995
"Judge, County Criminal Court No. 13",0287,370,477,847,1621,52.25%,406,366,15,787
"Judge, County Criminal Court No. 13",0288,532,313,845,2210,38.24%,16,803,11,830
"Judge, County Criminal Court No. 13",0289,186,212,398,1564,25.45%,195,165,14,374
"Judge, County Criminal Court No. 13",0290,245,298,543,1642,33.07%,405,112,8,525
"Judge, County Criminal Court No. 13",0291,325,235,560,1225,45.71%,275,228,17,520
"Judge, County Criminal Court No. 13",0292,207,147,354,1356,26.11%,40,298,5,343
"Judge, County Criminal Court No. 13",0293,356,447,803,1759,45.65%,364,352,26,742
"Judge, County Criminal Court No. 13",0294,488,221,709,2097,33.81%,11,671,8,690
"Judge, County Criminal Court No. 13",0295,148,103,251,885,28.36%,7,234,5,246
"Judge, County Criminal Court No. 13",0296,327,340,667,1713,38.94%,378,219,17,614
"Judge, County Criminal Court No. 13",0297,280,249,529,2012,26.29%,230,256,9,495
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0298,415,358,773,2121,36.45%,444,259,22,725
"Judge, County Criminal Court No. 13",0299,178,117,295,1353,21.80%,112,150,12,274
"Judge, County Criminal Court No. 13",0300,1389,1016,2405,5406,44.49%,1906,373,25,2304
"Judge, County Criminal Court No. 13",0301,210,255,465,2352,19.77%,188,245,8,441
"Judge, County Criminal Court No. 13",0302,353,343,696,2720,25.59%,403,250,18,671
