Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0373,21,12,33,157,21.02%,2,29,31
"Member, State Board of Education, District 4",0374,65,93,158,738,21.41,%,62,92,154
"Member, State Board of Education, District 4",0375,254,220,474,2645,17.92%,243,206,449
"Member, State Board of Education, District 4",0376,278,205,483,1910,25.29%,222,245,467
"Member, State Board of Education, District 4",0379,431,289,720,2027,35.52%,78,623,701
"Member, State Board of Education, District 4",0381,412,248,660,2855,23.12%,310,328,638
"Member, State Board of Education, District 4",0384,573,373,946,2657,35.60%,190,728,918
"Member, State Board of Education, District 4",0389,91,208,299,1026,29.14%,41,240,281
"Member, State Board of Education, District 4",0390,356,263,619,1480,41.82%,75,526,601
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0392,387,155,542,1446,37.48%,7,527,534
"Member, State Board of Education, District 4",0394,89,73,142,834,17.03%,69,69,138
"Member, State Board of Education, District 4",0396,822,216,838,2082,40.25%,16,809,825
"Member, State Board of Education, District 4",0397,88,78,164,760,21.58%,80,79,159
"Member, State Board of Education, District 4",0401,330,205,535,1913,27.97%,28,498,526
"Member, State Board of Education, District 4",0402,488,266,732,1794,40.80%,38,681,719
"Member, State Board of Education, District 4",0405,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0406,137,67,204,628,32.48%,4,198,202
"Member, State Board of Education, District 4",0408,148,153,299,1691,17.68%,150,137,287
"Member, State Board of Education, District 4",0409,122,149,271,1459,18.57%,112,149,261
"Member, State Board of Education, District 4",0410,132,80,212,899,23.58%,43,160,203
"Member, State Board of Education, District 4",0411,235,200,435,2339,18.60%,162,262,424
"Member, State Board of Education, District 4",0412,74,44,118,468,25.21%,8,105,113
"Member, State Board of Education, District 4",0413,757,388,1153,2992,38.54%,451,661,1112
"Member, State Board of Education, District 4",0417,353,385,738,2448,30.15%,388,322,710
"Member, State Board of Education, District 4",0418,403,469,872,3584,24.33%,374,464,838
