Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0232,361,474,835,1760,47.44%,495,280,775
"District Judge, 190th Judicial District",0233,890,801,1691,4445,38.04%,862,694,1556
"District Judge, 190th Judicial District",0234,1192,913,2105,3993,52.72%,1648,326,1974
"District Judge, 190th Judicial District",0235,240,158,398,1356,29.35%,15,373,388
"District Judge, 190th Judicial District",0236,354,235,589,2079,28.33%,12,564,576
"District Judge, 190th Judicial District",0237,416,253,669,2161,30.96%,12,645,657
"District Judge, 190th Judicial District",0238,339,245,584,1925,30.34%,17,553,570
"District Judge, 190th Judicial District",0239,383,236,619,1964,31.52%,23,585,608
"District Judge, 190th Judicial District",0240,585,243,828,2649,31.26%,16,794,810
"District Judge, 190th Judicial District",0241,222,229,451,2372,19.01%,189,243,432
"District Judge, 190th Judicial District",0242,173,162,335,1596,20.99%,201,120,321
"District Judge, 190th Judicial District",0243,138,43,181,457,39.61%,3,178,181
"District Judge, 190th Judicial District",0244,480,425,905,3117,29.03%,514,352,866
"District Judge, 190th Judicial District",0245,945,799,1745,5828,29.94%,1227,477,1704
"District Judge, 190th Judicial District",0246,584,513,1197,3315,36.11%,860,298,1158
"District Judge, 190th Judicial District",0247,173,254,427,1582,26.99%,15,405,420
"District Judge, 190th Judicial District",0248,161,167,328,2100,15.62%,91,223,314
"District Judge, 190th Judicial District",0249,461,348,809,2719,29.75%,571,210,781
"District Judge, 190th Judicial District",0250,109,164,273,964,28.32%,8,260,268
"District Judge, 190th Judicial District",0251,278,436,714,2089,34.18%,28,670,698
"District Judge, 190th Judicial District",0252,504,312,816,2377,34.33%,16,783,799
"District Judge, 190th Judicial District",0253,379,222,601,2177,27.61%,15,573,588
"District Judge, 190th Judicial District",0254,93,112,205,1550,13.23%,65,131,196
"District Judge, 190th Judicial District",0255,525,648,1173,2482,47.26%,583,515,1098
"District Judge, 190th Judicial District",0256,575,449,1024,3254,31.47%,500,471,971
"District Judge, 190th Judicial District",0257,204,245,449,2523,17.80%,135,291,426
"District Judge, 190th Judicial District",0258,839,800,1539,3322,49.34%,1234,299,1533
"District Judge, 190th Judicial District",0259,555,382,1038,2361,43.96%,28,984,1012
"District Judge, 190th Judicial District",0260,162,145,307,1260,24.37%,182,105,287
"District Judge, 190th Judicial District",0261,124,120,244,1417,17.22%,106,129,235
"District Judge, 190th Judicial District",0262,758,600,1358,4397,30.88%,865,419,1284
"District Judge, 190th Judicial District",0263,858,712,1570,3693,42.51%,1214,303,1517
"District Judge, 190th Judicial District",0264,480,457,937,2963,31.62%,590,291,881
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
