Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0155,1022,619,1641,4109,39.94%,1144,446,1590
"District Judge, 184th Judicial District",0156,799,326,1125,3071,36.63%,42,1057,1099
"District Judge, 184th Judicial District",0157,448,214,662,2236,29.61%,24,617,641
"District Judge, 184th Judicial District",0158,600,315,915,3035,30.15%,28,865,893
"District Judge, 184th Judicial District",0159,116,127,243,998,24.35%,38,198,236
"District Judge, 184th Judicial District",0160,122,73,195,696,28.02%,4,188,192
"District Judge, 184th Judicial District",0161,163,141,304,991,30.68%,3,293,296
"District Judge, 184th Judicial District",0162,101,83,184,1265,14.55%,67,103,170
"District Judge, 184th Judicial District",0163,230,320,550,3037,18.11%,236,287,523
"District Judge, 184th Judicial District",0164,182,205,387,1420,27.25%,12,367,379
"District Judge, 184th Judicial District",0165,535,483,1018,2334,43.62%,669,302,971
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0166,158,233,391,1028,38.04%,116,252,368
"District Judge, 184th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"District Judge, 184th Judicial District",0168,92,58,150,503,29.82%,4,143,147
"District Judge, 184th Judicial District",0169,518,251,767,2513,30.52%,14,732,746
"District Judge, 184th Judicial District",0170,271,141,412,1869,22.04%,219,172,391
"District Judge, 184th Judicial District",0171,202,198,400,1604,24.94%,10,383,393
"District Judge, 184th Judicial District",0172,88,80,166,621,26.73%,65,87,152
"District Judge, 184th Judicial District",0173,817,739,1556,3599,43.23%,1245,261,1506
"District Judge, 184th Judicial District",0174,829,733,1562,3296,47.39%,1053,425,1478
"District Judge, 184th Judicial District",0175,557,749,1306,2618,49.89%,623,586,1209
"District Judge, 184th Judicial District",0176,344,451,795,1602,49.63%,397,320,717
"District Judge, 184th Judicial District",0177,278,326,604,1496,40.37%,336,229,565
"District Judge, 184th Judicial District",0178,504,365,869,1765,49.24%,563,242,805
"District Judge, 184th Judicial District",0179,256,188,444,1575,28.19%,240,184,424
"District Judge, 184th Judicial District",0180,470,343,813,2834,28.69%,23,756,779
"District Judge, 184th Judicial District",0181,175,262,437,2061,21.20%,144,272,416
"District Judge, 184th Judicial District",0182,590,974,1564,3405,45.93%,923,514,1437
"District Judge, 184th Judicial District",0183,519,794,1313,2491,52.71%,819,406,1225
"District Judge, 184th Judicial District",0184,106,135,241,994,24.25%,86,138,224
"District Judge, 184th Judicial District",0185,283,292,575,1933,29.75%,209,341,550
"District Judge, 184th Judicial District",0186,97,106,203,798,25.44%,32,165,197
"District Judge, 184th Judicial District",0187,21,25,46,311,14.79%,16,28,44
"District Judge, 184th Judicial District",0188,153,146,299,1637,18.27%,143,142,285
"District Judge, 184th Judicial District",0189,239,360,599,1465,40.89%,308,241,549
"District Judge, 184th Judicial District",0190,120,177,297,1723,17.24%,129,156,285
"District Judge, 184th Judicial District",0191,79,126,205,1366,15.01%,88,109,197
"District Judge, 184th Judicial District",0192,380,225,605,1959,30.88%,25,564,589
"District Judge, 184th Judicial District",0193,173,187,360,1074,33.52%,12,332,344
"District Judge, 184th Judicial District",0194,350,431,781,1912,40.85%,241,505,746
"District Judge, 184th Judicial District",0195,269,278,547,1694,32.29%,16,518,534
"District Judge, 184th Judicial District",0196,52,32,84,316,26.58%,6,76,82
"District Judge, 184th Judicial District",0197,543,309,852,2914,29.24%,14,820,834
"District Judge, 184th Judicial District",0198,53,74,127,642,19.78%,2,122,124
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0199,812,661,1473,3216,45.80%,1144,265,1409
"District Judge, 184th Judicial District",0200,962,536,1498,3382,44.29%,653,735,1388
"District Judge, 184th Judicial District",0201,98,87,185,724,25.55%,3,177,180
"District Judge, 184th Judicial District",0202,217,189,406,1464,27.73%,17,379,396
"District Judge, 184th Judicial District",0203,107,68,175,960,18.23%,43,122,165
"District Judge, 184th Judicial District",0204,816,784,1600,3487,45.88%,884,596,1480
"District Judge, 184th Judicial District",0205,464,171,635,1664,38.16%,13,611,624
"District Judge, 184th Judicial District",0206,362,462,824,2779,29.65%,238,539,777
"District Judge, 184th Judicial District",0207,265,261,526,1188,44.28%,167,328,495
"District Judge, 184th Judicial District",0208,322,262,584,2195,26.61%,178,382,560
"District Judge, 184th Judicial District",0209,0,2,2,0,0.00%,2,0,2
"District Judge, 184th Judicial District",0210,502,467,969,2533,38.26%,106,836,942
"District Judge, 184th Judicial District",0211,307,386,693,2914,23.78%,262,399,661
"District Judge, 184th Judicial District",0212,96,155,251,1300,19.31%,52,191,243
"District Judge, 184th Judicial District",0213,826,913,1739,3350,51.91%,1335,295,1630
"District Judge, 184th Judicial District",0214,404,491,895,1854,48.27%,552,297,849
"District Judge, 184th Judicial District",0215,421,711,1132,2258,50.13%,659,396,1055
"District Judge, 184th Judicial District",0216,362,223,585,1945,30.08%,40,530,570
"District Judge, 184th Judicial District",0217,844,631,1475,2678,55.08%,908,443,1351
"District Judge, 184th Judicial District",0218,391,402,793,2292,34.60%,244,487,731
"District Judge, 184th Judicial District",0219,496,436,932,2767,33.68%,50,848,898
