Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0217,844,631,1475,2678,55.08%,1051,358,18,13,1440
Commissioner of the General Land Office,0218,392,402,794,2292,34.64%,273,457,9,28,767
Commissioner of the General Land Office,0219,497,436,933,2767,33.72%,51,848,4,8,911
Commissioner of the General Land Office,0220,325,187,512,2310,22.16%,370,119,6,5,500
Commissioner of the General Land Office,0221,332,369,701,2529,27.72%,320,334,15,9,678
Commissioner of the General Land Office,0222,623,674,1297,2501,51.86%,666,553,20,20,1259
Commissioner of the General Land Office,0223,563,377,940,3582,26.24%,271,589,24,30,914
Commissioner of the General Land Office,0224,531,456,987,2238,44.10%,481,434,20,14,949
Commissioner of the General Land Office,0225,375,405,781,3305,23.63%,399,346,17,4,766
Commissioner of the General Land Office,0226,227,307,534,2436,21.92%,138,356,14,7,515
Commissioner of the General Land Office,0227,558,423,981,1785,54.96%,793,156,8,4,961
Commissioner of the General Land Office,0228,362,195,557,1050,53.05%,29,504,8,6,547
Commissioner of the General Land Office,0229,31,96,127,815,15.58%,59,59,1,3,122
Commissioner of the General Land Office,0230,185,116,301,1089,27.64%,8,283,5,1,297
Commissioner of the General Land Office,0231,233,264,497,2232,22.27%,134,333,6,12,485
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0232,361,474,835,1760,47.44%,490,300,15,12,817
Commissioner of the General Land Office,0233,892,801,1693,4445,38.09%,852,713,51,24,1640
Commissioner of the General Land Office,0234,1192,913,2105,3993,52.72%,1730,300,24,6,2060
Commissioner of the General Land Office,0235,240,158,398,1356,29.35%,10,377,4,3,394
Commissioner of the General Land Office,0236,354,235,589,2079,28.33%,16,549,1,12,578
Commissioner of the General Land Office,0237,417,253,670,2161,31.00%,15,643,1,1,660
