Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0951,33,30,63,277,22.74%,16,45,0,1,62
Commissioner of the General Land Office,0952,18,15,33,71,46.48%,16,14,2,1,33
Commissioner of the General Land Office,0953,18,9,27,275,9.82%,4,22,1,0,27
Commissioner of the General Land Office,0954,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0955,3,2,5,19,26.32%,4,1,0,0,5
Commissioner of the General Land Office,0956,2,4,6,11,54.55%,4,2,0,0,6
Commissioner of the General Land Office,0957,97,95,192,562,34.16%,23,166,3,0,192
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0958,81,129,210,1081,19.43%,53,148,3,2,206
Commissioner of the General Land Office,0959,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0960,195,157,353,976,36.17%,69,269,6,6,350
Commissioner of the General Land Office,0961,16,0,16,56,28.57%,0,15,0,1,16
Commissioner of the General Land Office,0962,10,17,27,88,30.68%,6,19,0,2,27
Commissioner of the General Land Office,0963,64,41,105,426,24.65%,56,43,1,2,102
Commissioner of the General Land Office,0964,568,437,1005,2372,42.37%,620,347,12,13,992
Commissioner of the General Land Office,0965,31,21,52,343,15.16%,25,20,2,5,52
Commissioner of the General Land Office,0966,129,83,212,1148,18.47%,75,124,3,5,207
Commissioner of the General Land Office,0967,15,48,63,165,38.18%,20,41,1,0,62
Commissioner of the General Land Office,0968,119,30,149,692,21.53%,31,112,3,2,148
Commissioner of the General Land Office,0969,156,73,229,604,37.91%,2,222,1,2,227
Commissioner of the General Land Office,0970,83,36,119,731,16.28%,17,97,0,3,117
Commissioner of the General Land Office,0971,11,8,19,147,12.93%,3,13,1,0,17
Commissioner of the General Land Office,0972,5,8,14,31,45.16%,14,0,0,0,14
Commissioner of the General Land Office,0973,24,19,43,111,38.74%,24,16,0,2,42
Commissioner of the General Land Office,0974,57,36,93,299,31.10%,61,29,1,2,93
Commissioner of the General Land Office,0975,55,30,85,193,44.04%,37,39,5,0,81
Commissioner of the General Land Office,0976,68,62,130,683,19.03%,80,43,6,0,129
Commissioner of the General Land Office,0977,50,43,93,572,16.26%,42,48,2,1,93
Commissioner of the General Land Office,0978,77,79,156,546,28.57%,33,119,2,1,155
Commissioner of the General Land Office,0979,2,6,8,27,29.63%,4,4,0,0,8
Commissioner of the General Land Office,0980,280,321,601,1389,43.27%,471,114,6,2,593
Commissioner of the General Land Office,0981,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0982,312,312,624,1567,39.82%,509,87,13,5,614
Commissioner of the General Land Office,0983,12,21,33,161,20.50%,19,12,1,0,32
Commissioner of the General Land Office,0984,18,9,27,192,14.06%,4,22,0,0,26
Commissioner of the General Land Office,0985,117,63,180,351,51.28%,100,73,2,1,176
Commissioner of the General Land Office,0986,43,30,73,463,15.77%,10,60,1,1,72
Commissioner of the General Land Office,0987,231,90,321,1155,27.79%,30,281,4,2,317
Commissioner of the General Land Office,0988,24,12,36,123,29.27%,32,3,1,0,36
Commissioner of the General Land Office,0989,6,6,12,43,27.91%,8,3,1,0,12
Commissioner of the General Land Office,0990,16,1,17,140,12.14%,9,7,0,0,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0991,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0992,157,107,264,1048,25.19%,144,102,10,3,259
Commissioner of the General Land Office,0993,159,101,270,568,47.54%,216,40,8,1,265
Commissioner of the General Land Office,0994,e,5,11,25,44.00%,2,9,0,0,11
Commissioner of the General Land Office,0995,296,156,452,1393,32.45%,31,405,5,2,443
Commissioner of the General Land Office,0996,136,140,276,694,39.77%,158,100,6,4,268
Commissioner of the General Land Office,0997,101,163,264,1656,15.94%,56,202,4,1,263
Commissioner of the General Land Office,0998,5,1,6,57,10.53%,3,3,0,0,6
Commissioner of the General Land Office,0999,17,10,27,68,39.71%,23,3,1,0,27
Commissioner of the General Land Office,1000,42,6,48,405,11.85%,14,33,0,0,47
Commissioner of the General Land Office,1001,228,136,364,1565,23.26%,97,246,1,8,352
Commissioner of the General Land Office,1002,170,139,309,1744,17.72%,57,228,6,9,300
Commissioner of the General Land Office,1003,1,0,1,0,0.00%,1,0,0,0,1
Commissioner of the General Land Office,1004,111,139,250,654,38.23%,129,95,9,9,242
Commissioner of the General Land Office,1005,0,8,8,0,0.00%,3,3,0,1,7
Commissioner of the General Land Office,1006,1,0,1,5,20.00%,1,0,0,0,1
Commissioner of the General Land Office,1007,208,188,396,1547,25.60%,96,276,8,6,386
Commissioner of the General Land Office,1008,32,12,44,151,29.14%,35,8,0,0,43
Commissioner of the General Land Office,1009,0,0,0,9,0.00%,0,0,0,0,0
Commissioner of the General Land Office,1010,59,35,94,459,20.48%,18,73,2,0,93
Commissioner of the General Land Office,1011,8,1,9,26,34.62%,5,3,0,0,8
Commissioner of the General Land Office,1012,134,201,335,1365,24.54%,108,215,2,1,326
Commissioner of the General Land Office,1013,0,6,6,58,10.34%,4,2,0,0,6
Commissioner of the General Land Office,1014,4,6,10,31,32.26%,1,9,0,0,10
Commissioner of the General Land Office,1015,5,4,9,25,36.00%,2,6,0,0,8
Commissioner of the General Land Office,1016,252,212,464,1691,27.44%,226,211,11,8,456
Commissioner of the General Land Office,1017,61,44,105,330,31.82%,30,67,6,1,104
Commissioner of the General Land Office,1018,93,64,157,494,31.78%,69,80,4,1,154
Commissioner of the General Land Office,1019,130,107,237,1456,16.28%,10,218,2,3,233
Commissioner of the General Land Office,1020,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of the General Land Office,1021,0,0,0,2,0.00%,0,0,0,0,0
Commissioner of the General Land Office,1022,97,79,176,441,39.91%,134,31,7,0,172
Commissioner of the General Land Office,1023,430,315,745,2026,36.77%,537,176,11,6,730
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,1024,55,61,116,249,46.59%,65,43,4,2,114
Commissioner of the General Land Office,1025,0,1,1,14,7.14%,1,0,0,0,1
Commissioner of the General Land Office,1026,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,1027,1,0,1,8,12.50%,0,1,0,0,1
Commissioner of the General Land Office,1028,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,1029,538,719,1257,2927,42.94%,1004,198,23,9,1234
Commissioner of the General Land Office,1030,231,151,382,785,48.66%,335,31,9,1,376
Commissioner of the General Land Office,1031,59,71,130,792,16.41%,31,87,2,1,121
Commissioner of the General Land Office,1032,31,25,56,244,22.95%,36,16,0,0,52
Commissioner of the General Land Office,1033,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,1034,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,1035,2,4,6,138,4.35%,1,5,0,0,6
Commissioner of the General Land Office,1036,55,24,89,449,19.82%,71,15,2,0,88
Commissioner of the General Land Office,1037,19,11,30,76,39.47%,19,9,1,0,29
Commissioner of the General Land Office,1038,52,6,68,327,20.80%,9,56,0,1,66
Commissioner of the General Land Office,1039,2,0,2,25,8.00%,0,2,0,0,2
Commissioner of the General Land Office,1040,91,66,157,771,20.36%,74,72,8,2,156
Commissioner of the General Land Office,1041,0,2,2,0,0.00%,1,1,0,0,2
Commissioner of the General Land Office,1042,105,67,172,521,33.01%,54,110,4,2,170
Commissioner of the General Land Office,1043,6,e,12,33,36.36%,4,8,0,0,12
Commissioner of the General Land Office,1044,15,6,22,55,40.00%,7,13,1,0,21
Commissioner of the General Land Office,1045,197,173,370,1788,20.69%,49,301,4,3,357
Commissioner of the General Land Office,1046,11,5,16,62,25.81%,1,15,0,0,16
Commissioner of the General Land Office,1047,255,186,441,1568,28.13%,162,257,12,5,436
Commissioner of the General Land Office,1048,1,0,1,17,5.88%,1,0,0,0,1
Commissioner of the General Land Office,1049,14,45,59,290,20.34%,17,36,1,2,56
Commissioner of the General Land Office,1050,60,63,123,537,22.91%,36,82,0,1,119
Commissioner of the General Land Office,1051,0,31,31,0,0.00%,16,10,1,4,31
Commissioner of the General Land Office,1052,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,1053,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,1054,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of the General Land Office,1055,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,1056,4,2,6,8,75.00%,0,6,0,0,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,1057,7,9,16,118,13.56%,3,13,0,0,16
Commissioner of the General Land Office,1058,241,285,526,1243,42.32%,101,409,8,2,520
Commissioner of the General Land Office,1059,3,3,6,28,21.43%,1,5,0,0,6
Commissioner of the General Land Office,1060,5,2,7,42,16.67%,5,2,0,0,7
Commissioner of the General Land Office,1061,332,184,516,1716,30.07%,268,215,14,8,505
Commissioner of the General Land Office,1062,17,6,23,201,11.44%,4,18,0,0,22
Commissioner of the General Land Office,1063,66,59,125,857,14.59%,20,96,2,4,122
Commissioner of the General Land Office,1064,25,11,36,119,30.25%,28,8,0,0,36
Commissioner of the General Land Office,1065,1,0,1,28,3.57%,0,1,0,0,1
Commissioner of the General Land Office,1066,72,0,72,229,31.44%,3,66,1,0,70
Commissioner of the General Land Office,1067,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,1068,22,8,30,121,24.79%,12,16,0,0,28
Commissioner of the General Land Office,1069,434,256,690,2580,26.74%,318,318,17,14,667
Commissioner of the General Land Office,Totals:,379077,308736,687813,2044361,364796,287790,13437,7865,673888
