Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0235,240,158,398,1356,29.35%,11,378,389
"District Judge, 113th Judicial District",0236,354,235,589,2079,28.33%,14,562,576
"District Judge, 113th Judicial District",0237,416,253,669,2161,30.96%,13,645,658
"District Judge, 113th Judicial District",0238,339,245,584,1925,30.34%,14,552,566
"District Judge, 113th Judicial District",0239,383,236,619,1964,31.52%,24,584,608
"District Judge, 113th Judicial District",0240,585,243,828,2649,31.26%,22,790,812
"District Judge, 113th Judicial District",0241,222,229,451,2372,19.01%,187,243,430
"District Judge, 113th Judicial District",0242,173,162,335,1596,20.99%,197,122,319
"District Judge, 113th Judicial District",0243,138,43,181,457,39.61%,1,180,181
"District Judge, 113th Judicial District",0244,480,425,905,311,7,29.03%,498,366,864
"District Judge, 113th Judicial District",0245,945,799,1745,5828,29.94%,1222,487,1709
"District Judge, 113th Judicial District",0246,584,513,1197,3315,36.11%,855,303,1158
"District Judge, 113th Judicial District",0247,173,254,427,1582,26.99%,13,408,421
"District Judge, 113th Judicial District",0248,161,167,328,2100,15.62%,99,217,316
"District Judge, 113th Judicial District",0249,461,348,809,2719,29.75%,558,224,782
"District Judge, 113th Judicial District",0250,109,164,273,964,28.32%,7,262,269
"District Judge, 113th Judicial District",0251,278,436,714,2089,34.18%,25,677,702
"District Judge, 113th Judicial District",0252,504,312,816,2377,34.33%,15,786,801
"District Judge, 113th Judicial District",0253,379,222,601,2177,27.61%,13,576,589
"District Judge, 113th Judicial District",0254,93,112,205,1550,13.23%,67,129,196
"District Judge, 113th Judicial District",0255,525,648,1173,2482,47.26%,538,562,1100
"District Judge, 113th Judicial District",0256,575,449,1024,3254,31.47%,480,488,968
"District Judge, 113th Judicial District",0257,204,245,449,2523,17.80%,134,292,426
"District Judge, 113th Judicial District",0258,839,800,1539,3322,49.34%,1184,371,1555
"District Judge, 113th Judicial District",0259,555,382,1038,2361,43.96%,27,983,1010
"District Judge, 113th Judicial District",0260,162,145,307,1260,24.37%,177,110,287
"District Judge, 113th Judicial District",0261,124,120,244,1417,17.22%,103,132,235
"District Judge, 113th Judicial District",0262,758,600,1358,4397,30.88%,845,445,1290
"District Judge, 113th Judicial District",0263,858,712,1570,3693,42.51%,1197,318,1515
"District Judge, 113th Judicial District",0264,480,457,937,2963,31.62%,573,311,884
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0265,988,759,1747,3584,48.74%,1280,365,1645
"District Judge, 113th Judicial District",0266,259,257,516,2104,24.52%,258,230,488
"District Judge, 113th Judicial District",0267,146,166,312,1327,23.51%,165,128,293
"District Judge, 113th Judicial District",0268,435,717,1152,2493,46.21%,632,414,1046
"District Judge, 113th Judicial District",0269,702,453,1155,2030,56.90%,863,233,1096
"District Judge, 113th Judicial District",0270,817,672,1489,3605,41.30%,810,605,1415
"District Judge, 113th Judicial District",0271,656,382,1038,2518,41.22%,27,998,1025
"District Judge, 113th Judicial District",0272,264,292,555,2162,25.72%,217,314,531
"District Judge, 113th Judicial District",0273,548,689,1237,2470,50.08%,984,199,1183
"District Judge, 113th Judicial District",0274,588,346,934,2153,43.38%,625,256,881
"District Judge, 113th Judicial District",0275,207,236,443,1850,23.95%,109,321,430
"District Judge, 113th Judicial District",0276,572,231,803,2536,31.66%,7,784,791
"District Judge, 113th Judicial District",0277,170,186,356,1492,23.86%,166,178,344
"District Judge, 113th Judicial District",0278,421,320,741,2454,30.20%,406,309,715
"District Judge, 113th Judicial District",0279,250,223,473,1941,24.37%,285,170,455
"District Judge, 113th Judicial District",0280,130,188,318,1524,20.87%,128,172,300
"District Judge, 113th Judicial District",0281,655,742,1397,2633,53.06%,616,656,1272
"District Judge, 113th Judicial District",0282,314,455,769,2042,37.66%,471,256,727
"District Judge, 113th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 113th Judicial District",0284,574,335,910,3172,28.69%,418,452,870
"District Judge, 113th Judicial District",0285,448,378,826,2540,32.52%,76,729,805
"District Judge, 113th Judicial District",0286,1255,821,2076,6170,33.65%,187,1832,2019
"District Judge, 113th Judicial District",0287,370,477,847,1621,52.25%,399,399,798
"District Judge, 113th Judicial District",0288,532,313,845,2210,38.24%,21,812,833
"District Judge, 113th Judicial District",0289,186,212,398,1564,25.45%,197,177,374
"District Judge, 113th Judicial District",0290,245,298,543,1642,33.07%,411,117,528
"District Judge, 113th Judicial District",0291,325,235,560,1225,45.71%,277,253,530
"District Judge, 113th Judicial District",0292,207,147,354,1356,26.11%,39,306,345
"District Judge, 113th Judicial District",0293,356,447,803,1759,45.65%,351,398,749
"District Judge, 113th Judicial District",0294,488,221,709,2097,33.81%,12,686,698
"District Judge, 113th Judicial District",0295,148,103,251,885,28.36%,8,238,246
"District Judge, 113th Judicial District",0296,327,340,667,1713,38.94%,378,246,624
"District Judge, 113th Judicial District",0297,280,249,529,2012,26.29%,234,267,501
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0298,415,358,773,2121,36.45%,452,278,730
"District Judge, 113th Judicial District",0299,178,117,295,1353,21.80%,119,158,277
"District Judge, 113th Judicial District",0300,1389,1016,2405,5406,44.49%,1907,408,2315
"District Judge, 113th Judicial District",0301,210,255,465,2352,19.77%,187,254,441
"District Judge, 113th Judicial District",0302,353,343,696,2720,25.59%,410,264,674
"District Judge, 113th Judicial District",0303,922,784,1706,3245,52.57%,1309,327,1636
"District Judge, 113th Judicial District",0304,606,505,1111,2298,48.35%,582,453,1035
"District Judge, 113th Judicial District",0305,524,432,956,4191,22.81%,401,528,929
"District Judge, 113th Judicial District",0306,649,342,991,1879,52.74%,696,243,939
"District Judge, 113th Judicial District",0307,733,670,1403,3099,45.27%,943,390,1333
"District Judge, 113th Judicial District",0308,199,130,329,1296,25.39%,115,201,316
"District Judge, 113th Judicial District",0309,708,593,1301,2524,51.55%,1008,230,1238
"District Judge, 113th Judicial District",0310,386,279,665,1435,46.34%,444,180,624
"District Judge, 113th Judicial District",0311,486,421,907,2986,30.38%,487,358,845
"District Judge, 113th Judicial District",0312,742,457,1199,3636,32.98%,759,391,1150
"District Judge, 113th Judicial District",0313,9,0,9,62,14.52%,7,2,9
"District Judge, 113th Judicial District",0314,1121,913,2034,5647,36.02%,1278,698,1976
"District Judge, 113th Judicial District",0315,478,388,866,1608,53.86%,490,327,817
"District Judge, 113th Judicial District",0316,412,341,753,1537,48.99%,377,322,699
"District Judge, 113th Judicial District",0317,248,209,457,1588,28.78%,145,293,438
"District Judge, 113th Judicial District",0318,834,568,1402,3660,38.31%,64,1295,1359
"District Judge, 113th Judicial District",0319,512,230,742,2158,34.38%,46,677,723
"District Judge, 113th Judicial District",0320,234,168,402,1537,26.15%,203,185,388
"District Judge, 113th Judicial District",0321,262,191,453,2346,19.31%,165,262,427
"District Judge, 113th Judicial District",0322,181,129,310,1226,25.29%,101,196,297
"District Judge, 113th Judicial District",0323,278,211,489,1722,28.40%,235,227,462
"District Judge, 113th Judicial District",0324,532,646,1178,2336,50.43%,701,389,1090
"District Judge, 113th Judicial District",0325,289,193,482,2112,22.82%,102,364,466
"District Judge, 113th Judicial District",0326,87,74,161,698,23.07%,75,77,152
"District Judge, 113th Judicial District",0327,380,129,509,1729,29.44%,11,485,496
"District Judge, 113th Judicial District",0328,151,140,291,1434,20.29%,127,154,281
"District Judge, 113th Judicial District",0329,189,184,373,1397,26.70%,139,216,355
"District Judge, 113th Judicial District",0330,334,253,587,1936,30.32%,340,224,564
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0331,0,0,0,0,0.00%,0,0,0
"District Judge, 113th Judicial District",0332,18,7,25,138,18.12%,12,9,21
"District Judge, 113th Judicial District",0333,524,714,1238,3021,40.98%,866,313,1179
