Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0380,1299,995,2294,5666,40.49%,1257,971,2228
County Clerk,0381,412,248,660,2855,23.12%,308,329,637
County Clerk,0382,132,157,289,922,31.34%,211,71,282
County Clerk,0383,289,263,552,2173,25.40%,228,304,532
County Clerk,0384,573,373,946,2657,35.60%,185,728,913
County Clerk,0385,583,670,1253,2207,56.77%,978,213,1191
County Clerk,0386,662,469,1131,2922,38.71%,828,262,1090
County Clerk,0387,555,672,1227,3935,31.18%,895,302,1197
County Clerk,0388,1430,1010,2440,6888,35.42%,1405,974,2379
County Clerk,0389,91,208,299,1026,29.14%,43,232,275
County Clerk,0390,356,263,619,1480,41.82%,79,519,598
County Clerk,0391,508,260,768,1883,40.79%,491,248,739
County Clerk,0392,387,155,542,1446,37.48%,11,523,534
County Clerk,0393,165,185,350,1292,27.09%,159,182,341
County Clerk,0394,69,73,142,834,17.03%,71,66,137
County Clerk,0395,469,404,873,1846,47.29%,633,202,835
County Clerk,0396,622,216,838,2082,40.25%,16,797,813
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0397,86,78,164,760,21.58%,78,81,159
County Clerk,0398,615,521,1136,4022,28.24%,608,501,1109
County Clerk,0399,402,366,768,2791,27.52%,424,321,745
County Clerk,0400,520,359,979,2411,40.61%,708,226,934
County Clerk,0401,330,205,535,1913,27.97%,17,503,520
County Clerk,0402,466,266,732,1794,40.80%,35,677,712
County Clerk,0403,475,498,973,1715,56.73%,542,356,898
County Clerk,0404,419,330,749,2585,28.97%,429,294,723
County Clerk,0405,0,0,0,0,0.00%,0,0,0
County Clerk,0406,137,67,204,628,32.48%,4,194,198
County Clerk,0407,688,793,1481,3769,39.29%,1006,404,1410
County Clerk,0408,146,153,299,1691,17.68%,147,139,286
County Clerk,0409,122,149,271,1459,18.57%,108,154,262
County Clerk,0410,132,80,212,899,23.58%,43,158,201
County Clerk,0411,235,200,435,2339,18.60%,162,252,414
