Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0178,504,365,869,1765,49.24%,367,112,7,0,486
Straight Party,0179,256,188,444,1575,28.19%,155,114,3,2,274
Straight Party,0180,470,343,813,2834,28.69%,9,635,1,4,649
Straight Party,0181,175,262,437,2061,21.20%,102,222,2,1,327
Straight Party,0182,592,974,1566,3405,45.99%,563,231,7,0,801
Straight Party,0183,520,794,1314,2491,52.75%,477,156,3,0,636
Straight Party,0184,106,135,241,994,24.25%,53,105,1,1,160
Straight Party,0185,283,292,575,1933,29.75%,140,255,0,0,395
Straight Party,0186,97,106,203,798,25.44%,23,141,1,1,166
Straight Party,0187,21,25,46,311,14.79%,8,23,0,1,32
Straight Party,0188,153,146,299,1637,18.27%,100,116,3,1,220
Straight Party,0189,241,360,601,1465,41.02%,192,136,5,2,335
Straight Party,0190,120,177,297,1723,17.24%,89,115,1,1,206
Straight Party,0191,79,126,205,1366,15.01%,60,81,2,0,143
Straight Party,0192,381,225,606,1959,30.93%,18,471,2,1,492
Straight Party,0193,173,187,360,1074,33.52%,5,257,1,2,265
Straight Party,0194,352,431,783,1912,40.95%,142,303,0,0,445
Straight Party,0195,269,278,547,1694,32.29%,4,433,1,1,439
Straight Party,0196,52,32,84,316,26.58%,5,58,0,0,63
Straight Party,0197,544,309,853,2914,29.27%,9,699,1,1,710
Straight Party,0198,53,74,127,642,19.78%,1,105,1,0,107
Straight Party,0199,812,661,1473,3216,45.80%,869,141,15,2,1027
Straight Party,0200,964,536,1500,3382,44.35%,416,408,5,1,830
Straight Party,0201,98,87,185,724,25.55%,2,154,1,1,158
Straight Party,0202,217,189,406,1464,27.73%,9,320,0,0,329
Straight Party,0203,107,68,175,960,18.23%,23,100,0,2,125
Straight Party,0204,818,784,1602,3487,45.94%,586,308,10,7,911
Straight Party,0205,465,171,636,1664,38.22%,5,526,0,0,531
Straight Party,0206,354,462,826,2779,29.72%,150,335,6,3,494
Straight Party,0207,265,261,526,1188,44.28%,100,182,1,1,284
Straight Party,0208,322,262,584,2195,26.61%,115,296,5,1,417
Straight Party,0209,0,2,2,0,0.00%,1,0,0,0,1
Straight Party,0210,502,467,969,2533,38.26%,57,614,4,2,677
Straight Party,0211,308,386,694,2914,23.82%,170,270,7,5,452
Straight Party,0212,95,155,251,1300,19.31%,39,151,2,0,192
Straight Party,0213,826,913,1739,3350,51.91%,899,112,4,1,1016
Straight Party,0214,404,491,895,1854,48.27%,339,141,2,0,482
Straight Party,0215,423,711,1134,2258,50.22%,393,174,7,1,575
Straight Party,0216,362,223,585,1945,30.08%,28,440,0,0,468
Straight Party,0217,844,631,1475,2678,55.08%,547,178,5,1,731
Straight Party,0218,392,402,794,2292,34.64%,139,307,3,4,453
Straight Party,0219,497,436,933,2767,33.72%,32,698,1,2,733
Straight Party,0220,325,187,512,2310,22.16%,273,96,0,0,369
Straight Party,0221,332,369,701,2529,27.72%,188,234,3,1,426
Straight Party,0222,626,674,1300,2501,51.98%,299,283,0,1,583
Straight Party,0223,563,377,940,3582,26.24%,158,382,5,1,546
Straight Party,0224,531,456,987,2238,44.10%,277,269,4,3,553
Straight Party,0225,375,405,781,3305,23.63%,293,265,2,1,561
Straight Party,0226,227,307,534,2436,21.92%,94,302,7,3,406
Straight Party,0227,558,423,981,1785,54.96%,383,59,2,0,444
Straight Party,0228,362,195,557,1050,53.05%,11,364,0,2,377
Straight Party,0229,31,96,127,815,15.58%,45,46,0,1,92
Straight Party,0230,185,116,301,1089,27.64%,5,251,1,1,258
Straight Party,0231,233,264,497,2232,22.27%,88,261,1,4,354
Straight Party,0232,363,474,837,1760,47.56%,283,166,1,2,452
Straight Party,0233,894,801,1695,4445,38.13%,467,399,13,2,881
Straight Party,0234,1194,913,2107,3993,52.77%,1051,163,5,0,1219
Straight Party,0235,240,158,398,1356,29.35%,8,321,1,1,331
Straight Party,0236,354,235,589,2079,28.33%,8,495,0,6,509
Straight Party,0237,417,253,670,2161,31.00%,5,562,0,1,568
Straight Party,0238,340,245,585,1925,30.39%,9,488,2,2,501
Straight Party,0239,384,236,620,1964,31.57%,11,512,1,1,525
Straight Party,0240,585,243,828,2649,31.26%,10,686,0,0,696
Straight Party,0241,222,229,451,2372,19.01%,133,183,0,0,316
Straight Party,0242,173,162,335,1596,20.99%,136,95,4,2,237
Straight Party,0243,138,43,181,457,39.61%,1,155,0,0,156
Straight Party,0244,481,425,906,3117,29.07%,372,239,6,0,617
Straight Party,0245,946,799,1745,5828,29.94%,943,319,12,3,1277
Straight Party,0246,684,513,1197,3315,36.11%,631,216,5,0,852
Straight Party,0247,173,254,427,1582,26.99%,9,340,0,1,350
Straight Party,0248,161,167,328,2100,15.62%,63,188,3,1,255
Straight Party,0249,461,348,809,2719,29.75%,427,145,3,1,576
Straight Party,0250,109,164,273,964,28.32%,4,221,1,1,227
Straight Party,0251,278,436,714,2089,34.18%,16,594,0,2,612
Straight Party,0252,504,312,816,2377,34.33%,9,698,0,1,708
Straight Party,0253,379,222,601,2177,27.61%,5,512,2,1,520
Straight Party,0254,93,112,205,1550,13.23%,45,111,0,0,156
Straight Party,0255,528,648,1176,2482,47.38%,348,309,6,2,665
Straight Party,0256,575,449,1024,3254,31.47%,334,311,4,3,652
Straight Party,0257,204,245,449,2523,17.80%,97,238,0,0,335
Straight Party,0258,841,800,1641,3322,49.40%,820,169,8,0,997
Straight Party,0259,656,382,1038,2361,43.96%,16,802,0,2,820
Straight Party,0260,162,145,307,1260,24.37%,137,72,0,1,210
Straight Party,0261,124,120,244,1417,17.22%,76,104,1,0,181
Straight Party,0262,758,600,1358,4397,30.88%,576,262,8,2,848
Straight Party,0263,858,712,1570,3693,42.51%,956,196,6,1,1159
Straight Party,0264,482,457,939,2963,31.69%,410,181,5,1,597
Straight Party,0265,988,759,1747,3584,48.74%,894,183,5,1,1083
Straight Party,0266,259,257,516,2104,24.52%,166,160,1,3,330
Straight Party,0267,146,166,312,1327,23.51%,110,98,1,2,211
Straight Party,0268,435,717,1152,2493,46.21%,379,191,7,1,578
Straight Party,0269,702,453,1155,2030,56.90%,575,87,1,1,664
Straight Party,0270,819,672,1491,3605,41.36%,546,306,6,5,863
Straight Party,0271,656,382,1038,2518,41.22%,16,845,0,1,862
Straight Party,0272,265,292,557,2162,25.76%,149,200,7,3,359
Straight Party,0273,548,689,1237,2470,50.08%,692,98,4,2,796
Straight Party,0274,588,346,934,2153,43.38%,403,124,3,1,531
Straight Party,0275,207,236,443,1850,23.95%,61,239,1,2,303
Straight Party,0276,572,231,803,2536,31.66%,5,689,1,4,699
Straight Party,0277,170,186,356,1492,23.86%,117,136,2,0,255
Straight Party,0278,421,320,741,2454,30.20%,279,211,2,0,492
Straight Party,0279,251,223,474,1941,24.42%,185,108,1,1,295
Straight Party,0280,130,188,318,1524,20.87%,88,115,1,4,208
Straight Party,0281,657,742,1399,2633,53.13%,353,292,3,1,649
Straight Party,0282,314,455,769,2042,37.66%,327,148,9,2,486
Straight Party,0283,0,0,0,0,0.00%,0,0,0,0,0
Straight Party,0284,575,336,911,3172,28.72%,290,305,4,4,503
Straight Party,0285,448,378,826,2540,32.52%,51,606,0,0,657
Straight Party,0286,1255,821,2076,6170,33.65%,130,1452,4,6,1592
Straight Party,0287,371,477,848,1621,52.31%,265,211,5,1,482
Straight Party,0288,532,313,845,2210,38.24%,13,697,1,1,712
Straight Party,0289,187,212,399,1564,25.51%,145,132,2,1,280
Straight Party,0290,245,298,543,1642,33.07%,315,75,3,0,393
Straight Party,0291,325,235,560,1225,45.71%,181,142,1,2,326
Straight Party,0292,207,147,354,1356,26.11%,33,249,1,0,283
Straight Party,0293,357,447,804,1759,45.71%,253,221,4,2,480
Straight Party,0294,488,221,709,2097,33.81%,4,591,2,1,598
Straight Party,0295,148,103,251,885,28.36%,4,218,0,2,224
Straight Party,0296,328,340,668,1713,39.00%,278,136,6,2,422
Straight Party,0297,280,249,529,2012,26.29%,165,183,3,0,351
Straight Party,0298,418,358,776,2121,36.59%,311,162,1,1,475
Straight Party,0299,179,117,296,1353,21.88%,84,111,5,0,200
Straight Party,0300,1389,1016,2405,5406,44.49%,1400,220,16,1,1637
Straight Party,0301,210,255,465,2352,19.77%,126,211,0,3,340
Straight Party,0302,353,343,696,2720,25.59%,307,194,1,1,503
Straight Party,0303,924,784,1708,3245,52.63%,928,127,3,3,1061
Straight Party,0304,606,505,1111,2298,48.35%,384,237,3,2,626
Straight Party,0305,524,432,956,4191,22.81%,308,416,6,5,735
Straight Party,0306,550,342,992,1879,52.79%,482,119,8,0,609
Straight Party,0307,734,670,1404,3099,45.30%,666,193,7,3,869
Straight Party,0308,199,130,329,1296,25.39%,74,144,0,0,218
Straight Party,0309,710,593,1303,2524,51.62%,706,92,3,0,801
Straight Party,0310,387,279,666,1435,46.41%,331,94,1,1,427
Straight Party,0311,487,421,908,2986,30.41%,349,243,2,5,599
Straight Party,0312,743,457,1200,3636,33.00%,537,242,8,1,788
Straight Party,0313,9,0,9,62,14.52%,7,2,0,0,9
Straight Party,0314,1121,913,2034,5647,36.02%,964,468,10,4,1446
Straight Party,0315,479,388,867,1608,53.92%,315,147,5,2,469
Straight Party,0316,415,341,756,1537,49.19%,237,163,3,2,405
Straight Party,0317,251,209,460,1588,28.97%,94,196,2,2,294
Straight Party,0318,834,568,1402,3660,38.31%,40,1023,0,2,1065
Straight Party,0319,513,230,743,2158,34.43%,30,553,0,4,587
Straight Party,0320,234,168,402,1537,26.15%,137,131,0,0,268
Straight Party,0321,262,191,453,2346,19.31%,118,200,2,4,324
Straight Party,0322,182,129,311,1226,25.37%,71,142,0,1,214
Straight Party,0323,278,211,489,1722,28.40%,160,144,1,1,306
Straight Party,0324,532,646,1178,2336,50.43%,461,181,3,0,645
Straight Party,0325,289,193,482,2112,22.82%,66,290,2,2,360
Straight Party,0326,87,74,161,698,23.07%,51,55,3,0,109
Straight Party,0327,380,129,509,1729,29.44%,5,396,1,0,402
Straight Party,0328,151,140,291,1434,20.29%,98,112,1,1,212
Straight Party,0329,191,184,375,1397,26.84%,93,149,3,0,245
Straight Party,0330,334,253,587,1936,30.32%,238,156,3,1,398
Straight Party,0331,0,0,0,0,0.00%,0,0,0,0,0
Straight Party,0332,18,7,25,138,18.12%,7,5,0,0,12
Straight Party,0333,525,714,1239,3021,41.01%,620,179,11,1,811
Straight Party,0334,83,42,125,742,16.85%,15,77,1,0,93
Straight Party,0335,121,98,219,1300,16.85%,64,89,4,3,160
Straight Party,0336,870,624,1494,4051,36.88%,88,1024,2,3,1117
Straight Party,0337,124,103,227,1029,22.06%,24,134,1,0,159
Straight Party,0338,731,391,1122,4934,22.74%,289,526,6,1,822
Straight Party,0339,202,222,424,1757,24.13%,55,230,2,5,292
Straight Party,0340,1038,594,1632,3765,43.35%,934,195,13,0,1142
Straight Party,0341,91,167,258,1290,20.00%,58,125,0,2,185
Straight Party,0342,675,605,1280,6526,19.61%,150,831,4,3,988
Straight Party,0343,190,271,461,1964,23.47%,93,222,2,1,318
Straight Party,0344,154,172,326,1160,28.10%,8,264,2,0,274
Straight Party,0345,156,165,321,1804,17.79%,74,155,5,4,238
Straight Party,0346,0,1,1,3,33.33%,1,0,0,0,1
Straight Party,0347,592,436,1028,3387,30.35%,519,198,5,2,724
Straight Party,0348,438,208,646,1708,37.82%,381,60,2,2,445
Straight Party,0349,188,267,455,1349,33.73%,196,91,4,0,291
Straight Party,0350,526,526,1052,2909,36.16%,250,319,5,2,576
Straight Party,0351,1491,710,2201,4712,46.71%,1340,225,3,1,1569
Straight Party,0352,520,339,859,3205,26.80%,469,133,5,0,607
Straight Party,0353,665,451,1116,3862,28.90%,136,696,3,2,837
Straight Party,0354,715,338,1053,3388,31.08%,184,571,2,1,758
Straight Party,0355,301,264,565,1560,36.22%,35,406,1,1,443
Straight Party,0356,594,538,1132,2972,38.09%,514,221,6,0,741
Straight Party,0357,837,575,1412,3517,40.15%,785,202,11,1,999
Straight Party,0358,213,254,467,2492,18.74%,38,329,2,1,370
Straight Party,0359,235,224,459,3061,15.00%,36,329,0,0,365
Straight Party,0360,525,380,905,2146,42.17%,268,193,2,1,464
Straight Party,0361,41,295,336,1673,20.08%,25,145,6,1,177
Straight Party,0362,1141,887,2028,5086,39.87%,1099,280,9,1,1389
Straight Party,0363,620,412,1032,3677,28.07%,355,392,2,3,752
Straight Party,0364,489,405,894,2658,33.63%,349,212,4,2,567
Straight Party,0365,478,231,709,1305,54.33%,30,475,1,0,506
Straight Party,0366,252,270,522,2454,21.27%,107,299,1,2,409
Straight Party,0367,170,138,308,1130,27.26%,42,175,1,1,219
Straight Party,0368,178,88,266,958,27.77%,49,148,0,0,197
Straight Party,0369,32,29,61,559,10.91%,13,27,0,1,41
Straight Party,0370,1532,1105,2637,6593,40.00%,1505,356,9,1,1871
Straight Party,0371,122,52,174,502,34.66%,3,132,0,1,136
Straight Party,0372,221,170,391,1224,31.94%,35,249,1,0,285
Straight Party,0373,21,12,33,157,21.02%,1,22,0,0,23
Straight Party,0374,85,93,158,738,21.41%,42,70,0,0,112
Straight Party,0375,254,220,474,2645,17.92%,160,157,2,1,320
Straight Party,0376,278,205,483,1910,25.29%,156,196,1,0,353
Straight Party,0377,527,583,1110,2920,38.01%,632,142,4,1,779
Straight Party,0378,233,354,587,1829,32.09%,267,106,7,1,381
Straight Party,0379,432,289,721,2027,35.57%,45,496,1,0,542
Straight Party,0380,1303,995,2298,5666,40.56%,883,642,14,1,1540
Straight Party,0381,412,248,660,2855,23.12%,222,235,2,1,460
Straight Party,0382,132,157,289,922,31.34%,160,43,3,0,206
Straight Party,0383,289,263,552,2173,25.40%,173,233,1,2,409
Straight Party,0384,574,373,947,2657,35.64%,134,534,0,1,669
Straight Party,0385,584,670,1254,2207,56.82%,637,110,4,2,753
Straight Party,0386,662,469,1131,2922,38.71%,626,178,2,2,808
Straight Party,0387,555,672,1227,3935,31.18%,678,197,6,2,883
Straight Party,0388,1432,1010,2442,6888,35.45%,1000,678,17,2,1697
Straight Party,0389,91,208,299,1026,29.14%,24,173,4,1,202
Straight Party,0390,355,283,819,1480,41.82%,39,370,1,0,410
Straight Party,0391,508,260,768,1883,40.79%,369,163,0,6,538
Straight Party,0392,387,155,542,1446,37.48%,2,459,0,2,463
Straight Party,0393,165,185,350,1292,27.09%,103,124,3,0,230
Straight Party,0394,89,73,142,834,17.03%,54,48,0,1,103
Straight Party,0395,470,404,874,1846,47.35%,431,98,8,0,537
Straight Party,0396,623,216,839,2082,40.30%,10,691,0,0,701
Straight Party,0397,66,78,164,760,21,58%,59,49,0,0,108
Straight Party,0398,615,521,1136,4022,28.24%,453,355,5,1,814
Straight Party,0399,404,366,770,2791,27.59%,306,219,2,0,527
Straight Party,0400,620,359,979,2411,40.61%,527,128,5,2,662
Straight Party,0401,330,205,535,1913,27.97%,13,418,2,2,435
Straight Party,0402,467,266,733,1794,40.86%,24,554,0,1,579
Straight Party,0403,475,498,973,1715,56.73%,304,168,3,0,475
Straight Party,0404,419,330,749,2585,28.97%,309,206,4,3,522
Straight Party,0405,0,0,0,0,0.00%,0,0,0,0,0
Straight Party,0406,137,67,204,628,32.48%,3,163,0,0,166
Straight Party,0407,695,793,1488,3769,39.48%,692,238,4,2,936
Straight Party,0408,146,153,299,1691,17.68%,104,99,1,1,205
