Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Denise Collins,DEM Chuck Silverman,Totals
"District Judge, 208th Judicial District",0187,21,25,46,311,14.79%,14,30,44
"District Judge, 208th Judicial District",0188,153,146,299,1637,18.27%,145,142,287
"District Judge, 208th Judicial District",0189,239,360,599,1465,40.89%,319,231,550
"District Judge, 208th Judicial District",0190,120,177,297,1723,17.24%,129,156,285
"District Judge, 208th Judicial District",0191,79,126,205,1366,15.01%,90,107,197
"District Judge, 208th Judicial District",0192,380,225,605,1959,30.88%,32,556,588
"District Judge, 208th Judicial District",0193,173,187,360,1074,33.52%,11,333,344
"District Judge, 208th Judicial District",0194,350,431,781,1912,40.85%,260,483,743
"District Judge, 208th Judicial District",0195,269,278,547,1694,32.29%,25,509,534
"District Judge, 208th Judicial District",0196,52,32,84,316,26.58%,6,76,82
"District Judge, 208th Judicial District",0197,543,309,852,2914,29.24%,18,818,836
"District Judge, 208th Judicial District",0198,53,74,127,642,19.78%,4,122,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Denise Collins,DEM Chuck Silverman,Totals
"District Judge, 208th Judicial District",0199,812,661,1473,3216,45.80%,1161,252,1413
"District Judge, 208th Judicial District",0200,962,536,1498,3382,44.29%,716,671,1387
"District Judge, 208th Judicial District",0201,98,87,185,724,25.55%,3,177,180
"District Judge, 208th Judicial District",0202,217,189,406,1464,27.73%,19,379,398
"District Judge, 208th Judicial District",0203,107,68,175,960,18.23%,42,124,166
"District Judge, 208th Judicial District",0204,816,784,1600,3487,45.88%,921,565,1486
"District Judge, 208th Judicial District",0205,464,171,635,1664,38.16%,14,608,622
"District Judge, 208th Judicial District",0206,362,462,824,2779,29.65%,256,521,777
"District Judge, 208th Judicial District",0207,265,261,526,1188,44.28%,175,321,496
"District Judge, 208th Judicial District",0208,322,262,584,2195,26.61%,174,382,556
"District Judge, 208th Judicial District",0209,0,2,2,0,0.00%,2,0,2
"District Judge, 208th Judicial District",0210,502,467,969,2533,38.26%,112,832,944
"District Judge, 208th Judicial District",0211,307,386,693,2914,23.78%,269,392,661
"District Judge, 208th Judicial District",0212,96,155,251,1300,19.31%,55,189,244
"District Judge, 208th Judicial District",0213,826,913,1739,3350,51.91%,1383,243,1626
"District Judge, 208th Judicial District",0214,404,491,895,1854,48.27%,589,255,844
"District Judge, 208th Judicial District",0215,421,711,1132,2258,50.13%,705,350,1055
"District Judge, 208th Judicial District",0216,362,223,585,1945,30.08%,39,532,571
"District Judge, 208th Judicial District",0217,844,631,1475,2678,55.08%,988,362,1350
"District Judge, 208th Judicial District",0218,391,402,793,2292,34.60%,250,480,730
"District Judge, 208th Judicial District",0219,496,436,932,2767,33.68%,49,845,894
"District Judge, 208th Judicial District",0220,325,187,512,2310,22.16%,371,126,497
"District Judge, 208th Judicial District",0221,332,369,701,2529,27.72%,304,358,662
"District Judge, 208th Judicial District",0222,623,674,1297,2501,51.86%,640,554,1194
"District Judge, 208th Judicial District",0223,563,377,940,3582,26.24%,275,606,881
"District Judge, 208th Judicial District",0224,530,456,986,2238,44.06%,485,430,915
"District Judge, 208th Judicial District",0225,376,405,781,3305,23.63%,402,351,753
"District Judge, 208th Judicial District",0226,227,307,534,2436,21.92%,142,365,507
"District Judge, 208th Judicial District",0227,558,423,981,1785,54.96%,756,141,897
"District Judge, 208th Judicial District",0228,362,195,557,1050,53.05%,32,504,536
"District Judge, 208th Judicial District",0229,31,96,127,815,15.58%,58,61,119
"District Judge, 208th Judicial District",0230,185,116,301,1089,27.64%,9,286,295
"District Judge, 208th Judicial District",0231,233,264,497,2232,22.27%,139,332,471
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Denise Collins,DEM Chuck Silverman,Totals
"District Judge, 208th Judicial District",0232,361,474,835,1760,47.44%,494,286,780
"District Judge, 208th Judicial District",0233,890,801,1691,4445,38.04%,848,711,1559
"District Judge, 208th Judicial District",0234,1192,913,2105,3993,52.72%,1628,346,1974
"District Judge, 208th Judicial District",0235,240,158,398,1356,29.35%,13,376,389
"District Judge, 208th Judicial District",0236,354,235,589,2079,28.33%,16,560,576
"District Judge, 208th Judicial District",0237,416,253,669,2161,30.96%,15,641,656
"District Judge, 208th Judicial District",0238,339,245,584,1925,30.34%,18,550,568
"District Judge, 208th Judicial District",0239,383,236,619,1964,31.52%,27,584,611
"District Judge, 208th Judicial District",0240,585,243,828,2649,31.26%,24,786,810
"District Judge, 208th Judicial District",0241,222,229,451,2372,19.01%,192,243,435
"District Judge, 208th Judicial District",0242,173,162,335,1596,20.99%,201,120,321
"District Judge, 208th Judicial District",0243,138,43,181,457,39.61%,3,177,180
"District Judge, 208th Judicial District",0244,480,425,905,3117,29.03%,514,350,864
"District Judge, 208th Judicial District",0245,945,799,1745,5828,29.94%,1234,470,1704
"District Judge, 208th Judicial District",0246,584,513,1197,3315,36.11%,856,304,1160
"District Judge, 208th Judicial District",0247,173,254,427,1582,26.99%,16,404,420
"District Judge, 208th Judicial District",0248,161,167,328,2100,15.62%,100,214,314
"District Judge, 208th Judicial District",0249,461,348,809,2719,29.75%,567,213,780
"District Judge, 208th Judicial District",0250,109,164,273,964,28.32%,10,259,269
"District Judge, 208th Judicial District",0251,278,436,714,2089,34.18%,34,665,699
"District Judge, 208th Judicial District",0252,504,312,816,2377,34.33%,16,784,800
"District Judge, 208th Judicial District",0253,379,222,601,2177,27.61%,10,579,589
"District Judge, 208th Judicial District",0254,93,112,205,1550,13.23%,67,128,195
"District Judge, 208th Judicial District",0255,525,648,1173,2482,47.26%,562,530,1092
"District Judge, 208th Judicial District",0256,575,449,1024,3254,31.47%,506,462,968
"District Judge, 208th Judicial District",0257,204,245,449,2523,17.80%,143,286,429
"District Judge, 208th Judicial District",0258,839,800,1539,3322,49.34%,1223,309,1532
"District Judge, 208th Judicial District",0259,555,382,1038,2361,43.96%,32,983,1015
"District Judge, 208th Judicial District",0260,162,145,307,1260,24.37%,183,105,288
"District Judge, 208th Judicial District",0261,124,120,244,1417,17.22%,104,131,235
"District Judge, 208th Judicial District",0262,758,600,1358,4397,30.88%,871,408,1279
"District Judge, 208th Judicial District",0263,858,712,1570,3693,42.51%,1218,297,1515
"District Judge, 208th Judicial District",0264,480,457,937,2963,31.62%,576,304,880
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Denise Collins,DEM Chuck Silverman,Totals
"District Judge, 208th Judicial District",0265,988,759,1747,3584,48.74%,1304,326,1630
