Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Theresa Chang,"DEM Scot ""Dolli"" Dollinger",Totals
"Judge, County Court at Law No. 2",0230,185,116,301,1089,27.64%,9,283,292
"Judge, County Court at Law No. 2",0231,233,264,497,2232,22.27%,134,335,469
"Judge, County Court at Law No. 2",0232,361,474,835,1760,47.44%,487,291,778
"Judge, County Court at Law No. 2",0233,890,801,1691,4445,38.04%,839,704,1543
"Judge, County Court at Law No. 2",0234,1192,913,2105,3993,52.72%,1642,321,1963
"Judge, County Court at Law No. 2",0235,240,158,398,1356,29.35%,14,375,389
"Judge, County Court at Law No. 2",0236,354,235,589,2079,28.33%,19,555,574
"Judge, County Court at Law No. 2",0237,416,253,669,2161,30.96%,16,635,651
"Judge, County Court at Law No. 2",0238,339,245,584,1925,30.34%,16,551,567
"Judge, County Court at Law No. 2",0239,383,236,619,1964,31.52%,24,582,606
"Judge, County Court at Law No. 2",0240,585,243,828,2649,31.26%,28,782,810
"Judge, County Court at Law No. 2",0241,222,229,451,2372,19.01%,193,238,431
"Judge, County Court at Law No. 2",0242,173,162,335,1596,20.99%,196,122,318
"Judge, County Court at Law No. 2",0243,138,43,181,457,39.61%,5,175,180
"Judge, County Court at Law No. 2",0244,480,425,905,3117,29.03%,512,350,862
"Judge, County Court at Law No. 2",0245,946,799,1745,5828,29.94%,1237,466,1703
"Judge, County Court at Law No. 2",0246,584,513,1197,3315,36.11%,860,298,1158
"Judge, County Court at Law No. 2",0247,173,254,427,1582,26.99%,15,404,419
"Judge, County Court at Law No. 2",0248,161,167,328,2100,15.62%,91,224,315
"Judge, County Court at Law No. 2",0249,461,348,809,2719,29.75%,562,218,780
"Judge, County Court at Law No. 2",0250,109,164,273,964,28.32%,7,261,268
"Judge, County Court at Law No. 2",0251,278,436,714,2089,34.18%,26,675,701
"Judge, County Court at Law No. 2",0252,504,312,816,2377,34.33%,17,783,800
"Judge, County Court at Law No. 2",0253,379,222,601,2177,27.61%,13,575,588
"Judge, County Court at Law No. 2",0254,93,112,205,1550,13.23%,71,126,197
"Judge, County Court at Law No. 2",0255,525,648,1173,2482,47.26%,573,517,1090
"Judge, County Court at Law No. 2",0256,575,449,1024,3254,31.47%,503,466,969
"Judge, County Court at Law No. 2",0257,204,245,449,2523,17.80%,141,283,424
"Judge, County Court at Law No. 2",0258,839,800,1539,3322,49.34%,1238,298,1536
"Judge, County Court at Law No. 2",0259,555,382,1038,2361,43.96%,31,976,1007
"Judge, County Court at Law No. 2",0260,162,145,307,1260,24.37%,188,101,289
"Judge, County Court at Law No. 2",0261,124,120,244,1417,17.22%,103,131,234
"Judge, County Court at Law No. 2",0262,758,600,1358,4397,30.88%,862,419,1281
"Judge, County Court at Law No. 2",0263,858,712,1570,3693,42.51%,1223,292,1515
"Judge, County Court at Law No. 2",0264,480,457,937,2963,31.62%,599,286,885
"Judge, County Court at Law No. 2",0265,988,759,1747,3584,48.74%,1340,287,1627
"Judge, County Court at Law No. 2",0266,259,257,516,2104,24.52%,265,222,487
"Judge, County Court at Law No. 2",0267,146,166,312,1327,23.51%,167,125,292
"Judge, County Court at Law No. 2",0268,435,717,1152,2493,46.21%,688,349,1037
"Judge, County Court at Law No. 2",0269,702,453,1155,2030,56.90%,933,155,1088
"Judge, County Court at Law No. 2",0270,817,672,1489,3605,41.30%,850,560,1410
"Judge, County Court at Law No. 2",0271,656,382,1038,2518,41.22%,28,994,1022
"Judge, County Court at Law No. 2",0272,264,292,555,2162,25.72%,232,298,530
"Judge, County Court at Law No. 2",0273,548,689,1237,2470,50.08%,1034,157,1191
"Judge, County Court at Law No. 2",0274,588,346,934,2153,43.38%,659,215,874
"Judge, County Court at Law No. 2",0275,207,236,443,1850,23.95%,107,321,428
"Judge, County Court at Law No. 2",0276,572,231,803,2536,31.66%,14,770,784
"Judge, County Court at Law No. 2",0277,170,186,356,1492,23.86%,171,169,340
"Judge, County Court at Law No. 2",0278,421,320,741,2454,30.20%,420,289,709
"Judge, County Court at Law No. 2",0279,250,223,473,1941,24.37%,284,169,453
"Judge, County Court at Law No. 2",0280,130,188,318,1524,20.87%,139,159,298
"Judge, County Court at Law No. 2",0281,655,742,1397,2633,53.06%,735,533,1268
"Judge, County Court at Law No. 2",0282,314,455,769,2042,37.66%,505,223,728
"Judge, County Court at Law No. 2",0283,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0284,574,335,910,3172,28.69%,432,433,865
"Judge, County Court at Law No. 2",0285,448,378,826,2540,32.52%,78,723,801
"Judge, County Court at Law No. 2",0286,1255,821,2076,6170,33.65%,209,1794,2003
"Judge, County Court at Law No. 2",0287,370,477,847,1621,52.25%,433,356,789
"Judge, County Court at Law No. 2",0288,532,313,845,2210,38.24%,18,810,828
"Judge, County Court at Law No. 2",0289,186,212,398,1564,25.45%,205,172,377
"Judge, County Court at Law No. 2",0290,245,298,543,1642,33.07%,401,120,521
"Judge, County Court at Law No. 2",0291,325,235,560,1225,45.71%,292,235,527
"Judge, County Court at Law No. 2",0292,207,147,354,1356,26.11%,46,300,346
"Judge, County Court at Law No. 2",0293,356,447,803,1759,45.65%,391,359,750
"Judge, County Court at Law No. 2",0294,488,221,709,2097,33.81%,13,683,696
"Judge, County Court at Law No. 2",0295,148,103,251,885,28.36%,8,239,247
"Judge, County Court at Law No. 2",0296,327,340,667,1713,38.94%,398,220,618
"Judge, County Court at Law No. 2",0297,280,249,529,2012,26.29%,251,246,497
"Judge, County Court at Law No. 2",0298,415,358,773,2121,36.45%,467,259,726
"Judge, County Court at Law No. 2",0299,178,117,295,1353,21.80%,121,154,275
"Judge, County Court at Law No. 2",0300,1389,1016,2405,5406,44.49%,1935,373,2308
"Judge, County Court at Law No. 2",0301,210,255,465,2352,19.77%,186,256,442
