Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0250,109,164,273,964,28.32%,22,22
"Judge, County Criminal Court No. 12",0251,278,436,714,2089,34.18%,55,55
"Judge, County Criminal Court No. 12",0252,504,312,816,2377,34.33%,46,46
"Judge, County Criminal Court No. 12",0253,379,222,601,2177,27.61%,33,33
"Judge, County Criminal Court No. 12",0254,93,112,205,1550,13.23%,80,80
"Judge, County Criminal Court No. 12",0255,525,648,1173,2482,47.26%,602,602
"Judge, County Criminal Court No. 12",0256,575,449,1024,3254,31.47%,537,537
"Judge, County Criminal Court No. 12",0257,204,245,449,2523,17.80%,172,172
"Judge, County Criminal Court No. 12",0258,839,800,1639,3322,49.34%,1225,1225
"Judge, County Criminal Court No. 12",0259,656,382,1038,2361,43.96%,69,69
"Judge, County Criminal Court No. 12",0260,162,145,307,1260,24.37%,197,197
"Judge, County Criminal Court No. 12",0261,124,120,244,1417,17.22%,120,120
"Judge, County Criminal Court No. 12",0262,758,600,1358,4397,30.88%,908,908
"Judge, County Criminal Court No. 12",0263,858,712,1570,3693,42.51%,1237,1237
"Judge, County Criminal Court No. 12",0264,480,457,937,2963,31.62%,618,618
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0265,988,759,1747,3584,48.74%,1337,1337
"Judge, County Criminal Court No. 12",0266,259,257,516,2104,24.52%,297,297
"Judge, County Criminal Court No. 12",0267,146,166,312,1327,23.51%,182,182
"Judge, County Criminal Court No. 12",0268,435,717,1152,2493,46.21%,713,713
"Judge, County Criminal Court No. 12",0269,702,453,1155,2030,56.90%,923,923
"Judge, County Criminal Court No. 12",0270,817,672,1489,3605,41.30%,921,921
"Judge, County Criminal Court No. 12",0271,656,382,1038,2518,41.22%,69,69
"Judge, County Criminal Court No. 12",0272,264,292,556,2162,25.72%,265,265
"Judge, County Criminal Court No. 12",0273,548,689,1237,2470,50.08%,1012,1012
"Judge, County Criminal Court No. 12",0274,588,346,934,2153,43.38%,656,656
"Judge, County Criminal Court No. 12",0275,207,236,443,1850,23.95%,137,137
"Judge, County Criminal Court No. 12",0276,572,231,803,2536,31.66%,42,42
"Judge, County Criminal Court No. 12",0277,170,186,356,1492,23.86%,197,197
"Judge, County Criminal Court No. 12",0278,421,320,741,2454,30.20%,458,458
"Judge, County Criminal Court No. 12",0279,250,223,473,1941,24.37%,310,310
"Judge, County Criminal Court No. 12",0280,130,188,318,1524,20.87%,154,154
"Judge, County Criminal Court No. 12",0281,655,742,1397,2633,53.06%,739,739
"Judge, County Criminal Court No. 12",0282,314,455,769,2042,37.66%,519,519
"Judge, County Criminal Court No. 12",0283,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 12",0284,574,336,910,3172,28.69%,476,476
"Judge, County Criminal Court No. 12",0285,448,378,826,2540,32.52%,125,125
"Judge, County Criminal Court No. 12",0286,1255,821,2076,6170,33.65%,349,349
"Judge, County Criminal Court No. 12",0287,370,477,847,1621,52.25%,455,455
"Judge, County Criminal Court No. 12",0288,532,313,845,2210,38.24%,55,55
"Judge, County Criminal Court No. 12",0289,186,212,398,1564,25.45%,231,231
"Judge, County Criminal Court No. 12",0290,245,298,543,1642,33.07%,420,420
"Judge, County Criminal Court No. 12",0291,325,235,560,1225,45.71%,302,302
"Judge, County Criminal Court No. 12",0292,207,147,354,1356,26.11%,63,63
"Judge, County Criminal Court No. 12",0293,356,447,803,1759,45.65%,419,419
"Judge, County Criminal Court No. 12",0294,488,221,709,2097,33.81%,32,32
"Judge, County Criminal Court No. 12",0295,148,103,251,885,28.36%,17,17
"Judge, County Criminal Court No. 12",0296,327,340,667,1713,38.94%,418,418
"Judge, County Criminal Court No. 12",0297,280,249,529,2012,26.29%,274,274
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0298,415,358,773,2121,36.45%,487,487
"Judge, County Criminal Court No. 12",0299,178,117,295,1353,21.80%,141,141
"Judge, County Criminal Court No. 12",0300,1389,1016,2405,5406,44.49%,2000,2000
"Judge, County Criminal Court No. 12",0301,210,255,465,2352,19.77%,213,213
"Judge, County Criminal Court No. 12",0302,353,343,696,2720,25.59%,465,465
"Judge, County Criminal Court No. 12",0303,922,784,1706,3245,52.57%,1376,1376
"Judge, County Criminal Court No. 12",0304,606,505,1111,2298,48.35%,675,675
"Judge, County Criminal Court No. 12",0305,524,432,956,4191,22.81%,468,468
"Judge, County Criminal Court No. 12",0306,549,342,991,1879,52.74%,735,735
"Judge, County Criminal Court No. 12",0307,733,670,1403,3099,45.27%,1005,1005
"Judge, County Criminal Court No. 12",0308,199,130,329,1296,25.39%,140,140
"Judge, County Criminal Court No. 12",0309,708,593,1301,2524,51.55%,1049,1049
"Judge, County Criminal Court No. 12",0310,386,279,665,1435,46.34%,471,471
"Judge, County Criminal Court No. 12",0311,486,421,907,2986,30.38%,538,538
"Judge, County Criminal Court No. 12",0312,742,457,1199,3636,32.98%,827,827
"Judge, County Criminal Court No. 12",0313,9,0,9,62,14.52%,7,7
"Judge, County Criminal Court No. 12",0314,1121,913,2034,5647,36.02%,1374,1374
"Judge, County Criminal Court No. 12",0315,478,388,866,1608,53.86%,541,541
"Judge, County Criminal Court No. 12",0316,412,341,753,1537,48.99%,442,442
"Judge, County Criminal Court No. 12",0317,248,209,457,1588,28.78%,181,181
"Judge, County Criminal Court No. 12",0318,834,568,1402,3660,38.31%,175,175
"Judge, County Criminal Court No. 12",0319,512,230,742,2158,34.38%,87,87
"Judge, County Criminal Court No. 12",0320,234,168,402,1537,26.15%,230,230
"Judge, County Criminal Court No. 12",0321,262,191,453,2346,19.31%,206,206
"Judge, County Criminal Court No. 12",0322,181,129,310,1226,25.29%,125,125
"Judge, County Criminal Court No. 12",0323,278,211,489,1722,28.40%,256,256
"Judge, County Criminal Court No. 12",0324,532,646,1178,2336,50.43%,763,763
"Judge, County Criminal Court No. 12",0325,289,193,482,2112,22.82%,132,132
"Judge, County Criminal Court No. 12",0326,87,74,161,698,23.07%,94,94
"Judge, County Criminal Court No. 12",0327,380,129,509,1729,29.44%,39,39
"Judge, County Criminal Court No. 12",0328,151,140,291,1434,20.29%,156,156
"Judge, County Criminal Court No. 12",0329,189,184,373,1397,26.70%,174,174
"Judge, County Criminal Court No. 12",0330,334,253,587,1936,30.32%,362,362
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0331,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 12",0332,18,7,25,138,18.12%,14,14
"Judge, County Criminal Court No. 12",0333,524,714,1238,3021,40.98%,914,914
