Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0284,574,336,910,3172,28.69%,420,449,869
"Judge, County Court at Law No. 3",0285,448,378,826,2540,32.52%,75,725,800
"Judge, County Court at Law No. 3",0286,1255,821,2076,6170,33.65%,189,1811,2000
"Judge, County Court at Law No. 3",0287,370,477,847,1621,52.25%,403,385,788
"Judge, County Court at Law No. 3",0288,532,313,845,2210,38.24%,17,813,830
"Judge, County Court at Law No. 3",0289,186,212,398,1564,25.45%,196,181,377
"Judge, County Court at Law No. 3",0290,245,298,543,1642,33.07%,407,117,524
"Judge, County Court at Law No. 3",0291,325,235,560,1225,45.71%,275,249,524
"Judge, County Court at Law No. 3",0292,207,147,354,1356,26.11%,40,304,344
"Judge, County Court at Law No. 3",0293,356,447,803,1759,45.65%,362,385,747
"Judge, County Court at Law No. 3",0294,488,221,709,2097,33.81%,9,686,695
"Judge, County Court at Law No. 3",0295,148,103,251,885,28.36%,6,241,247
"Judge, County Court at Law No. 3",0296,327,340,667,1713,38.94%,375,237,612
"Judge, County Court at Law No. 3",0297,280,249,529,2012,26.29%,238,258,496
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0298,415,358,773,2121,36.45%,452,273,725
"Judge, County Court at Law No. 3",0299,178,117,295,1353,21.80%,113,160,273
"Judge, County Court at Law No. 3",0300,1389,1016,2405,5406,44.49%,1913,393,2306
"Judge, County Court at Law No. 3",0301,210,255,465,2352,19.77%,191,250,441
"Judge, County Court at Law No. 3",0302,353,343,696,2720,25.59%,407,261,668
"Judge, County Court at Law No. 3",0303,922,784,1706,3245,52.57%,1336,278,1614
"Judge, County Court at Law No. 3",0304,606,505,1111,2298,48.35%,599,431,1030
"Judge, County Court at Law No. 3",0305,524,432,956,4191,22.81%,404,524,928
"Judge, County Court at Law No. 3",0306,549,342,991,1879,52.74%,698,234,932
"Judge, County Court at Law No. 3",0307,733,670,1403,3099,45.27%,943,377,1320
"Judge, County Court at Law No. 3",0308,199,130,329,1296,25.39%,109,205,314
"Judge, County Court at Law No. 3",0309,708,593,1301,2524,51.55%,1014,208,1222
"Judge, County Court at Law No. 3",0310,386,279,665,1435,46.34%,442,174,616
"Judge, County Court at Law No. 3",0311,486,421,907,2986,30.38%,489,356,845
"Judge, County Court at Law No. 3",0312,742,457,1199,3636,32.98%,758,386,1144
"Judge, County Court at Law No. 3",0313,9,0,9,62,14.52%,7,1,8
"Judge, County Court at Law No. 3",0314,1121,913,2034,5647,36.02%,1281,688,1969
"Judge, County Court at Law No. 3",0315,478,388,866,1608,53.86%,495,311,806
"Judge, County Court at Law No. 3",0316,412,341,753,1537,48.99%,386,308,694
"Judge, County Court at Law No. 3",0317,248,209,457,1588,28.78%,146,285,431
"Judge, County Court at Law No. 3",0318,834,568,1402,3660,38.31%,71,1286,1357
"Judge, County Court at Law No. 3",0319,512,230,742,2158,34.38%,43,674,717
"Judge, County Court at Law No. 3",0320,234,168,402,1537,26.15%,202,184,386
"Judge, County Court at Law No. 3",0321,262,191,453,2346,19.31%,173,255,428
"Judge, County Court at Law No. 3",0322,181,129,310,1226,25.29%,103,197,300
"Judge, County Court at Law No. 3",0323,278,211,489,1722,28.40%,236,223,459
"Judge, County Court at Law No. 3",0324,532,646,1178,2336,50.43%,708,377,1085
"Judge, County Court at Law No. 3",0325,289,193,482,2112,22.82%,109,350,459
"Judge, County Court at Law No. 3",0326,87,74,161,698,23.07%,77,74,151
