Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP David Newell,"LIB William Bryan Strange, |||",GRN George Joseph Altgelt,Totals
"Judge, Court of Criminal Appeals, Place 9",0001,417,466,883,2358,37.45%,320,148,165,633
"Judge, Court of Criminal Appeals, Place 9",0002,334,313,647,1961,32.99%,281,90,106,477
"Judge, Court of Criminal Appeals, Place 9",0003,326,405,731,1560,46.86%,281,114,143,538
"Judge, Court of Criminal Appeals, Place 9",0004,369,487,856,1668,51.32%,335,100,193,628
"Judge, Court of Criminal Appeals, Place 9",0005,280,448,728,1417,51.38%,274,112,159,545
"Judge, Court of Criminal Appeals, Place 9",0006,656,456,1112,3702,30.04%,667,127,77,871
"Judge, Court of Criminal Appeals, Place 9",0007,209,110,319,1017,31.37%,20,45,15,80
"Judge, Court of Criminal Appeals, Place 9",0008,393,310,703,1744,40.31%,385,61,104,550
"Judge, Court of Criminal Appeals, Place 9",0009,206,223,429,1874,22.89%,139,68,70,277
"Judge, Court of Criminal Appeals, Place 9",0010,255,171,426,1753,24.30%,142,51,41,234
"Judge, Court of Criminal Appeals, Place 9",0011,184,176,360,1785,20.17%,92,29,41,162
"Judge, Court of Criminal Appeals, Place 9",0012,86,66,152,735,20.68%,90,11,4,105
"Judge, Court of Criminal Appeals, Place 9",0013,548,361,909,2689,33.80%,676,48,36,760
"Judge, Court of Criminal Appeals, Place 9",0014,442,495,937,1870,50.11%,549,86,113,748
"Judge, Court of Criminal Appeals, Place 9",0015,597,898,1495,2878,51.95%,910,98,141,1149
"Judge, Court of Criminal Appeals, Place 9",0016,243,137,380,1071,35.48%,186,58,60,304
"Judge, Court of Criminal Appeals, Place 9",0017,185,215,400,1162,34.42%,190,41,53,284
"Judge, Court of Criminal Appeals, Place 9",0018,371,351,722,1443,50.03%,375,61,110,546
"Judge, Court of Criminal Appeals, Place 9",0019,172,207,379,1170,32.39%,143,65,77,285
"Judge, Court of Criminal Appeals, Place 9",0020,313,287,600,2646,22.68%,201,93,121,415
"Judge, Court of Criminal Appeals, Place 9",0021,179,184,363,1122,32.35%,80,76,74,230
"Judge, Court of Criminal Appeals, Place 9",0022,397,322,719,2473,29.07%,154,109,80,343
"Judge, Court of Criminal Appeals, Place 9",0023,31,22,53,541,9.80%,13,9,8,30
"Judge, Court of Criminal Appeals, Place 9",0024,107,88,195,655,29.77%,19,44,22,85
"Judge, Court of Criminal Appeals, Place 9",0025,105,143,248,1086,22.84%,18,18,21,57
"Judge, Court of Criminal Appeals, Place 9",0026,241,277,518,1845,28.08%,163,56,118,337
"Judge, Court of Criminal Appeals, Place 9",0027,463,427,890,3074,28.95%,269,106,185,560
"Judge, Court of Criminal Appeals, Place 9",0028,637,405,1042,3029,34.40%,702,67,39,808
"Judge, Court of Criminal Appeals, Place 9",0029,194,237,431,2638,16.34%,189,35,36,260
"Judge, Court of Criminal Appeals, Place 9",0030,369,391,760,2403,31.63%,218,126,127,471
"Judge, Court of Criminal Appeals, Place 9",0031,455,280,735,2511,29.27%,29,91,38,158
"Judge, Court of Criminal Appeals, Place 9",0032,320,405,725,2398,30.23%,309,139,118,566
"Judge, Court of Criminal Appeals, Place 9",0033,709,615,1324,3706,35.73%,469,230,312,1011
"Judge, Court of Criminal Appeals, Place 9",0034,626,579,1205,2786,43.25%,310,224,331,865
"Judge, Court of Criminal Appeals, Place 9",0035,4,0,4,11,36.36%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 9",0036,416,318,734,2927,25.08%,233,94,74,401
"Judge, Court of Criminal Appeals, Place 9",0037,542,436,978,2106,46.44%,329,141,237,707
"Judge, Court of Criminal Appeals, Place 9",0038,786,589,1375,2875,47.83%,523,194,290,1007
"Judge, Court of Criminal Appeals, Place 9",0039,659,575,1234,2759,44.73%,335,204,348,887
"Judge, Court of Criminal Appeals, Place 9",0040,136,152,288,541,53.23%,148,31,32,211
"Judge, Court of Criminal Appeals, Place 9",0041,176,230,406,1334,30.43%,180,57,46,283
"Judge, Court of Criminal Appeals, Place 9",0042,228,109,337,1071,31.47%,7,34,22,63
"Judge, Court of Criminal Appeals, Place 9",0043,293,210,503,1695,29.68%,292,45,59,396
"Judge, Court of Criminal Appeals, Place 9",0044,204,222,426,2001,21.29%,122,67,58,247
"Judge, Court of Criminal Appeals, Place 9",0045,894,750,1644,6698,24.54%,412,216,151,779
"Judge, Court of Criminal Appeals, Place 9",0046,290,247,537,2511,21.39%,129,64,74,267
"Judge, Court of Criminal Appeals, Place 9",0047,213,218,431,1627,26.49%,29,52,29,110
"Judge, Court of Criminal Appeals, Place 9",0048,158,142,300,940,31.91%,37,36,30,103
"Judge, Court of Criminal Appeals, Place 9",0049,584,482,1066,3343,31.89%,797,67,54,918
"Judge, Court of Criminal Appeals, Place 9",0050,785,771,1556,5211,29.86%,907,167,132,1206
"Judge, Court of Criminal Appeals, Place 9",0051,353,243,596,1689,35.29%,456,34,26,516
"Judge, Court of Criminal Appeals, Place 9",0052,422,447,869,2457,35.37%,442,116,145,703
"Judge, Court of Criminal Appeals, Place 9",0053,564,726,1290,2971,43.42%,564,175,235,974
"Judge, Court of Criminal Appeals, Place 9",0054,270,364,634,1487,42.64%,348,75,94,517
"Judge, Court of Criminal Appeals, Place 9",0055,191,251,442,1506,29.35%,207,70,55,332
"Judge, Court of Criminal Appeals, Place 9",0056,282,278,560,1326,42.23%,385,49,39,473
"Judge, Court of Criminal Appeals, Place 9",0057,710,831,1541,3153,48.87%,669,183,312,1164
"Judge, Court of Criminal Appeals, Place 9",0058,470,556,1026,2690,38.14%,465,149,161,775
"Judge, Court of Criminal Appeals, Place 9",0059,555,609,1164,2544,45.75%,496,146,226,868
"Judge, Court of Criminal Appeals, Place 9",0060,500,564,1064,2453,43.38%,303,162,308,773
"Judge, Court of Criminal Appeals, Place 9",0061,172,204,376,1773,21.21%,173,36,25,234
"Judge, Court of Criminal Appeals, Place 9",0062,145,322,467,2181,21.41%,148,51,42,241
"Judge, Court of Criminal Appeals, Place 9",0063,264,354,618,1826,33.84%,499,37,15,551
"Judge, Court of Criminal Appeals, Place 9",0064,191,221,412,2141,19.24%,118,34,48,200
"Judge, Court of Criminal Appeals, Place 9",0065,172,230,402,2167,18.55%,119,45,48,212
"Judge, Court of Criminal Appeals, Place 9",0066,69,143,212,1098,19.31%,43,19,16,78
"Judge, Court of Criminal Appeals, Place 9",0067,304,282,586,2794,20.97%,201,52,61,314
"Judge, Court of Criminal Appeals, Place 9",0068,553,352,905,2924,30.95%,37,103,72,212
"Judge, Court of Criminal Appeals, Place 9",0069,80,124,204,1284,15.89%,55,23,22,100
"Judge, Court of Criminal Appeals, Place 9",0070,882,664,1546,3337,46.33%,979,142,142,1263
"Judge, Court of Criminal Appeals, Place 9",0071,602,722,1324,4197,31.55%,671,214,178,1063
"Judge, Court of Criminal Appeals, Place 9",0072,220,293,513,1924,26.66%,192,43,68,303
"Judge, Court of Criminal Appeals, Place 9",0073,252,414,666,1555,42.83%,410,46,77,533
"Judge, Court of Criminal Appeals, Place 9",0074,1153,782,1935,3583,54.01%,1548,91,75,1714
"Judge, Court of Criminal Appeals, Place 9",0075,254,280,534,1444,36.98%,229,63,109,401
"Judge, Court of Criminal Appeals, Place 9",0076,373,374,747,2362,31.63%,487,52,50,589
"Judge, Court of Criminal Appeals, Place 9",0077,43,46,89,566,15.72%,22,17,8,47
"Judge, Court of Criminal Appeals, Place 9",0078,181,201,382,1522,25.10%,160,34,45,239
"Judge, Court of Criminal Appeals, Place 9",0079,205,306,511,2927,17.46%,159,56,45,260
"Judge, Court of Criminal Appeals, Place 9",0080,501,351,852,2725,31.27%,252,87,67,406
"Judge, Court of Criminal Appeals, Place 9",0081,183,187,370,1835,20.16%,169,28,23,220
"Judge, Court of Criminal Appeals, Place 9",0082,639,671,1310,3368,38.90%,994,106,52,1152
"Judge, Court of Criminal Appeals, Place 9",0083,1298,888,2186,6625,33.00%,1161,237,165,1563
"Judge, Court of Criminal Appeals, Place 9",0084,208,218,426,1373,31.03%,315,34,16,365
"Judge, Court of Criminal Appeals, Place 9",0085,271,248,519,2173,23.88%,40,75,82,197
"Judge, Court of Criminal Appeals, Place 9",0086,448,568,1016,2910,34.91%,498,154,144,796
"Judge, Court of Criminal Appeals, Place 9",0087,674,787,1461,2818,51.85%,980,95,100,1175
"Judge, Court of Criminal Appeals, Place 9",0088,123,118,241,693,34.78%,158,10,18,186
"Judge, Court of Criminal Appeals, Place 9",0089,165,371,536,1094,48.99%,325,39,53,417
"Judge, Court of Criminal Appeals, Place 9",0090,845,790,1635,3700,44.19%,1224,99,99,1422
"Judge, Court of Criminal Appeals, Place 9",0091,221,222,443,1505,29.44%,278,51,47,376
"Judge, Court of Criminal Appeals, Place 9",0092,695,462,1157,2242,51.61%,796,75,74,945
"Judge, Court of Criminal Appeals, Place 9",0093,381,301,682,3356,20.32%,311,52,36,399
"Judge, Court of Criminal Appeals, Place 9",0094,51,43,94,549,17.12%,34,13,9,56
"Judge, Court of Criminal Appeals, Place 9",0095,917,576,1493,3177,46.99%,1120,83,85,1288
"Judge, Court of Criminal Appeals, Place 9",0096,83,83,166,1296,12.81%,30,25,18,73
"Judge, Court of Criminal Appeals, Place 9",0097,1024,725,1749,4828,36.23%,1340,108,58,1506
"Judge, Court of Criminal Appeals, Place 9",0098,403,488,891,2651,33.61%,741,43,22,806
"Judge, Court of Criminal Appeals, Place 9",0099,254,184,438,2092,20.94%,223,36,29,288
"Judge, Court of Criminal Appeals, Place 9",0100,165,173,338,1730,19.54%,194,24,18,236
"Judge, Court of Criminal Appeals, Place 9",0101,72,58,130,946,13.74%,50,23,10,83
"Judge, Court of Criminal Appeals, Place 9",0102,207,121,328,1872,17.52%,101,30,26,157
"Judge, Court of Criminal Appeals, Place 9",0103,700,714,1414,5371,26.33%,844,128,63,1035
"Judge, Court of Criminal Appeals, Place 9",0104,530,231,761,1905,39.95%,46,92,42,180
"Judge, Court of Criminal Appeals, Place 9",0105,196,210,406,2165,18.75%,155,37,35,227
"Judge, Court of Criminal Appeals, Place 9",0106,18,7,25,294,8.50%,18,1,1,20
"Judge, Court of Criminal Appeals, Place 9",0107,154,197,351,2032,17.27%,77,35,27,139
"Judge, Court of Criminal Appeals, Place 9",0108,558,272,940,3365,27.93%,597,65,50,712
"Judge, Court of Criminal Appeals, Place 9",0109,530,245,775,2824,27.44%,23,86,54,163
"Judge, Court of Criminal Appeals, Place 9",0110,654,494,1148,3042,37.74%,783,115,50,948
"Judge, Court of Criminal Appeals, Place 9",0111,816,795,1611,4102,39.27%,1217,118,68,1403
"Judge, Court of Criminal Appeals, Place 9",0112,542,485,1027,2976,34.51%,784,82,36,902
"Judge, Court of Criminal Appeals, Place 9",0113,562,429,991,2647,37.44%,643,73,68,784
"Judge, Court of Criminal Appeals, Place 9",0114,707,547,1254,3311,37.87%,1035,67,34,1136
"Judge, Court of Criminal Appeals, Place 9",0115,238,150,388,1800,21.56%,66,49,28,143
"Judge, Court of Criminal Appeals, Place 9",0116,982,776,1758,3147,55.86%,1376,109,66,1551
"Judge, Court of Criminal Appeals, Place 9",0117,216,226,442,1880,23.51%,235,36,44,315
"Judge, Court of Criminal Appeals, Place 9",0118,304,123,427,759,56.26%,362,18,12,392
"Judge, Court of Criminal Appeals, Place 9",0119,1290,1024,2314,5500,42.07%,1905,106,79,2090
"Judge, Court of Criminal Appeals, Place 9",0120,713,422,1135,3191,35.57%,775,96,84,955
"Judge, Court of Criminal Appeals, Place 9",0121,92,178,270,848,31.84%,192,12,12,216
"Judge, Court of Criminal Appeals, Place 9",0122,352,225,577,1890,30.53%,40,59,41,140
"Judge, Court of Criminal Appeals, Place 9",0123,285,288,573,1392,41.16%,168,85,144,397
"Judge, Court of Criminal Appeals, Place 9",0124,1734,1292,3026,7254,41.71%,2456,132,109,2697
"Judge, Court of Criminal Appeals, Place 9",0125,415,332,747,2405,31.06%,479,68,54,601
"Judge, Court of Criminal Appeals, Place 9",0126,893,467,1360,3100,43.87%,1222,35,26,1283
"Judge, Court of Criminal Appeals, Place 9",0127,435,154,589,1836,32.08%,428,42,18,488
"Judge, Court of Criminal Appeals, Place 9",0128,445,707,1152,2290,50.31%,792,63,77,932
"Judge, Court of Criminal Appeals, Place 9",0129,1031,1200,2231,5746,38.83%,1454,207,181,1842
"Judge, Court of Criminal Appeals, Place 9",0130,727,523,1250,2333,53.58%,956,54,66,1076
"Judge, Court of Criminal Appeals, Place 9",0131,251,259,510,1935,26.36%,135,71,45,251
"Judge, Court of Criminal Appeals, Place 9",0132,593,323,916,2387,38.37%,37,77,41,155
"Judge, Court of Criminal Appeals, Place 9",0133,514,858,1372,2662,51.54%,850,117,127,1094
"Judge, Court of Criminal Appeals, Place 9",0134,192,265,457,1437,31.80%,227,47,50,324
"Judge, Court of Criminal Appeals, Place 9",0135,730,579,1309,2671,49.01%,960,64,72,1096
"Judge, Court of Criminal Appeals, Place 9",0136,503,371,874,2013,43.42%,74,128,138,340
"Judge, Court of Criminal Appeals, Place 9",0137,166,141,307,716,42.88%,160,40,39,239
"Judge, Court of Criminal Appeals, Place 9",0138,296,199,495,1699,29.13%,28,44,30,102
"Judge, Court of Criminal Appeals, Place 9",0139,700,551,1251,3037,41.19%,605,137,189,931
"Judge, Court of Criminal Appeals, Place 9",0140,701,480,1181,3214,36.75%,205,201,168,574
"Judge, Court of Criminal Appeals, Place 9",0141,80,80,160,855,18.71%,100,6,11,117
"Judge, Court of Criminal Appeals, Place 9",0142,87,103,190,902,21.06%,68,27,25,120
"Judge, Court of Criminal Appeals, Place 9",0143,1962,580,2542,6386,39.81%,1892,183,93,2168
"Judge, Court of Criminal Appeals, Place 9",0144,216,158,374,1093,34.22%,15,35,16,66
"Judge, Court of Criminal Appeals, Place 9",0145,264,213,477,1538,31.01%,19,42,23,84
"Judge, Court of Criminal Appeals, Place 9",0146,426,519,945,2008,47.06%,449,109,157,715
"Judge, Court of Criminal Appeals, Place 9",0147,689,329,1018,3008,33.84%,163,144,87,394
"Judge, Court of Criminal Appeals, Place 9",0148,500,780,1280,2540,50.39%,556,128,251,935
"Judge, Court of Criminal Appeals, Place 9",0149,1621,737,2358,7993,29.50%,1283,287,165,1735
"Judge, Court of Criminal Appeals, Place 9",0150,236,169,405,1256,32.25%,21,49,33,103
"Judge, Court of Criminal Appeals, Place 9",0151,137,79,216,826,26.15%,18,23,17,58
"Judge, Court of Criminal Appeals, Place 9",0152,214,299,513,2788,18.40%,162,61,42,265
"Judge, Court of Criminal Appeals, Place 9",0153,125,206,331,1808,18.31%,136,28,29,193
"Judge, Court of Criminal Appeals, Place 9",0154,249,183,432,2190,19.73%,141,46,42,229
"Judge, Court of Criminal Appeals, Place 9",0155,1022,619,1641,4109,39.94%,1208,83,93,1384
"Judge, Court of Criminal Appeals, Place 9",0156,800,326,1126,3071,36.67%,81,155,109,345
"Judge, Court of Criminal Appeals, Place 9",0157,448,214,662,2236,29.61%,47,81,46,174
"Judge, Court of Criminal Appeals, Place 9",0158,600,315,915,3035,30.15%,47,90,48,185
"Judge, Court of Criminal Appeals, Place 9",0159,116,127,243,998,24.35%,46,55,27,128
"Judge, Court of Criminal Appeals, Place 9",0160,122,73,195,696,28.02%,11,21,12,44
"Judge, Court of Criminal Appeals, Place 9",0161,163,141,304,991,30.68%,12,37,21,70
"Judge, Court of Criminal Appeals, Place 9",0162,101,83,184,1265,14.55%,76,10,14,100
"Judge, Court of Criminal Appeals, Place 9",0163,230,320,550,3037,18.11%,266,34,36,336
"Judge, Court of Criminal Appeals, Place 9",0164,182,205,387,1420,27.25%,19,32,23,74
"Judge, Court of Criminal Appeals, Place 9",0165,535,483,1018,2334,43.62%,696,84,73,853
"Judge, Court of Criminal Appeals, Place 9",0166,158,233,391,1028,38.04%,132,76,85,293
"Judge, Court of Criminal Appeals, Place 9",0167,3,0,3,24,12.50%,1,1,0,2
"Judge, Court of Criminal Appeals, Place 9",0168,92,58,150,503,29.82%,3,16,11,30
"Judge, Court of Criminal Appeals, Place 9",0169,518,251,767,2513,30.52%,35,84,40,159
"Judge, Court of Criminal Appeals, Place 9",0170,271,141,412,1869,22.04%,236,30,31,297
"Judge, Court of Criminal Appeals, Place 9",0171,202,198,400,1604,24.94%,16,43,24,83
"Judge, Court of Criminal Appeals, Place 9",0172,88,80,166,621,26.73%,75,13,20,108
"Judge, Court of Criminal Appeals, Place 9",0173,819,739,1558,3599,43.29%,1278,79,56,1413
"Judge, Court of Criminal Appeals, Place 9",0174,830,733,1563,3296,47.42%,1139,87,87,1313
"Judge, Court of Criminal Appeals, Place 9",0175,580,749,1309,2618,50.00%,731,112,162,1005
"Judge, Court of Criminal Appeals, Place 9",0176,344,451,795,1602,49.63%,459,62,80,601
"Judge, Court of Criminal Appeals, Place 9",0177,278,326,604,1496,40.37%,364,72,49,485
"Judge, Court of Criminal Appeals, Place 9",0178,504,365,869,1765,49.24%,610,69,44,723
"Judge, Court of Criminal Appeals, Place 9",0179,256,188,444,1575,28.19%,257,49,42,348
"Judge, Court of Criminal Appeals, Place 9",0180,470,343,813,2834,28.69%,41,101,56,198
"Judge, Court of Criminal Appeals, Place 9",0181,175,262,437,2061,21.20%,172,39,33,244
"Judge, Court of Criminal Appeals, Place 9",0182,590,974,1564,3405,45.93%,1050,98,147,1295
"Judge, Court of Criminal Appeals, Place 9",0183,520,794,1314,2491,52.75%,944,74,89,1107
"Judge, Court of Criminal Appeals, Place 9",0184,106,135,241,994,24.25%,90,25,18,133
"Judge, Court of Criminal Appeals, Place 9",0185,283,292,575,1933,29.75%,237,54,38,329
"Judge, Court of Criminal Appeals, Place 9",0186,97,106,203,798,25.44%,45,18,8,71
"Judge, Court of Criminal Appeals, Place 9",0187,21,25,46,311,14.79%,14,4,8,26
"Judge, Court of Criminal Appeals, Place 9",0188,153,146,299,1637,18.27%,145,25,24,194
"Judge, Court of Criminal Appeals, Place 9",0189,239,360,599,1465,40.89%,331,62,92,485
"Judge, Court of Criminal Appeals, Place 9",0190,120,177,297,1723,17.24%,136,26,24,186
"Judge, Court of Criminal Appeals, Place 9",0191,79,126,205,1366,15.01%,100,23,13,136
"Judge, Court of Criminal Appeals, Place 9",0192,381,225,808,1959,30.93%,59,61,40,160
"Judge, Court of Criminal Appeals, Place 9",0193,173,187,360,1074,33.52%,21,49,52,122
"Judge, Court of Criminal Appeals, Place 9",0194,351,431,782,1912,40.90%,263,112,182,557
"Judge, Court of Criminal Appeals, Place 9",0195,269,278,547,1694,32.29%,36,60,41,137
"Judge, Court of Criminal Appeals, Place 9",0196,52,32,84,316,26.58%,9,16,6,31
"Judge, Court of Criminal Appeals, Place 9",0197,543,309,852,2914,29.24%,43,108,45,196
"Judge, Court of Criminal Appeals, Place 9",0198,53,74,127,642,19.78%,8,12,11,31
"Judge, Court of Criminal Appeals, Place 9",0199,812,661,1473,3216,45.80%,1164,96,51,1311
"Judge, Court of Criminal Appeals, Place 9",0200,962,536,1498,3382,44.29%,749,159,223,1131
"Judge, Court of Criminal Appeals, Place 9",0201,98,87,185,724,25.55%,5,24,10,39
"Judge, Court of Criminal Appeals, Place 9",0202,217,189,406,1464,27.73%,23,42,38,103
"Judge, Court of Criminal Appeals, Place 9",0203,107,68,175,960,18.23%,46,16,23,85
"Judge, Court of Criminal Appeals, Place 9",0204,817,784,1601,3487,45.91%,941,161,184,1286
"Judge, Court of Criminal Appeals, Place 9",0205,465,171,636,1664,38.22%,29,72,37,138
"Judge, Court of Criminal Appeals, Place 9",0206,364,462,826,2779,29.72%,270,117,177,564
"Judge, Court of Criminal Appeals, Place 9",0207,265,261,526,1188,44.28%,195,64,94,353
"Judge, Court of Criminal Appeals, Place 9",0208,322,262,584,2195,26.61%,202,46,35,283
"Judge, Court of Criminal Appeals, Place 9",0209,0,2,2,0,0.00%,2,0,0,2
"Judge, Court of Criminal Appeals, Place 9",0210,502,467,969,2533,38.26%,138,156,161,455
"Judge, Court of Criminal Appeals, Place 9",0211,307,386,693,2914,23.78%,304,82,65,451
"Judge, Court of Criminal Appeals, Place 9",0212,96,155,251,1300,19.31%,66,21,20,107
"Judge, Court of Criminal Appeals, Place 9",0213,826,913,1739,3350,51.91%,1423,69,51,1543
"Judge, Court of Criminal Appeals, Place 9",0214,404,491,895,1854,48.27%,595,77,78,750
"Judge, Court of Criminal Appeals, Place 9",0215,423,711,1134,2258,50.22%,721,99,103,923
"Judge, Court of Criminal Appeals, Place 9",0216,362,223,585,1945,30.08%,54,62,53,169
"Judge, Court of Criminal Appeals, Place 9",0217,844,631,1475,2678,55.08%,1019,95,92,1206
"Judge, Court of Criminal Appeals, Place 9",0218,392,402,794,2292,34.64%,293,79,143,515
"Judge, Court of Criminal Appeals, Place 9",0219,497,436,933,2767,33.72%,78,106,81,265
"Judge, Court of Criminal Appeals, Place 9",0220,325,187,512,2310,22.16%,374,38,14,426
"Judge, Court of Criminal Appeals, Place 9",0221,332,369,701,2529,27.72%,358,61,62,481
"Judge, Court of Criminal Appeals, Place 9",0222,623,674,1297,2501,51.86%,680,105,178,963
"Judge, Court of Criminal Appeals, Place 9",0223,563,377,940,3582,26.24%,312,171,171,654
"Judge, Court of Criminal Appeals, Place 9",0224,531,456,987,2238,44.10%,489,84,154,727
"Judge, Court of Criminal Appeals, Place 9",0225,376,405,781,3305,23.63%,425,84,63,572
"Judge, Court of Criminal Appeals, Place 9",0226,227,307,534,2436,21.92%,149,67,44,260
"Judge, Court of Criminal Appeals, Place 9",0227,558,423,981,1785,54.96%,774,36,42,852
"Judge, Court of Criminal Appeals, Place 9",0228,362,195,557,1050,53.05%,43,78,86,207
"Judge, Court of Criminal Appeals, Place 9",0229,31,96,127,815,15.58%,62,10,10,82
"Judge, Court of Criminal Appeals, Place 9",0230,185,116,301,1089,27.64%,15,26,14,55
"Judge, Court of Criminal Appeals, Place 9",0231,233,264,497,2232,22.27%,164,47,65,276
"Judge, Court of Criminal Appeals, Place 9",0232,361,474,835,1760,47.44%,500,59,94,653
"Judge, Court of Criminal Appeals, Place 9",0233,892,801,1693,4445,38.09%,880,204,219,1303
"Judge, Court of Criminal Appeals, Place 9",0234,1192,913,2105,3993,52.72%,1686,76,47,1809
"Judge, Court of Criminal Appeals, Place 9",0235,240,158,398,1356,29.35%,26,41,29,96
"Judge, Court of Criminal Appeals, Place 9",0236,354,235,589,2079,28.33%,26,76,34,136
"Judge, Court of Criminal Appeals, Place 9",0237,417,253,670,2161,31.00%,27,63,36,126
"Judge, Court of Criminal Appeals, Place 9",0238,340,245,585,1925,30.39%,26,67,38,131
"Judge, Court of Criminal Appeals, Place 9",0239,383,236,619,1964,31.52%,32,53,36,121
"Judge, Court of Criminal Appeals, Place 9",0240,585,243,828,2649,31.26%,43,94,42,179
"Judge, Court of Criminal Appeals, Place 9",0241,222,229,451,2372,19.01%,204,34,30,268
"Judge, Court of Criminal Appeals, Place 9",0242,173,162,335,1596,20.99%,203,16,28,247
"Judge, Court of Criminal Appeals, Place 9",0243,138,43,181,457,39.61%,8,16,11,35
"Judge, Court of Criminal Appeals, Place 9",0244,480,425,905,3117,29.03%,550,95,73,718
"Judge, Court of Criminal Appeals, Place 9",0245,946,799,1745,5828,29.94%,1234,153,90,1477
"Judge, Court of Criminal Appeals, Place 9",0246,684,513,1197,3315,36.11%,883,86,42,1011
"Judge, Court of Criminal Appeals, Place 9",0247,173,254,427,1582,26.99%,31,49,37,117
"Judge, Court of Criminal Appeals, Place 9",0248,161,167,328,2100,15.62%,106,36,19,161
"Judge, Court of Criminal Appeals, Place 9",0249,461,348,809,2719,29.75%,577,52,45,674
"Judge, Court of Criminal Appeals, Place 9",0250,109,164,273,964,28.32%,14,36,16,66
"Judge, Court of Criminal Appeals, Place 9",0251,278,436,714,2089,34.18%,39,60,42,141
