Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP David Newell,"LIB William Bryan Strange, |||",GRN George Joseph Altgelt,Totals
"Judge, Court of Criminal Appeals, Place 9",0692,444,548,992,2847,34.84%,760,63,59,882
"Judge, Court of Criminal Appeals, Place 9",0693,167,91,258,666,38.74%,85,42,32,159
"Judge, Court of Criminal Appeals, Place 9",0694,260,120,380,845,44.97%,279,16,32,327
"Judge, Court of Criminal Appeals, Place 9",0695,232,193,425,1724,24.65%,285,28,24,337
"Judge, Court of Criminal Appeals, Place 9",0696,261,207,468,1982,23.61%,312,42,21,375
"Judge, Court of Criminal Appeals, Place 9",0697,605,613,1218,4413,27.60%,368,133,102,603
"Judge, Court of Criminal Appeals, Place 9",0698,448,489,937,3189,29.38%,148,114,65,327
"Judge, Court of Criminal Appeals, Place 9",0699,568,414,982,2343,41.91%,692,51,61,804
"Judge, Court of Criminal Appeals, Place 9",0700,255,251,506,1371,36.91%,439,14,16,469
"Judge, Court of Criminal Appeals, Place 9",0701,56,43,99,588,16.84%,64,11,8,83
"Judge, Court of Criminal Appeals, Place 9",0702,64,70,134,539,24.86%,25,12,11,48
"Judge, Court of Criminal Appeals, Place 9",0703,372,490,862,1882,45.80%,656,44,46,746
"Judge, Court of Criminal Appeals, Place 9",0704,569,599,1168,3064,38.12%,969,48,33,1050
"Judge, Court of Criminal Appeals, Place 9",0705,114,113,227,1523,14.90%,38,27,17,82
"Judge, Court of Criminal Appeals, Place 9",0706,115,71,186,610,30.49%,99,21,19,139
"Judge, Court of Criminal Appeals, Place 9",0707,153,86,239,707,33.80%,162,16,23,201
"Judge, Court of Criminal Appeals, Place 9",0708,54,52,106,563,18.83%,54,9,9,72
"Judge, Court of Criminal Appeals, Place 9",0709,1375,947,2322,6848,33.91%,1479,233,158,1870
"Judge, Court of Criminal Appeals, Place 9",0710,371,462,833,2082,40.01%,500,86,97,683
"Judge, Court of Criminal Appeals, Place 9",0711,703,506,1209,3484,34.70%,777,103,103,983
"Judge, Court of Criminal Appeals, Place 9",0712,491,463,954,3670,25.99%,448,125,85,658
"Judge, Court of Criminal Appeals, Place 9",0713,228,262,490,1907,25.69%,269,61,32,362
"Judge, Court of Criminal Appeals, Place 9",0714,36,19,55,296,18.58%,34,4,1,39
"Judge, Court of Criminal Appeals, Place 9",0715,176,187,363,1408,25.78%,216,37,27,280
"Judge, Court of Criminal Appeals, Place 9",0716,449,407,856,2680,31.94%,616,63,41,720
"Judge, Court of Criminal Appeals, Place 9",0717,373,250,623,2002,31.12%,102,80,39,221
"Judge, Court of Criminal Appeals, Place 9",0718,1017,806,1823,4229,43.11%,1330,120,84,1534
"Judge, Court of Criminal Appeals, Place 9",0719,247,137,384,1589,24.17%,255,26,23,304
"Judge, Court of Criminal Appeals, Place 9",0720,995,780,1775,4282,41.45%,1369,113,73,1555
"Judge, Court of Criminal Appeals, Place 9",0721,754,532,1286,2870,44.81%,891,106,89,1086
"Judge, Court of Criminal Appeals, Place 9",0722,873,494,1367,4479,30.52%,142,178,113,433
"Judge, Court of Criminal Appeals, Place 9",0723,401,202,603,1858,32.45%,158,76,51,285
"Judge, Court of Criminal Appeals, Place 9",0724,151,128,279,766,36.42%,218,16,12,246
"Judge, Court of Criminal Appeals, Place 9",0725,423,237,660,2237,29.50%,333,67,39,439
"Judge, Court of Criminal Appeals, Place 9",0726,592,402,994,2087,47.63%,875,41,26,942
"Judge, Court of Criminal Appeals, Place 9",0727,338,290,628,2488,25.24%,241,97,73,411
"Judge, Court of Criminal Appeals, Place 9",0728,209,151,360,880,40.91%,233,28,34,295
"Judge, Court of Criminal Appeals, Place 9",0729,136,59,195,464,42.03%,131,9,11,151
"Judge, Court of Criminal Appeals, Place 9",0730,428,359,787,1747,45.05%,547,59,35,641
"Judge, Court of Criminal Appeals, Place 9",0731,58,27,85,352,24.15%,32,10,5,47
"Judge, Court of Criminal Appeals, Place 9",0732,441,324,765,1924,39.76%,484,76,60,620
"Judge, Court of Criminal Appeals, Place 9",0733,13,7,20,215,9.30%,8,1,3,12
"Judge, Court of Criminal Appeals, Place 9",0734,1558,962,2520,7005,35.97%,1809,191,127,2127
"Judge, Court of Criminal Appeals, Place 9",0735,6,0,6,18,33.33%,6,0,0,6
"Judge, Court of Criminal Appeals, Place 9",0736,3,1,4,22,18.18%,0,0,1,1
"Judge, Court of Criminal Appeals, Place 9",0737,11,7,18,51,35.29%,14,1,1,16
"Judge, Court of Criminal Appeals, Place 9",0738,139,100,239,1361,17.56%,56,33,10,99
"Judge, Court of Criminal Appeals, Place 9",0739,353,301,654,2955,22.13%,359,34,45,438
"Judge, Court of Criminal Appeals, Place 9",0740,96,98,194,939,20.66%,126,10,10,146
"Judge, Court of Criminal Appeals, Place 9",0741,0,1,1,0,0.00%,0,1,0,1
"Judge, Court of Criminal Appeals, Place 9",0742,0,11,11,0,0.00%,6,1,1,8
"Judge, Court of Criminal Appeals, Place 9",0743,15,18,33,210,15.71%,17,6,5,28
"Judge, Court of Criminal Appeals, Place 9",0744,456,392,848,2027,41.84%,579,71,56,706
"Judge, Court of Criminal Appeals, Place 9",0745,683,372,1055,2494,42.30%,687,79,101,867
"Judge, Court of Criminal Appeals, Place 9",0746,114,77,191,691,27.64%,99,20,25,144
"Judge, Court of Criminal Appeals, Place 9",0747,551,467,1018,3743,27.20%,532,135,71,738
"Judge, Court of Criminal Appeals, Place 9",0748,172,140,312,1403,22.24%,171,43,43,257
