Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Boyd,DEM Gina Benavides,LIB Don Fulton,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 7",0269,702,453,1155,2030,56.90%,899,208,14,1,1122
"Justice, Supreme Court, Place 7",0270,819,672,1491,3605,41.36%,780,599,38,17,1434
"Justice, Supreme Court, Place 7",0271,656,382,1038,2518,41.22%,28,989,3,4,1024
"Justice, Supreme Court, Place 7",0272,254,292,555,2162,25.72%,205,307,20,6,538
"Justice, Supreme Court, Place 7",0273,548,689,1237,2470,50.08%,973,200,27,3,1203
"Justice, Supreme Court, Place 7",0274,588,346,934,2153,43.38%,625,243,22,6,896
"Justice, Supreme Court, Place 7",0275,207,236,443,1850,23.95%,104,320,6,4,434
"Justice, Supreme Court, Place 7",0276,572,231,803,2536,31.66%,9,769,4,10,792
"Justice, Supreme Court, Place 7",0277,170,186,356,1492,23.86%,163,174,7,2,346
"Justice, Supreme Court, Place 7",0278,421,320,741,2454,30.20%,399,307,8,6,720
"Justice, Supreme Court, Place 7",0279,251,223,474,1941,24.42%,272,170,12,2,456
"Justice, Supreme Court, Place 7",0280,130,188,318,1524,20.87%,127,164,8,5,304
"Justice, Supreme Court, Place 7",0281,655,742,1397,2633,53.06%,630,640,29,12,1311
"Justice, Supreme Court, Place 7",0282,314,455,769,2042,37.66%,473,243,26,4,746
"Justice, Supreme Court, Place 7",0283,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 7",0284,574,335,910,3172,28.69%,403,448,15,11,877
"Justice, Supreme Court, Place 7",0285,448,378,826,2540,32.52%,75,722,5,3,805
"Justice, Supreme Court, Place 7",0286,1255,821,2076,6170,33.65%,184,1820,12,14,2030
"Justice, Supreme Court, Place 7",0287,371,477,848,1621,52.31%,392,394,20,6,812
"Justice, Supreme Court, Place 7",0288,532,313,845,2210,38.24%,20,809,6,5,840
"Justice, Supreme Court, Place 7",0289,186,212,398,1564,25.45%,195,178,7,3,383
"Justice, Supreme Court, Place 7",0290,245,298,543,1642,33.07%,399,116,13,6,534
"Justice, Supreme Court, Place 7",0291,325,235,560,1225,45.71%,271,258,9,4,542
"Justice, Supreme Court, Place 7",0292,207,147,354,1356,26.11%,40,300,6,2,348
"Justice, Supreme Court, Place 7",0293,357,447,804,1759,45.71%,344,383,24,8,759
"Justice, Supreme Court, Place 7",0294,488,221,709,2097,33.81%,8,680,5,3,696
"Justice, Supreme Court, Place 7",0295,148,103,251,885,28.36%,8,237,0,3,248
"Justice, Supreme Court, Place 7",0296,327,340,667,1713,38.94%,379,235,17,5,636
"Justice, Supreme Court, Place 7",0297,280,249,529,2012,26.29%,227,263,16,5,511
"Justice, Supreme Court, Place 7",0298,415,358,773,2121,36.45%,427,276,24,9,736
"Justice, Supreme Court, Place 7",0299,179,117,296,1353,21.88%,110,156,8,5,279
"Justice, Supreme Court, Place 7",0300,1389,1016,2405,5406,44.49%,1868,410,54,8,2340
"Justice, Supreme Court, Place 7",0301,210,255,465,2352,19.77%,186,250,5,3,444
"Justice, Supreme Court, Place 7",0302,353,343,696,2720,25.59%,399,259,13,5,676
"Justice, Supreme Court, Place 7",0303,924,784,1708,3245,52.63%,1335,295,16,7,1653
"Justice, Supreme Court, Place 7",0304,606,505,1111,2298,48.35%,583,451,14,8,1056
