Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Lawrence Edward Meyers,LIB Mark Ash,Totals
"Justice, Supreme Court, Place 6, Unexpired Term",0177,278,326,604,1496,40.37%,353,210,15,578
"Justice, Supreme Court, Place 6, Unexpired Term",0178,504,365,869,1765,49.24%,607,202,25,834
"Justice, Supreme Court, Place 6, Unexpired Term",0179,256,188,444,1575,28.19%,230,176,18,424
"Justice, Supreme Court, Place 6, Unexpired Term",0180,470,343,813,2834,28.69%,21,752,7,780
"Justice, Supreme Court, Place 6, Unexpired Term",0181,175,262,437,2061,21.20%,145,262,13,420
"Justice, Supreme Court, Place 6, Unexpired Term",0182,590,974,1564,3405,45.93%,998,458,22,1478
"Justice, Supreme Court, Place 6, Unexpired Term",0183,520,794,1314,2491,52.75%,905,336,23,1264
"Justice, Supreme Court, Place 6, Unexpired Term",0184,106,135,241,994,24.25%,83,133,9,225
"Justice, Supreme Court, Place 6, Unexpired Term",0185,283,292,575,1933,29.75%,205,336,10,551
"Justice, Supreme Court, Place 6, Unexpired Term",0186,97,106,203,798,25.44%,36,159,2,197
"Justice, Supreme Court, Place 6, Unexpired Term",0187,21,25,46,311,14.79%,14,29,2,45
"Justice, Supreme Court, Place 6, Unexpired Term",0188,153,146,299,1637,18.27%,133,145,12,290
"Justice, Supreme Court, Place 6, Unexpired Term",0189,239,360,599,1465,40.89%,304,229,34,567
"Justice, Supreme Court, Place 6, Unexpired Term",0190,120,177,297,1723,17.24%,125,150,11,286
"Justice, Supreme Court, Place 6, Unexpired Term",0191,79,126,205,1366,15.01%,90,108,4,202
"Justice, Supreme Court, Place 6, Unexpired Term",0192,381,225,606,1959,30.93%,24,561,5,590
"Justice, Supreme Court, Place 6, Unexpired Term",0193,173,187,360,1074,33.52%,11,334,1,346
"Justice, Supreme Court, Place 6, Unexpired Term",0194,351,431,782,1912,40.90%,247,485,31,763
"Justice, Supreme Court, Place 6, Unexpired Term",0195,269,278,547,1694,32.29%,16,514,5,535
"Justice, Supreme Court, Place 6, Unexpired Term",0196,52,32,84,316,26.58%,4,77,2,83
"Justice, Supreme Court, Place 6, Unexpired Term",0197,543,309,852,2914,29.24%,16,820,3,839
"Justice, Supreme Court, Place 6, Unexpired Term",0198,53,74,127,642,19.78%,2,123,1,126
"Justice, Supreme Court, Place 6, Unexpired Term",0199,812,661,1473,3216,45.80%,1138,245,48,1431
"Justice, Supreme Court, Place 6, Unexpired Term",0200,962,536,1498,3382,44.29%,698,682,38,1418
"Justice, Supreme Court, Place 6, Unexpired Term",0201,98,87,185,724,25.55%,2,178,1,181
"Justice, Supreme Court, Place 6, Unexpired Term",0202,217,189,406,1464,27.73%,18,384,0,402
"Justice, Supreme Court, Place 6, Unexpired Term",0203,107,68,175,960,18.23%,41,121,3,165
"Justice, Supreme Court, Place 6, Unexpired Term",0204,817,784,1601,3487,45.91%,896,558,60,1514
"Justice, Supreme Court, Place 6, Unexpired Term",0205,465,171,636,1664,38.22%,8,617,4,629
"Justice, Supreme Court, Place 6, Unexpired Term",0206,364,462,826,2779,29.72%,236,520,39,795
"Justice, Supreme Court, Place 6, Unexpired Term",0207,265,261,526,1188,44.28%,165,317,16,498
"Justice, Supreme Court, Place 6, Unexpired Term",0208,322,262,584,2195,26.61%,182,373,10,565
"Justice, Supreme Court, Place 6, Unexpired Term",0209,0,2,2,0,0.00%,2,0,0,2
"Justice, Supreme Court, Place 6, Unexpired Term",0210,502,467,969,2533,38.26%,109,831,13,953
"Justice, Supreme Court, Place 6, Unexpired Term",0211,307,386,693,2914,23.78%,267,387,15,669
"Justice, Supreme Court, Place 6, Unexpired Term",0212,96,155,251,1300,19.31%,52,187,3,242
"Justice, Supreme Court, Place 6, Unexpired Term",0213,826,913,1739,3350,51.91%,1419,242,18,1679
"Justice, Supreme Court, Place 6, Unexpired Term",0214,404,491,895,1854,48.27%,587,256,23,866
"Justice, Supreme Court, Place 6, Unexpired Term",0215,423,711,1134,2258,50.22%,712,349,33,1094
"Justice, Supreme Court, Place 6, Unexpired Term",0216,362,223,585,1945,30.08%,37,533,3,573
"Justice, Supreme Court, Place 6, Unexpired Term",0217,844,631,1475,2678,55.08%,1029,362,22,1413
"Justice, Supreme Court, Place 6, Unexpired Term",0218,392,402,794,2292,34.64%,258,473,19,750
"Justice, Supreme Court, Place 6, Unexpired Term",0219,497,436,933,2767,33.72%,55,840,11,906
"Justice, Supreme Court, Place 6, Unexpired Term",0220,325,187,512,2310,22.16%,365,122,6,493
"Justice, Supreme Court, Place 6, Unexpired Term",0221,332,369,701,2529,27.72%,306,342,17,665
"Justice, Supreme Court, Place 6, Unexpired Term",0222,623,674,1297,2501,51.86%,658,548,21,1227
"Justice, Supreme Court, Place 6, Unexpired Term",0223,563,377,940,3582,26.24%,267,611,31,909
"Justice, Supreme Court, Place 6, Unexpired Term",0224,531,456,987,2238,44.10%,482,431,23,936
"Justice, Supreme Court, Place 6, Unexpired Term",0225,376,405,781,3305,23.63%,395,344,19,758
"Justice, Supreme Court, Place 6, Unexpired Term",0226,227,307,534,2436,21.92%,131,368,14,513
"Justice, Supreme Court, Place 6, Unexpired Term",0227,558,423,981,1785,54.96%,775,150,17,942
"Justice, Supreme Court, Place 6, Unexpired Term",0228,362,195,557,1050,53.05%,27,499,10,536
"Justice, Supreme Court, Place 6, Unexpired Term",0229,31,96,127,815,15.58%,59,57,4,120
"Justice, Supreme Court, Place 6, Unexpired Term",0230,185,116,301,1089,27.64%,8,285,3,296
"Justice, Supreme Court, Place 6, Unexpired Term",0231,233,264,497,2232,22.27%,124,341,9,474
"Justice, Supreme Court, Place 6, Unexpired Term",0232,361,474,835,1760,47.44%,485,303,17,805
"Justice, Supreme Court, Place 6, Unexpired Term",0233,892,801,1693,4445,38.09%,836,721,53,1610
"Justice, Supreme Court, Place 6, Unexpired Term",0234,1192,913,2105,3993,52.72%,1658,337,21,2016
"Justice, Supreme Court, Place 6, Unexpired Term",0235,240,158,398,1356,29.35%,15,372,3,390
"Justice, Supreme Court, Place 6, Unexpired Term",0236,354,235,589,2079,28.33%,14,551,8,573
"Justice, Supreme Court, Place 6, Unexpired Term",0237,417,253,670,2161,31.00%,13,641,2,656
"Justice, Supreme Court, Place 6, Unexpired Term",0238,340,245,585,1925,30.39%,17,550,4,571
"Justice, Supreme Court, Place 6, Unexpired Term",0239,383,236,619,1964,31.52%,20,583,7,610
"Justice, Supreme Court, Place 6, Unexpired Term",0240,585,243,828,2649,31.26%,16,789,6,811
"Justice, Supreme Court, Place 6, Unexpired Term",0241,222,229,451,2372,19.01%,182,246,5,433
"Justice, Supreme Court, Place 6, Unexpired Term",0242,173,162,335,1596,20.99%,192,123,9,324
"Justice, Supreme Court, Place 6, Unexpired Term",0243,138,43,181,457,39.61%,0,178,3,181
"Justice, Supreme Court, Place 6, Unexpired Term",0244,480,425,905,3117,29.03%,500,347,23,870
"Justice, Supreme Court, Place 6, Unexpired Term",0245,946,799,1745,5828,29.94%,1210,445,59,1714
"Justice, Supreme Court, Place 6, Unexpired Term",0246,584,513,1197,3315,36.11%,856,290,22,1168
"Justice, Supreme Court, Place 6, Unexpired Term",0247,173,254,427,1582,26.99%,16,403,2,421
"Justice, Supreme Court, Place 6, Unexpired Term",0248,161,167,328,2100,15.62%,87,219,12,318
"Justice, Supreme Court, Place 6, Unexpired Term",0249,461,348,809,2719,29.75%,562,207,17,786
"Justice, Supreme Court, Place 6, Unexpired Term",0250,109,164,273,964,28.32%,8,259,2,269
"Justice, Supreme Court, Place 6, Unexpired Term",0251,278,436,714,2089,34.18%,24,676,2,702
"Justice, Supreme Court, Place 6, Unexpired Term",0252,504,312,816,2377,34.33%,15,783,3,801
"Justice, Supreme Court, Place 6, Unexpired Term",0253,379,222,601,2177,27.61%,9,579,1,589
"Justice, Supreme Court, Place 6, Unexpired Term",0254,93,112,205,1550,13.23%,67,128,2,197
"Justice, Supreme Court, Place 6, Unexpired Term",0255,526,648,1174,2482,47.30%,571,528,29,1128
"Justice, Supreme Court, Place 6, Unexpired Term",0256,575,449,1024,3254,31.47%,490,457,22,969
"Justice, Supreme Court, Place 6, Unexpired Term",0257,204,245,449,2523,17.80%,136,291,7,434
"Justice, Supreme Court, Place 6, Unexpired Term",0258,840,800,1540,3322,49.37%,1226,314,34,1574
"Justice, Supreme Court, Place 6, Unexpired Term",0259,555,382,1038,2361,43.96%,26,982,5,1013
"Justice, Supreme Court, Place 6, Unexpired Term",0260,162,145,307,1260,24.37%,179,103,8,290
"Justice, Supreme Court, Place 6, Unexpired Term",0261,124,120,244,1417,17.22%,103,126,6,235
"Justice, Supreme Court, Place 6, Unexpired Term",0262,758,600,1358,4397,30.88%,851,407,51,1309
"Justice, Supreme Court, Place 6, Unexpired Term",0263,858,712,1570,3693,42.51%,1209,301,27,1537
"Justice, Supreme Court, Place 6, Unexpired Term",0264,482,457,939,2963,31.69%,587,285,34,906
"Justice, Supreme Court, Place 6, Unexpired Term",0265,988,759,1747,3584,48.74%,1342,304,33,1679
"Justice, Supreme Court, Place 6, Unexpired Term",0266,259,257,516,2104,24.52%,259,220,12,491
"Justice, Supreme Court, Place 6, Unexpired Term",0267,146,166,312,1327,23.51%,163,119,13,295
"Justice, Supreme Court, Place 6, Unexpired Term",0268,435,717,1152,2493,46.21%,710,348,27,1085
"Justice, Supreme Court, Place 6, Unexpired Term",0269,702,453,1155,2030,56.90%,953,158,13,1124
