Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0148,500,780,1280,2540,50.39%,466,715,1181
"District Judge, 280th Judicial District",0149,1621,737,2358,7993,29.50%,1228,1071,2299
"District Judge, 280th Judicial District",0150,236,169,405,1256,32.25%,12,388,400
"District Judge, 280th Judicial District",0151,137,79,216,826,26.15%,9,198,207
"District Judge, 280th Judicial District",0152,213,299,512,2788,18.36%,132,354,486
"District Judge, 280th Judicial District",0153,125,206,331,1808,18.31%,106,208,314
"District Judge, 280th Judicial District",0154,249,183,432,2190,19.73%,111,296,407
"District Judge, 280th Judicial District",0155,1022,619,1641,4109,39.94%,1129,457,1586
"District Judge, 280th Judicial District",0156,799,326,1125,3071,36.63%,38,1055,1093
"District Judge, 280th Judicial District",0157,448,214,662,2236,29.61%,23,620,643
"District Judge, 280th Judicial District",0158,600,315,915,3035,30.15%,23,874,897
"District Judge, 280th Judicial District",0159,116,127,243,998,24.35%,41,195,236
"District Judge, 280th Judicial District",0160,122,73,195,696,28.02%,5,187,192
"District Judge, 280th Judicial District",0161,163,141,304,991,30.68%,5,292,297
"District Judge, 280th Judicial District",0162,101,83,184,1265,14.55%,69,102,171
"District Judge, 280th Judicial District",0163,230,320,550,3037,18.11%,229,292,521
"District Judge, 280th Judicial District",0164,182,205,387,1420,27.25%,11,368,379
"District Judge, 280th Judicial District",0165,535,483,1018,2334,43.62%,663,310,973
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0166,158,233,391,1028,38.04%,117,254,371
"District Judge, 280th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"District Judge, 280th Judicial District",0168,92,58,150,503,29.82%,3,144,147
"District Judge, 280th Judicial District",0169,518,251,767,2513,30.52%,16,730,746
"District Judge, 280th Judicial District",0170,271,141,412,1869,22.04%,216,177,393
"District Judge, 280th Judicial District",0171,202,198,400,1604,24.94%,11,382,393
"District Judge, 280th Judicial District",0172,88,80,166,621,26.73%,64,89,153
"District Judge, 280th Judicial District",0173,817,739,1556,3599,43.23%,1249,255,1504
"District Judge, 280th Judicial District",0174,829,733,1562,3296,47.39%,1045,432,1477
"District Judge, 280th Judicial District",0175,557,749,1306,2618,49.89%,639,572,1211
"District Judge, 280th Judicial District",0176,344,451,795,1602,49.63%,389,339,728
"District Judge, 280th Judicial District",0177,278,326,604,1496,40.37%,331,234,565
"District Judge, 280th Judicial District",0178,504,365,869,1765,49.24%,558,248,806
"District Judge, 280th Judicial District",0179,256,188,444,1575,28.19%,237,184,421
"District Judge, 280th Judicial District",0180,470,343,813,2834,28.69%,21,756,777
"District Judge, 280th Judicial District",0181,175,262,437,2061,21.20%,134,281,415
"District Judge, 280th Judicial District",0182,590,974,1564,3405,45.93%,917,514,1431
"District Judge, 280th Judicial District",0183,519,794,1313,2491,52.71%,815,406,1221
"District Judge, 280th Judicial District",0184,106,135,241,994,24.25%,81,143,224
"District Judge, 280th Judicial District",0185,283,292,575,1933,29.75%,201,347,548
"District Judge, 280th Judicial District",0186,97,106,203,798,25.44%,30,167,197
"District Judge, 280th Judicial District",0187,21,25,46,311,14.79%,12,32,44
"District Judge, 280th Judicial District",0188,153,146,299,1637,18.27%,140,146,286
"District Judge, 280th Judicial District",0189,239,360,599,1465,40.89%,307,249,556
"District Judge, 280th Judicial District",0190,120,177,297,1723,17.24%,129,155,284
"District Judge, 280th Judicial District",0191,79,126,205,1366,15.01%,86,112,198
"District Judge, 280th Judicial District",0192,380,225,805,1959,30.88%,26,565,591
"District Judge, 280th Judicial District",0193,173,187,360,1074,33.52%,7,338,345
"District Judge, 280th Judicial District",0194,350,431,781,1912,40.85%,234,511,745
"District Judge, 280th Judicial District",0195,269,278,547,1694,32.29%,21,512,533
"District Judge, 280th Judicial District",0196,52,32,84,316,26.58%,5,77,82
"District Judge, 280th Judicial District",0197,543,309,852,2914,29.24%,15,823,838
"District Judge, 280th Judicial District",0198,53,74,127,642,19.78%,2,124,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0199,812,661,1473,3216,45.80%,1136,277,1413
"District Judge, 280th Judicial District",0200,962,536,1498,3382,44.29%,651,742,1393
"District Judge, 280th Judicial District",0201,98,87,185,724,25.55%,2,179,181
"District Judge, 280th Judicial District",0202,217,189,406,1464,27.73%,15,383,398
"District Judge, 280th Judicial District",0203,107,68,175,960,18.23%,38,127,165
"District Judge, 280th Judicial District",0204,816,784,1600,3487,45.88%,861,621,1482
"District Judge, 280th Judicial District",0205,464,171,635,1664,38.16%,10,615,625
"District Judge, 280th Judicial District",0206,362,462,824,2779,29.65%,236,536,772
"District Judge, 280th Judicial District",0207,265,261,526,1188,44.28%,160,332,492
"District Judge, 280th Judicial District",0208,322,262,584,2195,26.61%,173,384,557
"District Judge, 280th Judicial District",0209,0,2,2,0,0.00%,2,0,2
"District Judge, 280th Judicial District",0210,502,467,969,2533,38.26%,102,840,942
"District Judge, 280th Judicial District",0211,307,386,693,2914,23.78%,255,399,654
"District Judge, 280th Judicial District",0212,96,155,251,1300,19.31%,55,188,243
"District Judge, 280th Judicial District",0213,826,913,1739,3350,51.91%,1321,302,1623
"District Judge, 280th Judicial District",0214,404,491,895,1854,48.27%,549,290,839
"District Judge, 280th Judicial District",0215,421,711,1132,2258,50.13%,643,421,1064
"District Judge, 280th Judicial District",0216,362,223,585,1945,30.08%,37,535,572
"District Judge, 280th Judicial District",0217,844,631,1475,2678,55.08%,911,457,1368
"District Judge, 280th Judicial District",0218,391,402,793,2292,34.60%,234,503,737
"District Judge, 280th Judicial District",0219,496,436,932,2767,33.68%,42,850,892
"District Judge, 280th Judicial District",0220,325,187,512,2310,22.16%,368,127,495
"District Judge, 280th Judicial District",0221,332,369,701,2529,27.72%,299,363,662
"District Judge, 280th Judicial District",0222,623,674,1297,2501,51.86%,549,645,1194
"District Judge, 280th Judicial District",0223,563,377,940,3582,26.24%,250,633,883
"District Judge, 280th Judicial District",0224,530,456,986,2238,44.06%,433,480,913
"District Judge, 280th Judicial District",0225,376,405,781,3305,23.63%,390,360,750
"District Judge, 280th Judicial District",0226,227,307,534,2436,21.92%,136,368,504
"District Judge, 280th Judicial District",0227,558,423,981,1785,54.96%,675,224,899
"District Judge, 280th Judicial District",0228,362,195,557,1050,53.05%,25,515,540
"District Judge, 280th Judicial District",0229,31,96,127,815,15.58%,57,62,119
"District Judge, 280th Judicial District",0230,185,116,301,1089,27.64%,7,287,294
"District Judge, 280th Judicial District",0231,233,264,497,2232,22.27%,119,351,470
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lynn Bradshaw Hull,DEM Barbara J. Stalder,Totals
"District Judge, 280th Judicial District",0232,361,474,835,1760,47.44%,429,342,771
"District Judge, 280th Judicial District",0233,890,801,1691,4445,38.04%,783,782,1565
"District Judge, 280th Judicial District",0234,1192,913,2105,3993,52.72%,1523,433,1956
"District Judge, 280th Judicial District",0235,240,158,398,1356,29.35%,11,375,386
"District Judge, 280th Judicial District",0236,354,235,589,2079,28.33%,11,567,578
"District Judge, 280th Judicial District",0237,416,253,669,2161,30.96%,11,648,659
"District Judge, 280th Judicial District",0238,339,245,584,1925,30.34%,13,554,567
"District Judge, 280th Judicial District",0239,383,236,619,1964,31.52%,21,589,610
"District Judge, 280th Judicial District",0240,585,243,828,2649,31.26%,24,784,808
"District Judge, 280th Judicial District",0241,222,229,451,2372,19.01%,188,244,432
"District Judge, 280th Judicial District",0242,173,162,335,1596,20.99%,196,123,319
"District Judge, 280th Judicial District",0243,138,43,181,457,39.61%,1,179,180
"District Judge, 280th Judicial District",0244,480,425,905,311,7,29.03%,498,365,863
"District Judge, 280th Judicial District",0245,945,799,1745,5828,29.94%,1225,480,1705
"District Judge, 280th Judicial District",0246,584,513,1197,3315,36.11%,852,305,1157
"District Judge, 280th Judicial District",0247,173,254,427,1582,26.99%,14,408,422
"District Judge, 280th Judicial District",0248,161,167,328,2100,15.62%,91,223,314
"District Judge, 280th Judicial District",0249,461,348,809,2719,29.75%,564,219,783
"District Judge, 280th Judicial District",0250,109,164,273,964,28.32%,9,259,268
"District Judge, 280th Judicial District",0251,278,436,714,2089,34.18%,26,674,700
"District Judge, 280th Judicial District",0252,504,312,816,2377,34.33%,15,779,794
"District Judge, 280th Judicial District",0253,379,222,601,2177,27.61%,12,575,587
"District Judge, 280th Judicial District",0254,93,112,205,1550,13.23%,64,131,195
"District Judge, 280th Judicial District",0255,525,648,1173,2482,47.26%,517,578,1095
"District Judge, 280th Judicial District",0256,575,449,1024,3254,31.47%,474,500,974
