Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0968,119,30,149,692,21.53%,31,117,148
"Judge, County Criminal Court No. 8",0969,156,73,229,604,37.91%,2,225,227
"Judge, County Criminal Court No. 8",0970,83,36,119,731,16.28%,18,98,116
"Judge, County Criminal Court No. 8",0971,11,8,19,147,12.93%,3,14,17
"Judge, County Criminal Court No. 8",0972,e,8,14,31,45.16%,13,0,13
"Judge, County Criminal Court No. 8",0973,24,19,43,111,38.74%,21,19,40
"Judge, County Criminal Court No. 8",0974,57,36,93,299,31.10%,57,34,91
"Judge, County Criminal Court No. 8",0975,55,30,85,193,44.04%,38,41,79
"Judge, County Criminal Court No. 8",0976,58,62,130,683,19.03%,84,44,128
"Judge, County Criminal Court No. 8",0977,50,43,93,572,16.26%,40,52,92
"Judge, County Criminal Court No. 8",0978,77,79,156,546,28.57%,28,125,153
"Judge, County Criminal Court No. 8",0979,2,6,8,27,29.63%,4,3,7
"Judge, County Criminal Court No. 8",0980,280,321,601,1389,43.27%,451,121,572
"Judge, County Criminal Court No. 8",0981,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0982,312,312,624,1567,39.82%,507,89,596
"Judge, County Criminal Court No. 8",0983,11,21,32,161,19.88%,20,11,31
"Judge, County Criminal Court No. 8",0984,18,9,27,192,14.06%,4,22,26
"Judge, County Criminal Court No. 8",0985,117,63,180,351,51.28%,93,78,171
"Judge, County Criminal Court No. 8",0986,43,30,73,463,15.77%,12,60,72
"Judge, County Criminal Court No. 8",0987,231,90,321,1155,27.79%,30,283,313
"Judge, County Criminal Court No. 8",0988,24,12,36,123,29.27%,33,3,36
"Judge, County Criminal Court No. 8",0989,e,6,12,43,27.91%,9,3,12
"Judge, County Criminal Court No. 8",0990,16,1,17,140,12.14%,8,8,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0991,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 8",0992,157,107,264,1048,25.19%,145,107,252
"Judge, County Criminal Court No. 8",0993,169,101,270,568,47.54%,221,39,260
"Judge, County Criminal Court No. 8",0994,e,5,11,25,44.00%,2,9,11
"Judge, County Criminal Court No. 8",0995,295,156,451,1393,32.38%,27,413,440
"Judge, County Criminal Court No. 8",0996,135,140,275,694,39.63%,151,104,255
"Judge, County Criminal Court No. 8",0997,101,163,264,1656,15.94%,58,202,260
"Judge, County Criminal Court No. 8",0998,5,1,6,57,10.53%,3,3,6
"Judge, County Criminal Court No. 8",0999,17,10,27,68,39.71%,23,3,26
"Judge, County Criminal Court No. 8",1000,42,6,48,405,11.85%,12,35,47
"Judge, County Criminal Court No. 8",1001,228,136,364,1565,23.26%,94,254,348
"Judge, County Criminal Court No. 8",1002,170,139,309,1744,17.72%,54,238,292
"Judge, County Criminal Court No. 8",1003,1,0,1,0,0.00%,1,0,1
"Judge, County Criminal Court No. 8",1004,111,139,250,654,38.23%,124,103,227
"Judge, County Criminal Court No. 8",1005,0,8,8,0,0.00%,3,4,7
"Judge, County Criminal Court No. 8",1006,1,0,1,5,20.00%,1,0,1
"Judge, County Criminal Court No. 8",1007,208,188,396,1547,25.60%,91,289,380
"Judge, County Criminal Court No. 8",1008,32,12,44,151,29.14%,32,9,41
"Judge, County Criminal Court No. 8",1009,0,0,0,9,0.00%,0,0,0
"Judge, County Criminal Court No. 8",1010,59,35,94,459,20.48%,16,76,92
"Judge, County Criminal Court No. 8",1011,8,1,9,26,34.62%,5,3,8
"Judge, County Criminal Court No. 8",1012,134,201,335,1365,24.54%,100,227,327
"Judge, County Criminal Court No. 8",1013,0,6,6,58,10.34%,3,2,5
"Judge, County Criminal Court No. 8",1014,4,6,10,31,32.26%,1,9,10
"Judge, County Criminal Court No. 8",1015,5,4,9,25,36.00%,3,5,8
"Judge, County Criminal Court No. 8",1016,252,212,464,1691,27.44%,227,221,448
"Judge, County Criminal Court No. 8",1017,61,44,105,330,31.82%,31,72,103
"Judge, County Criminal Court No. 8",1018,93,64,157,494,31.78%,67,86,153
"Judge, County Criminal Court No. 8",1019,130,107,237,1456,16.28%,11,222,233
"Judge, County Criminal Court No. 8",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 8",1021,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 8",1022,97,79,176,441,39.91%,131,34,165
"Judge, County Criminal Court No. 8",1023,430,315,745,2026,36.77%,532,184,716
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",1024,55,61,116,249,46.59%,60,46,106
"Judge, County Criminal Court No. 8",1025,0,1,1,14,7.14%,1,0,1
"Judge, County Criminal Court No. 8",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",1027,1,0,1,8,12.50%,0,1,1
"Judge, County Criminal Court No. 8",1028,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",1029,537,719,1256,2927,42.91%,989,213,1202
"Judge, County Criminal Court No. 8",1030,231,151,382,785,48.66%,334,42,376
"Judge, County Criminal Court No. 8",1031,59,71,130,792,16.41%,36,87,123
"Judge, County Criminal Court No. 8",1032,31,25,56,244,22.95%,33,19,52
"Judge, County Criminal Court No. 8",1033,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",1034,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",1035,2,4,6,138,4.35%,1,4,5
"Judge, County Criminal Court No. 8",1036,65,24,89,449,19.82%,75,13,88
"Judge, County Criminal Court No. 8",1037,19,11,30,76,39.47%,17,10,27
"Judge, County Criminal Court No. 8",1038,62,6,68,327,20.80%,9,55,64
"Judge, County Criminal Court No. 8",1039,2,0,2,25,8.00%,0,2,2
"Judge, County Criminal Court No. 8",1040,91,66,157,771,20.36%,70,81,151
"Judge, County Criminal Court No. 8",1041,0,2,2,0,0.00%,1,1,2
"Judge, County Criminal Court No. 8",1042,105,67,172,521,33.01%,51,112,163
"Judge, County Criminal Court No. 8",1043,5,6,12,33,36.36%,4,8,12
"Judge, County Criminal Court No. 8",1044,16,6,22,55,40.00%,7,14,21
"Judge, County Criminal Court No. 8",1045,197,173,370,1788,20.69%,50,307,357
"Judge, County Criminal Court No. 8",1046,11,5,16,62,25.81%,1,15,16
"Judge, County Criminal Court No. 8",1047,255,186,441,1568,28.13%,160,269,429
"Judge, County Criminal Court No. 8",1048,1,0,1,17,5.88%,1,0,1
"Judge, County Criminal Court No. 8",1049,14,45,59,290,20.34%,20,37,57
"Judge, County Criminal Court No. 8",1050,60,63,123,537,22.91%,34,85,119
"Judge, County Criminal Court No. 8",1051,0,31,31,0,0.00%,17,12,29
"Judge, County Criminal Court No. 8",1052,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",1053,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",1054,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 8",1055,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",1056,4,2,6,8,75.00%,0,6,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",1057,7,9,16,118,13.56%,3,12,15
"Judge, County Criminal Court No. 8",1058,241,285,526,1243,42.32%,101,411,512
"Judge, County Criminal Court No. 8",1059,3,3,6,28,21.43%,1,5,6
"Judge, County Criminal Court No. 8",1060,5,2,7,42,16.67%,5,2,7
"Judge, County Criminal Court No. 8",1061,332,184,516,1716,30.07%,274,219,493
"Judge, County Criminal Court No. 8",1062,17,6,23,201,11.44%,3,17,20
"Judge, County Criminal Court No. 8",1063,66,59,125,857,14.59%,18,102,120
"Judge, County Criminal Court No. 8",1064,25,11,36,119,30.25%,29,7,36
"Judge, County Criminal Court No. 8",1065,1,0,1,28,3.57%,0,1,1
"Judge, County Criminal Court No. 8",1066,72,0,72,229,31.44%,3,65,68
"Judge, County Criminal Court No. 8",1067,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 8",1068,22,8,30,121,24.79%,13,16,29
"Judge, County Criminal Court No. 8",1069,434,256,690,2580,26.74%,315,331,646
"Judge, County Criminal Court No. 8",Totals:,378846,308736,687582,2044361,,356361,298736,655097
