Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0250,109,164,273,964,28.32%,7,261,268
"Judge, County Criminal Court No. 8",0251,278,436,714,2089,34.18%,24,676,700
"Judge, County Criminal Court No. 8",0252,504,312,816,2377,34.33%,13,785,798
"Judge, County Criminal Court No. 8",0253,379,222,601,2177,27.61%,8,577,585
"Judge, County Criminal Court No. 8",0254,93,112,205,1550,13.23%,64,132,196
"Judge, County Criminal Court No. 8",0255,525,648,1173,2482,47.26%,553,534,1087
"Judge, County Criminal Court No. 8",0256,575,449,1024,3254,31.47%,479,479,958
"Judge, County Criminal Court No. 8",0257,204,245,449,2523,17.80%,132,293,425
"Judge, County Criminal Court No. 8",0258,839,800,1539,3322,49.34%,1193,329,1522
"Judge, County Criminal Court No. 8",0259,555,382,1038,2361,43.96%,22,986,1008
"Judge, County Criminal Court No. 8",0260,162,145,307,1260,24.37%,176,110,286
"Judge, County Criminal Court No. 8",0261,124,120,244,1417,17.22%,100,134,234
"Judge, County Criminal Court No. 8",0262,758,600,1358,4397,30.88%,835,437,1272
"Judge, County Criminal Court No. 8",0263,858,712,1570,3693,42.51%,1195,318,1513
"Judge, County Criminal Court No. 8",0264,480,457,937,2963,31.62%,570,309,879
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jay Karahan,DEM Kelli Johnson,Totals
"Judge, County Criminal Court No. 8",0265,988,759,1747,3584,48.74%,1316,298,1614
"Judge, County Criminal Court No. 8",0266,259,257,516,2104,24.52%,251,232,483
"Judge, County Criminal Court No. 8",0267,146,166,312,1327,23.51%,159,129,288
"Judge, County Criminal Court No. 8",0268,435,717,1152,2493,46.21%,662,367,1029
"Judge, County Criminal Court No. 8",0269,702,453,1155,2030,56.90%,918,167,1085
"Judge, County Criminal Court No. 8",0270,817,672,1489,3605,41.30%,821,580,1401
"Judge, County Criminal Court No. 8",0271,656,382,1038,2518,41.22%,23,1002,1025
"Judge, County Criminal Court No. 8",0272,264,292,555,2162,25.72%,223,306,529
"Judge, County Criminal Court No. 8",0273,548,689,1237,2470,50.08%,1002,174,1176
"Judge, County Criminal Court No. 8",0274,588,346,934,2153,43.38%,635,231,866
"Judge, County Criminal Court No. 8",0275,207,236,443,1850,23.95%,103,326,429
"Judge, County Criminal Court No. 8",0276,572,231,803,2536,31.66%,6,778,784
"Judge, County Criminal Court No. 8",0277,170,186,356,1492,23.86%,166,171,337
"Judge, County Criminal Court No. 8",0278,421,320,741,2454,30.20%,413,296,709
"Judge, County Criminal Court No. 8",0279,250,223,473,1941,24.37%,275,176,451
"Judge, County Criminal Court No. 8",0280,130,188,318,1524,20.87%,132,167,299
"Judge, County Criminal Court No. 8",0281,655,742,1397,2633,53.06%,687,565,1252
"Judge, County Criminal Court No. 8",0282,314,455,769,2042,37.66%,479,242,721
