Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0180,966,552,1518,2795,54.31%,36,1398,9,9,1452
Railroad Commissioner,0181,418,514,932,1968,47.36%,257,585,9,30,881
Railroad Commissioner,0182,1326,1081,2407,3289,73.18%,1499,670,48,45,2262
Railroad Commissioner,0183,973,943,1916,2451,78.17%,1313,435,39,33,1820
Railroad Commissioner,0184,214,256,470,969,48.50%,141,283,4,15,443
Railroad Commissioner,0185,593,494,1087,1910,56.91%,340,668,7,16,1031
Railroad Commissioner,0186,204,170,374,795,47.04%,40,302,2,4,348
Railroad Commissioner,0187,48,65,113,309,36.57%,28,77,2,4,111
Railroad Commissioner,0188,307,378,685,1616,42.39%,245,393,9,17,664
Railroad Commissioner,0189,493,473,966,1453,66.48%,516,326,28,32,902
Railroad Commissioner,0190,275,401,676,1720,39.30%,229,389,9,14,641
Railroad Commissioner,0191,197,313,510,1391,36.66%,164,298,6,15,483
Railroad Commissioner,0192,746,332,1078,2045,52.71%,36,988,8,8,1040
Railroad Commissioner,0193,341,269,610,1050,58.10%,15,569,4,9,597
Railroad Commissioner,0194,709,504,1213,1735,69.91%,365,696,38,56,1155
Railroad Commissioner,0195,539,419,958,1721,55.67%,32,881,5,7,925
Railroad Commissioner,0196,121,55,176,323,54.49%,10,156,4,1,171
Railroad Commissioner,0197,1109,497,1606,2895,55.47%,33,1508,8,16,1565
Railroad Commissioner,0198,143,158,301,657,45.81%,7,277,1,8,293
Railroad Commissioner,0199,1408,773,2181,3159,69.04%,1623,404,54,30,2111
Railroad Commissioner,0200,1643,585,2228,3222,69.15%,1050,925,67,57,2099
Railroad Commissioner,0201,229,125,354,728,48.63%,13,324,0,5,342
Railroad Commissioner,0202,488,332,820,1479,55.44%,12,764,3,7,786
Railroad Commissioner,0203,266,156,422,900,46.89%,82,305,4,15,406
Railroad Commissioner,0204,1496,914,2410,3462,69.61%,1426,765,51,61,2303
