Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0988,44,21,65,111,58.56%,55,7,0,0,62
Railroad Commissioner,0989,18,8,26,36,72.22%,12,14,0,0,26
Railroad Commissioner,0990,37,15,52,154,33.77%,18,26,0,0,44
Railroad Commissioner,0991,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,0992,310,202,512,1015,50.44%,275,203,8,9,495
Railroad Commissioner,0993,272,91,363,551,65.88%,284,52,6,7,349
Railroad Commissioner,0994,6,5,11,8,137.50%,2,8,0,0,10
Railroad Commissioner,0995,598,190,788,1269,62.10%,38,720,5,5,768
Railroad Commissioner,0996,297,125,422,699,60.37%,241,150,8,8,407
Railroad Commissioner,0997,432,328,760,1439,52.81%,125,596,13,8,742
Railroad Commissioner,0998,15,9,24,35,68.57%,17,6,0,0,23
Railroad Commissioner,0999,30,16,46,65,70.77%,37,7,0,0,44
Railroad Commissioner,1000,105,0,105,458,22.93%,18,79,1,3,101
Railroad Commissioner,1001,496,294,790,1566,50.45%,150,588,6,11,755
Railroad Commissioner,1002,465,314,779,1738,44.82%,87,646,7,11,751
Railroad Commissioner,1003,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,1004,225,153,378,656,57.62%,199,126,13,14,352
Railroad Commissioner,1005,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1006,3,0,3,5,60.00%,3,0,0,0,3
Railroad Commissioner,1007,556,295,851,1371,62.07%,202,607,14,9,832
Railroad Commissioner,1008,86,21,107,150,71.33%,82,14,1,6,103
Railroad Commissioner,1009,3,1,4,8,50.00%,4,0,0,0,4
Railroad Commissioner,1010,125,74,199,317,62.78%,33,152,4,4,193
Railroad Commissioner,1011,12,3,15,29,51.72%,6,6,0,1,13
Railroad Commissioner,1012,395,318,713,1235,57.73%,182,490,8,9,689
Railroad Commissioner,1013,8,14,22,60,36.67%,16,6,0,0,22
Railroad Commissioner,1014,9,7,16,36,44.44%,3,13,0,0,16
Railroad Commissioner,1015,11,7,18,29,62.07%,4,12,0,1,17
Railroad Commissioner,1016,593,364,957,1626,58.86%,419,461,20,17,917
Railroad Commissioner,1017,127,50,177,232,76.29%,49,120,2,2,173
Railroad Commissioner,1018,209,92,301,468,64.32%,144,150,1,0,295
Railroad Commissioner,1019,427,4,431,1518,28.39%,16,394,0,4,414
Railroad Commissioner,1020,0,0,0,1,0.00%,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,1021,1,0,1,2,50.00%,0,1,0,0,1
Railroad Commissioner,1022,190,30,220,426,51.64%,174,35,2,1,212
Railroad Commissioner,1023,898,401,1299,1964,66.14%,843,372,17,19,1251
Railroad Commissioner,1024,113,77,190,259,73.36%,100,64,8,6,178
Railroad Commissioner,1025,4,0,4,18,22.22%,1,3,0,0,4
Railroad Commissioner,1026,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1027,0,1,1,1,100.00%,1,0,0,0,1
Railroad Commissioner,1028,0,1,1,0,0.00%,1,0,0,0,1
Railroad Commissioner,1029,1023,641,1664,1802,92.34%,1279,269,35,18,1601
Railroad Commissioner,1030,398,105,503,655,76.79%,434,48,8,1,491
Railroad Commissioner,1031,3,3,6,6,100.00%,5,1,0,0,6
Railroad Commissioner,1032,59,80,139,241,57.68%,102,32,0,0,134
Railroad Commissioner,1033,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1034,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,1035,24,13,37,139,26.62%,4,31,1,0,36
Railroad Commissioner,1036,144,46,190,433,43.88%,146,30,1,3,180
Railroad Commissioner,1037,27,16,43,73,58.90%,23,14,1,1,39
Railroad Commissioner,1038,133,43,176,266,66.17%,10,161,1,1,173
Railroad Commissioner,1039,3,5,8,20,40.00%,2,6,0,0,8
Railroad Commissioner,1040,195,146,341,607,56.18%,171,134,9,9,323
Railroad Commissioner,1041,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1042,228,50,278,498,55.82%,79,187,5,3,274
Railroad Commissioner,1043,12,2,14,31,45.16%,3,11,0,0,14
Railroad Commissioner,1044,29,5,34,59,57.63%,8,24,0,1,33
Railroad Commissioner,1045,615,321,936,1439,65.05%,121,777,8,5,911
Railroad Commissioner,1046,19,18,37,54,68.52%,4,31,0,1,36
Railroad Commissioner,1047,554,288,852,1242,68.60%,261,548,8,8,825
Railroad Commissioner,1048,3,1,4,18,22.22%,2,2,0,0,4
Railroad Commissioner,1049,57,71,128,266,48.12%,38,82,0,2,122
Railroad Commissioner,1050,148,153,301,506,59.49%,65,216,3,5,289
Railroad Commissioner,1,051,0,1,2,1,2,0,0.00%,9,2,0,0,1,1
Railroad Commissioner,1052,0,2,2,0,0.00%,1,0,0,0,1
Railroad Commissioner,1053,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1054,0,0,0,1,0.00%,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,1055,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1056,4,0,4,6,66.67%,0,4,0,0,4
Railroad Commissioner,1057,34,7,41,115,35.65%,1,35,1,2,39
Railroad Commissioner,1058,540,246,786,1190,66.05%,125,626,6,6,763
Railroad Commissioner,1059,7,3,10,23,43.48%,0,10,0,0,10
Railroad Commissioner,1060,13,4,17,49,34.69%,9,7,0,0,16
Railroad Commissioner,1061,666,300,966,1613,59.89%,522,388,18,14,942
Railroad Commissioner,1062,59,25,85,168,50.60%,19,61,1,0,81
Railroad Commissioner,1063,226,63,289,792,36.49%,31,246,3,2,282
Railroad Commissioner,1064,45,1,46,120,38.33%,32,9,3,0,44
Railroad Commissioner,Totals:,775751,427100,1202851,1942566,575615,542251,19036,19440,1156342
