Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Dale M. Gorczynski,Totals
"Justice of the Peace, Precinct No. 1, Place 1",0714,77,3,80,304,26.32%,34,34
"Justice of the Peace, Precinct No. 1, Place 1",0723,747,329,1076,1760,61.14%,863,863
"Justice of the Peace, Precinct No. 1, Place 1",0741,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 1, Place 1",0754,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 1, Place 1",0775,33,1,34,83,40.96%,33,33
"Justice of the Peace, Precinct No. 1, Place 1",0778,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 1, Place 1",0779,295,221,516,1146,45.03%,368,368
"Justice of the Peace, Precinct No. 1, Place 1",0780,136,114,250,579,43.18%,154,154
"Justice of the Peace, Precinct No. 1, Place 1",0787,154,76,230,487,47.23%,167,167
"Justice of the Peace, Precinct No. 1, Place 1",0789,3,1,4,4,100.00%,2,2
"Justice of the Peace, Precinct No. 1, Place 1",0792,549,409,958,1834,52.24%,771,771
"Justice of the Peace, Precinct No. 1, Place 1",0795,265,255,520,1207,43.08%,371,371
"Justice of the Peace, Precinct No. 1, Place 1",0802,98,58,156,299,52.17%,121,121
"Justice of the Peace, Precinct No. 1, Place 1",0808,41,26,67,84,79.76%,45,45
"Justice of the Peace, Precinct No. 1, Place 1",0809,21,6,27,86,31.40%,16,16
"Justice of the Peace, Precinct No. 1, Place 1",0817,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 1, Place 1",0830,0,0,0,1,0.00%,0,0
"Justice of the Peace, Precinct No. 1, Place 1",0833,8,1,9,20,45.00%,9,9
"Justice of the Peace, Precinct No. 1, Place 1",0837,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 1, Place 1",0848,782,431,1213,1873,64.76%,881,881
"Justice of the Peace, Precinct No. 1, Place 1",0855,4,13,17,18,94.44%,9,9
"Justice of the Peace, Precinct No. 1, Place 1",0859,309,201,510,860,59.30%,427,427
"Justice of the Peace, Precinct No. 1, Place 1",0861,705,319,1024,1786,57.33%,843,843
"Justice of the Peace, Precinct No. 1, Place 1",0864,497,609,1106,2464,44.89%,849,849
"Justice of the Peace, Precinct No. 1, Place 1",0868,573,586,1159,2292,50.57%,842,842
"Justice of the Peace, Precinct No. 1, Place 1",0870,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 1, Place 1",0884,118,37,155,330,46.97%,136,136
"Justice of the Peace, Precinct No. 1, Place 1",0886,301,154,455,713,63.81%,243,243
"Justice of the Peace, Precinct No. 1, Place 1",0887,138,83,221,313,70.61%,109,109
"Justice of the Peace, Precinct No. 1, Place 1",0890,319,118,437,994,43.96%,284,284
"Justice of the Peace, Precinct No. 1, Place 1",0894,0,31,31,0,0.00%,24,24
"Justice of the Peace, Precinct No. 1, Place 1",0895,335,325,660,784,84.18%,407,407
"Justice of the Peace, Precinct No. 1, Place 1",0896,670,303,973,1437,67.71%,611,611
"Justice of the Peace, Precinct No. 1, Place 1",0902,855,521,1486,2065,71.96%,777,777
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Dale M. Gorczynski,Totals
"Justice of the Peace, Precinct No. 1, Place 1",0903,10,1,11,41,26.83%,6,6
"Justice of the Peace, Precinct No. 1, Place 1",0906,12,e,18,26,69.23%,11,11
"Justice of the Peace, Precinct No. 1, Place 1",0909,5,7,1,2,1,9,63.1,6%,7,7
"Justice of the Peace, Precinct No. 1, Place 1",0910,55,34,89,226,39.38%,66,66
"Justice of the Peace, Precinct No. 1, Place 1",0922,0,2,2,0,0.00%,1,1
"Justice of the Peace, Precinct No. 1, Place 1",0927,84,74,158,262,60.31%,98,98
"Justice of the Peace, Precinct No. 1, Place 1",0928,4,2,6,9,66.67%,6,6
"Justice of the Peace, Precinct No. 1, Place 1",0930,200,77,277,567,48.85%,269,269
"Justice of the Peace, Precinct No. 1, Place 1",0936,12,10,22,70,31.43%,13,13
"Justice of the Peace, Precinct No. 1, Place 1",0940,1,0,1,13,7.69%,1,1
"Justice of the Peace, Precinct No. 1, Place 1",0953,59,52,111,420,26.43%,103,103
"Justice of the Peace, Precinct No. 1, Place 1",0954,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 1, Place 1",0956,5,2,7,12,58.33%,3,3
"Justice of the Peace, Precinct No. 1, Place 1",0961,23,11,34,53,64.15%,29,29
"Justice of the Peace, Precinct No. 1, Place 1",0962,24,13,37,73,50.68%,29,29
"Justice of the Peace, Precinct No. 1, Place 1",0966,305,160,465,1073,43.34%,344,344
"Justice of the Peace, Precinct No. 1, Place 1",0970,212,76,288,704,40.91%,247,247
"Justice of the Peace, Precinct No. 1, Place 1",0973,49,24,73,107,68.22%,43,43
"Justice of the Peace, Precinct No. 1, Place 1",0974,100,71,171,299,57.19%,84,84
"Justice of the Peace, Precinct No. 1, Place 1",0975,72,41,113,170,66.47%,74,74
"Justice of the Peace, Precinct No. 1, Place 1",0977,104,83,187,535,34.95%,124,124
"Justice of the Peace, Precinct No. 1, Place 1",0987,465,191,656,1138,57.64%,590,590
"Justice of the Peace, Precinct No. 1, Place 1",0989,18,8,26,36,72.22%,16,16
"Justice of the Peace, Precinct No. 1, Place 1",1003,0,0,0,1,0.00%,0,0
"Justice of the Peace, Precinct No. 1, Place 1",1004,224,153,377,656,57.47%,185,185
"Justice of the Peace, Precinct No. 1, Place 1",1011,12,3,15,29,51.72%,9,9
"Justice of the Peace, Precinct No. 1, Place 1",1024,113,77,190,259,73.36%,106,106
"Justice of the Peace, Precinct No. 1, Place 1",1027,0,1,1,1,100.00%,0,0
"Justice of the Peace, Precinct No. 1, Place 1",1033,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 1, Place 1",1048,3,1,4,18,22.22%,2,2
"Justice of the Peace, Precinct No. 1, Place 1",1049,57,71,128,266,48.12%,94,94
"Justice of the Peace, Precinct No. 1, Place 1",1,051,0,1,2,1,2,0,0.00%,6,6
"Justice of the Peace, Precinct No. 1, Place 1",1063,226,63,289,792,36.49%,258,258
"Justice of the Peace, Precinct No. 1, Place 1",Totals:,117549,79861,197410,329143,131321,131321
