Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Walker,DEM John Whitmire,Totals
"State Senator, District 15",0961,23,11,34,53,64.15%,7,27,34
"State Senator, District 15",0963,129,69,198,353,56.09%,105,82,187
"State Senator, District 15",0964,945,447,1392,1571,88.61%,818,533,1351
"State Senator, District 15",0965,93,27,120,355,33.80%,72,43,115
"State Senator, District 15",0966,305,160,465,1073,43.34%,130,314,444
"State Senator, District 15",0967,48,15,63,98,64.29%,27,36,63
"State Senator, District 15",0968,243,83,326,517,63.06%,60,257,317
"State Senator, District 15",0972,10,7,17,29,58.62%,12,5,17
"State Senator, District 15",0973,49,24,73,107,68.22%,38,34,72
"State Senator, District 15",0974,100,71,171,299,57.19%,99,69,168
"State Senator, District 15",0975,72,41,113,170,66.47%,44,63,107
"State Senator, District 15",0976,159,131,290,684,42.40%,160,116,276
"State Senator, District 15",0977,104,83,187,535,34.95%,65,114,179
"State Senator, District 15",0978,201,102,303,506,59.88%,49,247,296
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Walker,DEM John Whitmire,Totals
"State Senator, District 15",0987,465,191,656,1138,57.64%,47,589,636
"State Senator, District 15",0989,18,8,26,36,72.22%,11,14,25
"State Senator, District 15",1003,0,0,0,1,0.00%,0,0,0
"State Senator, District 15",1004,224,153,377,656,57.47%,180,169,349
"State Senator, District 15",1007,555,295,850,1371,62.00%,193,626,819
"State Senator, District 15",1011,12,3,15,29,51.72%,4,8,12
"State Senator, District 15",1012,395,318,713,1235,57.73%,182,505,687
"State Senator, District 15",1013,8,14,22,60,36.67%,15,7,22
"State Senator, District 15",1014,9,7,16,36,44.44%,3,13,16
"State Senator, District 15",1015,11,7,18,29,62.07%,4,13,17
"State Senator, District 15",1024,113,77,190,259,73.36%,94,87,181
"State Senator, District 15",1027,0,1,1,1,100.00%,0,0,0
"State Senator, District 15",1033,0,0,0,0,0.00%,0,0,0
"State Senator, District 15",1035,24,13,37,139,26.62%,3,33,36
"State Senator, District 15",1038,133,43,176,266,66.17%,10,161,171
"State Senator, District 15",1042,227,50,277,498,55.62%,75,198,273
"State Senator, District 15",1043,12,2,14,31,45.16%,3,11,14
"State Senator, District 15",1044,29,5,34,59,57.63%,7,27,34
"State Senator, District 15",1045,611,321,932,1439,64.77%,118,790,908
"State Senator, District 15",1047,563,288,851,1242,68.52%,248,574,822
"State Senator, District 15",1,051,0,1,2,1,2,0,0.00%,8,4,1,2
"State Senator, District 15",1063,226,63,289,792,36.49%,27,254,281
"State Senator, District 15",1064,45,1,46,120,38.33%,34,11,45
"State Senator, District 15",Totals:,144756,82177,226933,368424,,82038,135822,217860
