Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0216,764,320,1104,1917,57.59%,123,210,94,427
"Railroad Commissioner, Unexpired Term",0217,1399,651,2050,2637,77.74%,1429,141,155,1725
"Railroad Commissioner, Unexpired Term",0216,690,606,1296,2274,57.06%,403,307,165,675
"Railroad Commissioner, Unexpired Term",0219,1119,587,1706,2654,64.26%,175,293,142,610
"Railroad Commissioner, Unexpired Term",0220,711,353,1064,2360,45.06%,744,95,46,667
"Railroad Commissioner, Unexpired Term",0221,700,611,1311,2469,52.67%,566,271,70,907
"Railroad Commissioner, Unexpired Term",0222,1001,792,1793,2364,75.21%,963,195,263,1421
"Railroad Commissioner, Unexpired Term",0223,1361,760,2121,3526,60.12%,703,462,323,1506
"Railroad Commissioner, Unexpired Term",0224,696,649,1547,2259,66.46%,775,191,231,1197
"Railroad Commissioner, Unexpired Term",0225,1113,720,1633,3155,56.10%,631,304,134,1269
"Railroad Commissioner, Unexpired Term",0226,529,545,1074,2393,44.66%,245,294,65,604
"Railroad Commissioner, Unexpired Term",0227,949,451,1400,1767,79.23%,1065,76,63,1224
"Railroad Commissioner, Unexpired Term",0226,564,165,749,1073,69.60%,59,137,112,306
"Railroad Commissioner, Unexpired Term",0229,152,207,359,611,44.27%,112,74,16,202
"Railroad Commissioner, Unexpired Term",0230,421,153,574,1096,52.37%,23,61,34,136
"Railroad Commissioner, Unexpired Term",0231,563,471,1034,2219,46.60%,270,260,72,602
"Railroad Commissioner, Unexpired Term",0232,666,546,1232,1696,72.64%,762,114,126,1002
"Railroad Commissioner, Unexpired Term",0233,1635,1063,2696,4132,70.14%,1567,409,373,2349
"Railroad Commissioner, Unexpired Term",0234,2093,665,2976,3654,77.27%,2369,143,66,2600
"Railroad Commissioner, Unexpired Term",0235,466,242,706,1305,54.25%,43,113,41,197
"Railroad Commissioner, Unexpired Term",0236,779,342,1121,2144,52.29%,54,159,49,262
"Railroad Commissioner, Unexpired Term",0237,793,441,1234,2161,56.56%,44,164,75,263
"Railroad Commissioner, Unexpired Term",0236,641,422,1063,1901,55.92%,52,152,71,275
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0239,765,357,1122,1997,56.18%,65,191,91,347
"Railroad Commissioner, Unexpired Term",0240,1158,402,1560,2688,58.04%,61,269,126,456
"Railroad Commissioner, Unexpired Term",0241,494,479,973,2296,42.38%,397,151,46,594
"Railroad Commissioner, Unexpired Term",0242,363,323,686,1570,43.69%,363,85,25,473
"Railroad Commissioner, Unexpired Term",0243,254,50,304,452,67.26%,14,43,35,92
"Railroad Commissioner, Unexpired Term",0244,1102,656,1758,2912,60.37%,938,288,110,1336
"Railroad Commissioner, Unexpired Term",0245,2344,1115,3459,5240,66.01%,2295,360,137,2792
"Railroad Commissioner, Unexpired Term",0246,1584,624,2208,2999,73.62%,1520,212,86,1818
"Railroad Commissioner, Unexpired Term",0247,422,403,825,1607,51.34%,40,111,58,209
"Railroad Commissioner, Unexpired Term",0248,408,405,813,2122,38.31%,195,155,32,382
"Railroad Commissioner, Unexpired Term",0249,1031,481,1512,2676,56.50%,1011,152,61,1224
"Railroad Commissioner, Unexpired Term",0250,306,247,553,951,58.15%,23,74,29,126
"Railroad Commissioner, Unexpired Term",0251,809,529,1338,2072,64.58%,89,190,66,345
"Railroad Commissioner, Unexpired Term",0252,1111,356,1467,2350,62.43%,57,159,74,290
"Railroad Commissioner, Unexpired Term",0253,923,325,1248,2252,55.42%,52,147,66,265
"Railroad Commissioner, Unexpired Term",0254,220,282,502,1476,34.01%,137,92,32,261
"Railroad Commissioner, Unexpired Term",0255,996,797,1793,2411,74.37%,896,261,255,1412
"Railroad Commissioner, Unexpired Term",0256,1060,766,1826,3226,56.60%,771,333,181,1285
"Railroad Commissioner, Unexpired Term",0257,554,571,1125,2403,46.82%,279,233,67,579
"Railroad Commissioner, Unexpired Term",0258,1578,888,2466,3286,75.05%,1852,152,142,2146
"Railroad Commissioner, Unexpired Term",0259,1210,460,1670,2408,69.35%,82,205,103,390
"Railroad Commissioner, Unexpired Term",0260,420,290,710,1187,59.81%,390,103,36,529
"Railroad Commissioner, Unexpired Term",0261,176,133,309,749,41.26%,97,73,16,186
"Railroad Commissioner, Unexpired Term",0262,1472,906,2378,4232,56.19%,1378,296,220,1894
"Railroad Commissioner, Unexpired Term",0263,1787,719,2506,3319,75.50%,1871,188,87,2146
"Railroad Commissioner, Unexpired Term",0264,938,639,1577,2939,53.66%,879,193,114,1186
"Railroad Commissioner, Unexpired Term",0265,1937,674,2611,3617,72.19%,1990,139,112,2241
"Railroad Commissioner, Unexpired Term",0266,552,542,1094,2119,51.63%,514,180,69,763
"Railroad Commissioner, Unexpired Term",0267,294,305,599,1346,44.50%,269,90,26,385
"Railroad Commissioner, Unexpired Term",0268,932,810,1742,2387,72.98%,1127,144,152,1423
"Railroad Commissioner, Unexpired Term",0269,1143,444,1587,1981,80.11%,1299,85,46,1430
"Railroad Commissioner, Unexpired Term",0270,1403,870,2273,3517,64.63%,1325,304,203,1832
"Railroad Commissioner, Unexpired Term",0271,1303,371,1674,2469,67.80%,66,283,137,486
"Railroad Commissioner, Unexpired Term",0272,614,484,1098,2112,51.99%,434,232,131,797
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barry Smitherman,LIB Jaime O. Perez,GRN Josh Wendel,Totals
"Railroad Commissioner, Unexpired Term",0273,1141,634,1775,2426,73.17%,1454,87,60,1601
"Railroad Commissioner, Unexpired Term",0274,1054,364,1418,2063,68.73%,986,132,106,1224
"Railroad Commissioner, Unexpired Term",0275,570,410,980,1730,56.65%,187,166,77,430
"Railroad Commissioner, Unexpired Term",0276,1139,404,1543,2532,60.94%,54,240,127,421
"Railroad Commissioner, Unexpired Term",0277,342,305,647,1473,43.92%,289,99,27,415
"Railroad Commissioner, Unexpired Term",0278,756,607,1363,2405,56.67%,716,197,59,972
"Railroad Commissioner, Unexpired Term",0279,548,383,931,1899,49.03%,566,121,47,734
"Railroad Commissioner, Unexpired Term",0280,303,360,663,1515,43.76%,246,143,24,413
"Railroad Commissioner, Unexpired Term",0281,1088,903,1991,2610,76.28%,1145,191,224,1560
"Railroad Commissioner, Unexpired Term",0282,691,591,1282,1988,64.49%,791,150,89,1030
"Railroad Commissioner, Unexpired Term",0283,0,0,0,0,0.00%,0,0,0,0
"Railroad Commissioner, Unexpired Term",0284,1136,595,1731,3262,53.07%,705,270,160,1135
