Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0162,232,262,494,1249,39.55%,138,306,444
"District Judge, 165th Judicial District",0163,778,635,1413,3054,46.27%,384,874,1258
"District Judge, 165th Judicial District",0164,505,304,809,1434,56.42%,13,774,787
"District Judge, 165th Judicial District",0165,918,557,1475,2284,64.58%,945,445,1390
"District Judge, 165th Judicial District",0166,281,311,592,1016,58.27%,196,351,547
"District Judge, 165th Judicial District",0167,5,2,7,23,30.43%,0,7,7
"District Judge, 165th Judicial District",0168,188,126,314,519,60.50%,4,294,298
"District Judge, 165th Judicial District",0169,1059,433,1492,2531,58.95%,20,1432,1452
"District Judge, 165th Judicial District",0170,481,353,834,1887,44.20%,395,380,775
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0171,514,294,808,1613,50.09%,25,753,778
"District Judge, 165th Judicial District",0172,161,147,308,600,51.33%,93,191,284
"District Judge, 165th Judicial District",0173,1798,619,2417,3105,77.84%,1833,459,2292
"District Judge, 165th Judicial District",0174,1554,767,2321,3159,73.47%,1592,560,2152
"District Judge, 165th Judicial District",0175,1064,867,1931,2506,77.06%,1029,719,1748
"District Judge, 165th Judicial District",0176,626,530,1156,1581,73.12%,629,417,1046
"District Judge, 165th Judicial District",0177,672,385,1057,1478,71.52%,648,339,987
"District Judge, 165th Judicial District",0178,913,368,1281,1718,74.56%,880,290,1170
"District Judge, 165th Judicial District",0179,449,321,770,1508,51.06%,342,372,714
"District Judge, 165th Judicial District",0180,966,552,1518,2795,54.31%,33,1415,1448
"District Judge, 165th Judicial District",0181,416,514,930,1968,47.26%,239,632,871
"District Judge, 165th Judicial District",0182,1321,1081,2402,3289,73.03%,1469,688,2157
"District Judge, 165th Judicial District",0183,970,943,1913,2451,78.05%,1321,437,1758
"District Judge, 165th Judicial District",0184,214,256,470,969,48.50%,130,303,433
"District Judge, 165th Judicial District",0185,592,494,1086,1910,56.86%,344,672,1016
"District Judge, 165th Judicial District",0186,204,170,374,795,47.04%,38,313,351
"District Judge, 165th Judicial District",0187,48,65,113,309,36.57%,26,84,110
"District Judge, 165th Judicial District",0188,307,378,685,1616,42.39%,241,410,651
"District Judge, 165th Judicial District",0189,492,473,965,1453,66.41%,512,363,875
"District Judge, 165th Judicial District",0190,275,401,676,1720,39.30%,218,415,633
"District Judge, 165th Judicial District",0191,195,313,509,1391,36.59%,171,314,485
"District Judge, 165th Judicial District",0192,746,332,1078,2045,52.71%,35,1004,1039
"District Judge, 165th Judicial District",0193,341,269,610,1050,58.10%,10,577,587
"District Judge, 165th Judicial District",0194,704,504,1208,1735,69.63%,380,740,1120
"District Judge, 165th Judicial District",0195,539,419,958,1721,55.67%,28,894,922
"District Judge, 165th Judicial District",0196,121,55,176,323,54.49%,8,162,170
"District Judge, 165th Judicial District",0197,1109,497,1606,2895,55.47%,31,1521,1552
"District Judge, 165th Judicial District",0198,143,158,301,657,45.81%,7,283,290
"District Judge, 165th Judicial District",0199,1407,773,2180,3159,69.01%,1643,420,2063
"District Judge, 165th Judicial District",0200,1638,585,2223,3222,68.99%,1053,970,2023
"District Judge, 165th Judicial District",0201,229,125,354,728,48.63%,11,334,345
"District Judge, 165th Judicial District",0202,488,332,820,1479,55.44%,16,765,781
"District Judge, 165th Judicial District",0203,266,156,422,900,46.89%,81,317,398
"District Judge, 165th Judicial District",0204,1489,914,2403,3462,69.41%,1376,848,2224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0205,856,201,1057,1667,63.41%,24,1000,1024
"District Judge, 165th Judicial District",0206,651,659,1310,2662,49.21%,389,837,1226
"District Judge, 165th Judicial District",0207,409,310,719,1144,62.85%,227,432,659
"District Judge, 165th Judicial District",0208,806,364,1170,2201,53.16%,283,813,1096
"District Judge, 165th Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 165th Judicial District",0210,1013,542,1555,2300,67.61%,170,1301,1471
"District Judge, 165th Judicial District",0211,710,686,1396,2797,49.91%,458,840,1298
"District Judge, 165th Judicial District",0212,218,314,532,1266,42.02%,84,416,500
"District Judge, 165th Judicial District",0213,1603,939,2542,3308,76.84%,2023,357,2380
"District Judge, 165th Judicial District",0214,798,544,1342,1795,74.76%,851,368,1219
"District Judge, 165th Judicial District",0215,844,786,1630,2168,75.18%,1017,479,1496
"District Judge, 165th Judicial District",0216,784,320,1104,1917,57.59%,74,984,1058
"District Judge, 165th Judicial District",0217,1396,651,2047,2637,77.63%,1428,453,1881
"District Judge, 165th Judicial District",0218,690,608,1298,2274,57.08%,379,826,1205
"District Judge, 165th Judicial District",0219,1117,587,1704,2654,64.20%,134,1473,1607
"District Judge, 165th Judicial District",0220,711,353,1064,2360,45.08%,728,274,1002
"District Judge, 165th Judicial District",0221,699,611,1310,2489,52.63%,512,698,1210
"District Judge, 165th Judicial District",0222,1000,792,1792,2384,75.17%,919,685,1604
"District Judge, 165th Judicial District",0223,1350,760,2110,3528,59.81%,613,1315,1928
"District Judge, 165th Judicial District",0224,894,649,1543,2259,68.30%,742,662,1404
"District Judge, 165th Judicial District",0225,1109,720,1829,3155,57.97%,773,965,1738
"District Judge, 165th Judicial District",0226,529,545,1074,2393,44.88%,191,792,983
"District Judge, 165th Judicial District",0227,947,451,1398,1767,79.12%,1090,205,1295
"District Judge, 165th Judicial District",0228,583,165,748,1073,69.71%,31,693,724
