Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,Totals
"Justice of the Peace, Precinct No. 5, Place 1",0557,822,556,1378,2726,50.55%,576,576
"Justice of the Peace, Precinct No. 5, Place 1",0558,1588,824,2412,4084,59.06%,1065,1065
"Justice of the Peace, Precinct No. 5, Place 1",0559,1787,899,2686,4633,57.98%,995,995
"Justice of the Peace, Precinct No. 5, Place 1",0565,315,194,509,1373,37.07%,139,139
"Justice of the Peace, Precinct No. 5, Place 1",0566,1122,478,1600,2950,54.24%,642,642
"Justice of the Peace, Precinct No. 5, Place 1",0567,672,394,1066,2198,48.50%,385,385
"Justice of the Peace, Precinct No. 5, Place 1",0569,1294,865,2159,3249,66.45%,1356,1356
"Justice of the Peace, Precinct No. 5, Place 1",0572,1283,574,1857,2998,61.94%,1044,1044
"Justice of the Peace, Precinct No. 5, Place 1",0589,1033,738,1771,3130,56.58%,1107,1107
"Justice of the Peace, Precinct No. 5, Place 1",0600,1383,869,2252,3820,58.95%,1002,1002
"Justice of the Peace, Precinct No. 5, Place 1",0603,1437,1163,2600,3917,66.38%,1757,1757
"Justice of the Peace, Precinct No. 5, Place 1",0616,1352,970,2322,3378,68.74%,1751,1751
"Justice of the Peace, Precinct No. 5, Place 1",0617,1318,849,2167,3546,61.11%,1058,1058
"Justice of the Peace, Precinct No. 5, Place 1",0618,1920,1021,2941,5344,55.03%,1591,1591
"Justice of the Peace, Precinct No. 5, Place 1",0619,2133,857,2990,4266,70.09%,2389,2389
"Justice of the Peace, Precinct No. 5, Place 1",0620,2382,856,3238,5271,61.43%,1825,1825
"Justice of the Peace, Precinct No. 5, Place 1",0621,397,203,600,1173,51.15%,370,370
"Justice of the Peace, Precinct No. 5, Place 1",0622,1722,829,2551,4305,59.26%,1698,1698
"Justice of the Peace, Precinct No. 5, Place 1",0625,862,454,1316,1796,73.27%,874,874
"Justice of the Peace, Precinct No. 5, Place 1",0626,1148,655,1803,2838,63.53%,1064,1064
"Justice of the Peace, Precinct No. 5, Place 1",0627,795,647,1442,2964,48.65%,573,573
"Justice of the Peace, Precinct No. 5, Place 1",0639,828,711,1539,2501,61.54%,1256,1256
"Justice of the Peace, Precinct No. 5, Place 1",0642,871,447,1318,1779,74.09%,1105,1105
"Justice of the Peace, Precinct No. 5, Place 1",0643,2157,994,3151,5310,59.34%,1581,1581
"Justice of the Peace, Precinct No. 5, Place 1",0644,2123,1204,3327,5261,63.24%,2338,2338
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,Totals
"Justice of the Peace, Precinct No. 5, Place 1",0645,1639,895,2534,4035,62.80%,1466,1466
"Justice of the Peace, Precinct No. 5, Place 1",0646,708,456,1164,2163,53.81%,474,474
"Justice of the Peace, Precinct No. 5, Place 1",0647,1770,1020,2790,5593,49.88%,975,975
"Justice of the Peace, Precinct No. 5, Place 1",0649,1389,854,2243,4426,50.68%,871,871
"Justice of the Peace, Precinct No. 5, Place 1",0650,1328,939,2267,3151,71.95%,1796,1796
"Justice of the Peace, Precinct No. 5, Place 1",0651,2085,1070,3155,4931,63.98%,2181,2181
"Justice of the Peace, Precinct No. 5, Place 1",0667,989,547,1536,2181,70.43%,1236,1236
"Justice of the Peace, Precinct No. 5, Place 1",0678,297,164,461,756,60.98%,343,343
"Justice of the Peace, Precinct No. 5, Place 1",0684,72,24,96,187,51.34%,64,64
"Justice of the Peace, Precinct No. 5, Place 1",0685,167,29,196,326,60.12%,100,100
"Justice of the Peace, Precinct No. 5, Place 1",0686,46,34,80,196,40.82%,23,23
"Justice of the Peace, Precinct No. 5, Place 1",0689,505,651,1156,2276,50.79%,657,657
"Justice of the Peace, Precinct No. 5, Place 1",0706,222,135,357,529,67.49%,204,204
"Justice of the Peace, Precinct No. 5, Place 1",0709,2996,1297,4293,6239,68.81%,2888,2888
"Justice of the Peace, Precinct No. 5, Place 1",0711,1492,701,2193,3351,65.44%,1493,1493
"Justice of the Peace, Precinct No. 5, Place 1",0712,1200,858,2058,3348,61.47%,1073,1073
"Justice of the Peace, Precinct No. 5, Place 1",0720,1575,1044,2619,3903,67.10%,2055,2055
"Justice of the Peace, Precinct No. 5, Place 1",0727,931,466,1397,2488,56.15%,544,544
"Justice of the Peace, Precinct No. 5, Place 1",0730,800,437,1237,1630,75.89%,901,901
"Justice of the Peace, Precinct No. 5, Place 1",0731,121,36,157,373,42.09%,53,53
"Justice of the Peace, Precinct No. 5, Place 1",0751,1664,1254,2918,4451,65.56%,2124,2124
"Justice of the Peace, Precinct No. 5, Place 1",0761,917,219,1136,1464,77.60%,872,872
"Justice of the Peace, Precinct No. 5, Place 1",0765,1390,815,2205,3967,55.58%,1012,1012
"Justice of the Peace, Precinct No. 5, Place 1",0771,701,537,1238,2378,52.06%,745,745
"Justice of the Peace, Precinct No. 5, Place 1",0772,2927,1002,3929,5617,69.95%,3128,3128
"Justice of the Peace, Precinct No. 5, Place 1",0773,892,550,1442,2648,54.46%,495,495
"Justice of the Peace, Precinct No. 5, Place 1",0781,1152,555,1807,3716,48.63%,869,869
"Justice of the Peace, Precinct No. 5, Place 1",0788,156,58,214,481,44.49%,97,97
"Justice of the Peace, Precinct No. 5, Place 1",0800,1188,795,1983,2817,70.39%,1447,1447
"Justice of the Peace, Precinct No. 5, Place 1",0803,1305,630,1935,2718,71.19%,1506,1506
"Justice of the Peace, Precinct No. 5, Place 1",0804,1806,960,2766,4348,63.62%,1871,1871
"Justice of the Peace, Precinct No. 5, Place 1",0807,652,402,1054,2001,52.67%,332,332
"Justice of the Peace, Precinct No. 5, Place 1",0813,1967,1258,3225,5423,59.47%,1867,1867
"Justice of the Peace, Precinct No. 5, Place 1",0814,1772,955,2727,4503,60.56%,956,956
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,Totals
"Justice of the Peace, Precinct No. 5, Place 1",0828,153,89,242,342,70.78%,157,157
"Justice of the Peace, Precinct No. 5, Place 1",0829,107,58,183,288,81.28%,50,50
"Justice of the Peace, Precinct No. 5, Place 1",0835,87,53,140,292,47.95%,57,57
"Justice of the Peace, Precinct No. 5, Place 1",0838,8,3,11,19,57.89%,3,3
"Justice of the Peace, Precinct No. 5, Place 1",0839,353,240,593,1122,52.85%,199,199
"Justice of the Peace, Precinct No. 5, Place 1",0889,153,78,229,473,48.41%,54,54
"Justice of the Peace, Precinct No. 5, Place 1",0875,1719,927,2848,4031,85.84%,1542,1542
"Justice of the Peace, Precinct No. 5, Place 1",0877,1030,842,1872,2480,87.42%,912,912
"Justice of the Peace, Precinct No. 5, Place 1",0879,890,527,1417,2334,80.71%,823,823
"Justice of the Peace, Precinct No. 5, Place 1",0881,1510,877,2387,3819,85.98%,1107,1107
"Justice of the Peace, Precinct No. 5, Place 1",0882,940,457,1397,2328,80.01%,894,894
"Justice of the Peace, Precinct No. 5, Place 1",0917,280,137,417,481,88.89%,318,318
"Justice of the Peace, Precinct No. 5, Place 1",0918,489,135,824,883,70.87%,514,514
"Justice of the Peace, Precinct No. 5, Place 1",0919,0,3,3,3,100.00%,3,3
"Justice of the Peace, Precinct No. 5, Place 1",0920,8,0,8,13,48.15%,8,8
"Justice of the Peace, Precinct No. 5, Place 1",0921,71,9,80,87,91.95%,70,70
"Justice of the Peace, Precinct No. 5, Place 1",0923,883,87,750,828,90.80%,808,808
"Justice of the Peace, Precinct No. 5, Place 1",0938,73,14,87,258,33.98%,42,42
"Justice of the Peace, Precinct No. 5, Place 1",0939,1,0,1,1,100.00%,0,0
"Justice of the Peace, Precinct No. 5, Place 1",0941,13,9,22,25,88.00%,19,19
"Justice of the Peace, Precinct No. 5, Place 1",0942,as,24,92,159,57.88%,73,73
"Justice of the Peace, Precinct No. 5, Place 1",0943,298,83,359,538,88.98%,289,289
"Justice of the Peace, Precinct No. 5, Place 1",0944,30,8,38,39,92.31%,31,31
"Justice of the Peace, Precinct No. 5, Place 1",0951,79,44,123,218,58.42%,45,45
"Justice of the Peace, Precinct No. 5, Place 1",0952,24,18,40,70,57.14%,28,28
"Justice of the Peace, Precinct No. 5, Place 1",0955,5,20,25,18,138.89%,18,18
"Justice of the Peace, Precinct No. 5, Place 1",0971,27,21,48,129,37.21%,8,8
"Justice of the Peace, Precinct No. 5, Place 1",0972,10,7,17,29,58.82%,11,11
"Justice of the Peace, Precinct No. 5, Place 1",0981,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 5, Place 1",0984,43,49,92,198,48.48%,19,19
"Justice of the Peace, Precinct No. 5, Place 1",0985,172,87,239,338,71.13%,139,139
"Justice of the Peace, Precinct No. 5, Place 1",0988,129,88,215,404,53.22%,39,39
"Justice of the Peace, Precinct No. 5, Place 1",0990,37,15,52,154,33.77%,25,25
"Justice of the Peace, Precinct No. 5, Place 1",0991,0,0,0,1,0.00%,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russ Ridgway,Totals
"Justice of the Peace, Precinct No. 5, Place 1",0992,309,202,511,1015,50.34%,322,322
"Justice of the Peace, Precinct No. 5, Place 1",0993,272,91,363,551,65.88%,298,298
"Justice of the Peace, Precinct No. 5, Place 1",1000,105,0,105,458,22.93%,32,32
"Justice of the Peace, Precinct No. 5, Place 1",1001,496,294,790,1566,50.45%,254,254
"Justice of the Peace, Precinct No. 5, Place 1",1002,464,314,778,1738,44.76%,185,185
"Justice of the Peace, Precinct No. 5, Place 1",1005,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 5, Place 1",1006,3,0,3,5,60.00%,3,3
"Justice of the Peace, Precinct No. 5, Place 1",1016,591,364,955,1626,58.73%,524,524
"Justice of the Peace, Precinct No. 5, Place 1",1023,894,401,1295,1964,65.94%,946,946
"Justice of the Peace, Precinct No. 5, Place 1",1054,0,0,0,1,0.00%,0,0
"Justice of the Peace, Precinct No. 5, Place 1",1061,665,300,965,1613,59.83%,614,614
"Justice of the Peace, Precinct No. 5, Place 1",1062,59,26,85,168,50.60%,31,31
"Justice of the Peace, Precinct No. 5, Place 1",1064,45,1,46,120,38.33%,36,36
"Justice of the Peace, Precinct No. 5, Place 1",Totals:,200491,112070,312561,497247,,194190,194190
