Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mark Kent Ellis,DEM Mack Mclnnis,Totals
"District Judge, 351st Judicial District",0249,1028,481,1509,2676,56.39%,980,446,1426
"District Judge, 351st Judicial District",0250,306,247,553,951,58.15%,11,531,542
"District Judge, 351st Judicial District",0251,809,529,1338,2072,64.58%,55,1234,1289
"District Judge, 351st Judicial District",0252,1111,356,1467,2350,62.43%,25,1395,1420
"District Judge, 351st Judicial District",0253,923,325,1248,2252,55.42%,18,1208,1226
"District Judge, 351st Judicial District",0254,220,282,502,1476,34.01%,119,342,461
"District Judge, 351st Judicial District",0255,995,797,1792,2411,74.33%,842,804,1646
"District Judge, 351st Judicial District",0256,1059,766,1825,3226,56.57%,737,951,1688
"District Judge, 351st Judicial District",0257,553,571,1124,2403,46.77%,257,811,1068
"District Judge, 351st Judicial District",0258,1577,888,2465,3286,75.02%,1788,470,2258
"District Judge, 351st Judicial District",0259,1210,460,1670,2408,69.35%,31,1596,1627
"District Judge, 351st Judicial District",0260,420,290,710,1187,59.81%,378,293,671
"District Judge, 351st Judicial District",0261,176,133,309,749,41.26%,93,201,294
"District Judge, 351st Judicial District",0262,1470,906,2376,4232,56.14%,1367,825,2192
"District Judge, 351st Judicial District",0263,1785,719,2504,3319,75.44%,1852,546,2398
"District Judge, 351st Judicial District",0264,936,639,1575,2939,53.59%,838,605,1443
"District Judge, 351st Judicial District",0265,1936,674,2610,3617,72.16%,1904,491,2395
"District Judge, 351st Judicial District",0266,552,542,1094,2119,51.63%,489,538,1027
"District Judge, 351st Judicial District",0267,294,305,599,1346,44.50%,266,286,552
"District Judge, 351st Judicial District",0268,931,810,1741,2387,72.94%,1049,500,1549
"District Judge, 351st Judicial District",0269,1143,444,1587,1981,80.11%,1260,215,1475
"District Judge, 351st Judicial District",0270,1401,870,2271,3517,64.57%,1284,809,2093
"District Judge, 351st Judicial District",0271,1303,371,1674,2469,67.80%,20,1608,1628
"District Judge, 351st Judicial District",0272,610,484,1094,2112,51.80%,414,614,1028
"District Judge, 351st Judicial District",0273,1139,634,1773,2426,73.08%,1410,244,1654
"District Judge, 351st Judicial District",0274,1049,364,1413,2063,68.49%,946,383,1329
"District Judge, 351st Judicial District",0275,567,410,977,1730,56.47%,163,771,934
"District Judge, 351st Judicial District",0276,1139,404,1543,2532,60.94%,15,1488,1503
"District Judge, 351st Judicial District",0277,342,305,647,1473,43.92%,280,340,620
"District Judge, 351st Judicial District",0278,756,607,1363,2405,56.67%,701,584,1285
"District Judge, 351st Judicial District",0279,548,383,931,1899,49.03%,547,331,878
"District Judge, 351st Judicial District",0280,303,360,663,1515,43.76%,231,387,618
"District Judge, 351st Judicial District",0281,1087,903,1990,2610,76.25%,1011,721,1732
"District Judge, 351st Judicial District",0282,690,591,1281,1988,64.44%,746,457,1203
"District Judge, 351st Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 351st Judicial District",0284,1135,595,1730,3262,53.03%,660,982,1642
"District Judge, 351st Judicial District",0285,988,509,1497,2505,59.76%,115,1319,1434
"District Judge, 351st Judicial District",0286,2657,1053,3710,5719,64.87%,327,3213,3540
"District Judge, 351st Judicial District",0287,647,542,1189,1616,73.58%,638,454,1092
"District Judge, 351st Judicial District",0288,1036,380,1416,2259,62.68%,25,1338,1363
"District Judge, 351st Judicial District",0289,374,397,771,1510,51.06%,309,405,714
"District Judge, 351st Judicial District",0290,577,429,1006,1567,64.20%,765,203,968
"District Judge, 351st Judicial District",0291,541,298,839,1203,69.74%,406,370,776
"District Judge, 351st Judicial District",0292,477,236,713,1272,56.05%,95,591,686
"District Judge, 351st Judicial District",0293,620,557,1177,1733,67.92%,541,539,1080
"District Judge, 351st Judicial District",0294,989,298,1287,2107,61.08%,16,1223,1239
"District Judge, 351st Judicial District",0295,314,189,503,862,58.35%,7,480,487
"District Judge, 351st Judicial District",0296,602,432,1034,1693,61.08%,594,347,941
"District Judge, 351st Judicial District",0297,576,445,1021,1978,51.62%,381,561,942
"District Judge, 351st Judicial District",0298,847,475,1322,2083,63.47%,720,507,1227
"District Judge, 351st Judicial District",0299,328,213,541,1231,43.95%,168,337,505
"District Judge, 351st Judicial District",0300,3013,922,3935,5040,78.08%,2989,696,3685
"District Judge, 351st Judicial District",0301,450,655,1105,2397,46.10%,408,638,1046
"District Judge, 351st Judicial District",0302,713,635,1348,2724,49.49%,711,550,1261
"District Judge, 351st Judicial District",0303,1772,755,2527,3172,79.67%,2003,346,2349
"District Judge, 351st Judicial District",0304,970,648,1618,2266,71.40%,923,531,1454
"District Judge, 351st Judicial District",0305,1319,858,2177,3621,60.12%,793,1273,2066
"District Judge, 351st Judicial District",0306,1013,323,1336,1847,72.33%,984,259,1243
"District Judge, 351st Judicial District",0307,1242,876,2118,2931,72.26%,1462,527,1989
"District Judge, 351st Judicial District",0308,444,238,682,1266,53.87%,193,450,643
"District Judge, 351st Judicial District",0309,1385,612,1997,2529,78.96%,1599,269,1868
"District Judge, 351st Judicial District",0310,517,348,965,1437,67.15%,640,253,893
"District Judge, 351st Judicial District",0311,862,699,1561,2997,52.09%,696,699,1395
