Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM R. K. Sandill,Totals
"District Judge, 127th Judicial District",0210,1013,542,1555,2300,67.61%,167,1301,1468
"District Judge, 127th Judicial District",0211,710,686,1396,2797,49.91%,476,806,1282
"District Judge, 127th Judicial District",0212,218,314,532,1266,42.02%,100,403,503
"District Judge, 127th Judicial District",0213,1603,939,2542,3308,76.84%,1837,540,2377
"District Judge, 127th Judicial District",0214,798,544,1342,1795,74.76%,788,438,1226
"District Judge, 127th Judicial District",0215,844,786,1630,2168,75.18%,925,572,1497
"District Judge, 127th Judicial District",0216,784,320,1104,1917,57.59%,76,982,1058
"District Judge, 127th Judicial District",0217,1396,651,2047,2637,77.63%,1234,654,1888
"District Judge, 127th Judicial District",0218,690,608,1298,2274,57.08%,364,819,1183
"District Judge, 127th Judicial District",0219,1117,587,1704,2654,64.20%,129,1473,1602
"District Judge, 127th Judicial District",0220,711,353,1064,2360,45.08%,719,286,1005
"District Judge, 127th Judicial District",0221,699,611,1310,2489,52.63%,526,677,1203
"District Judge, 127th Judicial District",0222,1000,792,1792,2384,75.17%,744,860,1604
"District Judge, 127th Judicial District",0223,1350,760,2110,3528,59.81%,598,1337,1935
"District Judge, 127th Judicial District",0224,894,649,1543,2259,68.30%,686,725,1411
"District Judge, 127th Judicial District",0225,1109,720,1829,3155,57.97%,769,969,1738
"District Judge, 127th Judicial District",0226,529,545,1074,2393,44.88%,220,755,975
"District Judge, 127th Judicial District",0227,947,451,1398,1767,79.12%,949,353,1302
"District Judge, 127th Judicial District",0228,583,165,748,1073,69.71%,28,697,725
"District Judge, 127th Judicial District",0229,152,207,359,811,44.27%,100,239,339
"District Judge, 127th Judicial District",0230,421,153,574,1096,52.37%,12,535,547
"District Judge, 127th Judicial District",0231,562,471,1033,2219,46.55%,244,726,970
"District Judge, 127th Judicial District",0232,685,546,1231,1696,72.58%,655,471,1126
"District Judge, 127th Judicial District",0233,1826,1063,2889,4132,69.92%,1435,1219,2654
"District Judge, 127th Judicial District",0234,2088,885,2973,3854,77.14%,2127,643,2770
"District Judge, 127th Judicial District",0235,466,242,708,1305,54.25%,21,668,689
"District Judge, 127th Judicial District",0236,779,342,1121,2144,52.29%,21,1048,1069
"District Judge, 127th Judicial District",0237,793,441,1234,2181,56.58%,22,1183,1205
"District Judge, 127th Judicial District",0238,640,422,1062,1901,55.87%,20,1002,1022
"District Judge, 127th Judicial District",0239,765,357,1122,1997,56.18%,27,1062,1089
"District Judge, 127th Judicial District",0240,1157,402,1559,2688,58.00%,22,1485,1507
"District Judge, 127th Judicial District",0241,494,479,973,2296,42.38%,378,536,914
"District Judge, 127th Judicial District",0242,363,323,686,1570,43.69%,351,299,650
"District Judge, 127th Judicial District",0243,254,50,304,452,67.26%,3,293,296
"District Judge, 127th Judicial District",0244,1100,656,1756,2912,60.30%,905,772,1677
"District Judge, 127th Judicial District",0245,2340,1115,3455,5240,65.94%,2291,1023,3314
"District Judge, 127th Judicial District",0246,1584,624,2208,2999,73.62%,1464,637,2101
"District Judge, 127th Judicial District",0247,421,403,824,1607,51.28%,13,787,800
"District Judge, 127th Judicial District",0248,408,405,813,2122,38.31%,189,575,764
"District Judge, 127th Judicial District",0249,1028,481,1509,2676,56.39%,973,457,1430
"District Judge, 127th Judicial District",0250,306,247,553,951,58.15%,9,533,542
"District Judge, 127th Judicial District",0251,809,529,1338,2072,64.58%,54,1232,1286
"District Judge, 127th Judicial District",0252,1111,356,1467,2350,62.43%,24,1397,1421
"District Judge, 127th Judicial District",0253,923,325,1248,2252,55.42%,15,1209,1224
"District Judge, 127th Judicial District",0254,220,282,502,1476,34.01%,122,342,464
"District Judge, 127th Judicial District",0255,995,797,1792,2411,74.33%,784,874,1658
"District Judge, 127th Judicial District",0256,1059,766,1825,3226,56.57%,699,981,1680
"District Judge, 127th Judicial District",0257,553,571,1124,2403,46.77%,256,812,1068
"District Judge, 127th Judicial District",0258,1577,888,2465,3286,75.02%,1700,559,2259
"District Judge, 127th Judicial District",0259,1210,460,1670,2408,69.35%,28,1600,1628
"District Judge, 127th Judicial District",0260,420,290,710,1187,59.81%,363,311,674
"District Judge, 127th Judicial District",0261,176,133,309,749,41.26%,92,196,288
"District Judge, 127th Judicial District",0262,1470,906,2376,4232,56.14%,1318,884,2202
"District Judge, 127th Judicial District",0263,1785,719,2504,3319,75.44%,1822,568,2390
"District Judge, 127th Judicial District",0264,936,639,1575,2939,53.59%,818,631,1449
"District Judge, 127th Judicial District",0265,1936,674,2610,3617,72.16%,1830,592,2422
"District Judge, 127th Judicial District",0266,552,542,1094,2119,51.63%,482,548,1030
"District Judge, 127th Judicial District",0267,294,305,599,1346,44.50%,263,287,550
"District Judge, 127th Judicial District",0268,931,810,1741,2387,72.94%,997,571,1568
"District Judge, 127th Judicial District",0269,1143,444,1587,1981,80.11%,1167,317,1484
"District Judge, 127th Judicial District",0270,1401,870,2271,3517,64.57%,1229,865,2094
"District Judge, 127th Judicial District",0271,1303,371,1674,2469,67.80%,16,1606,1622
"District Judge, 127th Judicial District",0272,610,484,1094,2112,51.80%,398,636,1034
"District Judge, 127th Judicial District",0273,1139,634,1773,2426,73.08%,1349,315,1664
"District Judge, 127th Judicial District",0274,1049,364,1413,2063,68.49%,886,450,1336
"District Judge, 127th Judicial District",0275,567,410,977,1730,56.47%,163,769,932
"District Judge, 127th Judicial District",0276,1139,404,1543,2532,60.94%,15,1489,1504
"District Judge, 127th Judicial District",0277,342,305,647,1473,43.92%,280,345,625
"District Judge, 127th Judicial District",0278,756,607,1363,2405,56.67%,695,586,1281
"District Judge, 127th Judicial District",0279,548,383,931,1899,49.03%,552,323,875
"District Judge, 127th Judicial District",0280,303,360,663,1515,43.76%,223,393,616
"District Judge, 127th Judicial District",0281,1087,903,1990,2610,76.25%,925,832,1757
"District Judge, 127th Judicial District",0282,690,591,1281,1988,64.44%,721,487,1208
"District Judge, 127th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 127th Judicial District",0284,1135,595,1730,3262,53.03%,630,1005,1635
"District Judge, 127th Judicial District",0285,988,509,1497,2505,59.76%,108,1330,1438
"District Judge, 127th Judicial District",0286,2657,1053,3710,5719,64.87%,324,3222,3546
"District Judge, 127th Judicial District",0287,647,542,1189,1616,73.58%,599,498,1097
"District Judge, 127th Judicial District",0288,1036,380,1416,2259,62.68%,23,1341,1364
"District Judge, 127th Judicial District",0289,374,397,771,1510,51.06%,294,420,714
"District Judge, 127th Judicial District",0290,577,429,1006,1567,64.20%,760,209,969
"District Judge, 127th Judicial District",0291,541,298,839,1203,69.74%,384,397,781
"District Judge, 127th Judicial District",0292,477,236,713,1272,56.05%,89,594,683
"District Judge, 127th Judicial District",0293,620,557,1177,1733,67.92%,508,577,1085
"District Judge, 127th Judicial District",0294,989,298,1287,2107,61.08%,10,1226,1236
"District Judge, 127th Judicial District",0295,314,189,503,862,58.35%,6,481,487
"District Judge, 127th Judicial District",0296,602,432,1034,1693,61.08%,573,360,933
"District Judge, 127th Judicial District",0297,576,445,1021,1978,51.62%,369,578,947
"District Judge, 127th Judicial District",0298,847,475,1322,2083,63.47%,697,525,1222
"District Judge, 127th Judicial District",0299,328,213,541,1231,43.95%,170,336,506
"District Judge, 127th Judicial District",0300,3013,922,3935,5040,78.08%,2966,730,3696
"District Judge, 127th Judicial District",0301,450,655,1105,2397,46.10%,410,632,1042
"District Judge, 127th Judicial District",0302,713,635,1348,2724,49.49%,702,558,1260
"District Judge, 127th Judicial District",0303,1772,755,2527,3172,79.67%,1907,460,2367
"District Judge, 127th Judicial District",0304,970,648,1618,2266,71.40%,855,620,1475
"District Judge, 127th Judicial District",0305,1319,858,2177,3621,60.12%,794,1285,2079
"District Judge, 127th Judicial District",0306,1013,323,1336,1847,72.33%,926,321,1247
"District Judge, 127th Judicial District",0307,1242,876,2118,2931,72.26%,1422,568,1990
"District Judge, 127th Judicial District",0308,444,238,682,1266,53.87%,184,460,644
"District Judge, 127th Judicial District",0309,1385,612,1997,2529,78.96%,1521,350,1871
"District Judge, 127th Judicial District",0310,617,348,965,1437,67.15%,618,277,895
"District Judge, 127th Judicial District",0311,862,699,1561,2997,52.09%,657,739,1396
"District Judge, 127th Judicial District",0312,1600,718,2318,3669,63.18%,1223,943,2166
"District Judge, 127th Judicial District",0313,22,1,23,60,38.33%,12,8,20
"District Judge, 127th Judicial District",0314,2494,1221,3715,5225,71.10%,2220,1339,3559
"District Judge, 127th Judicial District",0315,711,479,1190,1618,73.55%,664,427,1091
"District Judge, 127th Judicial District",0316,682,411,1093,1522,71.81%,561,436,997
"District Judge, 127th Judicial District",0317,551,336,887,1469,60.38%,259,585,844
"District Judge, 127th Judicial District",0318,1708,611,2319,3531,65.68%,101,2125,2226
"District Judge, 127th Judicial District",0319,965,290,1255,2081,60.31%,72,1131,1203
"District Judge, 127th Judicial District",0320,464,300,764,1505,50.76%,329,384,713
"District Judge, 127th Judicial District",0321,442,306,748,2029,36.87%,248,462,710
"District Judge, 127th Judicial District",0322,397,237,634,1322,47.96%,154,455,609
"District Judge, 127th Judicial District",0323,482,332,814,1719,47.35%,326,424,750
"District Judge, 127th Judicial District",0324,967,718,1685,2339,72.04%,1043,500,1543
"District Judge, 127th Judicial District",0325,656,397,1053,2251,46.78%,229,767,996
"District Judge, 127th Judicial District",0326,202,128,330,678,48.67%,138,161,299
"District Judge, 127th Judicial District",0327,726,244,970,1751,55.40%,11,926,937
"District Judge, 127th Judicial District",0328,344,270,614,1361,45.11%,227,356,583
"District Judge, 127th Judicial District",0329,405,307,712,1367,52.08%,215,442,657
"District Judge, 127th Judicial District",0330,590,376,966,1849,52.24%,432,466,898
"District Judge, 127th Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 127th Judicial District",0332,23,4,27,128,21.09%,9,16,25
"District Judge, 127th Judicial District",0333,1018,939,1957,2901,67.46%,1354,485,1839
"District Judge, 127th Judicial District",0334,255,114,369,755,48.87%,73,281,354
"District Judge, 127th Judicial District",0335,285,246,531,1227,43.28%,156,320,476
"District Judge, 127th Judicial District",0336,1818,588,2406,3161,76.12%,203,2118,2321
"District Judge, 127th Judicial District",0337,309,207,516,951,54.26%,90,411,501
"District Judge, 127th Judicial District",0338,1540,824,2364,4673,50.59%,647,1558,2205
"District Judge, 127th Judicial District",0339,369,373,742,1716,43.24%,156,513,669
"District Judge, 127th Judicial District",0340,1778,833,2611,3717,70.24%,1886,565,2451
"District Judge, 127th Judicial District",0341,246,316,562,1248,45.03%,140,393,533
"District Judge, 127th Judicial District",0342,2029,1113,3142,5718,54.95%,445,2595,3040
"District Judge, 127th Judicial District",0343,436,483,919,1904,48.27%,217,607,824
"District Judge, 127th Judicial District",0344,395,245,640,1207,53.02%,21,589,610
