Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0185,592,494,1086,1910,56.86%,339,675,1014
"Justice, 1st Court of Appeals District, Place 2",0186,204,170,374,795,47.04%,40,309,349
"Justice, 1st Court of Appeals District, Place 2",0187,48,65,113,309,36.57%,28,81,109
"Justice, 1st Court of Appeals District, Place 2",0188,307,378,685,1616,42.39%,244,410,654
"Justice, 1st Court of Appeals District, Place 2",0189,492,473,965,1453,66.41%,511,371,882
"Justice, 1st Court of Appeals District, Place 2",0190,275,401,676,1720,39.30%,222,411,633
"Justice, 1st Court of Appeals District, Place 2",0191,197,313,510,1391,36.66%,170,314,484
"Justice, 1st Court of Appeals District, Place 2",0192,746,332,1078,2045,52.71%,38,1003,1041
"Justice, 1st Court of Appeals District, Place 2",0193,341,269,610,1050,58.10%,13,581,594
"Justice, 1st Court of Appeals District, Place 2",0194,706,504,1210,1735,69.74%,385,750,1135
"Justice, 1st Court of Appeals District, Place 2",0195,539,419,958,1721,55.67%,26,900,926
"Justice, 1st Court of Appeals District, Place 2",0196,121,55,176,323,54.49%,8,163,171
"Justice, 1st Court of Appeals District, Place 2",0197,1109,497,1606,2895,55.47%,29,1530,1559
"Justice, 1st Court of Appeals District, Place 2",0198,143,158,301,657,45.81%,6,286,292
"Justice, 1st Court of Appeals District, Place 2",0199,1407,773,2180,3159,69.01%,1631,458,2089
"Justice, 1st Court of Appeals District, Place 2",0200,1638,585,2223,3222,68.99%,1061,988,2049
"Justice, 1st Court of Appeals District, Place 2",0201,229,125,354,728,48.63%,9,337,346
"Justice, 1st Court of Appeals District, Place 2",0202,488,332,820,1479,55.44%,18,767,785
"Justice, 1st Court of Appeals District, Place 2",0203,266,156,422,900,46.89%,81,314,395
"Justice, 1st Court of Appeals District, Place 2",0204,1491,914,2405,3462,69.47%,1386,853,2239
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
