Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0838,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0839,353,240,593,1122,52.85%,110,448,558
"Justice, 1st Court of Appeals District, Place 2",0840,712,251,963,1621,59.41%,312,614,926
"Justice, 1st Court of Appeals District, Place 2",0841,0,2,2,0,0.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 2",0842,988,715,1703,3091,55.10%,734,891,1625
"Justice, 1st Court of Appeals District, Place 2",0843,0,2,2,0,0.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 2",0844,2,4,6,1,3,46.1,5%,1,4,5
"Justice, 1st Court of Appeals District, Place 2",0845,85,10,95,100,95.00%,53,35,88
"Justice, 1st Court of Appeals District, Place 2",0846,70,29,99,210,47.14%,8,89,97
"Justice, 1st Court of Appeals District, Place 2",0847,795,321,1116,1804,61.86%,287,784,1071
"Justice, 1st Court of Appeals District, Place 2",0848,782,431,1213,1873,64.76%,370,793,1163
"Justice, 1st Court of Appeals District, Place 2",0849,553,514,1067,2073,51.47%,338,665,1003
"Justice, 1st Court of Appeals District, Place 2",0850,87,38,125,205,60.98%,52,69,121
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0851,2192,816,3008,4317,69.68%,1910,955,2865
"Justice, 1st Court of Appeals District, Place 2",0852,0,4,4,2,200.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 2",0853,1413,605,2018,2773,72.77%,1531,392,1923
"Justice, 1st Court of Appeals District, Place 2",0854,41,30,71,175,40.57%,7,62,69
"Justice, 1st Court of Appeals District, Place 2",0855,4,13,17,18,94.44%,9,8,17
"Justice, 1st Court of Appeals District, Place 2",0856,0,4,4,0,0.00%,1,2,3
"Justice, 1st Court of Appeals District, Place 2",0857,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0858,132,18,150,372,40.32%,4,141,145
"Justice, 1st Court of Appeals District, Place 2",0859,309,201,510,860,59.30%,103,393,496
"Justice, 1st Court of Appeals District, Place 2",0860,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 2",0861,705,319,1024,1786,57.33%,174,823,997
"Justice, 1st Court of Appeals District, Place 2",0862,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0863,210,69,279,620,45.00%,11,261,272
"Justice, 1st Court of Appeals District, Place 2",0864,497,609,1106,2464,44.89%,265,789,1054
"Justice, 1st Court of Appeals District, Place 2",0865,9,2,11,23,47.83%,0,11,11
"Justice, 1st Court of Appeals District, Place 2",0866,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0867,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0868,573,586,1159,2292,50.57%,337,760,1097
"Justice, 1st Court of Appeals District, Place 2",0869,153,76,229,473,48.41%,33,189,222
"Justice, 1st Court of Appeals District, Place 2",0870,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0871,3,0,3,4,75.00%,0,3,3
"Justice, 1st Court of Appeals District, Place 2",0872,13,5,18,66,27.27%,9,7,16
"Justice, 1st Court of Appeals District, Place 2",0873,253,125,378,701,53.92%,93,279,372
"Justice, 1st Court of Appeals District, Place 2",0874,1534,748,2282,3107,73.45%,1710,470,2180
"Justice, 1st Court of Appeals District, Place 2",0875,1719,927,2646,4031,65.64%,1252,1290,2542
"Justice, 1st Court of Appeals District, Place 2",0876,1629,639,2268,3013,75.27%,1620,562,2182
"Justice, 1st Court of Appeals District, Place 2",0877,1031,542,1673,2480,67.46%,694,933,1627
"Justice, 1st Court of Appeals District, Place 2",0878,853,350,1203,1641,73.31%,995,150,1145
"Justice, 1st Court of Appeals District, Place 2",0879,890,527,1417,2334,60.71%,642,723,1365
"Justice, 1st Court of Appeals District, Place 2",0880,1068,472,1540,2007,76.73%,1159,307,1466
"Justice, 1st Court of Appeals District, Place 2",0881,1510,877,2387,3619,65.96%,753,1555,2308
"Justice, 1st Court of Appeals District, Place 2",0882,940,457,1397,2328,60.01%,766,569,1335
"Justice, 1st Court of Appeals District, Place 2",0883,1918,1042,2960,4651,63.64%,507,2375,2882
"Justice, 1st Court of Appeals District, Place 2",0884,118,37,155,330,46.97%,18,130,148
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0885,1222,541,1763,2466,71.49%,1025,651,1676
"Justice, 1st Court of Appeals District, Place 2",0886,301,154,455,713,63.81%,239,169,408
"Justice, 1st Court of Appeals District, Place 2",0887,138,83,221,313,70.61%,123,74,197
"Justice, 1st Court of Appeals District, Place 2",0888,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0889,22,0,22,61,36.07%,14,8,22
"Justice, 1st Court of Appeals District, Place 2",0890,321,118,439,994,44.16%,179,235,414
"Justice, 1st Court of Appeals District, Place 2",0891,539,392,931,1413,65.89%,378,489,867
"Justice, 1st Court of Appeals District, Place 2",0892,194,130,324,696,46.55%,94,208,302
"Justice, 1st Court of Appeals District, Place 2",0893,1,0,1,5,20.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 2",0894,0,31,31,0,0.00%,8,20,28
"Justice, 1st Court of Appeals District, Place 2",0895,335,325,660,784,84.18%,345,262,607
"Justice, 1st Court of Appeals District, Place 2",0896,670,303,973,1437,67.71%,407,485,892
"Justice, 1st Court of Appeals District, Place 2",0897,742,375,1117,1624,68.78%,607,465,1072
"Justice, 1st Court of Appeals District, Place 2",0898,0,0,0,2,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0899,4,0,4,8,50.00%,1,3,4
"Justice, 1st Court of Appeals District, Place 2",0900,5,0,5,12,41.67%,1,3,4
"Justice, 1st Court of Appeals District, Place 2",0901,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0902,865,621,1486,2065,71.96%,857,514,1371
"Justice, 1st Court of Appeals District, Place 2",0903,10,1,11,41,26.83%,5,5,10
"Justice, 1st Court of Appeals District, Place 2",0904,0,1,1,1,100.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 2",0905,290,168,458,908,50.44%,169,257,426
"Justice, 1st Court of Appeals District, Place 2",0906,12,6,18,26,69.23%,10,7,17
"Justice, 1st Court of Appeals District, Place 2",0907,60,43,103,134,76.87%,19,82,101
"Justice, 1st Court of Appeals District, Place 2",0908,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0909,5,7,12,19,63.16%,7,5,12
"Justice, 1st Court of Appeals District, Place 2",0910,55,34,89,226,39.38%,33,50,83
"Justice, 1st Court of Appeals District, Place 2",0911,227,79,306,570,53.68%,197,92,289
"Justice, 1st Court of Appeals District, Place 2",0912,675,221,896,1235,72.55%,541,298,839
"Justice, 1st Court of Appeals District, Place 2",0913,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0914,169,67,236,221,106.79%,181,40,221
"Justice, 1st Court of Appeals District, Place 2",0915,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0916,604,182,786,1045,75.22%,633,119,752
"Justice, 1st Court of Appeals District, Place 2",0917,280,137,417,481,86.69%,296,90,386
"Justice, 1st Court of Appeals District, Place 2",0918,489,135,624,883,70.67%,494,93,587
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0919,0,3,3,3,100.00%,1,2,3
"Justice, 1st Court of Appeals District, Place 2",0920,6,0,6,13,46.15%,6,0,6
"Justice, 1st Court of Appeals District, Place 2",0921,71,9,80,87,91.95%,63,17,80
"Justice, 1st Court of Appeals District, Place 2",0922,0,2,2,0,0.00%,1,1,2
"Justice, 1st Court of Appeals District, Place 2",0923,664,87,751,826,90.92%,572,155,727
"Justice, 1st Court of Appeals District, Place 2",0924,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0925,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0926,351,1,20,481,621,77.46%,357,104,461
"Justice, 1st Court of Appeals District, Place 2",0927,84,74,158,262,60.31%,74,77,151
"Justice, 1st Court of Appeals District, Place 2",0928,4,2,6,9,66.67%,0,6,6
"Justice, 1st Court of Appeals District, Place 2",0929,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0930,200,77,277,567,48.85%,4,266,270
"Justice, 1st Court of Appeals District, Place 2",0931,48,53,101,122,82.79%,51,35,86
"Justice, 1st Court of Appeals District, Place 2",0932,0,5,5,0,0.00%,1,4,5
"Justice, 1st Court of Appeals District, Place 2",0933,235,1,21,356,566,62.90%,91,249,340
"Justice, 1st Court of Appeals District, Place 2",0934,12,1,13,41,31.71%,6,7,13
"Justice, 1st Court of Appeals District, Place 2",0935,8,17,25,65,38.46%,11,13,24
"Justice, 1st Court of Appeals District, Place 2",0936,12,10,22,70,31.43%,6,13,19
"Justice, 1st Court of Appeals District, Place 2",0937,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0938,73,14,87,256,33.98%,28,55,83
"Justice, 1st Court of Appeals District, Place 2",0939,1,0,1,1,100.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 2",0940,1,0,1,13,7.69%,0,1,1
"Justice, 1st Court of Appeals District, Place 2",0941,13,9,22,25,88.00%,22,0,22
"Justice, 1st Court of Appeals District, Place 2",0942,68,24,92,159,57.86%,75,11,86
"Justice, 1st Court of Appeals District, Place 2",0943,297,63,360,536,67.16%,256,76,332
"Justice, 1st Court of Appeals District, Place 2",0944,30,6,36,39,92.31%,31,3,34
"Justice, 1st Court of Appeals District, Place 2",0945,4,7,11,16,68.75%,0,9,9
"Justice, 1st Court of Appeals District, Place 2",0946,3,3,6,14,42.86%,0,4,4
"Justice, 1st Court of Appeals District, Place 2",0947,320,292,612,822,74.45%,321,230,551
"Justice, 1st Court of Appeals District, Place 2",0948,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0949,59,37,96,201,47.76%,43,47,90
"Justice, 1st Court of Appeals District, Place 2",0950,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0951,79,44,123,218,56.42%,25,93,118
"Justice, 1st Court of Appeals District, Place 2",0952,24,16,40,70,57.14%,20,16,36
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0953,59,52,111,420,26.43%,7,103,110
"Justice, 1st Court of Appeals District, Place 2",0954,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0955,5,20,25,18,138.89%,14,9,23
"Justice, 1st Court of Appeals District, Place 2",0956,5,2,7,12,58.33%,5,2,7
"Justice, 1st Court of Appeals District, Place 2",0957,261,115,376,551,68.24%,56,307,363
"Justice, 1st Court of Appeals District, Place 2",0958,289,266,555,989,56.12%,116,408,524
"Justice, 1st Court of Appeals District, Place 2",0959,0,4,4,0,0.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 2",0960,363,143,506,586,86.35%,132,359,491
"Justice, 1st Court of Appeals District, Place 2",0961,23,11,34,53,64.15%,8,26,34
"Justice, 1st Court of Appeals District, Place 2",0962,24,13,37,73,50.68%,8,26,34
"Justice, 1st Court of Appeals District, Place 2",0963,130,69,199,353,56.37%,109,78,187
"Justice, 1st Court of Appeals District, Place 2",0964,947,447,1394,1571,88.73%,838,507,1345
"Justice, 1st Court of Appeals District, Place 2",0965,93,27,120,355,33.80%,76,37,113
"Justice, 1st Court of Appeals District, Place 2",0966,305,160,465,1073,43.34%,126,316,442
"Justice, 1st Court of Appeals District, Place 2",0967,48,15,63,98,64.29%,26,36,62
"Justice, 1st Court of Appeals District, Place 2",0968,243,83,326,517,63.06%,61,256,317
"Justice, 1st Court of Appeals District, Place 2",0969,335,82,417,584,71.40%,3,403,406
"Justice, 1st Court of Appeals District, Place 2",0970,212,76,288,704,40.91%,27,243,270
"Justice, 1st Court of Appeals District, Place 2",0971,27,21,48,129,37.21%,1,46,47
"Justice, 1st Court of Appeals District, Place 2",0972,10,7,17,29,58.62%,11,5,16
"Justice, 1st Court of Appeals District, Place 2",0973,49,24,73,107,68.22%,37,33,70
"Justice, 1st Court of Appeals District, Place 2",0974,101,71,172,299,57.53%,109,57,166
"Justice, 1st Court of Appeals District, Place 2",0975,72,41,113,170,66.47%,53,52,105
"Justice, 1st Court of Appeals District, Place 2",0976,159,131,290,684,42.40%,164,107,271
"Justice, 1st Court of Appeals District, Place 2",0977,104,83,187,535,34.95%,69,109,178
"Justice, 1st Court of Appeals District, Place 2",0978,201,102,303,506,59.88%,51,241,292
"Justice, 1st Court of Appeals District, Place 2",0979,5,e,11,26,42.31%,10,1,11
"Justice, 1st Court of Appeals District, Place 2",0980,595,356,951,1323,71.88%,685,211,896
"Justice, 1st Court of Appeals District, Place 2",0981,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0982,534,218,752,1021,73.65%,572,144,716
"Justice, 1st Court of Appeals District, Place 2",0983,41,28,69,165,41.82%,39,26,65
"Justice, 1st Court of Appeals District, Place 2",0984,43,49,92,198,46.46%,6,84,90
"Justice, 1st Court of Appeals District, Place 2",0985,172,67,239,336,71.13%,122,102,224
"Justice, 1st Court of Appeals District, Place 2",0986,129,86,215,404,53.22%,18,182,200
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0987,465,191,656,1138,57.64%,47,591,638
"Justice, 1st Court of Appeals District, Place 2",0988,44,21,65,111,58.56%,52,10,62
"Justice, 1st Court of Appeals District, Place 2",0989,18,8,26,36,72.22%,12,13,25
"Justice, 1st Court of Appeals District, Place 2",0990,37,15,52,154,33.77%,16,29,45
"Justice, 1st Court of Appeals District, Place 2",0991,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",0992,310,202,512,1015,50.44%,279,214,493
"Justice, 1st Court of Appeals District, Place 2",0993,272,91,363,551,65.88%,280,58,338
"Justice, 1st Court of Appeals District, Place 2",0994,6,5,11,8,137.50%,2,9,11
"Justice, 1st Court of Appeals District, Place 2",0995,596,190,786,1269,61.94%,35,722,757
"Justice, 1st Court of Appeals District, Place 2",0996,297,125,422,699,60.37%,230,166,396
"Justice, 1st Court of Appeals District, Place 2",0997,429,328,757,1439,52.61%,130,606,736
"Justice, 1st Court of Appeals District, Place 2",0998,15,9,24,35,68.57%,16,7,23
"Justice, 1st Court of Appeals District, Place 2",0999,30,16,46,65,70.77%,35,8,43
"Justice, 1st Court of Appeals District, Place 2",1000,105,0,105,458,22.93%,17,82,99
"Justice, 1st Court of Appeals District, Place 2",1001,496,294,790,1566,50.45%,153,591,744
"Justice, 1st Court of Appeals District, Place 2",1002,464,314,778,1738,44.76%,92,656,748
"Justice, 1st Court of Appeals District, Place 2",1003,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",1004,224,153,377,656,57.47%,191,145,336
"Justice, 1st Court of Appeals District, Place 2",1005,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",1006,3,0,3,5,60.00%,3,0,3
"Justice, 1st Court of Appeals District, Place 2",1007,555,295,850,1371,62.00%,196,628,824
"Justice, 1st Court of Appeals District, Place 2",1008,86,21,107,150,71.33%,81,20,101
"Justice, 1st Court of Appeals District, Place 2",1009,3,1,4,8,50.00%,4,0,4
"Justice, 1st Court of Appeals District, Place 2",1010,125,74,199,317,62.78%,30,159,189
"Justice, 1st Court of Appeals District, Place 2",1011,12,3,15,29,51.72%,5,7,12
"Justice, 1st Court of Appeals District, Place 2",1012,395,318,713,1235,57.73%,190,496,686
"Justice, 1st Court of Appeals District, Place 2",1013,8,14,22,60,36.67%,15,7,22
"Justice, 1st Court of Appeals District, Place 2",1014,9,7,16,36,44.44%,3,13,16
"Justice, 1st Court of Appeals District, Place 2",1015,11,7,18,29,62.07%,4,13,17
"Justice, 1st Court of Appeals District, Place 2",1016,591,364,955,1626,58.73%,422,493,915
"Justice, 1st Court of Appeals District, Place 2",1017,127,50,177,232,76.29%,50,122,172
"Justice, 1st Court of Appeals District, Place 2",1018,209,92,301,468,64.32%,137,152,289
"Justice, 1st Court of Appeals District, Place 2",1019,426,4,430,1518,28.33%,16,397,413
"Justice, 1st Court of Appeals District, Place 2",1020,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",1021,1,0,1,2,50.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 2",1022,190,30,220,426,51.64%,169,41,210
"Justice, 1st Court of Appeals District, Place 2",1023,894,401,1295,1964,65.94%,840,391,1231
"Justice, 1st Court of Appeals District, Place 2",1024,113,77,190,259,73.36%,102,72,174
"Justice, 1st Court of Appeals District, Place 2",1025,4,0,4,18,22.22%,1,3,4
"Justice, 1st Court of Appeals District, Place 2",1026,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",1027,0,1,1,1,100.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",1028,0,1,1,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 2",1029,1021,641,1662,1802,92.23%,1282,291,1573
"Justice, 1st Court of Appeals District, Place 2",1030,397,105,502,655,76.64%,438,51,489
"Justice, 1st Court of Appeals District, Place 2",1031,3,3,6,6,100.00%,5,1,6
"Justice, 1st Court of Appeals District, Place 2",1032,59,80,139,241,57.68%,96,35,131
"Justice, 1st Court of Appeals District, Place 2",1033,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",1034,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",1035,24,13,37,139,26.62%,3,33,36
"Justice, 1st Court of Appeals District, Place 2",1036,144,46,190,433,43.88%,145,35,180
"Justice, 1st Court of Appeals District, Place 2",1037,27,16,43,73,58.90%,21,16,37
"Justice, 1st Court of Appeals District, Place 2",1038,133,43,176,266,66.17%,10,163,173
"Justice, 1st Court of Appeals District, Place 2",1039,3,5,8,20,40.00%,2,6,8
"Justice, 1st Court of Appeals District, Place 2",1040,194,146,340,607,56.01%,178,144,322
"Justice, 1st Court of Appeals District, Place 2",1041,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",1042,227,50,277,498,55.62%,80,192,272
"Justice, 1st Court of Appeals District, Place 2",1043,12,2,14,31,45.16%,3,11,14
"Justice, 1st Court of Appeals District, Place 2",1044,29,5,34,59,57.63%,8,26,34
"Justice, 1st Court of Appeals District, Place 2",1045,612,321,933,1439,64.84%,124,784,908
"Justice, 1st Court of Appeals District, Place 2",1046,19,18,37,54,68.52%,5,31,36
"Justice, 1st Court of Appeals District, Place 2",1047,553,288,851,1242,68.52%,255,563,818
"Justice, 1st Court of Appeals District, Place 2",1048,3,1,4,18,22.22%,2,2,4
"Justice, 1st Court of Appeals District, Place 2",1049,57,71,128,266,48.12%,40,82,122
"Justice, 1st Court of Appeals District, Place 2",1050,148,153,301,506,59.49%,62,228,290
"Justice, 1st Court of Appeals District, Place 2",1,051,0,1,2,1,2,0,0.00%,8,4,1,2
"Justice, 1st Court of Appeals District, Place 2",1052,0,2,2,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 2",1053,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",1054,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",1055,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 2",1056,4,0,4,6,66.67%,0,4,4
"Justice, 1st Court of Appeals District, Place 2",1057,34,7,41,115,35.65%,2,35,37
"Justice, 1st Court of Appeals District, Place 2",1058,540,246,786,1190,66.05%,122,637,759
"Justice, 1st Court of Appeals District, Place 2",1059,7,3,10,23,43.48%,0,10,10
"Justice, 1st Court of Appeals District, Place 2",1060,13,4,17,49,34.69%,9,8,17
"Justice, 1st Court of Appeals District, Place 2",1061,665,300,965,1613,59.83%,507,418,925
"Justice, 1st Court of Appeals District, Place 2",1062,59,25,85,168,50.60%,20,61,81
"Justice, 1st Court of Appeals District, Place 2",1063,226,63,289,792,36.49%,32,251,283
"Justice, 1st Court of Appeals District, Place 2",1064,45,1,46,120,38.33%,33,11,44
"Justice, 1st Court of Appeals District, Place 2",Totals:,774863,427100,1201963,1942566,572351,567793,1140144
